energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.68784392,3.24678874,3.76584924,0.66342939,0.00262893,1.22842725,0.74739664,0.00000000,1.45012015,0.01593156
-5.68184092,3.15530378,3.70743509,0.64407917,0.00261180,1.19769989,0.72300234,0.00000000,1.39449154,0.01530916
-5.67583792,3.05668841,3.63982475,0.62326306,0.00259260,1.16450828,0.69705792,0.00000000,1.33563016,0.01465551
-5.66983492,2.95231886,3.56385848,0.60129104,0.00257122,1.12931973,0.66988724,0.00000000,1.27435883,0.01397908
-5.66383192,2.84350234,3.48033226,0.57845642,0.00254742,1.09256887,0.64179684,0.00000000,1.21146878,0.01328795
-5.65782891,2.73145266,3.38998795,0.55502989,0.00252083,1.05465025,0.61307094,0.00000000,1.14770370,0.01258959
-5.65182591,2.61727296,3.29350987,0.53125529,0.00249094,1.01591357,0.58396819,0.00000000,1.08374687,0.01189079
-5.64582291,2.50194532,3.19152703,0.50734703,0.00245719,0.97666173,0.55471993,0.00000000,1.02021179,0.01119757
-5.63981991,2.38632727,3.08462037,0.48348912,0.00241897,0.93715122,0.52553009,0.00000000,0.95763622,0.01051515
-5.63381691,2.27115426,2.97333381,0.45983577,0.00237566,0.89759470,0.49657631,0.00000000,0.89647946,0.00984797
-5.62781391,2.15704733,2.85818783,0.43651324,0.00232672,0.85816532,0.46801228,0.00000000,0.83712271,0.00919969
-5.62181091,2.04452482,2.73969414,0.41362269,0.00227167,0.81900224,0.43997088,0.00000000,0.77987206,0.00857331
-5.61580790,1.93401692,2.61837021,0.39124385,0.00221020,0.78021693,0.41256783,0.00000000,0.72496359,0.00797120
-5.60980490,1.82588190,2.49475219,0.36943904,0.00214211,0.74189973,0.38590571,0.00000000,0.67257023,0.00739521
-5.60380190,1.72042271,2.36940536,0.34825745,0.00206742,0.70412630,0.36007794,0.00000000,0.62280967,0.00684679
-5.59779890,1.61790314,2.24293113,0.32773920,0.00198634,0.66696339,0.33517254,0.00000000,0.57575292,0.00632709
-5.59179590,1.51856246,2.11597020,0.30791924,0.00189925,0.63047395,0.31127550,0.00000000,0.53143307,0.00583704
-5.58579290,1.42262800,1.98920163,0.28883055,0.00180675,0.59472108,0.28847358,0.00000000,0.48985377,0.00537747
-5.57978989,1.33032526,1.86333797,0.27050697,0.00170960,0.55977092,0.26685651,0.00000000,0.45099715,0.00494917
-5.57378689,1.24188526,1.73911675,0.25298512,0.00160868,0.52569440,0.24651840,0.00000000,0.41483093,0.00455297
-5.56778389,1.15754908,1.61728908,0.23630583,0.00150501,0.49256787,0.22755850,0.00000000,0.38131449,0.00418976
-5.56178089,1.07756984,1.49860604,0.22051474,0.00139968,0.46047288,0.21008128,0.00000000,0.35040392,0.00386058
-5.55577789,1.00221220,1.38380373,0.20566238,0.00129382,0.42949506,0.19419577,0.00000000,0.32205585,0.00356656
-5.54977489,0.93174979,1.27358790,0.19180364,0.00118855,0.39972253,0.18001440,0.00000000,0.29623023,0.00330898
-5.54377189,0.86646092,1.16861895,0.17899680,0.00108497,0.37124383,0.16765121,0.00000000,0.27289202,0.00308924
-5.53776888,0.80662292,1.06949806,0.16730218,0.00098410,0.34414575,0.15721967,0.00000000,0.25201190,0.00290880
-5.53176588,0.75250534,0.97675498,0.15678046,0.00088688,0.31851101,0.14883002,0.00000000,0.23356609,0.00276918
-5.52576288,0.70436248,0.89083801,0.14749085,0.00079410,0.29441613,0.14258628,0.00000000,0.21753546,0.00267188
-5.51975988,0.66242533,0.81210626,0.13948903,0.00070647,0.27192942,0.13858291,0.00000000,0.20390392,0.00261830
-5.51375688,0.62689327,0.74082438,0.13282505,0.00062451,0.25110931,0.13690129,0.00000000,0.19265630,0.00260969
-5.50775388,0.59792556,0.67715959,0.12754114,0.00054863,0.23200287,0.13760589,0.00000000,0.18377580,0.00264708
-5.50175088,0.57563294,0.62118099,0.12366958,0.00047908,0.21464470,0.14074045,0.00000000,0.17724119,0.00273115
-5.49574787,0.56006947,0.57286065,0.12123058,0.00041600,0.19905611,0.14632401,0.00000000,0.17302371,0.00286217
