energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.16650281,0.43234363,0.00000000,2.10423183,2.18437837,0.00878938,0.48018420
-5.99399700,3.20051312,0.42628034,0.00000000,2.17023018,2.20251811,0.00870732,0.48820016
-5.98799400,3.23859468,0.42095135,0.00000000,2.23708203,2.22391148,0.00868998,0.49645057
-5.98199100,3.27992926,0.41623258,0.00000000,2.30401082,2.24801860,0.00872767,0.50484420
-5.97598799,3.32359983,0.41198212,0.00000000,2.37020616,2.27423117,0.00881010,0.51327054
-5.96998499,3.36861410,0.40804433,0.00000000,2.43484404,2.30188781,0.00892659,0.52160301
-5.96398199,3.41393142,0.40425475,0.00000000,2.49710807,2.33029157,0.00906640,0.52970305
-5.95797899,3.45849176,0.40044555,0.00000000,2.55621053,2.35872881,0.00921890,0.53742481
-5.95197599,3.50124553,0.39645128,0.00000000,2.61141225,2.38648883,0.00937386,0.54462014
-5.94597299,3.54118289,0.39211466,0.00000000,2.66204052,2.41288320,0.00952170,0.55114376
-5.93996998,3.57736122,0.38729216,0.00000000,2.70750411,2.43726398,0.00965361,0.55685820
-5.93396698,3.60892953,0.38185906,0.00000000,2.74730485,2.45904016,0.00976181,0.56163833
-5.92796398,3.63514886,0.37571373,0.00000000,2.78104544,2.47769150,0.00983968,0.56537530
-5.92196098,3.65540787,0.36878088,0.00000000,2.80843326,2.49277941,0.00988186,0.56797967
-5.91595798,3.66923332,0.36101384,0.00000000,2.82928034,2.50395446,0.00988430,0.56938375
-5.90995498,3.67629513,0.35239543,0.00000000,2.84349981,2.51096043,0.00984436,0.56954289
-5.90395198,3.67640628,0.34293782,0.00000000,2.85109940,2.51363499,0.00976074,0.56843599
-5.89794897,3.66951807,0.33268104,0.00000000,2.85217247,2.51190716,0.00963350,0.56606509
-5.89194597,3.65571114,0.32169061,0.00000000,2.84688742,2.50579203,0.00946395,0.56245424
-5.88594297,3.63518324,0.31005422,0.00000000,2.83547625,2.49538309,0.00925452,0.55764782
-5.87993997,3.60823467,0.29787778,0.00000000,2.81822281,2.48084287,0.00900873,0.55170829
-5.87393697,3.57525212,0.28528113,0.00000000,2.79545150,2.46239238,0.00873096,0.54471386
-5.86793397,3.53669203,0.27239350,0.00000000,2.76751698,2.44029985,0.00842636,0.53675587
-5.86193097,3.49306426,0.25934907,0.00000000,2.73479513,2.41486961,0.00810066,0.52793638
-5.85592796,3.44491677,0.24628292,0.00000000,2.69767566,2.38643131,0.00776007,0.51836584
-5.84992496,3.39282201,0.23332728,0.00000000,2.65655644,2.35533008,0.00741115,0.50816109
-5.84392196,3.33736546,0.22060857,0.00000000,2.61183954,2.32191809,0.00706066,0.49744382
-5.83791896,3.27913670,0.20824502,0.00000000,2.56392899,2.28654755,0.00671554,0.48633929
-5.83191596,3.21872316,0.19634508,0.00000000,2.51322996,2.24956566,0.00638276,0.47497565
-5.82591296,3.15670661,0.18500660,0.00000000,2.46014932,2.21131128,0.00606937,0.46348358
-5.81990995,3.09366224,0.17431662,0.00000000,2.40509713,2.17211369,0.00578239,0.45199630
-5.81390695,3.03016014,0.16435186,0.00000000,2.34848900,2.13229305,0.00552891,0.44064993
-5.80790395,2.96676877,0.15517963,0.00000000,2.29074887,2.09216249,0.00531602,0.42958397
-5.80190095,2.90405981,0.14685913,0.00000000,2.23231200,2.05203163,0.00515088,0.41894191
-5.79589795,2.84261389,0.13944293,0.00000000,2.17362788,2.01221093,0.00504076,0.40887177
-5.78989495,2.78302642,0.13297855,0.00000000,2.11516265,1.97301657,0.00499304,0.39952640
-5.78389195,2.72591268,0.12750989,0.00000000,2.05740082,1.93477524,0.00501523,0.39106352
-5.77788894,2.67191141,0.12307848,0.00000000,2.00084588,1.89782823,0.00511500,0.38364526
-5.77188594,2.62168595,0.11972434,0.00000000,1.94601950,1.86253424,0.00530008,0.37743710
-5.76588294,2.57592235,0.11748645,0.00000000,1.89345903,1.82927031,0.00557827,0.37260613
-5.75987994,2.53532356,0.11640263,0.00000000,1.84371295,1.79843034,0.00595724,0.36931858
-5.75387694,2.50059945,0.11650894,0.00000000,1.79733415,1.77042078,0.00644448,0.36773646
-5.74787394,2.47245217,0.11783848,0.00000000,1.75487084,1.74565329,0.00704702,0.36801350
-5.74187094,2.45155703,0.12041963,0.00000000,1.71685513,1.72453419,0.00777121,0.37029030
-5.73586793,2.43853916,0.12427385,0.00000000,1.68378934,1.70745094,0.00862245,0.37468881
-5.72986493,2.43394653,0.12941306,0.00000000,1.65613042,1.69475599,0.00960487,0.38130637
-5.72386193,2.43822048,0.13583674,0.00000000,1.63427280,1.68674859,0.01072094,0.39020948
-5.71785893,2.45166474,0.14352891,0.00000000,1.61853037,1.68365542,0.01197119,0.40142756
-5.71185593,2.47441480,0.15245513,0.00000000,1.60911827,1.68561097,0.01335377,0.41494693
