energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.05823917,0.00601053,0.41463687,0.73255105,0.00000000,0.01939051,0.73997989,1.50468196,0.53005477
-5.99399700,2.05297681,0.00600069,0.40332473,0.75542654,0.00000000,0.01846386,0.75111397,1.45623067,0.52424717
-5.98799400,2.05077297,0.00598193,0.39346660,0.77825879,0.00000000,0.01759363,0.76272648,1.41230972,0.51963684
-5.98199100,2.05081206,0.00595307,0.38495663,0.80064696,0.00000000,0.01677692,0.77442666,1.37262702,0.51601346
-5.97598799,2.05220340,0.00591294,0.37766316,0.82217958,0.00000000,0.01600977,0.78580137,1.33680862,0.51314138
-5.96998499,2.05402004,0.00586047,0.37143546,0.84245117,0.00000000,0.01528756,0.79643167,1.30441883,0.51077084
-5.96398199,2.05534011,0.00579475,0.36611111,0.86107991,0.00000000,0.01460532,0.80591021,1.27498268,0.50864983
-5.95797899,2.05528929,0.00571511,0.36152391,0.87772570,0.00000000,0.01395810,0.81385897,1.24800985,0.50653622
-5.95197599,2.05308230,0.00562119,0.35751181,0.89210761,0.00000000,0.01334120,0.81994636,1.22301891,0.50420947
-5.94597299,2.04806172,0.00551298,0.35392461,0.90401983,0.00000000,0.01275045,0.82390310,1.19956093,0.50148158
-5.93996998,2.03973206,0.00539088,0.35063099,0.91334546,0.00000000,0.01218245,0.82553596,1.17724124,0.49820651
-5.93396698,2.02778752,0.00525576,0.34752459,0.92006696,0.00000000,0.01163463,0.82473888,1.15573839,0.49428778
-5.92796398,2.01213177,0.00510899,0.34452869,0.92427287,0.00000000,0.01110546,0.82150069,1.13481921,0.48968378
-5.92196098,1.99288864,0.00495243,0.34159939,0.92616001,0.00000000,0.01059439,0.81590903,1.11434931,0.48441047
-5.91595798,1.97040296,0.00478843,0.33872698,0.92603092,0.00000000,0.01010193,0.80815025,1.09429843,0.47854145
-5.90995498,1.94523117,0.00461985,0.33593545,0.92428638,0.00000000,0.00962952,0.79850511,1.07474026,0.47220509
-5.90395198,1.91812187,0.00444998,0.33328011,0.92141314,0.00000000,0.00917949,0.78734039,1.05584676,0.46557911
-5.89794897,1.88998709,0.00428252,0.33084347,0.91796717,0.00000000,0.00875490,0.77509664,1.03787720,0.45888262
-5.89194597,1.86186527,0.00412149,0.32872947,0.91455314,0.00000000,0.00835938,0.76227271,1.02116247,0.45236601
-5.88594297,1.83487774,0.00397119,0.32705647,0.91180089,0.00000000,0.00799693,0.74940743,1.00608549,0.44629929
-5.87993997,1.81018040,0.00383610,0.32594925,0.91033992,0.00000000,0.00767176,0.73705949,0.99305863,0.44095914
