energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,1.40639556,0.01228300,0.27268596,1.40019673,0.52670807,0.06608327,0.51572084,0.00000000
-5.99399700,1.40663448,0.01347230,0.26446041,1.38167337,0.51444633,0.06526954,0.53146828,0.00000000
-5.98799400,1.40680433,0.01469601,0.25599399,1.36341916,0.50151384,0.06452408,0.54778778,0.00000000
-5.98199100,1.40679278,0.01594421,0.24734611,1.34554575,0.48810824,0.06385449,0.56440877,0.00000000
-5.97598799,1.40646299,0.01720631,0.23857416,1.32814413,0.47442826,0.06326526,0.58104384,0.00000000
-5.96998499,1.40565496,0.01847126,0.22973120,1.31127797,0.46066790,0.06275782,0.59739553,0.00000000
-5.96398199,1.40418969,0.01972777,0.22086445,1.29497921,0.44701163,0.06233064,0.61316438,0.00000000
-5.95797899,1.40187606,0.02096457,0.21201427,1.27924585,0.43363078,0.06197949,0.62805762,0.00000000
-5.95197599,1.39852000,0.02217064,0.20321391,1.26404207,0.42068121,0.06169785,0.64179843,0.00000000
-5.94597299,1.39393547,0.02333547,0.19448977,1.24930035,0.40830218,0.06147741,0.65413529,0.00000000
-5.93996998,1.38795654,0.02444922,0.18586228,1.23492548,0.39661641,0.06130863,0.66485096,0.00000000
-5.93396698,1.38044997,0.02550288,0.17734719,1.22079986,0.38573116,0.06118141,0.67377084,0.00000000
-5.92796398,1.37132726,0.02648847,0.16895715,1.20678980,0.37574011,0.06108574,0.68077014,0.00000000
-5.92196098,1.36055566,0.02739905,0.16070343,1.19275215,0.36672586,0.06101240,0.68577968,0.00000000
-5.91595798,1.34816730,0.02822883,0.15259773,1.17854106,0.35876279,0.06095363,0.68878987,0.00000000
-5.90995498,1.33426584,0.02897315,0.14465381,1.16401416,0.35191997,0.06090378,0.68985281,0.00000000
-5.90395198,1.31903025,0.02962844,0.13688889,1.14903807,0.34626402,0.06085986,0.68908233,0.00000000
-5.89794897,1.30271542,0.03019220,0.12932478,1.13349293,0.34186155,0.06082203,0.68665191,0.00000000
-5.89194597,1.28564941,0.03066289,0.12198848,1.11727572,0.33878105,0.06079405,0.68279056,0.00000000
-5.88594297,1.26822743,0.03103985,0.11491252,1.10030255,0.33709415,0.06078346,0.67777689,0.00000000
