energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-6.00000000,2.23317753,0.02845707,0.01566558,0.04829576,1.41098355,0.42856021,0.03847336,0.83176053,0.30660351
-5.99399700,2.24226880,0.02813925,0.01577805,0.04757630,1.41526374,0.42835722,0.03766158,0.82307445,0.31793667
-5.98799400,2.25248146,0.02794712,0.01591690,0.04692202,1.42010588,0.42761696,0.03708544,0.81380903,0.32955755
-5.98199100,2.26363221,0.02789430,0.01607423,0.04632598,1.42541685,0.42637341,0.03673189,0.80408880,0.34139869
-5.97598799,2.27559968,0.02799221,0.01624264,0.04578304,1.43114417,0.42467875,0.03658849,0.79406242,0.35339298
-5.96998499,2.28830439,0.02824940,0.01641539,0.04528945,1.43726275,0.42259819,0.03664283,0.78389275,0.36547243
-5.96398199,2.30168572,0.02867086,0.01658642,0.04484241,1.44375981,0.42020427,0.03688202,0.77374588,0.37756653
-5.95797899,2.31567713,0.02925748,0.01675037,0.04443950,1.45061877,0.41757091,0.03729208,0.76378001,0.38960009
-5.95197599,2.33018143,0.03000558,0.01690254,0.04407826,1.45780318,0.41476754,0.03785753,0.75413447,0.40149108
-5.94597299,2.34504745,0.03090652,0.01703892,0.04375561,1.46524165,0.41185369,0.03856089,0.74491972,0.41314830
-5.93996998,2.36004988,0.03194659,0.01715604,0.04346744,1.47281482,0.40887415,0.03938243,0.73620889,0.42446953
-5.93396698,2.37487382,0.03310698,0.01725095,0.04320828,1.48034540,0.40585519,0.04029999,0.72803117,0.43534010
-5.92796398,2.38910524,0.03436407,0.01732113,0.04297103,1.48759197,0.40280185,0.04128905,0.72036775,0.44563228
-5.92196098,2.40222856,0.03568986,0.01736444,0.04274682,1.49424725,0.39969666,0.04232289,0.71315035,0.45520571
-5.91595798,2.41363176,0.03705265,0.01737907,0.04252509,1.49994129,0.39649972,0.04337300,0.70626252,0.46390888
-5.90995498,2.42261937,0.03841788,0.01736352,0.04229368,1.50424953,0.39315021,0.04440970,0.69954388,0.47158187
-5.90395198,2.42843302,0.03974919,0.01731665,0.04203920,1.50670562,0.38956933,0.04540283,0.69279676,0.47806031
-5.89794897,2.43027873,0.04100959,0.01723772,0.04174737,1.50681855,0.38566442,0.04632269,0.68579533,0.48318041
-5.89194597,2.42735969,0.04216267,0.01712647,0.04140361,1.50409318,0.38133410,0.04714098,0.67829637,0.48678491
-5.88594297,2.41891295,0.04317388,0.01698326,0.04099362,1.49805327,0.37647415,0.04783185,0.67005147,0.48872971
-5.87993997,2.40424802,0.04401180,0.01680918,0.04050401,1.48826561,0.37098379,0.04837295,0.66081971,0.48889075
-5.87393697,2.38278522,0.04464927,0.01660621,0.03992293,1.47436415,0.36477200,0.04874640,0.65038037,0.48717086
-5.86793397,2.35409162,0.04506443,0.01637734,0.03924072,1.45607245,0.35776363,0.04893964,0.63854491,0.48350610
-5.86193097,2.31791224,0.04524154,0.01612675,0.03845042,1.43322340,0.34990473,0.04894614,0.62516748,0.47787126
-5.85592796,2.27419485,0.04517159,0.01585979,0.03754820,1.40577472,0.34116707,0.04876592,0.61015363,0.47028400
-5.84992496,2.22310642,0.04485261,0.01558311,0.03653371,1.37381947,0.33155139,0.04840578,0.59346656,0.46080755
-5.84392196,2.16504031,0.04428980,0.01530462,0.03541020,1.33759068,0.32108928,0.04787925,0.57513066,0.44955151
-5.83791896,2.10061330,0.04349527,0.01503336,0.03418455,1.29745973,0.30984354,0.04720636,0.55523221,0.43667075
-5.83191596,2.03065249,0.04248756,0.01477939,0.03286709,1.25392845,0.29790715,0.04641296,0.53391719,0.42236235
-5.82591296,1.95617239,0.04129094,0.01455353,0.03147129,1.20761509,0.28540063,0.04552995,0.51138639,0.40686062
-5.81990995,1.87834325,0.03993443,0.01436707,0.03001331,1.15923493,0.27246818,0.04459211,0.48788797,0.39043050
-5.81390695,1.79845200,0.03845075,0.01423141,0.02851142,1.10957622,0.25927275,0.04363690,0.46370813,0.37335943
-5.80790395,1.71785770,0.03687504,0.01415761,0.02698537,1.05947281,0.24599021,0.04270296,0.43916014,0.35594832
-5.80190095,1.63794357,0.03524359,0.01415599,0.02545560,1.00977462,0.23280304,0.04182861,0.41457248,0.33850171
-5.79589795,1.56006784,0.03359258,0.01423562,0.02394258,0.96131735,0.21989382,0.04105037,0.39027660,0.32131795
-5.78989495,1.48551587,0.03195680,0.01440390,0.02246606,0.91489303,0.20743887,0.04040140,0.36659490,0.30467946
-5.78389195,1.41545558,0.03036854,0.01466610,0.02104436,0.87122257,0.19560227,0.03991016,0.34382964,0.28884380
-5.77788894,1.35089839,0.02885659,0.01502501,0.01969382,0.83093171,0.18453075,0.03959922,0.32225298,0.27403588
-5.77188594,1.29266721,0.02744543,0.01548063,0.01842828,0.79453136,0.17434938,0.03948427,0.30209891,0.26044154
-5.76588294,1.24137307,0.02615468,0.01602992,0.01725869,0.76240315,0.16515856,0.03957343,0.28355711,0.24820286
-5.75987994,1.19740111,0.02499867,0.01666677,0.01619287,0.73479090,0.15703222,0.03986684,0.26676909,0.23741538
-5.75387694,1.16090649,0.02398635,0.01738195,0.01523542,0.71179807,0.15001732,0.04035662,0.25182661,0.22812724
-5.74787394,1.13182018,0.02312137,0.01816330,0.01438770,0.69339133,0.14413470,0.04102713,0.23877239,0.22034032
-5.74187094,1.10986430,0.02240242,0.01899599,0.01364802,0.67941001,0.13938115,0.04185557,0.22760296,0.21401320
-5.73586793,1.09457588,0.02182369,0.01986293,0.01301188,0.66958064,0.13573254,0.04281287,0.21827335,0.20906580
-5.72986493,1.08533800,0.02137560,0.02074526,0.01247236,0.66353618,0.13314793,0.04386489,0.21070343,0.20538543
