energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.43444771,0.33723294,0.00620689,0.00100157,5.33027357,6.12293004,2.28234171
-5.99399700,7.49728972,0.34153071,0.00635222,0.00100748,5.37231303,6.16148326,2.28629440
-5.98799400,7.52336137,0.34392138,0.00646742,0.00100746,5.38827592,6.17068131,2.27912499
-5.98199100,7.51321543,0.34439772,0.00655181,0.00100162,5.37862465,6.15114049,2.26115845
-5.97598799,7.46815938,0.34299561,0.00660546,0.00099024,5.34435240,6.10403331,2.23291841
-5.96998499,7.39022955,0.33979254,0.00662915,0.00097373,5.28696380,6.03106224,2.19511533
-5.96398199,7.28214478,0.33490467,0.00662436,0.00095263,5.20844158,5.93441943,2.14863002
-5.95797899,7.14724064,0.32848283,0.00659327,0.00092758,5.11119962,5.81673332,2.09449302
-5.95197599,6.98938589,0.32070735,0.00653865,0.00089935,4.99802369,5.68100356,2.03386024
-5.94597299,6.81288356,0.31178214,0.00646379,0.00086873,4.87200151,5.53052589,1.96798562
-5.93996998,6.62235930,0.30192817,0.00637244,0.00083660,4.73644384,5.36880912,1.89819131
-5.93396698,6.42264035,0.29137654,0.00626864,0.00080383,4.59479900,5.19948634,1.82583625
-5.92796398,6.21862854,0.28036151,0.00615663,0.00077130,4.45056318,5.02622293,1.75228398
-5.92196098,6.01517117,0.26911374,0.00604073,0.00073986,4.30718905,4.85262376,1.67887044
-5.91595798,5.81693335,0.25785383,0.00592517,0.00071029,4.16799539,4.68214236,1.60687261
-5.90995498,5.62827587,0.24678650,0.00581400,0.00068329,4.03608046,4.51799455,1.53747891
-5.90395198,5.45314199,0.23609555,0.00571097,0.00065949,3.91424150,4.36307903,1.47176213
-5.89794897,5.29495674,0.22593973,0.00561936,0.00063938,3.80490302,4.21990729,1.41065555
-5.89194597,5.15654168,0.21644953,0.00554197,0.00062333,3.71005591,4.09054496,1.35493310
