energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.78393603,0.03664797,0.16150628,1.10797394,0.83877735,0.01089794,1.48960832,0.63205288,0.18320534
-5.99399700,2.72276033,0.03688500,0.16099087,1.08650971,0.81729213,0.01074429,1.45422615,0.62336649,0.17704448
-5.98799400,2.65718080,0.03712023,0.15990352,1.06098530,0.79515719,0.01058755,1.41621497,0.61270710,0.17082483
-5.98199100,2.58808384,0.03734670,0.15828463,1.03180600,0.77266529,0.01042984,1.37609014,0.60025868,0.16461907
-5.97598799,2.51641202,0.03755651,0.15617883,0.99942126,0.75012349,0.01027262,1.33440405,0.58623154,0.15850132
-5.96998499,2.44313462,0.03774082,0.15363331,0.96431033,0.72784500,0.01011662,1.29172828,0.57085472,0.15254496
-5.96398199,2.36921829,0.03788994,0.15069630,0.92696812,0.70614074,0.00996189,1.24863580,0.55436826,0.14682054
-5.95797899,2.29559935,0.03799352,0.14741575,0.88789185,0.68531093,0.00980773,1.20568378,0.53701571,0.14139378
-5.95197599,2.22315858,0.03804080,0.14383831,0.84756907,0.66563698,0.00965282,1.16339788,0.51903717,0.13632377
-5.94597299,2.15269942,0.03802096,0.14000864,0.80646748,0.64737388,0.00949529,1.12225841,0.50066309,0.13166146
-5.93996998,2.08493023,0.03792357,0.13596903,0.76502683,0.63074337,0.00933287,1.08268877,0.48210920,0.12744842
-5.93396698,2.02045096,0.03773902,0.13175936,0.72365305,0.61592809,0.00916301,1.04504657,0.46357246,0.12371597
-5.92796398,1.95974440,0.03745906,0.12741734,0.68271468,0.60306685,0.00898313,1.00961750,0.44522832,0.12048464
-5.92196098,1.90317211,0.03707727,0.12297904,0.64254137,0.59225119,0.00879072,0.97661208,0.42722911,0.11776397
-5.91595798,1.85097464,0.03658950,0.11847956,0.60342437,0.58352332,0.00858354,0.94616501,0.40970363,0.11555276
-5.90995498,1.80327579,0.03599429,0.11395377,0.56561855,0.57687550,0.00835979,0.91833729,0.39275774,0.11383946
-5.90395198,1.76009039,0.03529313,0.10943717,0.52934568,0.57225087,0.00811823,0.89312052,0.37647587,0.11260310
-5.89794897,1.72133510,0.03449063,0.10496660,0.49479855,0.56954580,0.00785828,0.87044329,0.36092316,0.11181427
-5.89194597,1.68684150,0.03359458,0.10058091,0.46214554,0.56861352,0.00758008,0.85017923,0.34614823,0.11143644
-5.88594297,1.65637096,0.03261578,0.09632136,0.43153517,0.56926904,0.00728451,0.83215631,0.33218618,0.11142742
-5.87993997,1.62963051,0.03156781,0.09223194,0.40310053,0.57129523,0.00697323,0.81616709,0.31906185,0.11174092
-5.87393697,1.60628930,0.03046660,0.08835930,0.37696311,0.57444973,0.00664855,0.80197946,0.30679299,0.11232819
-5.86793397,1.58599485,0.02932989,0.08475261,0.35323587,0.57847259,0.00631341,0.78934744,0.29539338,0.11313967
-5.86193097,1.56838875,0.02817666,0.08146300,0.33202563,0.58309430,0.00597125,0.77802183,0.28487561,0.11412655
-5.85592796,1.55312132,0.02702632,0.07854302,0.31343441,0.58804397,0.00562586,0.76776023,0.27525354,0.11524229
-5.84992496,1.53986468,0.02589809,0.07604572,0.29755999,0.59305740,0.00528128,0.75833619,0.26654440,0.11644394
-5.84392196,1.52832420,0.02481018,0.07402383,0.28449563,0.59788475,0.00494161,0.74954723,0.25877027,0.11769332
-5.83791896,1.51824780,0.02377913,0.07252867,0.27432898,0.60229749,0.00461090,0.74122154,0.25195923,0.11895791
-5.83191596,1.50943307,0.02281917,0.07160925,0.26714051,0.60609460,0.00429300,0.73322313,0.24614580,0.12021161
-5.82591296,1.50173206,0.02194171,0.07131122,0.26300129,0.60910755,0.00399141,0.72545529,0.24137102,0.12143508
-5.81990995,1.49505366,0.02115493,0.07167603,0.26197045,0.61120427,0.00370925,0.71786247,0.23768184,0.12261599
-5.81390695,1.48936373,0.02046353,0.07274006,0.26409245,0.61229162,0.00344911,0.71043029,0.23513006,0.12374887
-5.80790395,1.48468281,0.01986859,0.07453402,0.26939406,0.61231675,0.00321304,0.70318399,0.23377083,0.12483479
-5.80190095,1.48108196,0.01936771,0.07708235,0.27788139,0.61126701,0.00300251,0.69618526,0.23366053,0.12588081
-5.79589795,1.47867651,0.01895511,0.08040278,0.28953689,0.60916874,0.00281843,0.68952760,0.23485444,0.12689919
-5.78989495,1.47761839,0.01862205,0.08450611,0.30431645,0.60608487,0.00266112,0.68333052,0.23740390,0.12790654
-5.78389195,1.47808712,0.01835726,0.08939597,0.32214676,0.60211169,0.00253041,0.67773271,0.24135333,0.12892277
-5.77788894,1.48027993,0.01814747,0.09506879,0.34292285,0.59737471,0.00242565,0.67288455,0.24673709,0.12997000
-5.77188594,1.48440143,0.01797808,0.10151384,0.36650612,0.59202403,0.00234580,0.66894017,0.25357624,0.13107149
-5.76588294,1.49065316,0.01783380,0.10871337,0.39272279,0.58622934,0.00228949,0.66604945,0.26187552,0.13225054
-5.75987994,1.49922360,0.01769930,0.11664281,0.42136305,0.58017475,0.00225509,0.66435037,0.27162058,0.13352947
-5.75387694,1.51027890,0.01755984,0.12527109,0.45218097,0.57405360,0.00224082,0.66396179,0.28277559,0.13492876
