energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,0.08513522,0.08350817,0.03400572,0.00019089,0.04663248,0.00600310,0.00664018
-5.99399700,0.06861067,0.06731998,0.02740983,0.00015396,0.03758604,0.00484000,0.00534827
-5.98799400,0.05490199,0.05388347,0.02193640,0.00012328,0.03007954,0.00387440,0.00427753
-5.98199100,0.04362070,0.04282133,0.01743108,0.00009800,0.02390109,0.00307928,0.00339712
-5.97598799,0.03441124,0.03378739,0.01375242,0.00007735,0.01885653,0.00242985,0.00267889
-5.96998499,0.02695297,0.02646893,0.01077274,0.00006061,0.01477065,0.00190367,0.00209759
-5.96398199,0.02096079,0.02058748,0.00837844,0.00004715,0.01148757,0.00148076,0.00163079
-5.95797899,0.01618454,0.01589838,0.00646974,0.00003642,0.00887043,0.00114356,0.00125888
-5.95197599,0.01240743,0.01218944,0.00496015,0.00002793,0.00680059,0.00087682,0.00096488
-5.94597299,0.00944386,0.00927885,0.00377560,0.00002126,0.00517645,0.00066748,0.00073428
-5.93996998,0.00713676,0.00701267,0.00285337,0.00001607,0.00391201,0.00050448,0.00055481
-5.93396698,0.00535470,0.00526199,0.00214096,0.00001206,0.00293526,0.00037855,0.00041621
-5.92796398,0.00398886,0.00392006,0.00159492,0.00000899,0.00218662,0.00028202,0.00031001
-5.92196098,0.00295014,0.00289942,0.00117963,0.00000665,0.00161725,0.00020860,0.00022926
-5.91595798,0.00216628,0.00212914,0.00086622,0.00000488,0.00118757,0.00015318,0.00016833
-5.90995498,0.00157929,0.00155228,0.00063152,0.00000356,0.00086579,0.00011168,0.00012271
-5.90395198,0.00114311,0.00112360,0.00045711,0.00000258,0.00062668,0.00008084,0.00008881
-5.89794897,0.00082146,0.00080747,0.00032850,0.00000185,0.00045035,0.00005810,0.00006382
-5.89194597,0.00058609,0.00057612,0.00023437,0.00000132,0.00032131,0.00004145,0.00004553
-5.88594297,0.00041516,0.00040810,0.00016602,0.00000094,0.00022761,0.00002936,0.00003225
-5.87993997,0.00029197,0.00028701,0.00011676,0.00000066,0.00016007,0.00002065,0.00002268
-5.87393697,0.00020386,0.00020040,0.00008153,0.00000046,0.00011177,0.00001442,0.00001583
-5.86793397,0.00014132,0.00013893,0.00005652,0.00000032,0.00007748,0.00001000,0.00001098
-5.86193097,0.00009727,0.00009562,0.00003890,0.00000022,0.00005333,0.00000688,0.00000756
-5.85592796,0.00006647,0.00006534,0.00002659,0.00000015,0.00003644,0.00000470,0.00000516
