energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,8.19118409,0.02460170,1.28429892,1.11506310,0.35990609,3.59193781,1.75403332,0.22188708,3.25465243
-5.99399700,8.19850351,0.02518281,1.26539205,1.09301418,0.36327914,3.51427636,1.75860449,0.22964271,3.27030194
-5.98799400,8.20093338,0.02568152,1.24637118,1.07141511,0.36634942,3.43556517,1.76290463,0.23678190,3.28321858
-5.98199100,8.19619438,0.02608695,1.22705137,1.05031664,0.36896020,3.35590152,1.76642828,0.24314600,3.29233650
-5.97598799,8.18208650,0.02639020,1.20725961,1.02975759,0.37096059,3.27540142,1.76868503,0.24858650,3.29661744
-5.96998499,8.15657512,0.02658460,1.18684211,1.00976815,0.37221098,3.19420757,1.76921592,0.25296979,3.29509255
-5.96398199,8.11786892,0.02666584,1.16567042,0.99037267,0.37258793,3.11249509,1.76760841,0.25618147,3.28690078
-5.95797899,8.06448641,0.02663208,1.14364635,0.97159174,0.37198840,3.03047455,1.76350915,0.25813005,3.27132243
-5.95197599,7.99530847,0.02648387,1.12070519,0.95344358,0.37033322,2.94839219,1.75663417,0.25874996,3.24780642
-5.94597299,7.90961514,0.02622405,1.09681733,0.93594478,0.36756958,2.86652719,1.74677596,0.25800355,3.21599048
-5.93996998,7.80710568,0.02585757,1.07198813,0.91911037,0.36367272,2.78518600,1.73380753,0.25588226,3.17571353
-5.93396698,7.68790177,0.02539119,1.04625620,0.90295345,0.35864649,2.70469411,1.71768322,0.25240671,3.12702017
-5.92796398,7.55253462,0.02483324,1.01969027,0.88748432,0.35252318,2.62538577,1.69843659,0.24762581,3.07015749
-5.92196098,7.40191755,0.02419320,0.99238474,0.87270945,0.34536237,2.54759217,1.67617560,0.24161502,3.00556453
-5.91595798,7.23730621,0.02348144,0.96445446,0.85863028,0.33724908,2.47162880,1.65107569,0.23447364,2.93385558
-5.90995498,7.06024905,0.02270881,0.93602889,0.84524217,0.32829130,2.39778301,1.62337115,0.22632150,2.85579816
-5.90395198,6.87253113,0.02188636,0.90724612,0.83253361,0.31861703,2.32630227,1.59334533,0.21729504,2.77228720
-5.89794897,6.67611445,0.02102503,0.87824703,0.82048581,0.30837098,2.25738423,1.56132049,0.20754305,2.68431667
-5.89194597,6.47307768,0.02013542,0.84916994,0.80907289,0.29771107,2.19116915,1.52764749,0.19722222,2.59295022
-5.88594297,6.26555830,0.01922759,0.82014612,0.79826268,0.28680485,2.12773525,1.49269601,0.18649270,2.49929213
-5.87993997,6.05569942,0.01831096,0.79129617,0.78801819,0.27582595,2.06709749,1.45684567,0.17551378,2.40445978
-5.87393697,5.84560326,0.01739415,0.76272762,0.77829980,0.26495077,2.00920993,1.42047807,0.16443997,2.30955874
-5.86793397,5.63729250,0.01648505,0.73453367,0.76906800,0.25435527,1.95397162,1.38397016,0.15341751,2.21566110
-5.86193097,5.43268031,0.01559078,0.70679304,0.76028670,0.24421212,1.90123587,1.34768878,0.14258140,2.12378779
-5.85592796,5.23354896,0.01471775,0.67957096,0.75192677,0.23468812,1.85082237,1.31198638,0.13205310,2.03489482
-5.84992496,5.04153665,0.01387177,0.65292092,0.74396976,0.22594193,1.80253165,1.27719772,0.12193881,1.94986367
-5.84392196,4.85813156,0.01305813,0.62688719,0.73641148,0.21812212,1.75616108,1.24363747,0.11232850,1.86949531
-5.83791896,4.68467189,0.01228174,0.60150768,0.72926518,0.21136547,1.71152157,1.21159833,0.10329543,1.79450760
-5.83191596,4.52235043,0.01154722,0.57681700,0.72256418,0.20579551,1.66845424,1.18134964,0.09489628,1.72553526
-5.82591296,4.37222202,0.01085903,0.55284942,0.71636367,0.20152129,1.62684615,1.15313621,0.08717178,1.66313195
-5.81990995,4.23521251,0.01022153,0.52964149,0.71074152,0.19863623,1.58664445,1.12717730,0.08014768,1.60777348
-5.81390695,4.11212795,0.00963907,0.50723420,0.70579800,0.19721721,1.54786831,1.10366569,0.07383602,1.55986173
-5.80790395,4.00366280,0.00911601,0.48567446,0.70165433,0.19732362,1.51061828,1.08276674,0.06823660,1.51972857
-5.80190095,3.91040661,0.00865675,0.46501588,0.69845019,0.19899663,1.47508270,1.06461770,0.06333859,1.48763938
-5.79589795,3.83284869,0.00826569,0.44531884,0.69634005,0.20225846,1.44154132,1.04932722,0.05912204,1.46379578
-5.78989495,3.77138081,0.00794721,0.42664983,0.69548872,0.20711179,1.41036598,1.03697516,0.05555949,1.44833758
-5.78389195,3.72629812,0.00770558,0.40908025,0.69606618,0.21353930,1.38201880,1.02761308,0.05261737,1.44134381
-5.77788894,3.69779890,0.00754489,0.39268470,0.69824194,0.22150342,1.35704813,1.02126525,0.05025730,1.44283308
-5.77188594,3.68598382,0.00746893,0.37753900,0.70217923,0.23094629,1.33608267,1.01793048,0.04843717,1.45276352
-5.76588294,3.69085543,0.00748110,0.36371814,0.70802935,0.24179009,1.31982422,1.01758481,0.04711215,1.47103262
-5.75987994,3.71231873,0.00758426,0.35129422,0.71592635,0.25393770,1.30903930,1.02018493,0.04623543,1.49747742
-5.75387694,3.75018333,0.00778067,0.34033468,0.72598229,0.26727379,1.30455014,1.02567237,0.04575887,1.53187529
-5.74787394,3.80416787,0.00807179,0.33090086,0.73828336,0.28166645,1.30722486,1.03397828,0.04563354,1.57394582
-5.74187094,3.87390654,0.00845828,0.32304701,0.75288690,0.29696922,1.31796708,1.04502845,0.04581010,1.62335376
-5.73586793,3.95895795,0.00893986,0.31681983,0.76981944,0.31302375,1.33770470,1.05874846,0.04623921,1.67971341
-5.72986493,4.05881560,0.00951524,0.31225842,0.78907575,0.32966280,1.36737750,1.07506844,0.04687187,1.74259414
-5.72386193,4.17291927,0.01018211,0.30939468,0.81061879,0.34671373,1.40792313,1.09392711,0.04765974,1.81152695
-5.71785893,4.30066640,0.01093708,0.30825395,0.83438058,0.36400220,1.46026099,1.11527475,0.04855555,1.88601178
-5.71185593,4.44142203,0.01177570,0.30885588,0.86026354,0.38135609,1.52527346,1.13907471,0.04951347,1.96552493
-5.70585293,4.59452613,0.01269246,0.31121507,0.88814238,0.39860936,1.60378402,1.16530307,0.05048960,2.04952615
-5.69984992,4.75929693,0.01368088,0.31534166,0.91786611,0.41560574,1.69653184,1.19394627,0.05144241,2.13746480
-5.69384692,4.93502909,0.01473347,0.32124127,0.94925998,0.43220204,1.80414290,1.22499665,0.05233331,2.22878438
-5.68784392,5.12098594,0.01584191,0.32891443,0.98212719,0.44827082,1.92709760,1.25844572,0.05312711,2.32292507
