energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.30272843,0.06112994,0.13377306,0.46668328,0.25696127,0.03118716,0.73158643,0.73727517,0.54442547
-5.99399700,2.33463193,0.06058175,0.13915232,0.47566233,0.26461874,0.03069551,0.74191413,0.75480620,0.54871374
-5.98799400,2.36490890,0.05995578,0.14418170,0.48413403,0.27272205,0.03032067,0.75198575,0.77061175,0.55227244
-5.98199100,2.39370395,0.05926859,0.14880696,0.49202925,0.28135873,0.03009453,0.76186951,0.78456214,0.55511041
-5.97598799,2.42117792,0.05853730,0.15297704,0.49929193,0.29061623,0.03004607,0.77164206,0.79655088,0.55724135
-5.96998499,2.44749611,0.05777930,0.15664486,0.50587900,0.30057894,0.03020039,0.78138408,0.80649531,0.55868191
-5.96398199,2.47281713,0.05701189,0.15976798,0.51176002,0.31132486,0.03057769,0.79117576,0.81433672,0.55945023
-5.95797899,2.49728245,0.05625212,0.16230922,0.51691655,0.32292216,0.03119248,0.80109225,0.82004022,0.55956483
-5.95197599,2.52100707,0.05551651,0.16423724,0.52134127,0.33542553,0.03205281,0.81119921,0.82359413,0.55904391
-5.94597299,2.54407134,0.05482096,0.16552703,0.52503696,0.34887260,0.03315978,0.82154869,0.82500909,0.55790508
-5.93996998,2.56651419,0.05418061,0.16616034,0.52801528,0.36328037,0.03450720,0.83217514,0.82431683,0.55616524
-5.93396698,2.58832775,0.05360966,0.16612602,0.53029536,0.37864187,0.03608145,0.84309207,0.82156874,0.55384088
-5.92796398,2.60945348,0.05312122,0.16542029,0.53190233,0.39492329,0.03786159,0.85428908,0.81683410,0.55094837
-5.92196098,2.62977977,0.05272715,0.16404690,0.53286571,0.41206144,0.03981966,0.86572956,0.81019826,0.54750433
-5.91595798,2.64914114,0.05243777,0.16201722,0.53321770,0.42996208,0.04192123,0.87734916,0.80176049,0.54352602
-5.90995498,2.66731884,0.05226163,0.15935017,0.53299156,0.44849888,0.04412617,0.88905493,0.79163180,0.53903152
-5.90395198,2.68404317,0.05220513,0.15607210,0.53221984,0.46751341,0.04638957,0.90072545,0.77993263,0.53403983
-5.89794897,2.69899706,0.05227222,0.15221646,0.53093285,0.48681613,0.04866295,0.91221169,0.76679044,0.52857073
-5.89194597,2.71182137,0.05246397,0.14782337,0.52915714,0.50618844,0.05089544,0.92333893,0.75233729,0.52264444
