energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.93934156,0.00435446,0.73441524,0.52123346,0.18403195,2.27658407,1.10627163,0.02094812,1.28128987
-5.99399700,3.86539497,0.00455343,0.71612012,0.51165635,0.18383022,2.24314710,1.07964903,0.02074280,1.26545730
-5.98799400,3.79381324,0.00475026,0.70008993,0.50183370,0.18330298,2.20240652,1.05812433,0.02051195,1.24805860
-5.98199100,3.72628124,0.00494413,0.68695667,0.49174935,0.18250149,2.15490281,1.04271929,0.02026223,1.22927865
-5.97598799,3.66470236,0.00513500,0.67735246,0.48143724,0.18149679,2.10137532,1.03444823,0.02000305,1.20942510
-5.96998499,3.61114134,0.00532368,0.67189342,0.47097986,0.18037670,2.04274035,1.03429028,0.01974633,1.18891608
-5.96398199,3.56775541,0.00551185,0.67116191,0.46050473,0.17924204,1.98006272,1.04315922,0.01950618,1.16826328
-5.95797899,3.53671593,0.00570197,0.67568775,0.45017897,0.17820228,1.91452170,1.06187156,0.01929844,1.14805100
-5.95197599,3.52012298,0.00589724,0.68592861,0.44020234,0.17737066,1.84737300,1.09111355,0.01914024,1.12891215
-5.94597299,3.51991603,0.00610145,0.70225038,0.43079883,0.17685919,1.77990795,1.13140818,0.01904944,1.11150198
-5.93996998,3.53778394,0.00631888,0.72490800,0.42220742,0.17677355,1.71341181,1.18308312,0.01904410,1.09647092
-5.93396698,3.57507818,0.00655405,0.75402756,0.41467212,0.17720819,1.64912251,1.24624110,0.01914198,1.08443741
-5.92796398,3.63273292,0.00681153,0.78959058,0.40843189,0.17824183,1.58819154,1.32073399,0.01935997,1.07596199
-5.92196098,3.71119587,0.00709573,0.83142122,0.40371073,0.17993360,1.53164849,1.40614214,0.01971368,1.07152369
-5.91595798,3.81037367,0.00741062,0.87917737,0.40070840,0.18231983,1.48037047,1.50176040,0.02021700,1.07149985
-5.90995498,3.92959494,0.00775955,0.93234643,0.39959218,0.18541193,1.43505761,1.60659227,0.02088183,1.07615008
-5.90395198,4.06759405,0.00814496,0.99024637,0.40048989,0.18919515,1.39621548,1.71935342,0.02171780,1.08560528
-5.89794897,4.22251742,0.00856825,1.05203286,0.40348464,0.19362852,1.36414512,1.83848537,0.02273219,1.09986220
-5.89194597,4.39195378,0.00902962,1.11671250,0.40861136,0.19864595,1.33894093,1.96218004,0.02392992,1.11878372
-5.88594297,4.57298837,0.00952792,1.18316244,0.41585535,0.20415838,1.32049648,2.08841510,0.02531365,1.14210507
