energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,0.78340877,0.01432340,0.00945212,0.30901975,0.24755380,0.20555624,0.04494577,0.00546454,0.50800069
-5.99399700,0.77368069,0.01480365,0.00827039,0.29947277,0.25188300,0.20139770,0.04172104,0.00548081,0.50146375
-5.98799400,0.77117122,0.01533030,0.00726331,0.29397162,0.25729966,0.19952045,0.03916383,0.00551785,0.49998466
-5.98199100,0.77540469,0.01589090,0.00642233,0.29241674,0.26358757,0.19985114,0.03725583,0.00556752,0.50329589
-5.97598799,0.78585244,0.01647270,0.00573771,0.29467055,0.27052656,0.20229205,0.03597429,0.00562210,0.51109062
-5.96998499,0.80195269,0.01706301,0.00519888,0.30056397,0.27789924,0.20672526,0.03529363,0.00567437,0.52303467
-5.96398199,0.82312803,0.01764957,0.00479486,0.30990188,0.28549702,0.21301625,0.03518680,0.00571787,0.53877694
-5.95797899,0.84880003,0.01822077,0.00451452,0.32246761,0.29312530,0.22101693,0.03562650,0.00574698,0.55795795
-5.95197599,0.87840081,0.01876592,0.00434685,0.33802629,0.30060768,0.23056805,0.03658609,0.00575700,0.58021661
-5.94597299,0.91138145,0.01927542,0.00428114,0.35632727,0.30778905,0.24150093,0.03804033,0.00574428,0.60519499
-5.93996998,0.94721734,0.01974085,0.00430712,0.37710576,0.31453751,0.25363880,0.03996582,0.00570624,0.63254135
-5.93396698,0.98541089,0.02015499,0.00441503,0.40008388,0.32074527,0.26679767,0.04234122,0.00564134,0.66191171
-5.92796398,1.02549197,0.02051187,0.00459570,0.42497146,0.32632841,0.28078711,0.04514732,0.00554910,0.69297013
-5.92196098,1.06701667,0.02080668,0.00484051,0.45146688,0.33122581,0.29541090,0.04836681,0.00543003,0.72538829
-5.91595798,1.10956483,0.02103567,0.00514145,0.47925807,0.33539730,0.31046784,0.05198399,0.00528555,0.75884450
-5.90995498,1.15273718,0.02119607,0.00549107,0.50802408,0.33882131,0.32575291,0.05598431,0.00511783,0.79302278
-5.90395198,1.19615231,0.02128600,0.00588243,0.53743726,0.34149216,0.34105877,0.06035380,0.00492975,0.82761210
-5.89794897,1.23944423,0.02130427,0.00630914,0.56716622,0.34341725,0.35617773,0.06507840,0.00472469,0.86230623
-5.89194597,1.28226064,0.02125039,0.00676530,0.59687945,0.34461427,0.37090424,0.07014334,0.00450639,0.89680426
-5.88594297,1.32426240,0.02112439,0.00724549,0.62624979,0.34510870,0.38503785,0.07553239,0.00427885,0.93081200
-5.87993997,1.36512406,0.02092685,0.00774474,0.65495938,0.34493167,0.39838650,0.08122719,0.00404614,0.96404415
-5.87393697,1.40453570,0.02065883,0.00825862,0.68270501,0.34411825,0.41077007,0.08720663,0.00381227,0.99622729
-5.86793397,1.44220582,0.02032185,0.00878315,0.70920367,0.34270626,0.42202408,0.09344630,0.00358111,1.02710351
-5.86193097,1.47786516,0.01991797,0.00931492,0.73419804,0.34073562,0.43200322,0.09991805,0.00335627,1.05643443
-5.85592796,1.51127128,0.01944979,0.00985107,0.75746162,0.33824813,0.44058465,0.10658972,0.00314103,1.08400564
-5.84992496,1.54221355,0.01892050,0.01038933,0.77880337,0.33528778,0.44767091,0.11342511,0.00293830,1.10963102
-5.84392196,1.57051831,0.01833392,0.01092814,0.79807158,0.33190127,0.45319211,0.12038406,0.00275056,1.13315701
-5.83791896,1.59605407,0.01769454,0.01146662,0.81515694,0.32813891,0.45710755,0.12742295,0.00257992,1.15446658
-5.83191596,1.61873637,0.01700753,0.01200472,0.82999456,0.32405557,0.45940647,0.13449530,0.00242806,1.17348272
-5.82591296,1.63853225,0.01627873,0.01254319,0.84256506,0.31971167,0.46010805,0.14155279,0.00229632,1.19017134
-5.81990995,1.65546410,0.01551463,0.01308375,0.85289460,0.31517422,0.45926054,0.14854644,0.00218573,1.20454361
-5.81390695,1.66961278,0.01472225,0.01362904,0.86105401,0.31051757,0.45693970,0.15542812,0.00209707,1.21665751
-5.80790395,1.68111993,0.01390911,0.01418274,0.86715697,0.30582411,0.45324659,0.16215217,0.00203091,1.22661870
-5.80190095,1.69018923,0.01308303,0.01474960,0.87135739,0.30118454,0.44830476,0.16867719,0.00198772,1.23458054
-5.79589795,1.69708658,0.01225204,0.01533537,0.87384598,0.29669801,0.44225703,0.17496780,0.00196789,1.24074326
-5.78989495,1.70213895,0.01142417,0.01594688,0.87484619,0.29247181,0.43526201,0.18099639,0.00197181,1.24535216
-5.78389195,1.70573176,0.01060732,0.01659191,0.87460944,0.28862078,0.42749037,0.18674469,0.00199992,1.24869474
-5.77788894,1.70830461,0.00980903,0.01727913,0.87340972,0.28526639,0.41912101,0.19220494,0.00205271,1.25109670
-5.77188594,1.71034513,0.00903639,0.01801789,0.87153763,0.28253546,0.41033729,0.19738082,0.00213079,1.25291671
-5.76588294,1.71238099,0.00829583,0.01881810,0.86929377,0.28055865,0.40132327,0.20228778,0.00223484,1.25453977
-5.75987994,1.71496980,0.00759302,0.01968990,0.86698171,0.27946860,0.39226007,0.20695286,0.00236565,1.25636936
-5.75387694,1.71868723,0.00693277,0.02064339,0.86490042,0.27939795,0.38332239,0.21141390,0.00252405,1.25881830
-5.74787394,1.72411333,0.00631899,0.02168830,0.86333642,0.28047716,0.37467520,0.21571822,0.00271089,1.26229848
-5.74187094,1.73181752,0.00575459,0.02283354,0.86255581,0.28283230,0.36647067,0.21992067,0.00292696,1.26720983
-5.73586793,1.74234279,0.00524155,0.02408688,0.86279641,0.28658277,0.35884535,0.22408129,0.00317297,1.27392880
-5.72986493,1.75618962,0.00478089,0.02545445,0.86426025,0.29183923,0.35191767,0.22826258,0.00344944,1.28279685
-5.72386193,1.77380050,0.00437275,0.02694045,0.86710687,0.29870169,0.34578582,0.23252654,0.00375663,1.29410960
-5.71785893,1.79554579,0.00401642,0.02854669,0.87144774,0.30725784,0.34052605,0.23693175,0.00409450,1.30810702
-5.71185593,1.82171178,0.00371051,0.03027235,0.87734204,0.31758180,0.33619151,0.24153045,0.00446261,1.32496547
-5.70585293,1.85249163,0.00345296,0.03211374,0.88479439,0.32973335,0.33281173,0.24636603,0.00486011,1.34479195
-5.69984992,1.88797993,0.00324124,0.03406414,0.89375450,0.34375745,0.33039265,0.25147087,0.00528563,1.36762117
-5.69384692,1.92817116,0.00307238,0.03611381,0.90411908,0.35968443,0.32891749,0.25686481,0.00573734,1.39341547
-5.68784392,1.97296236,0.00294316,0.03825001,0.91573602,0.37753043,0.32834822,0.26255423,0.00621286,1.42206802
-5.68184092,2.02215979,0.00285018,0.04045723,0.92841071,0.39729826,0.32862780,0.26853186,0.00670932,1.45340895
-5.67583792,2.07548931,0.00278996,0.04271750,0.94191422,0.41897848,0.32968300,0.27477718,0.00722340,1.48721412
-5.66983492,2.13260967,0.00275908,0.04501073,0.95599306,0.44255056,0.33142775,0.28125760,0.00775130,1.52321614
