energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,5.27626655,0.01177553,0.82658627,1.01407839,1.73991801,0.02182481,2.38114455,0.69478019,0.50621369
-5.99399700,5.16041314,0.01114094,0.79910376,0.99382859,1.70024885,0.02121528,2.34200976,0.68264263,0.49709118
-5.98799400,5.02045681,0.01049571,0.76828714,0.96932987,1.65232697,0.02048596,2.29138933,0.66760654,0.48560328
-5.98199100,4.85868176,0.00984451,0.73467283,0.94105589,1.59691007,0.01965116,2.23009407,0.64994031,0.47194432
-5.97598799,4.67780152,0.00919223,0.69884138,0.90956953,1.53489311,0.01872693,2.15915855,0.62997471,0.45635450
-5.96998499,4.48088749,0.00854384,0.66140219,0.87550848,1.46728434,0.01773062,2.07981410,0.60809521,0.43911364
-5.96398199,4.27128738,0.00790440,0.62297782,0.83956831,1.39517820,0.01668029,1.99345581,0.58473242,0.42053380
-5.95797899,4.05253658,0.00727893,0.58418827,0.80248388,1.31972647,0.01559423,1.90160484,0.56035094,0.40095093
-5.95197599,3.82826628,0.00667236,0.54563600,0.76500957,1.24210854,0.01449044,1.80586765,0.53543703,0.38071595
-5.94597299,3.60211135,0.00608945,0.50789199,0.72789918,1.16350212,0.01338620,1.70789361,0.51048570,0.36018557
-5.93996998,3.37762165,0.00553471,0.47148337,0.69188618,1.08505529,0.01229764,1.60933281,0.48598760,0.33971333
-5.93396698,3.15817950,0.00501238,0.43688287,0.65766510,1.00786086,0.01123942,1.51179539,0.46241615,0.31964086
-5.92796398,2.94692615,0.00452635,0.40450046,0.62587452,0.93293385,0.01022446,1.41681388,0.44021558,0.30028999
-5.92196098,2.74669902,0.00408016,0.37467728,0.59708233,0.86119258,0.00926380,1.32580970,0.41979005,0.28195576
-5.91595798,2.55998144,0.00367696,0.34768178,0.57177363,0.79344387,0.00836647,1.24006478,0.40149439,0.26490054
-5.90995498,2.38886581,0.00331956,0.32370832,0.55034165,0.73037243,0.00753947,1.16069886,0.38562665,0.24934942
-5.90395198,2.23503026,0.00301038,0.30287787,0.53308184,0.67253462,0.00678784,1.08865302,0.37242271,0.23548697
-5.89794897,2.09972893,0.00275153,0.28524078,0.52018912,0.62035623,0.00611475,1.02467937,0.36205301,0.22345530
-5.89194597,1.98379482,0.00254480,0.27078125,0.51175850,0.57413412,0.00552167,0.96933690,0.35462147,0.21335350
-5.88594297,1.88765433,0.00239170,0.25942344,0.50778849,0.53404118,0.00500853,0.92299302,0.35016652,0.20523834
-5.87993997,1.81135178,0.00229347,0.25103869,0.50818748,0.50013420,0.00457398,0.88583027,0.34866412,0.19912602
-5.87393697,1.75458240,0.00225111,0.24545364,0.51278228,0.47236399,0.00421562,0.85785752,0.35003251,0.19499500
-5.86793397,1.71673163,0.00226536,0.24245897,0.52132877,0.45058723,0.00393017,0.83892473,0.35413844,0.19278960
-5.86193097,1.69691905,0.00233669,0.24181828,0.53352382,0.43457942,0.00371374,0.82874055,0.36080462,0.19242417
-5.85592796,1.69404476,0.00246524,0.24327697,0.54901819,0.42404830,0.00356204,0.82689174,0.36981790,0.19378780
-5.84992496,1.70683644,0.00265080,0.24657074,0.56742969,0.41864744,0.00347051,0.83286362,0.38093798,0.19674918
-5.84392196,1.73389543,0.00289272,0.25143346,0.58835617,0.41798924,0.00343450,0.84606072,0.39390612,0.20116156
-5.83791896,1.77374022,0.00318982,0.25760424,0.61138778,0.42165722,0.00344939,0.86582685,0.40845366,0.20686754
-5.83191596,1.82484613,0.00354032,0.26483340,0.63611806,0.42921716,0.00351064,0.89146406,0.42430989,0.21370366
-5.82591296,1.88568027,0.00394170,0.27288745,0.66215350,0.44022693,0.00361386,0.92224991,0.44120908,0.22150458
