energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.75142848,0.13890761,0.15724633,0.03718758,0.03483463,0.00696844,0.30635110,0.30680799,0.06480271
-5.99399700,0.75248270,0.13875958,0.15799008,0.03796504,0.03468325,0.00666310,0.30683973,0.30992335,0.06475308
-5.98799400,0.75131531,0.13839658,0.15808572,0.03854262,0.03442266,0.00636505,0.30656723,0.31194954,0.06470385
-5.98199100,0.74786390,0.13787833,0.15751651,0.03891534,0.03406397,0.00607144,0.30551311,0.31287512,0.06462630
-5.97598799,0.74216631,0.13729165,0.15628518,0.03908192,0.03362475,0.00578044,0.30369905,0.31272609,0.06449964
-5.96998499,0.73435844,0.13674832,0.15441333,0.03904480,0.03312854,0.00549132,0.30118821,0.31156475,0.06431150
-5.96398199,0.72466890,0.13638210,0.15194012,0.03880993,0.03260421,0.00520443,0.29808329,0.30948729,0.06405812
-5.95797899,0.71341076,0.13634497,0.14892059,0.03838657,0.03208512,0.00492118,0.29452326,0.30662048,0.06374429
-5.95197599,0.70097106,0.13680264,0.14542343,0.03778697,0.03160814,0.00464401,0.29067914,0.30311745,0.06338302
-5.94597299,0.68779853,0.13792963,0.14152854,0.03702607,0.03121257,0.00437628,0.28674899,0.29915302,0.06299509
-5.93996998,0.67439029,0.13990392,0.13732438,0.03612106,0.03093903,0.00412218,0.28295239,0.29491847,0.06260833
-5.93396698,0.66127785,0.14290152,0.13290529,0.03509107,0.03082829,0.00388664,0.27952454,0.29061631,0.06225683
-5.92796398,0.64901313,0.14709093,0.12836885,0.03395670,0.03092012,0.00367519,0.27671023,0.28645491,0.06198005
-5.92196098,0.63815480,0.15262786,0.12381336,0.03273976,0.03125221,0.00349390,0.27475799,0.28264341,0.06182185
-5.91595798,0.62925531,0.15965018,0.11933562,0.03146282,0.03185908,0.00334923,0.27391422,0.27938682,0.06182942
