energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.81202041,0.00097440,1.16347834,0.00831594,0.17480732,1.70724232,0.96433711
-5.99399700,1.83719605,0.00088052,1.18710704,0.00805495,0.17353869,1.75162379,0.98311898
-5.98799400,1.86687046,0.00081117,1.21215519,0.00786212,0.17352054,1.80013559,1.00350765
-5.98199100,1.90043879,0.00076483,1.23801864,0.00773654,0.17484541,1.85188785,1.02506992
-5.97598799,1.93732703,0.00074007,1.26411648,0.00767800,0.17760814,1.90602351,1.04738238
-5.96998499,1.97700022,0.00073562,1.28990086,0.00768697,0.18190347,1.96173168,1.07003796
-5.96398199,2.01896733,0.00075032,1.31486499,0.00776460,0.18782307,2.01825733,1.09265129
-5.95797899,2.06278239,0.00078315,1.33854917,0.00791259,0.19545182,2.07490735,1.11486283
-5.95197599,2.10804211,0.00083319,1.36054481,0.00813301,0.20486364,2.13105288,1.13634177
-5.94597299,2.15438031,0.00089957,1.38049653,0.00842812,0.21611680,2.18612826,1.15678753
-5.93996998,2.20145943,0.00098146,1.39810228,0.00880004,0.22924898,2.23962708,1.17593025
-5.93396698,2.24895988,0.00107801,1.41311200,0.00925049,0.24427222,2.29109570,1.19353018
-5.92796398,2.29656794,0.00118829,1.42532487,0.00978048,0.26116797,2.34012510,1.20937634
-5.92196098,2.34396322,0.00131125,1.43458549,0.01038994,0.27988256,2.38634174,1.22328467
-5.91595798,2.39080654,0.00144568,1.44077966,0.01107745,0.30032339,2.42939833,1.23509586
-5.90995498,2.43672934,0.00159019,1.44382974,0.01183991,0.32235600,2.46896521,1.24467332
-5.90395198,2.48132553,0.00174315,1.44369029,0.01267235,0.34580249,2.50472325,1.25190139
-5.89794897,2.52414673,0.00190271,1.44034422,0.01356769,0.37044139,2.53635887,1.25668412
-5.89194597,2.56470148,0.00206678,1.43379963,0.01451672,0.39600927,2.56356162,1.25894471
-5.88594297,2.60245900,0.00223306,1.42408766,0.01550806,0.42220423,2.58602493,1.25862579
-5.87993997,2.63685773,0.00239906,1.41126137,0.01652823,0.44869121,2.60344991,1.25569048
-5.87393697,2.66731849,0.00256219,1.39539569,0.01756194,0.47510932,2.61555235,1.25012428
-5.86793397,2.69326205,0.00271977,1.37658832,0.01859232,0.50108078,2.62207260,1.24193756
-5.86193097,2.71413037,0.00286911,1.35496143,0.01960137,0.52622147,2.62278797,1.23116859
-5.85592796,2.72941077,0.00300766,1.33066400,0.02057046,0.55015254,2.61752695,1.21788674
-5.84992496,2.73866178,0.00313302,1.30387434,0.02148088,0.57251293,2.60618471,1.20219581
-5.84392196,2.74153966,0.00324309,1.27480273,0.02231449,0.59297202,2.58873889,1.18423696
-5.83791896,2.73782400,0.00333613,1.24369366,0.02305430,0.61124212,2.56526499,1.16419124
-5.83191596,2.72744136,0.00341087,1.21082756,0.02368514,0.62709014,2.53595041,1.14228132
-5.82591296,2.71048537,0.00346660,1.17652155,0.02419422,0.64034794,2.50110630,1.11877221
-5.81990995,2.68723228,0.00350320,1.14112921,0.02457168,0.65092079,2.46117658,1.09397096
-5.81390695,2.65815096,0.00352123,1.10503898,0.02481100,0.65879367,2.41674333,1.06822497
-5.80790395,2.62390632,0.00352194,1.06867126,0.02490932,0.66403484,2.36852803,1.04191910
-5.80190095,2.58535596,0.00350730,1.03247398,0.02486762,0.66679665,2.31738842,1.01547129
-5.79589795,2.54353944,0.00348001,0.99691678,0.02469076,0.66731329,2.26431047,0.98932688
-5.78989495,2.49966043,0.00344342,0.96248377,0.02438738,0.66589562,2.21039569,0.96395167
-5.78389195,2.45506199,0.00340155,0.92966504,0.02396962,0.66292308,2.15684368,0.93982368
-5.77788894,2.41119561,0.00335900,0.89894705,0.02345278,0.65883311,2.10493026,0.91742397
-5.77188594,2.36958485,0.00332087,0.87080215,0.02285478,0.65410824,2.05598173,0.89722653
-5.76588294,2.33178481,0.00329266,0.84567752,0.02219556,0.64926145,2.01134577,0.87968753
-5.75987994,2.29933869,0.00328020,0.82398382,0.02149644,0.64482028,1.97235981,0.86523423
-5.75387694,2.27373282,0.00328948,0.80608388,0.02077939,0.64131029,1.94031775,0.85425383
-5.74787394,2.25635196,0.00332659,0.79228188,0.02006631,0.63923845,1.91643609,0.84708256
-5.74187094,2.24843620,0.00339755,0.78281335,0.01937835,0.63907709,1.90182045,0.84399543
-5.73586793,2.25104129,0.00350820,0.77783638,0.01873522,0.64124901,1.89743377,0.84519704
-5.72986493,2.26500370,0.00366406,0.77742448,0.01815465,0.64611426,1.90406713,0.85081369
-5.72386193,2.29091192,0.00387025,0.78156142,0.01765185,0.65395907,1.92231440,0.86088743
-5.71785893,2.32908501,0.00413130,0.79013829,0.01723919,0.66498731,1.95255170,0.87537200
-5.71185593,2.37955941,0.00445108,0.80295312,0.01692586,0.67931478,1.99492246,0.89413129
-5.70585293,2.44208449,0.00483271,0.81971310,0.01671777,0.69696650,2.04932880,0.91694030
