energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.78615546,0.03028004,0.12649836,0.02323442,0.70292732,0.24324010,0.18706812,0.56708732,0.17147484
-5.99399700,1.79637013,0.03058743,0.12743917,0.02385509,0.70790736,0.24243910,0.18896592,0.56694720,0.17211226
-5.98799400,1.79634872,0.03069480,0.12764407,0.02433441,0.70876134,0.24040354,0.18970638,0.56353404,0.17184071
-5.98199100,1.78611508,0.03060188,0.12710984,0.02466476,0.70549599,0.23716351,0.18927883,0.55694265,0.17066032
-5.97598799,1.76592028,0.03031288,0.12584903,0.02484179,0.69821028,0.23277948,0.18769808,0.54733869,0.16859147
-5.96998499,1.73623948,0.02983636,0.12388972,0.02486458,0.68709429,0.22734133,0.18500430,0.53495520,0.16567463
-5.96398199,1.69776192,0.02918508,0.12127494,0.02473574,0.67242544,0.22096663,0.18126213,0.52008725,0.16196953
-5.95797899,1.65137489,0.02837560,0.11806150,0.02446144,0.65456212,0.21379810,0.17655903,0.50308509,0.15755384
-5.95197599,1.59814197,0.02742779,0.11431850,0.02405118,0.63393502,0.20600049,0.17100284,0.48434593,0.15252134
-5.94597299,1.53927680,0.02636431,0.11012548,0.02351758,0.61103652,0.19775695,0.16471887,0.46430484,0.14697971
-5.93996998,1.47611295,0.02520985,0.10557026,0.02287598,0.58640857,0.18926512,0.15784636,0.44342493,0.14104796
-5.93396698,1.41007139,0.02399050,0.10074668,0.02214399,0.56062936,0.18073289,0.15053475,0.42218725,0.13485365
-5.92796398,1.34262621,0.02273295,0.09575206,0.02134093,0.53429937,0.17237425,0.14293958,0.40108070,0.12852992
-5.92196098,1.27526999,0.02146375,0.09068483,0.02048722,0.50802720,0.16440499,0.13521845,0.38059205,0.12221247
-5.91595798,1.20947953,0.02020862,0.08564205,0.01960376,0.48241542,0.15703861,0.12752702,0.36119647,0.11603657
-5.90995498,1.14668300,0.01899174,0.08071707,0.01871129,0.45804713,0.15048244,0.12001514,0.34334857,0.11013412
-5.90395198,1.08822912,0.01783517,0.07599748,0.01782975,0.43547321,0.14493386,0.11282340,0.32747419,0.10463083
-5.89794897,1.03535905,0.01675835,0.07156311,0.01697770,0.41520069,0.14057694,0.10607999,0.31396288,0.09964363
-5.89194597,0.98918136,0.01577766,0.06748448,0.01617179,0.39768248,0.13757921,0.09989808,0.30316114,0.09527827
-5.88594297,0.95065055,0.01490615,0.06382143,0.01542630,0.38330840,0.13608884,0.09437362,0.29536649,0.09162722
-5.87993997,0.92054919,0.01415328,0.06062210,0.01475278,0.37239787,0.13623194,0.08958382,0.29082224,0.08876781
-5.87393697,0.89947391,0.01352490,0.05792229,0.01415979,0.36519405,0.13811032,0.08558602,0.28971303,0.08676065
-5.86793397,0.88782522,0.01302322,0.05574509,0.01365275,0.36185969,0.14179938,0.08241720,0.29216112,0.08564846
-5.86193097,0.88580120,0.01264697,0.05410083,0.01323391,0.36247450,0.14734636,0.08009392,0.29822344,0.08545513
-5.85592796,0.89339507,0.01239155,0.05298740,0.01290237,0.36703415,0.15476891,0.07861278,0.30788947,0.08618514
-5.84992496,0.91039649,0.01224935,0.05239074,0.01265431,0.37545081,0.16405400,0.07795132,0.32107990,0.08782337
-5.84392196,0.93639675,0.01221011,0.05228572,0.01248321,0.38755532,0.17515722,0.07806922,0.33764637,0.09033525
-5.83791896,0.97079750,0.01226130,0.05263712,0.01238022,0.40310076,0.18800261,0.07890998,0.35737225,0.09366728
-5.83191596,1.01282331,0.01238859,0.05340086,0.01233454,0.42176765,0.20248287,0.08040274,0.37997455,0.09774795
-5.82591296,1.06153769,0.01257629,0.05452542,0.01233391,0.44317049,0.21846031,0.08246446,0.40510729,0.10248902
-5.81990995,1.11586252,0.01280790,0.05595332,0.01236509,0.46686579,0.23576827,0.08500222,0.43236616,0.10778725
-5.81390695,1.17460081,0.01306650,0.05762271,0.01241435,0.49236135,0.25421335,0.08791571,0.46129481,0.11352648
-5.80790395,1.23646221,0.01333534,0.05946901,0.01246799,0.51912673,0.27357816,0.09109974,0.49139257,0.11958002
-5.80190095,1.30009124,0.01359820,0.06142652,0.01251279,0.54660480,0.29362495,0.09444688,0.52212371,0.12581350
-5.79589795,1.36409734,0.01383984,0.06343005,0.01253650,0.57422401,0.31409964,0.09784999,0.55292807,0.13208784
-5.78989495,1.42708648,0.01404637,0.06541640,0.01252815,0.60141130,0.33473662,0.10120479,0.58323295,0.13826254
-5.78389195,1.48769326,0.01420556,0.06732582,0.01247840,0.62760527,0.35526391,0.10441222,0.61246588,0.14419903
-5.77788894,1.54461287,0.01430711,0.06910321,0.01237979,0.65226918,0.37540870,0.10738063,0.64006805,0.14976408
-5.77188594,1.59663195,0.01434280,0.07069926,0.01222690,0.67490366,0.39490309,0.11002783,0.66550802,0.15483316
-5.76588294,1.64265742,0.01430665,0.07207130,0.01201639,0.69505847,0.41348990,0.11228275,0.68829517,0.15929350
-5.75987994,1.68174230,0.01419492,0.07318400,0.01174704,0.71234320,0.43092827,0.11408685,0.70799256,0.16304702
-5.75387694,1.71310777,0.01400616,0.07400979,0.01141964,0.72643637,0.44699908,0.11539518,0.72422864,0.16601271
-5.74787394,1.73616071,0.01374105,0.07452908,0.01103686,0.73709283,0.46150982,0.11617705,0.73670746,0.16812854
-5.74187094,1.75050601,0.01340230,0.07473026,0.01060302,0.74414900,0.47429892,0.11641631,0.74521698,0.16935287
-5.73586793,1.75595348,0.01299444,0.07460949,0.01012389,0.74752597,0.48523936,0.11611125,0.74963503,0.16966514
-5.72986493,1.75251891,0.01252361,0.07417033,0.00960631,0.74723040,0.49424152,0.11527418,0.74993298,0.16906592
-5.72386193,1.74041960,0.01199725,0.07342310,0.00905797,0.74335300,0.50125513,0.11393060,0.74617663,0.16757635
-5.71785893,1.72006440,0.01142384,0.07238432,0.00848708,0.73606505,0.50627049,0.11211811,0.73852462,0.16523687
-5.71185593,1.69203898,0.01081260,0.07107583,0.00790203,0.72561276,0.50931870,0.10988506,0.72722420,0.16210548
-5.70585293,1.65708683,0.01017320,0.06952403,0.00731116,0.71231008,0.51047120,0.10728903,0.71260470,0.15825545
-5.69984992,1.61608689,0.00951546,0.06775905,0.00672247,0.69653003,0.50983849,0.10439514,0.69506890,0.15377269
-5.69384692,1.57002871,0.00884912,0.06581385,0.00614345,0.67869495,0.50756815,0.10127431,0.67508258,0.14875283
-5.68784392,1.51998618,0.00818356,0.06372348,0.00558085,0.65926608,0.50384234,0.09800149,0.65316275,0.14329828
-5.68184092,1.46709059,0.00752763,0.06152432,0.00504060,0.63873280,0.49887454,0.09465397,0.62986492,0.13751510
-5.67583792,1.41250408,0.00688947,0.05925342,0.00452772,0.61760176,0.49290598,0.09130972,0.60576977,0.13151020
-5.66983492,1.35739414,0.00627640,0.05694789,0.00404628,0.59638635,0.48620142,0.08804588,0.58146968,0.12538863
-5.66383192,1.30290983,0.00569480,0.05464440,0.00359938,0.57559659,0.47904464,0.08493741,0.55755546,0.11925124
-5.65782891,1.25016017,0.00515008,0.05237869,0.00318925,0.55572970,0.47173338,0.08205587,0.53460365,0.11319267
-5.65182591,1.20019509,0.00464663,0.05018522,0.00281724,0.53726147,0.46457395,0.07946839,0.51316457,0.10729982
-5.64582291,1.15398887,0.00418787,0.04809679,0.00248399,0.52063842,0.45787540,0.07723677,0.49375138,0.10165067
-5.63981991,1.11242641,0.00377623,0.04614420,0.00218948,0.50627094,0.45194338,0.07541677,0.47683035,0.09631359
-5.63381691,1.07629191,0.00341324,0.04435598,0.00193320,0.49452716,0.44707365,0.07405750,0.46281238,0.09134692
-5.62781391,1.04626002,0.00309958,0.04275800,0.00171422,0.48572776,0.44354539,0.07320097,0.45204595,0.08679901
-5.62181091,1.02288912,0.00283515,0.04137319,0.00153138,0.48014161,0.44161434,0.07288167,0.44481139,0.08270844
-5.61580790,1.00661660,0.00261916,0.04022120,0.00138338,0.47798209,0.44150602,0.07312635,0.44131667,0.07910443
-5.60980490,0.99775590,0.00245020,0.03931805,0.00126892,0.47940439,0.44340914,0.07395378,0.44169467,0.07600749
-5.60380190,0.99649522,0.00232632,0.03867580,0.00118679,0.48450343,0.44746947,0.07537465,0.44600183,0.07343000
-5.59779890,1.00289787,0.00224512,0.03830221,0.00113598,0.49331280,0.45378432,0.07739151,0.45421840,0.07137697
-5.59179590,1.01690407,0.00220383,0.03820050,0.00111581,0.50580454,0.46239806,0.07999887,0.46625007,0.06984666
-5.58579290,1.03833457,0.00219935,0.03836913,0.00112595,0.52188997,0.47329878,0.08318330,0.48193116,0.06883124
-5.57978989,1.06689580,0.00222836,0.03880169,0.00116654,0.54142155,0.48641640,0.08692373,0.50102921,0.06831732
-5.57378689,1.10218696,0.00228734,0.03948694,0.00123822,0.56419591,0.50162247,0.09119181,0.52325092,0.06828652
-5.56778389,1.14370887,0.00237268,0.04040889,0.00134217,0.58995805,0.51873170,0.09595240,0.54824950,0.06871593
-5.56178089,1.19087479,0.00248074,0.04154722,0.00148015,0.61840666,0.53750547,0.10116421,0.57563308,0.06957853
-5.55577789,1.24302288,0.00260789,0.04287766,0.00165450,0.64920054,0.55765712,0.10678056,0.60497417,0.07084364
-5.54977489,1.29943048,0.00275061,0.04437268,0.00186813,0.68196602,0.57885912,0.11275018,0.63581983,0.07247738
-5.54377189,1.35932954,0.00290557,0.04600229,0.00212449,0.71630505,0.60075168,0.11901819,0.66770234,0.07444309
-5.53776888,1.42192307,0.00306969,0.04773493,0.00242749,0.75180387,0.62295287,0.12552707,0.70015005,0.07670189
-5.53176588,1.48640204,0.00324023,0.04953855,0.00278144,0.78804194,0.64506949,0.13221763,0.73269794,0.07921320
-5.52576288,1.55196203,0.00341488,0.05138163,0.00319092,0.82460064,0.66670860,0.13903001,0.76489780,0.08193532
-5.51975988,1.61781925,0.00359180,0.05323429,0.00366066,0.86107162,0.68748901,0.14590459,0.79632735,0.08482609
-5.51375688,1.68322510,0.00376974,0.05506935,0.00419532,0.89706437,0.70705236,0.15278279,0.82659828,0.08784347
-5.50775388,1.74747889,0.00394807,0.05686324,0.00479935,0.93221271,0.72507334,0.15960779,0.85536277,0.09094617
-5.50175088,1.80993807,0.00412682,0.05859681,0.00547673,0.96617994,0.74126852,0.16632504,0.88231830,0.09409427
-5.49574787,1.87002583,0.00430671,0.06025590,0.00623075,0.99866267,0.75540346,0.17288269,0.90721082,0.09724968
-5.48974487,1.92723568,0.00448916,0.06183174,0.00706376,1.02939299,0.76729795,0.17923176,0.92983592,0.10037666
-5.48374187,1.98113321,0.00467625,0.06332106,0.00797691,1.05813927,0.77682896,0.18532627,0.95003845,0.10344210
-5.47773887,2.03135508,0.00487067,0.06472590,0.00896995,1.08470556,0.78393153,0.19112321,0.96771043,0.10641581
-5.47173587,2.07760552,0.00507563,0.06605325,0.01004098,1.10892983,0.78859735,0.19658245,0.98278772,0.10927065
-5.46573287,2.11965112,0.00529477,0.06731437,0.01118632,1.13068137,0.79087153,0.20166659,0.99524559,0.11198255
-5.45972986,2.15731409,0.00553196,0.06852398,0.01240034,1.14985763,0.79084750,0.20634079,1.00509361,0.11453047
-5.45372686,2.19046495,0.00579119,0.06969921,0.01367544,1.16638082,0.78866064,0.21057276,1.01237016,0.11689629
-5.44772386,2.21901521,0.00607632,0.07085856,0.01500204,1.18019469,0.78448081,0.21433270,1.01713695,0.11906462
-5.44172086,2.24291057,0.00639094,0.07202071,0.01636868,1.19126163,0.77850438,0.21759343,1.01947382,0.12102264
-5.43571786,2.26212524,0.00673808,0.07320346,0.01776218,1.19956056,0.77094606,0.22033059,1.01947404,0.12275990
-5.42971486,2.27665777,0.00712007,0.07442268,0.01916792,1.20508549,0.76203094,0.22252307,1.01724035,0.12426816
-5.42371186,2.28652855,0.00753829,0.07569144,0.02057018,1.20784504,0.75198708,0.22415339,1.01288190,0.12554130
-5.41770885,2.29177913,0.00799302,0.07701935,0.02195250,1.20786285,0.74103899,0.22520834,1.00651193,0.12657522
