energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
1.35967984,5.07291301,1.05982451,0.00000000,3.63202414,0.93012132,3.65073976,0.00000000
1.36568284,5.09315523,1.04786947,0.00000000,3.64515218,0.94262974,3.63166719,0.00000000
1.37168584,5.08680174,1.03193721,0.00000000,3.63938854,0.94943441,3.59538685,0.00000000
1.37768884,5.05376260,1.01210293,0.00000000,3.61480932,0.95041953,3.54216313,0.00000000
1.38369185,4.99450146,0.98850629,0.00000000,3.57190115,0.94559792,3.47254163,0.00000000
1.38969485,4.91004568,0.96135441,0.00000000,3.51156756,0.93511342,3.38734774,0.00000000
1.39569785,4.80198027,0.93092302,0.00000000,3.43512358,0.91923928,3.28767797,0.00000000
1.40170085,4.67242536,0.89755552,0.00000000,3.34427859,0.89837266,3.17488397,0.00000000
1.40770385,4.52399763,0.86165998,0.00000000,3.24110763,0.87302531,3.05054946,0.00000000
1.41370685,4.35975679,0.82370393,0.00000000,3.12801199,0.84381094,2.91646074,0.00000000
1.41970985,4.18313900,0.78420717,0.00000000,3.00767027,0.81142958,2.77457160,0.00000000
1.42571286,3.99787926,0.74373278,0.00000000,2.88298136,0.77664965,2.62696375,0.00000000
1.43171586,3.80792564,0.70287670,0.00000000,2.75700117,0.74028849,2.47580406,0.00000000
1.43771886,3.61734814,0.66225614,0.00000000,2.63287499,0.70319184,2.32330004,0.00000000
1.44372186,3.43024505,0.62249742,0.00000000,2.51376740,0.66621319,2.17165497,0.00000000
1.44972486,3.25064994,0.58422344,0.00000000,2.40279183,0.63019371,2.02302415,0.00000000
1.45572786,3.08244190,0.54804150,0.00000000,2.30294142,0.59594316,1.87947353,0.00000000
1.46173087,2.92926142,0.51453156,0.00000000,2.21702299,0.56422252,1.74294181,0.00000000
1.46773387,2.79443416,0.48423552,0.00000000,2.14759568,0.53572870,1.61520709,0.00000000
1.47373687,2.68090415,0.45764766,0.00000000,2.09691529,0.51108160,1.49785853,0.00000000
1.47973987,2.59117764,0.43520644,0.00000000,2.06688567,0.49081371,1.39227360,0.00000000
