energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,0.83827214,0.35785558,0.00000000,0.00936628,0.05939455,0.42651557,0.40686734,0.39722854,0.00000000
-5.99399700,0.77268410,0.32556340,0.00000000,0.01055786,0.05492574,0.39436243,0.36969676,0.36857996,0.00000000
-5.98799400,0.71526694,0.29738910,0.00000000,0.01186163,0.05102749,0.36626166,0.33623541,0.34354627,0.00000000
-5.98199100,0.66598419,0.27326172,0.00000000,0.01327099,0.04770245,0.34222398,0.30649116,0.32215374,0.00000000
-5.97598799,0.62467805,0.25306773,0.00000000,0.01477612,0.04494224,0.32218812,0.28041876,0.30436373,0.00000000
-5.96998499,0.59107583,0.23665568,0.00000000,0.01636389,0.04272806,0.30602485,0.25792266,0.29007552,0.00000000
-5.96398199,0.56479942,0.22384157,0.00000000,0.01801786,0.04103168,0.29354269,0.23886119,0.27913090,0.00000000
-5.95797899,0.54537761,0.21441486,0.00000000,0.01971838,0.03981655,0.28449515,0.22305207,0.27132024,0.00000000
-5.95197599,0.53226078,0.20814477,0.00000000,0.02144286,0.03903914,0.27858925,0.21027886,0.26638987,0.00000000
-5.94597299,0.52483730,0.20478680,0.00000000,0.02316613,0.03865037,0.27549487,0.20029821,0.26405050,0.00000000
-5.93996998,0.52245122,0.20408900,0.00000000,0.02486102,0.03859719,0.27485488,0.19284750,0.26398632,0.00000000
-5.93396698,0.52442048,0.20579800,0.00000000,0.02649897,0.03882408,0.27629533,0.18765270,0.26586451,0.00000000
-5.92796398,0.53005509,0.20966435,0.00000000,0.02805078,0.03927460,0.27943577,0.18443613,0.26934482,0.00000000
-5.92196098,0.53867458,0.21544712,0.00000000,0.02948740,0.03989293,0.28389910,0.18292377,0.27408881,0.00000000
-5.91595798,0.54962427,0.22291754,0.00000000,0.03078087,0.04062514,0.28932066,0.18285209,0.27976861,0.00000000
-5.90995498,0.56228961,0.23186146,0.00000000,0.03190512,0.04142053,0.29535646,0.18397396,0.28607479,0.00000000
-5.90395198,0.57610835,0.24208073,0.00000000,0.03283682,0.04223256,0.30169011,0.18606372,0.29272301,0.00000000
-5.89794897,0.59058005,0.25339329,0.00000000,0.03355621,0.04301979,0.30803835,0.18892115,0.29945952,0.00000000
-5.89194597,0.60527273,0.26563212,0.00000000,0.03404770,0.04374644,0.31415502,0.19237425,0.30606512,0.00000000
-5.88594297,0.61982659,0.27864310,0.00000000,0.03430045,0.04438280,0.31983346,0.19628104,0.31235753,0.00000000
-5.87993997,0.63395477,0.29228201,0.00000000,0.03430873,0.04490533,0.32490725,0.20053009,0.31819234,0.00000000
-5.87393697,0.64744131,0.30641084,0.00000000,0.03407212,0.04529665,0.32924940,0.20504014,0.32346238,0.00000000
-5.86793397,0.66013665,0.32089359,0.00000000,0.03359551,0.04554516,0.33277017,0.20975871,0.32809575,0.00000000
-5.86193097,0.67195110,0.33559218,0.00000000,0.03288891,0.04564463,0.33541370,0.21466001,0.33205275,0.00000000
-5.85592796,0.68284667,0.35036241,0.00000000,0.03196710,0.04559354,0.33715369,0.21974219,0.33532180,0.00000000
-5.84992496,0.69282799,0.36505062,0.00000000,0.03084910,0.04539433,0.33798844,0.22502423,0.33791481,0.00000000
