energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.90780537,-0.85127491,0.51141895,-0.42608414,0.73954166,-0.28979396,0.00163068,-0.00083163,0.19303085,-0.25858459,0.09296266,-0.13698862,0.90921238,-0.28310857,0.00000000,-0.00000000
-5.99399700,1.90262196,-0.87324763,0.51120922,-0.41111001,0.73839723,-0.29542344,0.00159078,-0.00088957,0.19208570,-0.24845555,0.09154504,-0.14927515,0.90743137,-0.30765632,0.00000000,-0.00000000
-5.98799400,1.88827045,-0.89647897,0.50968373,-0.39718065,0.73306071,-0.30141022,0.00155064,-0.00094958,0.19024773,-0.23886778,0.09021663,-0.16156050,0.90152906,-0.33247789,0.00000000,-0.00000000
-5.98199100,1.86478336,-0.92046943,0.50683612,-0.38431217,0.72354139,-0.30762380,0.00150968,-0.00101013,0.18752406,-0.22985679,0.08897875,-0.17366775,0.89151558,-0.35720994,0.00000000,-0.00000000
-5.97598799,1.83244169,-0.94468474,0.50272706,-0.37249933,0.70994625,-0.31391758,0.00146764,-0.00106973,0.18394682,-0.22144039,0.08784182,-0.18541392,0.87752028,-0.38148580,0.00000000,-0.00000000
-5.96998499,1.79176619,-0.96857198,0.49748173,-0.36171574,0.69247655,-0.32013391,0.00142458,-0.00112691,0.17957163,-0.21361845,0.08682470,-0.19661529,0.85978826,-0.40494612,0.00000000,-0.00000000
-5.96398199,1.74350002,-0.99157929,0.49128447,-0.35191624,0.67142120,-0.32611037,0.00138090,-0.00118029,0.17447544,-0.20637415,0.08595363,-0.20709315,0.83867264,-0.42725037,0.00000000,-0.00000000
-5.95797899,1.68858377,-1.01317808,0.48437096,-0.34304111,0.64714723,-0.33168703,0.00133739,-0.00122859,0.16875353,-0.19967621,0.08526057,-0.21667974,0.81462299,-0.44808878,0.00000000,-0.00000000
-5.95197599,1.62812411,-1.03288653,0.47701839,-0.33502180,0.62008789,-0.33671419,0.00129517,-0.00127065,0.16251601,-0.19348226,0.08478136,-0.22522418,0.78817061,-0.46719421,0.00000000,-0.00000000
-5.94597299,1.56335770,-1.05029315,0.46953406,-0.32778755,0.59072887,-0.34106021,0.00125575,-0.00130547,0.15588386,-0.18774275,0.08455349,-0.23259809,0.75991136,-0.48435324,0.00000000,-0.00000000
