energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.37210517,0.00350599,1.18127609,0.44110550,0.01108745,1.56849763,0.71522367
-5.99399700,2.26084623,0.00350888,1.10591528,0.43723510,0.01052884,1.48049548,0.68129071
-5.98799400,2.14961648,0.00348952,1.03251199,0.43185166,0.00996462,1.39502168,0.64718545
-5.98199100,2.03882047,0.00344855,0.96127480,0.42502075,0.00939689,1.31235288,0.61304101
-5.97598799,1.92886133,0.00338707,0.89237839,0.41683301,0.00882796,1.23271103,0.57899252
-5.96998499,1.82014449,0.00330655,0.82597034,0.40740084,0.00826029,1.15626906,0.54517838
-5.96398199,1.71307813,0.00320881,0.76217652,0.39685415,0.00769654,1.08315561,0.51174060
-5.95797899,1.60807032,0.00309592,0.70110502,0.38533566,0.00713952,1.01345891,0.47882387
-5.95197599,1.50552368,0.00297016,0.64284860,0.37299584,0.00659215,0.94722987,0.44657380
-5.94597299,1.40582800,0.00283391,0.58748581,0.35998798,0.00605739,0.88448462,0.41513436
-5.93996998,1.30935178,0.00268960,0.53508088,0.34646351,0.00553818,0.82520682,0.38464490
-5.93396698,1.21643366,0.00253965,0.48568296,0.33256798,0.00503734,0.76934994,0.35523696
-5.92796398,1.12737447,0.00238636,0.43932481,0.31843785,0.00455755,0.71683994,0.32703116
-5.92196098,1.04243067,0.00223191,0.39602141,0.30419818,0.00410121,0.66757839,0.30013450
-5.91595798,0.96180990,0.00207827,0.35576876,0.28996144,0.00367043,0.62144635,0.27463822
-5.90995498,0.88566891,0.00192721,0.31854315,0.27582728,0.00326697,0.57830891,0.25061644
-5.90395198,0.81411401,0.00178026,0.28430109,0.26188335,0.00289220,0.53802043,0.22812560
-5.89794897,0.74720422,0.00163867,0.25297994,0.24820684,0.00254712,0.50043029,0.20720480
-5.89194597,0.68495657,0.00150350,0.22449937,0.23486685,0.00223232,0.46538899,0.18787693
-5.88594297,0.62735343,0.00137553,0.19876351,0.22192705,0.00194805,0.43275426,0.17015062
-5.87993997,0.57435116,0.00125535,0.17566371,0.20944868,0.00169421,0.40239694,0.15402265
-5.87393697,0.52588954,0.00114338,0.15508184,0.19749350,0.00147042,0.37420633,0.13948086
-5.86793397,0.48190135,0.00103985,0.13689375,0.18612648,0.00127608,0.34809467,0.12650719
-5.86193097,0.44232146,0.00094490,0.12097284,0.17541810,0.00111040,0.32400056,0.11508078
-5.85592796,0.40709487,0.00085853,0.10719359,0.16544609,0.00097249,0.30189109,0.10518084
-5.84992496,0.37618317,0.00078072,0.09543459,0.15629635,0.00086137,0.28176263,0.09678910
-5.84392196,0.34956916,0.00071136,0.08558126,0.14806325,0.00077610,0.26364015,0.08989183
-5.83791896,0.32725916,0.00065035,0.07752790,0.14084892,0.00071572,0.24757507,0.08448106
-5.83191596,0.30928310,0.00059756,0.07117896,0.13476190,0.00067937,0.23364182,0.08055518
-5.82591296,0.29569217,0.00055289,0.06644974,0.12991489,0.00066625,0.22193314,0.07811873
-5.81990995,0.28655421,0.00051620,0.06326614,0.12642184,0.00067564,0.21255431,0.07718135
-5.81390695,0.28194705,0.00048742,0.06156381,0.12439451,0.00070692,0.20561663,0.07775600
-5.80790395,0.28195003,0.00046644,0.06128661,0.12393850,0.00075953,0.20123021,0.07985652
-5.80190095,0.28663409,0.00045317,0.06238444,0.12514899,0.00083291,0.19949649,0.08349461
-5.79589795,0.29605092,0.00044751,0.06481064,0.12810637,0.00092651,0.20050066,0.08867626
-5.78989495,0.31022153,0.00044936,0.06851914,0.13287181,0.00103972,0.20430431,0.09539806
-5.78389195,0.32912490,0.00045855,0.07346132,0.13948316,0.00117182,0.21093857,0.10364325
-5.77788894,0.35268721,0.00047491,0.07958300,0.14795114,0.00132190,0.22039791,0.11337796
