energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.94965014,-1.94965030,0.03967608,-0.03967608,0.15191176,-0.15191179,1.03625996,-1.03626004,0.24951114,-0.24951120,1.17026873,-1.17026879,0.00000000,-0.00000000,0.63628179,-0.63628182,0.18107111,-0.18107112
-5.99399700,1.91928962,-1.91928979,0.03965730,-0.03965730,0.14778403,-0.14778406,0.99446312,-0.99446319,0.25228249,-0.25228256,1.15222611,-1.15222618,0.00000000,-0.00000000,0.62478500,-0.62478504,0.17917576,-0.17917577
-5.98799400,1.89001350,-1.89001370,0.03939162,-0.03939162,0.14495222,-0.14495225,0.95400262,-0.95400270,0.25755011,-0.25755019,1.13267103,-1.13267111,0.00000000,-0.00000000,0.61229343,-0.61229347,0.17678505,-0.17678506
-5.98199100,1.86195192,-1.86195214,0.03888012,-0.03888012,0.14342551,-0.14342555,0.91493587,-0.91493596,0.26534556,-0.26534565,1.11168112,-1.11168121,0.00000000,-0.00000000,0.59884894,-0.59884898,0.17391793,-0.17391793
-5.97598799,1.83528580,-1.83528604,0.03812927,-0.03812927,0.14320114,-0.14320118,0.87731645,-0.87731653,0.27568123,-0.27568134,1.08939052,-1.08939061,0.00000000,-0.00000000,0.58452498,-0.58452502,0.17060524,-0.17060524
-5.96998499,1.81023683,-1.81023708,0.03715073,-0.03715073,0.14426241,-0.14426246,0.84119800,-0.84119808,0.28854369,-0.28854380,1.06598690,-1.06598700,0.00000000,-0.00000000,0.56942608,-0.56942612,0.16688900,-0.16688901
-5.96398199,1.78705214,-1.78705241,0.03596093,-0.03596093,0.14657675,-0.14657680,0.80663616,-0.80663625,0.30388676,-0.30388688,1.04170480,-1.04170490,0.00000000,-0.00000000,0.55368524,-0.55368529,0.16282109,-0.16282110
-5.95797899,1.76598456,-1.76598485,0.03458055,-0.03458055,0.15009391,-0.15009396,0.77368842,-0.77368851,0.32162480,-0.32162493,1.01681541,-1.01681551,0.00000000,-0.00000000,0.53745939,-0.53745944,0.15846135,-0.15846136
-5.95197599,1.74726975,-1.74727005,0.03303382,-0.03303382,0.15474432,-0.15474438,0.74241208,-0.74241217,0.34162659,-0.34162673,0.99161371,-0.99161382,0.00000000,-0.00000000,0.52092312,-0.52092316,0.15387525,-0.15387526
-5.94597299,1.73110157,-1.73110188,0.03134771,-0.03134771,0.16043800,-0.16043806,0.71286060,-0.71286070,0.36371012,-0.36371027,0.96640351,-0.96640362,0.00000000,-0.00000000,0.50426113,-0.50426118,0.14913126,-0.14913127
-5.93996998,1.71760764,-1.71760797,0.02955107,-0.02955107,0.16706380,-0.16706386,0.68507878,-0.68507888,0.38763897,-0.38763912,0.94148153,-0.94148164,0.00000000,-0.00000000,0.48765994,-0.48765999,0.14429804,-0.14429805
-5.93396698,1.70682674,-1.70682708,0.02767371,-0.02767371,0.17448949,-0.17448956,0.65909724,-0.65909734,0.41312043,-0.41312059,0.91712147,-0.91712159,0.00000000,-0.00000000,0.47129922,-0.47129927,0.13944163,-0.13944164
-5.92796398,1.69868990,-1.69869024,0.02574554,-0.02574554,0.18256258,-0.18256264,0.63492692,-0.63492702,0.43980598,-0.43980614,0.89355919,-0.89355931,0.00000000,-0.00000000,0.45534347,-0.45534352,0.13462278,-0.13462279
-5.92196098,1.69300681,-1.69300714,0.02379573,-0.02379573,0.19111198,-0.19111204,0.61255400,-0.61255410,0.46729418,-0.46729434,0.87097983,-0.87097994,0.00000000,-0.00000000,0.43993450,-0.43993455,0.12989468,-0.12989469
-5.91595798,1.68945879,-1.68945912,0.02185194,-0.02185194,0.19995071,-0.19995077,0.59193611,-0.59193621,0.49513630,-0.49513646,0.84950790,-0.84950801,0.00000000,-0.00000000,0.42518515,-0.42518520,0.12530099,-0.12530101
-5.90995498,1.68759942,-1.68759974,0.01993971,-0.01993971,0.20887955,-0.20887961,0.57299992,-0.57300002,0.52284463,-0.52284479,0.82920091,-0.82920102,0.00000000,-0.00000000,0.41117474,-0.41117478,0.12087458,-0.12087460
-5.90395198,1.68686305,-1.68686336,0.01808192,-0.01808192,0.21769158,-0.21769164,0.55564091,-0.55564100,0.54990341,-0.54990356,0.81004694,-0.81004705,0.00000000,-0.00000000,0.39794640,-0.39794644,0.11663675,-0.11663676
-5.89794897,1.68658152,-1.68658181,0.01629842,-0.01629842,0.22617763,-0.22617768,0.53972515,-0.53972524,0.57578207,-0.57578221,0.79196641,-0.79196651,0.00000000,-0.00000000,0.38550655,-0.38550659,0.11259715,-0.11259716
-5.89194597,1.68600820,-1.68600847,0.01460582,-0.01460582,0.23413233,-0.23413239,0.52509348,-0.52509356,0.59995044,-0.59995057,0.77481789,-0.77481798,0.00000000,-0.00000000,0.37382652,-0.37382655,0.10875435,-0.10875436
-5.88594297,1.68434867,-1.68434890,0.01301740,-0.01301740,0.24136078,-0.24136083,0.51156774,-0.51156781,0.62189535,-0.62189547,0.75840769,-0.75840777,0.00000000,-0.00000000,0.36284606,-0.36284609,0.10509694,-0.10509695
-5.87993997,1.68079635,-1.68079656,0.01154314,-0.01154314,0.24768535,-0.24768538,0.49895901,-0.49895908,0.64113798,-0.64113808,0.74250258,-0.74250265,0.00000000,-0.00000000,0.35247880,-0.35247883,0.10160519,-0.10160520
