energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.91560770,0.00864892,0.02911639,0.06285488,0.16938060,0.12892787,7.53204916
-5.99399700,7.95145633,0.00864078,0.02882763,0.06252692,0.16260623,0.12483667,7.56502128
-5.98799400,8.01790482,0.00862895,0.02852609,0.06214160,0.15626613,0.12084800,7.62794884
-5.98199100,8.11357565,0.00861483,0.02821706,0.06172112,0.15034328,0.11696055,7.71942172
-5.97598799,8.23671530,0.00860057,0.02790687,0.06129011,0.14482011,0.11317459,7.83765935
-5.96998499,8.38519239,0.00858897,0.02760255,0.06087469,0.13967907,0.10949215,7.98051213
-5.96398199,8.55649282,0.00858346,0.02731135,0.06050147,0.13490283,0.10591687,8.14545996
-5.95797899,8.74771495,0.00858795,0.02704025,0.06019641,0.13047429,0.10245378,8.32961100
-5.95197599,8.95556863,0.00860671,0.02679553,0.05998370,0.12637634,0.09910879,8.52970386
-5.94597299,9.17638181,0.00864425,0.02658230,0.05988470,0.12259154,0.09588821,8.74211687
-5.93996998,9.40611845,0.00870520,0.02640407,0.05991698,0.11910171,0.09279810,8.96288785
-5.93396698,9.64041103,0.00879411,0.02626250,0.06009350,0.11588755,0.08984374,9.18774740
-5.92796398,9.87460988,0.00891543,0.02615713,0.06042203,0.11292838,0.08702911,9.41216780
-5.92196098,10.10385070,0.00907335,0.02608529,0.06090484,0.11020195,0.08435651,9.63142886
-5.91595798,10.32314018,0.00927178,0.02604209,0.06153862,0.10768447,0.08182632,9.84070038
-5.90995498,10.52745818,0.00951430,0.02602060,0.06231470,0.10535087,0.07943692,10.03514017
-5.90395198,10.71187378,0.00980420,0.02601202,0.06321951,0.10317515,0.07718476,10.21000452
-5.89794897,10.87167093,0.01014449,0.02600610,0.06423532,0.10113106,0.07506466,10.36076772
-5.89194597,11.00247867,0.01053798,0.02599149,0.06534115,0.09919279,0.07307022,10.48324527
-5.88594297,11.10039994,0.01098741,0.02595629,0.06651383,0.09733587,0.07119426,10.57371565
-5.87993997,11.16213286,0.01149554,0.02588854,0.06772917,0.09553802,0.06942950,10.62903451
-5.87393697,11.18507819,0.01206532,0.02577672,0.06896318,0.09378013,0.06776911,10.64673562
-5.86793397,11.16742744,0.01269999,0.02561030,0.07019315,0.09204700,0.06620737,10.62511313
-5.86193097,11.10822653,0.01340327,0.02538015,0.07139879,0.09032809,0.06474018,10.56328067
-5.85592796,11.00741172,0.01417942,0.02507895,0.07256315,0.08861804,0.06336558,10.46120383
-5.84992496,10.86581513,0.01503339,0.02470149,0.07367328,0.08691698,0.06208403,10.31970394
-5.84392196,10.68513966,0.01597085,0.02424482,0.07472082,0.08523064,0.06089867,10.14043269
-5.83791896,10.46790380,0.01699822,0.02370838,0.07570224,0.08357016,0.05981532,9.92581839
