energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
5.00950475,3.95898439,3.33821160,0.10723769,5.77048191,0.24053494,0.10100776,0.53170673
5.01550775,3.85359644,3.35679651,0.10236597,5.55233887,0.23491462,0.09648024,0.49951191
5.02151076,3.74466661,3.36482716,0.09758286,5.33332144,0.22910455,0.09181890,0.46800341
5.02751376,3.63282676,3.36232194,0.09291656,5.11471335,0.22313191,0.08706137,0.43734876
5.03351676,3.51866386,3.34937158,0.08838984,4.89765686,0.21702000,0.08224690,0.40770056
5.03951976,3.40271865,3.32613281,0.08402037,4.68315338,0.21078854,0.07741529,0.37919568
5.04552276,3.28548759,3.29282266,0.07982121,4.47206978,0.20445411,0.07260588,0.35195498
5.05152576,3.16742790,3.24971377,0.07580138,4.26514999,0.19803084,0.06785669,0.32608366
5.05752876,3.04896552,3.19713098,0.07196659,4.06303116,0.19153119,0.06320356,0.30167214
5.06353177,2.93050563,3.13544940,0.06832007,3.86626381,0.18496689,0.05867967,0.27879753
5.06953477,2.81244495,3.06509369,0.06486333,3.67533466,0.17834997,0.05431503,0.25752551
5.07553777,2.69518538,2.98653875,0.06159700,3.49069122,0.17169381,0.05013627,0.23791267
5.08154077,2.57914798,2.90031108,0.05852168,3.31276691,0.16501416,0.04616655,0.22000900
5.08754377,2.46478650,2.80699072,0.05563858,3.14200527,0.15833012,0.04242566,0.20386058
5.09354677,2.35259974,2.70721299,0.05295021,2.97888230,0.15166498,0.03893019,0.18951223
5.09954977,2.24314172,2.60166970,0.05046088,2.82392555,0.14504693,0.03569388,0.17700996
5.10555278,2.13702914,2.49110904,0.04817708,2.67772925,0.13850953,0.03272799,0.16640312
5.11155578,2.03494545,2.37633395,0.04610769,2.54096440,0.13209196,0.03004169,0.15774615
5.11755878,1.93764109,2.25819826,0.04426410,2.41438346,0.12583901,0.02764256,0.15109970
5.12356178,1.84592969,2.13760067,0.04266006,2.29881921,0.11980079,0.02553699,0.14653124
5.12956478,1.76068014,2.01547616,0.04131149,2.19517770,0.11403217,0.02373058,0.14411480
5.13556778,1.68280455,1.89278515,0.04023608,2.10442548,0.10859200,0.02222855,0.14393015
5.14157079,1.61324250,1.77050049,0.03945276,2.02757149,0.10354197,0.02103600,0.14606108
5.14757379,1.55294198,1.64959274,0.03898112,1.96564410,0.09894543,0.02015817,0.15059302
5.15357679,1.50283746,1.53101423,0.03884067,1.91966427,0.09486586,0.01960063,0.15760990
5.15957979,1.46382599,1.41568254,0.03905008,1.89061546,0.09136534,0.01936937,0.16719037
5.16558279,1.43674180,1.30446402,0.03962641,1.87941149,0.08850289,0.01947082,0.17940350
5.17158579,1.42233043,1.19815809,0.04058426,1.88686324,0.08633274,0.01991183,0.19430400
5.17758879,1.42122305,1.09748288,0.04193504,1.91364531,0.08490271,0.02069952,0.21192711
5.18359180,1.43391180,1.00306282,0.04368619,1.96026371,0.08425259,0.02184110,0.23228334
5.18959480,1.46072702,0.91541867,0.04584058,2.02702560,0.08441265,0.02334363,0.25535335
5.19559780,1.50181698,0.83496021,0.04839589,2.11401190,0.08540235,0.02521364,0.28108291
5.20160080,1.55713091,0.76198198,0.05134422,2.22105392,0.08722921,0.02745674,0.30937840
5.20760380,1.62640592,0.69666192,0.05467175,2.34771452,0.08988799,0.03007718,0.34010304
5.21360680,1.70915834,0.63906301,0.05835856,2.49327469,0.09336004,0.03307728,0.37307391
5.21960980,1.80467989,0.58913758,0.06237867,2.65672601,0.09761306,0.03645689,0.40806020
5.22561281,1.91203917,0.54673411,0.06670011,2.83676955,0.10260114,0.04021275,0.44478274
5.23161581,2.03008853,0.51160609,0.07128524,3.03182132,0.10826505,0.04433793,0.48291506
5.23761881,2.15747651,0.48342253,0.07609121,3.24002465,0.11453301,0.04882115,0.52208601
5.24362181,2.29266577,0.46177973,0.08107046,3.45926932,0.12132166,0.05364624,0.56188412
5.24962481,2.43395631,0.44621390,0.08617148,3.68721738,0.12853739,0.05879163,0.60186361
5.25562781,2.57951358,0.43621408,0.09133958,3.92133522,0.13607795,0.06422988,0.64155203
5.26163082,2.72740096,0.43123517,0.09651774,4.15893137,0.14383433,0.06992746,0.68045932
5.26763382,2.87561580,0.43071066,0.10164758,4.39719941,0.15169281,0.07584457,0.71808817
5.27363682,3.02212837,0.43406469,0.10667031,4.63326496,0.15953722,0.08193518,0.75394529
5.27963982,3.16492237,0.44072335,0.11152771,4.86423598,0.16725123,0.08814734,0.78755320
5.28564282,3.30203626,0.45012493,0.11616313,5.08725491,0.17472077,0.09442362,0.81846228
5.29164582,3.43160392,0.46172903,0.12052240,5.29955173,0.18183631,0.10070186,0.84626252
5.29764882,3.55189362,0.47502434,0.12455473,5.49849643,0.18849518,0.10691612,0.87059450
5.30365183,3.66134402,0.48953510,0.12821354,5.68164965,0.19460355,0.11299787,0.89115932
5.30965483,3.75859611,0.50482613,0.13145720,5.84681012,0.20007835,0.11887731,0.90772680
5.31565783,3.84252004,0.52050642,0.13424965,5.99205759,0.20484885,0.12448489,0.92014197
5.32166083,3.91223599,0.53623124,0.13656099,6.11579013,0.20885783,0.12975296,0.92832918
5.32766383,3.96712850,0.55170291,0.13836786,6.21675458,0.21206254,0.13461740,0.93229394
5.33366683,4.00685358,0.56667016,0.13965381,6.29406930,0.21443515,0.13901924,0.93212224
5.33966983,4.03133871,0.58092616,0.14040949,6.34723841,0.21596289,0.14290625,0.92797738
