energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.20861426,0.00148077,0.01398965,0.51613670,0.28971474,0.25550504,0.06957975,0.01124288,0.78690676
-5.99399700,1.30548988,0.00151793,0.01490697,0.55661896,0.31388942,0.27453173,0.07524410,0.01225141,0.85097119
-5.98799400,1.40699028,0.00159432,0.01581574,0.59871842,0.33931178,0.29450223,0.08115068,0.01331486,0.91811570
-5.98199100,1.51203002,0.00170653,0.01670511,0.64197722,0.36572456,0.31519031,0.08723775,0.01442396,0.98764138
-5.97598799,1.61947042,0.00185137,0.01756447,0.68591858,0.39285464,0.33636212,0.09344019,0.01556869,1.05881136
-5.96998499,1.72812917,0.00202582,0.01838356,0.73005110,0.42041529,0.35777772,0.09969018,0.01673838,1.13085700
-5.96398199,1.83679233,0.00222696,0.01915270,0.77387376,0.44810909,0.37919282,0.10591795,0.01792188,1.20298568
-5.95797899,1.94422875,0.00245189,0.01986286,0.81688180,0.47563161,0.40036098,0.11205265,0.01910768,1.27439026
-5.95197599,2.04920707,0.00269775,0.02050591,0.85857327,0.50267581,0.42103613,0.11802342,0.02028420,1.34426028
-5.94597299,2.15051493,0.00296164,0.02107467,0.89845639,0.52893711,0.44097564,0.12376058,0.02143998,1.41179479
-5.93996998,2.24698044,0.00324065,0.02156309,0.93605745,0.55411912,0.45994369,0.12919685,0.02256399,1.47621658
-5.93396698,2.33749513,0.00353191,0.02196634,0.97092926,0.57793983,0.47771512,0.13426876,0.02364594,1.53678759
-5.92796398,2.42103813,0.00383254,0.02228095,1.00265979,0.60013815,0.49407963,0.13891806,0.02467659,1.59282508
-5.92196098,2.49670058,0.00413983,0.02250482,1.03088100,0.62048061,0.50884611,0.14309309,0.02564806,1.64371813
-5.91595798,2.56370966,0.00445120,0.02263736,1.05527734,0.63876792,0.52184720,0.14675018,0.02655416,1.68894380
-5.90995498,2.62145103,0.00476434,0.02267948,1.07559384,0.65484115,0.53294367,0.14985486,0.02739065,1.72808236
-5.90395198,2.66948891,0.00507730,0.02263362,1.09164327,0.66858725,0.54202862,0.15238302,0.02815548,1.76083097
-5.89794897,2.70758243,0.00538856,0.02250373,1.10331225,0.67994361,0.54903116,0.15432170,0.02884899,1.78701489
-5.89194597,2.73569753,0.00569707,0.02229522,1.11056576,0.68890137,0.55391941,0.15566977,0.02947401,1.80659578
-5.88594297,2.75401309,0.00600239,0.02201487,1.11344986,0.69550714,0.55670263,0.15643816,0.03003586,1.81967618
-5.87993997,2.76292081,0.00630466,0.02167071,1.11209230,0.69986301,0.55743224,0.15664978,0.03054228,1.82649982
-5.87393697,2.76301796,0.00660463,0.02127185,1.10670086,0.70212460,0.55620152,0.15633902,0.03100325,1.82744724
-5.86793397,2.75509277,0.00690369,0.02082828,1.09755918,0.70249710,0.55314407,0.15555086,0.03143068,1.82302646
-5.86193097,2.74010243,0.00720375,0.02035063,1.08502013,0.70122924,0.54843066,0.15433955,0.03183802,1.81385878
-5.85592796,2.71914398,0.00750720,0.01984987,1.06949671,0.69860533,0.54226485,0.15276696,0.03223972,1.80065977
-5.84992496,2.69341888,0.00781681,0.01933706,1.05145077,0.69493554,0.53487709,0.15090050,0.03265065,1.78421610
-5.84392196,2.66419223,0.00813554,0.01882298,1.03137976,0.69054475,0.52651783,0.14881090,0.03308545,1.76535875
-5.83791896,2.63274822,0.00846643,0.01831784,1.00980194,0.68576032,0.51744951,0.14656963,0.03355780,1.74493360
-5.83191596,2.60034341,0.00881238,0.01783097,0.98724071,0.68089936,0.50793807,0.14424641,0.03407973,1.72377067
-5.82591296,2.56815994,0.00917601,0.01737046,0.96420842,0.67625600,0.49824410,0.14190659,0.03466089,1.70265312
-5.81990995,2.53726078,0.00955946,0.01694299,0.94119061,0.67208919,0.48861408,0.13960873,0.03530794,1.68228755
-5.81390695,2.50854900,0.00996425,0.01655352,0.91863112,0.66861181,0.47927216,0.13740244,0.03602399,1.66327703
-5.80790395,2.48273336,0.01039111,0.01620518,0.89691887,0.66598147,0.47041282,0.13532651,0.03680819,1.64609803
-5.80190095,2.46030184,0.01083994,0.01589917,0.87637688,0.66429373,0.46219478,0.13340757,0.03765544,1.63108274
-5.79589795,2.44150472,0.01130973,0.01563469,0.85725398,0.66357794,0.45473639,0.13165920,0.03855632,1.61840750
-5.78989495,2.42634816,0.01179854,0.01540908,0.83971974,0.66379614,0.44811291,0.13008165,0.03949721,1.60808827
-5.78389195,2.41459894,0.01230357,0.01521787,0.82386271,0.66484516,0.44235557,0.12866220,0.04046055,1.59998327
-5.77788894,2.40580015,0.01282124,0.01505503,0.80969206,0.66656185,0.43745263,0.12737601,0.04142536,1.59380300
-5.77188594,2.39929734,0.01334733,0.01491324,0.79714259,0.66873124,0.43335228,0.12618765,0.04236791,1.58912702
-5.76588294,2.39427385,0.01387715,0.01478420,0.78608275,0.67109733,0.42996725,0.12505300,0.04326250,1.58542689
-5.75987994,2.38979357,0.01440577,0.01465903,0.77632519,0.67337592,0.42718084,0.12392166,0.04408246,1.58209395
-5.75387694,2.38484909,0.01492816,0.01452863,0.76763942,0.67526895,0.42485406,0.12273949,0.04480108,1.57847081
-5.74787394,2.37841271,0.01543951,0.01438407,0.75976575,0.67647945,0.42283348,0.12145148,0.04539273,1.57388468
-5.74187094,2.36948781,0.01593534,0.01421705,0.75242990,0.67672649,0.42095936,0.12000448,0.04583379,1.56768107
-5.73586793,2.35715797,0.01641174,0.01402015,0.74535756,0.67575928,0.41907374,0.11834990,0.04610362,1.55925611
-5.72986493,2.34063134,0.01686546,0.01378727,0.73828813,0.67336961,0.41702794,0.11644609,0.04618539,1.54808579
-5.72386193,2.31927828,0.01729404,0.01351380,0.73098716,0.66940214,0.41468926,0.11426047,0.04606673,1.53375103
-5.71785893,2.29266047,0.01769585,0.01319684,0.72325689,0.66376194,0.41194657,0.11177109,0.04574021,1.51595709
-5.71185593,2.26055034,0.01807003,0.01283537,0.71494457,0.65641885,0.40871450,0.10896777,0.04520359,1.49454684
-5.70585293,2.22294019,0.01841647,0.01243021,0.70594831,0.64740867,0.40493631,0.10585264,0.04445986,1.46950740
-5.69984992,2.18004107,0.01873565,0.01198409,0.69622049,0.63683105,0.40058516,0.10244022,0.04351712,1.44097008
-5.69384692,2.13227182,0.01902852,0.01150148,0.68576865,0.62484434,0.39566417,0.09875688,0.04238814,1.40920398
-5.68784392,2.08023949,0.01929625,0.01098848,0.67465421,0.61165779,0.39020503,0.09483990,0.04108989,1.37460402
-5.68184092,2.02471261,0.01954010,0.01045259,0.66298922,0.59752160,0.38426569,0.09073612,0.03964277,1.33767420
-5.67583792,1.96658890,0.01976114,0.00990246,0.65093153,0.58271536,0.37792717,0.08650026,0.03806990,1.29900730
-5.66983492,1.90685967,0.01996012,0.00934761,0.63867880,0.56753576,0.37128978,0.08219306,0.03639617,1.25926225
-5.66383192,1.84657263,0.02013728,0.00879818,0.62646163,0.55228405,0.36446903,0.07787927,0.03464746,1.21914038
-5.65782891,1.78679511,0.02029221,0.00826456,0.61453636,0.53725401,0.35759142,0.07362563,0.03284972,1.17936179
-5.65182591,1.72857941,0.02042383,0.00775716,0.60317762,0.52272107,0.35079033,0.06949889,0.03102821,1.14064281
-5.64582291,1.67293150,0.02053034,0.00728608,0.59267101,0.50893301,0.34420216,0.06556401,0.02920677,1.10367548
-5.63981991,1.62078426,0.02060926,0.00686092,0.58330604,0.49610258,0.33796279,0.06188245,0.02740727,1.06910969
-5.63381691,1.57297573,0.02065756,0.00649049,0.57536933,0.48440237,0.33220444,0.05851076,0.02564916,1.03753828
-5.62781391,1.53023270,0.02067179,0.00618263,0.56913822,0.47396185,0.32705293,0.05549939,0.02394911,1.00948538
-5.62181091,1.49315952,0.02064825,0.00594402,0.56487464,0.46486665,0.32262531,0.05289172,0.02232089,0.98539776
-5.61580790,1.46223162,0.02058326,0.00578009,0.56281928,0.45715976,0.31902777,0.05072336,0.02077529,0.96563916
-5.60980490,1.43779333,0.02047335,0.00569481,0.56318592,0.45084442,0.31635388,0.04902163,0.01932022,0.95048709
-5.60380190,1.42005897,0.02031550,0.00569069,0.56615597,0.44588834,0.31468288,0.04780527,0.01796084,0.94013169
-5.59779890,1.40911668,0.02010738,0.00576865,0.57187319,0.44222877,0.31407827,0.04708435,0.01669985,0.93467624
-5.59179590,1.40493399,0.01984751,0.00592802,0.58043866,0.43977810,0.31458635,0.04686022,0.01553776,0.93413896
-5.58579290,1.40736471,0.01953545,0.00616651,0.59190610,0.43842957,0.31623500,0.04712573,0.01447321,0.93845563
-5.57978989,1.41615641,0.01917186,0.00648019,0.60627776,0.43806268,0.31903255,0.04786543,0.01350336,0.94748289
-5.57378689,1.43095839,0.01875858,0.00686360,0.62350109,0.43854819,0.32296686,0.04905600,0.01262415,0.96100209
-5.56778389,1.45132977,0.01829861,0.00730974,0.64346645,0.43975241,0.32800475,0.05066664,0.01183067,0.97872363
-5.56178089,1.47674798,0.01779608,0.00781021,0.66600613,0.44154072,0.33409174,0.05265966,0.01111739,1.00029190
-5.55577789,1.50661754,0.01725610,0.00835534,0.69089487,0.44378035,0.34115238,0.05499116,0.01047846,1.02529096
-5.54977489,1.54027958,0.01668463,0.00893435,0.71785215,0.44634234,0.34909103,0.05761175,0.00990782,1.05325106
-5.54377189,1.57702214,0.01608831,0.00953557,0.74654633,0.44910301,0.35779339,0.06046747,0.00939944,1.08365621
-5.53776888,1.61609162,0.01547423,0.01014664,0.77660061,0.45194480,0.36712859,0.06350073,0.00894735,1.11595289
-5.53176588,1.65670536,0.01484972,0.01075482,0.80760076,0.45475689,0.37695193,0.06665140,0.00854581,1.14955984
-5.52576288,1.69806533,0.01422216,0.01134727,0.83910445,0.45743554,0.38710815,0.06985799,0.00818928,1.18387893
-5.51975988,1.73937280,0.01359871,0.01191132,0.87065172,0.45988443,0.39743516,0.07305881,0.00787248,1.21830675
-5.51375688,1.77984349,0.01298619,0.01243484,0.90177626,0.46201493,0.40776801,0.07619328,0.00759041,1.25224678
-5.50775388,1.81872291,0.01239084,0.01290653,0.93201705,0.46374651,0.41794294,0.07920313,0.00733836,1.28512148
-5.50175088,1.85530104,0.01181826,0.01331621,0.96092960,0.46500707,0.42780132,0.08203357,0.00711188,1.31638396
-5.49574787,1.88892581,0.01127320,0.01365508,0.98809656,0.46573348,0.43719323,0.08463444,0.00690678,1.34552865
-5.48974487,1.91901469,0.01075960,0.01391598,1.01313690,0.46587184,0.44598053,0.08696113,0.00671916,1.37210040
-5.48374187,1.94506372,0.01028043,0.01409354,1.03571343,0.46537781,0.45403922,0.08897538,0.00654539,1.39570165
-5.47773887,1.96665363,0.00983777,0.01418431,1.05553819,0.46421664,0.46126101,0.09064587,0.00638211,1.41599725
-5.47173587,1.98345252,0.00943274,0.01418684,1.07237565,0.46236292,0.46755406,0.09194859,0.00622625,1.43271669
-5.46573287,1.99521525,0.00906556,0.01410161,1.08604357,0.45980004,0.47284281,0.09286699,0.00607504,1.44565389
-5.45972986,2.00177957,0.00873561,0.01393102,1.09641171,0.45651936,0.47706709,0.09339188,0.00592601,1.45466437
-5.45372686,2.00305936,0.00844148,0.01367925,1.10339861,0.45251899,0.48018056,0.09352111,0.00577703,1.45966051
-5.44772386,1.99903559,0.00818102,0.01335201,1.10696677,0.44780244,0.48214868,0.09325910,0.00562628,1.46060491
-5.44172086,1.98974582,0.00795146,0.01295636,1.10711686,0.44237711,0.48294646,0.09261615,0.00547227,1.45750287
-5.43571786,1.97527294,0.00774949,0.01250043,1.10388133,0.43625276,0.48255618,0.09160772,0.00531386,1.45039425
-5.42971486,1.95573425,0.00757135,0.01199310,1.09731801,0.42944014,0.48096528,0.09025357,0.00515024,1.43934567
-5.42371186,1.93127151,0.00741295,0.01144373,1.08750424,0.42194990,0.47816475,0.08857692,0.00498088,1.42444347
-5.41770885,1.90204285,0.00726998,0.01086186,1.07453201,0.41379190,0.47414803,0.08660362,0.00480560,1.40578808
-5.41170585,1.86821712,0.00713799,0.01025693,1.05850429,0.40497495,0.46891066,0.08436135,0.00462446,1.38349018
-5.40570285,1.82997094,0.00701256,0.00963801,1.03953296,0.39550717,0.46245060,0.08187899,0.00443781,1.35766885
-5.39969985,1.78748860,0.00688937,0.00901365,1.01773826,0.38539686,0.45476943,0.07918606,0.00424622,1.32845190
-5.39369685,1.74096481,0.00676434,0.00839164,0.99324975,0.37465388,0.44587401,0.07631226,0.00405045,1.29597810
-5.38769385,1.69060969,0.00663373,0.00777893,0.96620856,0.36329148,0.43577878,0.07328719,0.00385146,1.26040113
-5.38169085,1.63665576,0.00649423,0.00718155,0.93677065,0.35132840,0.42450832,0.07014023,0.00365034,1.22189486
-5.37568784,1.57936592,0.00634305,0.00660454,0.90511063,0.33879120,0.41210000,0.06690041,0.00344831,1.18065933
-5.36968484,1.51904194,0.00617801,0.00605203,0.87142578,0.32571653,0.39860656,0.06359655,0.00324670,1.13692691
-5.36368184,1.45603246,0.00599755,0.00552721,0.83593975,0.31215325,0.38409826,0.06025731,0.00304689,1.09096808
-5.35767884,1.39073989,0.00580081,0.00503243,0.79890561,0.29816426,0.36866452,0.05691137,0.00285035,1.04309629
-5.35167584,1.32362553,0.00558760,0.00456933,0.76060787,0.28382790,0.35241481,0.05358766,0.00265856,0.99367135
-5.34567284,1.25521246,0.00535839,0.00413890,0.72136320,0.26923881,0.33547880,0.05031549,0.00247307,0.94310117
-5.33966983,1.18608597,0.00511429,0.00374159,0.68151972,0.25450820,0.31800555,0.04712477,0.00229543,0.89184151
-5.33366683,1.11689133,0.00485699,0.00337747,0.64145485,0.23976367,0.30016186,0.04404609,0.00212722,0.84039384
-5.32766383,1.04832912,0.00458864,0.00304634,0.60157172,0.22514836,0.28212991,0.04111087,0.00197003,0.78930125
-5.32166083,0.98114843,0.00431183,0.00274777,0.56229438,0.21081983,0.26410410,0.03835134,0.00182547,0.73914274
-5.31565783,0.91613820,0.00402943,0.00248126,0.52406196,0.19694850,0.24628745,0.03580053,0.00169518,0.69052617
-5.30965483,0.85411738,0.00374450,0.00224631,0.48732222,0.18371601,0.22888765,0.03349221,0.00158082,0.64408033
-5.30365183,0.79592441,0.00346021,0.00204244,0.45252459,0.17131353,0.21211295,0.03146078,0.00148405,0.60044646
-5.29764882,0.74240659,0.00317968,0.00186928,0.42011327,0.15994015,0.19616808,0.02974103,0.00140662,0.56026963
-5.29164582,0.69440981,0.00290594,0.00172660,0.39052046,0.14980158,0.18125043,0.02836798,0.00135025,0.52419052
-5.28564282,0.65276919,0.00264179,0.00161429,0.36416012,0.14110913,0.16754648,0.02737661,0.00131676,0.49283774
-5.27963982,0.61830071,0.00238981,0.00153243,0.34142233,0.13407913,0.15522880,0.02680152,0.00130799,0.46682092
-5.27363682,0.59179425,0.00215220,0.00148125,0.32266845,0.12893273,0.14445353,0.02667664,0.00132583,0.44672490
-5.26763382,0.57400792,0.00193084,0.00146114,0.30822707,0.12589616,0.13535836,0.02703487,0.00137220,0.43310476
-5.26163082,0.56566355,0.00172720,0.00147259,0.29839079,0.12520123,0.12806117,0.02790760,0.00144910,0.42648186
-5.25562781,0.56744324,0.00154238,0.00151625,0.29341370,0.12708610,0.12265911,0.02932436,0.00155852,0.42734055
-5.24962481,0.57998651,0.00137708,0.00159282,0.29350941,0.13179600,0.11922804,0.03131229,0.00170252,0.43612556
-5.24362181,0.60388775,0.00123165,0.00170308,0.29884965,0.13958394,0.11782251,0.03389567,0.00188316,0.45323954
-5.23761881,0.63969347,0.00110611,0.00184782,0.30956312,0.15071085,0.11847579,0.03709534,0.00210248,0.47904065
-5.23161581,0.68789896,0.00100018,0.00202784,0.32573449,0.16544533,0.12120023,0.04092822,0.00236254,0.51383990
-5.22561281,0.74894386,0.00091332,0.00224389,0.34740348,0.18406238,0.12598761,0.04540667,0.00266534,0.55789792
