energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.51961911,0.87848376,1.49137424,0.02866637,0.03154498,0.72045174,0.00000000,0.58271436,0.17850153
-5.99399700,2.62777661,0.91542197,1.57387020,0.02997535,0.03295379,0.74106449,0.00000000,0.60051604,0.18258648
-5.98799400,2.73349201,0.95137202,1.65473262,0.03125370,0.03435098,0.76110845,0.00000000,0.61753669,0.18674520
-5.98199100,2.83487220,0.98569691,1.73279229,0.03247727,0.03571885,0.78005834,0.00000000,0.63334824,0.19083352
-5.97598799,2.93013850,1.01779837,1.80693855,0.03362240,0.03704127,0.79742674,0.00000000,0.64755584,0.19471290
-5.96998499,3.01767168,1.04713246,1.87614652,0.03466656,0.03830403,0.81277700,0.00000000,0.65980803,0.19825388
-5.96398199,3.09605162,1.07322346,1.93950187,0.03558893,0.03949518,0.82573413,0.00000000,0.66980547,0.20133935
-5.95797899,3.16409004,1.09567537,1.99622203,0.03637093,0.04060523,0.83599355,0.00000000,0.67730798,0.20386720
-5.95197599,3.22085535,1.11418092,2.04567306,0.03699668,0.04162725,0.84332727,0.00000000,0.68213975,0.20575252
-5.94597299,3.26568898,1.12852762,2.08738167,0.03745339,0.04255685,0.84758769,0.00000000,0.68419262,0.20692924
-5.93996998,3.29821257,1.13860087,2.12104175,0.03773168,0.04339211,0.84870874,0.00000000,0.68342747,0.20735114
-5.93396698,3.31832622,1.14438397,2.14651537,0.03782574,0.04413334,0.84670460,0.00000000,0.67987365,0.20699230
-5.92796398,3.32619799,1.14595524,2.16382821,0.03773351,0.04478283,0.84166608,0.00000000,0.67362667,0.20584702
-5.92196098,3.32224530,1.14348225,2.17315972,0.03745658,0.04534449,0.83375490,0.00000000,0.66484415,0.20392912
-5.91595798,3.30710920,1.13721363,2.17482851,0.03700017,0.04582343,0.82319610,0.00000000,0.65374033,0.20127080
-5.90995498,3.28162268,1.12746857,2.16927372,0.03637288,0.04622556,0.81026903,0.00000000,0.64057914,0.19792105
-5.90395198,3.24677434,1.11462459,2.15703313,0.03558642,0.04655711,0.79529698,0.00000000,0.62566616,0.19394363
-5.89794897,3.20366903,1.09910393,2.13871924,0.03465524,0.04682427,0.77863610,0.00000000,0.60933973,0.18941477
-5.89194597,3.15348698,1.08135911,2.11499419,0.03359610,0.04703274,0.76066378,0.00000000,0.59196123,0.18442060
-5.88594297,3.09744299,1.06185806,2.08654483,0.03242760,0.04718743,0.74176689,0.00000000,0.57390500,0.17905444
-5.87993997,3.03674723,1.04106949,2.05405878,0.03116963,0.04729217,0.72233021,0.00000000,0.55554793,0.17341395
-5.87393697,2.97256897,1.01944872,2.01820277,0.02984286,0.04734955,0.70272540,0.00000000,0.53725923,0.16759825
-5.86793397,2.90600459,0.99742467,1.97960382,0.02846818,0.04736081,0.68330078,0.00000000,0.51939028,0.16170521
-5.86193097,2.83805068,0.97538828,1.93883417,0.02706621,0.04732583,0.66437218,0.00000000,0.50226522,0.15582874
-5.85592796,2.76958312,0.95368270,1.89640023,0.02565673,0.04724324,0.64621507,0.00000000,0.48617219,0.15005639
-5.84992496,2.70134251,0.93259561,1.85273596,0.02425831,0.04711058,0.62905831,0.00000000,0.47135572,0.14446719
-5.84392196,2.63392615,0.91235371,1.80820055,0.02288782,0.04692456,0.61307942,0.00000000,0.45801035,0.13912985
-5.83791896,2.56778654,0.89311971,1.76308035,0.02156016,0.04668138,0.59840170,0.00000000,0.44627583,0.13410134
-5.83191596,2.50323593,0.87499165,1.71759444,0.02028795,0.04637710,0.58509319,0.00000000,0.43623393,0.12942590
-5.82591296,2.44045640,0.85800466,1.67190349,0.01908138,0.04600801,0.57316740,0.00000000,0.42790716,0.12513451
-5.81990995,2.37951477,0.84213483,1.62612104,0.01794806,0.04557105,0.56258586,0.00000000,0.42125934,0.12124485
-5.81390695,2.32038122,0.82730527,1.58032648,0.01689304,0.04506416,0.55326232,0.00000000,0.41619818,0.11776164
-5.80790395,2.26295073,0.81339367,1.53457898,0.01591885,0.04448666,0.54506847,0.00000000,0.41257963,0.11467749
-5.80190095,2.20706627,0.80024150,1.48893139,0.01502564,0.04383949,0.53784092,0.00000000,0.41021406,0.11197408
-5.79589795,2.15254252,0.78766399,1.44344359,0.01421137,0.04312546,0.53138922,0.00000000,0.40887396,0.10962367
-5.78989495,2.09918918,0.77546079,1.39819442,0.01347207,0.04234938,0.52550458,0.00000000,0.40830288,0.10759092
-5.78389195,2.04683280,0.76342682,1.35329178,0.01280216,0.04151806,0.51996901,0.00000000,0.40822532,0.10583478
-5.77788894,1.99533639,0.75136270,1.30888037,0.01219477,0.04064033,0.51456444,0.00000000,0.40835712,0.10431058
-5.77188594,1.94461587,0.73908459,1.26514688,0.01164214,0.03972681,0.50908154,0.00000000,0.40841603,0.10297202
-5.76588294,1.89465301,0.72643290,1.22232252,0.01113590,0.03878974,0.50332790,0.00000000,0.40813192,0.10177311
-5.75987994,1.84550434,0.71327958,1.18068270,0.01066754,0.03784263,0.49713521,0.00000000,0.40725629,0.10066994
-5.75387694,1.79730572,0.69953378,1.14054421,0.01022865,0.03689989,0.49036519,0.00000000,0.40557063,0.09962216
-5.74787394,1.75027273,0.68514555,1.10225993,0.00981129,0.03597642,0.48291409,0.00000000,0.40289345,0.09859425
-5.74187094,1.70469675,0.67010774,1.06621146,0.00940819,0.03508717,0.47471561,0.00000000,0.39908548,0.09755633
-5.73586793,1.66093717,0.65445572,1.03279990,0.00901304,0.03424663,0.46574208,0.00000000,0.39405309,0.09648475
-5.72986493,1.61941004,0.63826535,1.00243535,0.00862056,0.03346846,0.45600406,0.00000000,0.38774976,0.09536220
-5.72386193,1.58057369,0.62164913,0.97552524,0.00822668,0.03276498,0.44554834,0.00000000,0.38017557,0.09417757
-5.71785893,1.54491201,0.60475083,0.95246222,0.00782853,0.03214690,0.43445450,0.00000000,0.37137497,0.09292552
-5.71185593,1.51291597,0.58773891,0.93361172,0.00742443,0.03162294,0.42283027,0.00000000,0.36143286,0.09160574
-5.70585293,1.48506430,0.57079910,0.91929981,0.00701386,0.03119960,0.41080604,0.00000000,0.35046939,0.09022208
-5.69984992,1.46180385,0.55412640,0.90980146,0.00659732,0.03088105,0.39852864,0.00000000,0.33863369,0.08878159
