energy_ev,total_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.85386194,0.33197134,0.12996379,0.35228302,0.17784314,0.02507640,0.07320777,0.33879782,0.00000000
-5.99399700,0.81109682,0.31820536,0.12276183,0.32757116,0.17168282,0.02631368,0.06760555,0.31732334,0.00000000
-5.98799400,0.77226066,0.30537911,0.11645073,0.30398715,0.16598815,0.02759196,0.06236299,0.29754109,0.00000000
-5.98199100,0.73762264,0.29359097,0.11106445,0.28177899,0.16079100,0.02889491,0.05752814,0.27958629,0.00000000
-5.97598799,0.70742634,0.28293552,0.10662908,0.26118803,0.15611902,0.03020687,0.05314703,0.26357699,0.00000000
-5.96998499,0.68189317,0.27350506,0.10316363,0.24244747,0.15199571,0.03151313,0.04926375,0.24961588,0.00000000
-5.96398199,0.66122478,0.26539067,0.10068077,0.22578052,0.14844051,0.03280020,0.04592044,0.23779175,0.00000000
-5.95797899,0.64560425,0.25868264,0.09918733,0.21139832,0.14546879,0.03405595,0.04315714,0.22818072,0.00000000
-5.95197599,0.63519559,0.25347021,0.09868457,0.19949748,0.14309174,0.03526981,0.04101154,0.22084690,0.00000000
-5.94597299,0.63014157,0.24984048,0.09916819,0.19025723,0.14131627,0.03643272,0.03951847,0.21584242,0.00000000
-5.93996998,0.63055968,0.24787661,0.10062800,0.18383623,0.14014467,0.03753717,0.03870933,0.21320688,0.00000000
-5.93396698,0.63653628,0.24765509,0.10304735,0.18036896,0.13957429,0.03857707,0.03861127,0.21296601,0.00000000
-5.92796398,0.64811896,0.24924230,0.10640221,0.17996179,0.13959700,0.03954759,0.03924623,0.21512973,0.00000000
-5.92196098,0.66530756,0.25269049,0.11066014,0.18268877,0.14019866,0.04044501,0.04062981,0.21968954,0.00000000
-5.91595798,0.68804405,0.25803317,0.11577901,0.18858710,0.14135842,0.04126641,0.04277007,0.22661542,0.00000000
-5.90995498,0.71620184,0.26528023,0.12170573,0.19765270,0.14304807,0.04200951,0.04566623,0.23585241,0.00000000
-5.90395198,0.74957510,0.27441306,0.12837504,0.20983574,0.14523137,0.04267229,0.04930728,0.24731696,0.00000000
-5.89794897,0.78786875,0.28537980,0.13570838,0.22503658,0.14786346,0.04325284,0.05367079,0.26089339,0.00000000
-5.89194597,0.83068996,0.29809118,0.14361319,0.24310227,0.15089038,0.04374909,0.05872169,0.27643077,0.00000000
-5.88594297,0.87754176,0.31241708,0.15198246,0.26382393,0.15424886,0.04415860,0.06441136,0.29374030,0.00000000
-5.87993997,0.92781959,0.32818430,0.16069490,0.28693535,0.15786628,0.04447844,0.07067701,0.31259371,0.00000000
-5.87393697,0.98081146,0.34517561,0.16961567,0.31211295,0.16166103,0.04470512,0.07744134,0.33272279,0.00000000
-5.86793397,1.03570225,0.36313047,0.17859773,0.33897760,0.16554321,0.04483454,0.08461283,0.35382040,0.00000000
-5.86193097,1.09158245,0.38174745,0.18748395,0.36709825,0.16941578,0.04486207,0.09208638,0.37554301,0.00000000
-5.85592796,1.14746166,0.40068854,0.19610976,0.39599773,0.17317605,0.04478266,0.09974464,0.39751499,0.00000000
-5.84992496,1.20228663,0.41958527,0.20430660,0.42516061,0.17671763,0.04459105,0.10745982,0.41933468,0.00000000
-5.84392196,1.25496361,0.43804658,0.21190573,0.45404309,0.17993275,0.04428198,0.11509612,0.44058206,0.00000000
-5.83791896,1.30438429,0.45566823,0.21874256,0.48208477,0.18271488,0.04385054,0.12251264,0.46082795,0.00000000
-5.83191596,1.34945468,0.47204339,0.22466119,0.50872192,0.18496155,0.04329242,0.12956677,0.47964446,0.00000000
-5.82591296,1.38912569,0.48677417,0.22951898,0.53340185,0.18657729,0.04260434,0.13611783,0.49661626,0.00000000
-5.81990995,1.42242420,0.49948347,0.23319105,0.55559793,0.18747659,0.04178430,0.14203097,0.51135233,0.00000000
-5.81390695,1.44848336,0.50982669,0.23557436,0.57482451,0.18758666,0.04083193,0.14718108,0.52349754,0.00000000
-5.80790395,1.46657073,0.51750292,0.23659132,0.59065125,0.18684995,0.03974877,0.15145655,0.53274381,0.00000000
-5.80190095,1.47611285,0.52226488,0.23619265,0.60271620,0.18522623,0.03853842,0.15476276,0.53884000,0.00000000
-5.79589795,1.47671510,0.52392724,0.23435937,0.61073687,0.18269422,0.03720675,0.15702505,0.54160033,0.00000000
-5.78989495,1.46817593,0.52237301,0.23110390,0.61451899,0.17925250,0.03576184,0.15819115,0.54091074,0.00000000
-5.78389195,1.45049453,0.51755746,0.22647010,0.61396235,0.17491985,0.03421405,0.15823281,0.53673295,0.00000000
-5.77788894,1.42387182,0.50950959,0.22053227,0.60906345,0.16973488,0.03257577,0.15714668,0.52910594,0.00000000
-5.77188594,1.38870434,0.49833097,0.21339332,0.59991488,0.16375489,0.03086126,0.15495424,0.51814487,0.00000000
-5.76588294,1.34557166,0.48419196,0.20518192,0.58670140,0.15705419,0.02908632,0.15170099,0.50403729,0.00000000
-5.75987994,1.29521766,0.46732565,0.19604907,0.56969283,0.14972176,0.02726791,0.14745471,0.48703707,0.00000000
-5.75387694,1.23852668,0.44801960,0.18616406,0.54923428,0.14185854,0.02542373,0.14230301,0.46745613,0.00000000
-5.74787394,1.17649575,0.42660604,0.17571015,0.52573393,0.13357428,0.02357179,0.13635033,0.44565443,0.00000000
-5.74187094,1.11020402,0.40345071,0.16488004,0.49964914,0.12498426,0.02172992,0.12971432,0.42202882,0.00000000
-5.73586793,1.04078098,0.37894109,0.15387150,0.47147142,0.11620590,0.01991533,0.12252207,0.39700102,0.00000000
-5.72986493,0.96937468,0.35347439,0.14288322,0.44171092,0.10735553,0.01814420,0.11490604,0.37100548,0.00000000
-5.72386193,0.89712140,0.32744591,0.13211109,0.41088119,0.09854530,0.01643134,0.10700017,0.34447754,0.00000000
-5.71785893,0.82511784,0.30123820,0.12174499,0.37948472,0.08988049,0.01478982,0.09893604,0.31784236,0.00000000
