energy_ev,total_up,Pb_p_up,Pb_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.04783896,0.01127411,0.00000027,0.00992849,0.01226663,0.02469778,0.00000000
-5.99399700,0.03983817,0.00953548,0.00000021,0.00805140,0.01015374,0.02042778,0.00000000
-5.98799400,0.03296377,0.00800711,0.00000017,0.00648946,0.00835273,0.01679168,0.00000000
-5.98199100,0.02710074,0.00667547,0.00000013,0.00519878,0.00682843,0.01371723,0.00000000
-5.97598799,0.02213700,0.00552537,0.00000010,0.00413958,0.00554743,0.01113591,0.00000000
-5.96998499,0.01796539,0.00454060,0.00000008,0.00327625,0.00447846,0.00898382,0.00000000
-5.96398199,0.01448512,0.00370456,0.00000006,0.00257732,0.00359268,0.00720210,0.00000000
-5.95797899,0.01160277,0.00300077,0.00000004,0.00201526,0.00286385,0.00573730,0.00000000
-5.95197599,0.00923301,0.00241325,0.00000003,0.00156628,0.00226834,0.00454144,0.00000000
-5.94597299,0.00729885,0.00192682,0.00000002,0.00120999,0.00178517,0.00357194,0.00000000
-5.93996998,0.00573170,0.00152741,0.00000002,0.00092912,0.00139590,0.00279144,0.00000000
-5.93396698,0.00447115,0.00120209,0.00000001,0.00070915,0.00108447,0.00216746,0.00000000
-5.92796398,0.00346460,0.00093928,0.00000001,0.00053801,0.00083707,0.00167211,0.00000000
-5.92196098,0.00266670,0.00072865,0.00000001,0.00040573,0.00064191,0.00128162,0.00000000
-5.91595798,0.00203884,0.00056120,0.00000001,0.00030417,0.00048904,0.00097596,0.00000000
-5.90995498,0.00154839,0.00042913,0.00000000,0.00022672,0.00037015,0.00073841,0.00000000
-5.90395198,0.00116811,0.00032578,0.00000000,0.00016808,0.00027835,0.00055511,0.00000000
-5.89794897,0.00087549,0.00024555,0.00000000,0.00012403,0.00020798,0.00041473,0.00000000
-5.89194597,0.00065206,0.00018375,0.00000000,0.00009124,0.00015446,0.00030805,0.00000000
-5.88594297,0.00048288,0.00013651,0.00000000,0.00006712,0.00011406,0.00022767,0.00000000
-5.87993997,0.00035597,0.00010069,0.00000000,0.00004970,0.00008385,0.00016773,0.00000000
-5.87393697,0.00026182,0.00007374,0.00000001,0.00003748,0.00006151,0.00012361,0.00000000
-5.86793397,0.00019304,0.00005361,0.00000001,0.00002941,0.00004522,0.00009176,0.00000000
-5.86193097,0.00014396,0.00003870,0.00000001,0.00002478,0.00003361,0.00006950,0.00000000
-5.85592796,0.00011034,0.00002774,0.00000002,0.00002319,0.00002566,0.00005490,0.00000000
-5.84992496,0.00008921,0.00001974,0.00000002,0.00002454,0.00002065,0.00004666,0.00000000
-5.84392196,0.00007860,0.00001395,0.00000003,0.00002901,0.00001809,0.00004404,0.00000000
-5.83791896,0.00007752,0.00000979,0.00000005,0.00003711,0.00001773,0.00004681,0.00000000
-5.83191596,0.00008582,0.00000683,0.00000007,0.00004968,0.00001953,0.00005524,0.00000000
-5.82591296,0.00010423,0.00000475,0.00000010,0.00006798,0.00002364,0.00007012,0.00000000
-5.81990995,0.00013436,0.00000330,0.00000014,0.00009376,0.00003040,0.00009281,0.00000000
-5.81390695,0.00017883,0.00000230,0.00000019,0.00012937,0.00004040,0.00012532,0.00000000
-5.80790395,0.00024134,0.00000165,0.00000026,0.00017792,0.00005447,0.00017039,0.00000000
-5.80190095,0.00032692,0.00000124,0.00000036,0.00024344,0.00007372,0.00023169,0.00000000
-5.79589795,0.00044215,0.00000103,0.00000048,0.00033109,0.00009962,0.00031394,0.00000000
-5.78989495,0.00059544,0.00000099,0.00000065,0.00044743,0.00013404,0.00042317,0.00000000
-5.78389195,0.00079736,0.00000111,0.00000087,0.00060067,0.00017934,0.00056695,0.00000000
-5.77788894,0.00106110,0.00000141,0.00000116,0.00080105,0.00023842,0.00075467,0.00000000
-5.77188594,0.00140285,0.00000191,0.00000153,0.00106117,0.00031486,0.00099786,0.00000000
-5.76588294,0.00184231,0.00000270,0.00000200,0.00139648,0.00041299,0.00131056,0.00000000
-5.75987994,0.00240322,0.00000385,0.00000261,0.00182566,0.00053801,0.00170969,0.00000000
-5.75387694,0.00311393,0.00000552,0.00000336,0.00237120,0.00069609,0.00221541,0.00000000
-5.74787394,0.00400794,0.00000788,0.00000431,0.00305990,0.00089449,0.00285158,0.00000000
-5.74187094,0.00512448,0.00001119,0.00000549,0.00392345,0.00114163,0.00364614,0.00000000
