energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
0.40520260,2.44163600,0.00082121,0.14747693,0.01207807,0.29573664,0.14428391,2.13378714
0.41120560,2.42661451,0.00090084,0.14716889,0.01198559,0.30582370,0.14739510,2.11029348
0.41720860,2.41232596,0.00098566,0.14683651,0.01195668,0.31754940,0.15102712,2.08615037
0.42321161,2.39921268,0.00107513,0.14651399,0.01199587,0.33081084,0.15514744,2.06185495
0.42921461,2.38764674,0.00116854,0.14623101,0.01210535,0.34548041,0.15971740,2.03786064
0.43521761,2.37791435,0.00126502,0.14601158,0.01228498,0.36140509,0.16469176,2.01456268
0.44122061,2.37020284,0.00136354,0.14587312,0.01253227,0.37840653,0.17001826,1.99228554
0.44722361,2.36459119,0.00146296,0.14582584,0.01284245,0.39628166,0.17563741,1.97127301
0.45322661,2.36104436,0.00156201,0.14587232,0.01320874,0.41480421,0.18148245,1.95168115
0.45922961,2.35941196,0.00165935,0.14600739,0.01362250,0.43372712,0.18747961,1.93357459
0.46523262,2.35943135,0.00175363,0.14621835,0.01407358,0.45278570,0.19354865,1.91692638
0.47123562,2.36073530,0.00184349,0.14648541,0.01455067,0.47170184,0.19960376,1.90162134
0.47723862,2.36286388,0.00192765,0.14678247,0.01504162,0.49018887,0.20555479,1.88746304
0.48324162,2.36528048,0.00200493,0.14707810,0.01553391,0.50795711,0.21130877,1.87418401
0.48924462,2.36739116,0.00207433,0.14733679,0.01601499,0.52471997,0.21677180,1.86145889
0.49524762,2.36856671,0.00213504,0.14752034,0.01647267,0.54020039,0.22185109,1.84892002
0.50125063,2.36816665,0.00218650,0.14758934,0.01689550,0.55413726,0.22645722,1.83617478
0.50725363,2.36556396,0.00222841,0.14750483,0.01727308,0.56629189,0.23050644,1.82282387
0.51325663,2.36016971,0.00226078,0.14722979,0.01759632,0.57645396,0.23392298,1.80847989
0.51925963,2.35145634,0.00228392,0.14673071,0.01785767,0.58444699,0.23664125,1.79278518
0.52526263,2.33897865,0.00229841,0.14597896,0.01805128,0.59013289,0.23860780,1.77542822
0.53126563,2.32239149,0.00230512,0.14495200,0.01817307,0.59341561,0.23978300,1.75615771
0.53726863,2.30146326,0.00230518,0.14363429,0.01822076,0.59424353,0.24014231,1.73479368
0.54327164,2.27608471,0.00229989,0.14201800,0.01819386,0.59261060,0.23967709,1.71123513
0.54927464,2.24627244,0.00229071,0.14010335,0.01809350,0.58855620,0.23839494,1.68546377
0.55527764,2.21216703,0.00227920,0.13789860,0.01792236,0.58216353,0.23631941,1.65754366
0.56128064,2.17402583,0.00226692,0.13541978,0.01768442,0.57355678,0.23348928,1.62761687
0.56728364,2.13221079,0.00225538,0.13268996,0.01738475,0.56289698,0.22995717,1.59589524
0.57328664,2.08717184,0.00224601,0.12973842,0.01702926,0.55037685,0.22578783,1.56264893
0.57928964,2.03942670,0.00224001,0.12659934,0.01662444,0.53621471,0.22105586,1.52819204
0.58529265,1.98953805,0.00223841,0.12331051,0.01617713,0.52064771,0.21584319,1.49286640
0.59129565,1.93808926,0.00224191,0.11991172,0.01569422,0.50392469,0.21023631,1.45702413
0.59729865,1.88565981,0.00225093,0.11644325,0.01518249,0.48629887,0.20432335,1.42101008
0.60330165,1.83280155,0.00226554,0.11294425,0.01464835,0.46802065,0.19819126,1.38514488
0.60930465,1.78001710,0.00228551,0.10945128,0.01409777,0.44933090,0.19192303,1.34970978
0.61530765,1.72774124,0.00231024,0.10599700,0.01353610,0.43045480,0.18559520,1.31493369
0.62131066,1.67632629,0.00233885,0.10260907,0.01296801,0.41159662,0.17927573,1.28098342
0.62731366,1.62603200,0.00237018,0.09930930,0.01239749,0.39293557,0.17302228,1.24795736
0.63331666,1.57702047,0.00240287,0.09611314,0.01182783,0.37462277,0.16688103,1.21588304
0.63931966,1.52935618,0.00243536,0.09302950,0.01126167,0.35677948,0.16088604,1.18471852
0.64532266,1.48301094,0.00246600,0.09006088,0.01070107,0.33949666,0.15505914,1.15435756
0.65132566,1.43787354,0.00249312,0.08720381,0.01014760,0.32283565,0.14941040,1.12463831
0.65732866,1.39376330,0.00251505,0.08444962,0.00960247,0.30683003,0.14393908,1.09535481
0.66333167,1.35044696,0.00253022,0.08178544,0.00906662,0.29148840,0.13863503,1.06627091
0.66933467,1.30765778,0.00253722,0.07919536,0.00854084,0.27679801,0.13348044,1.03713573
0.67533767,1.26511602,0.00253482,0.07666177,0.00802587,0.26272886,0.12845184,1.00769994
0.68134067,1.22254966,0.00252207,0.07416676,0.00752252,0.24923824,0.12352222,0.97773198
0.68734367,1.17971449,0.00249828,0.07169346,0.00703172,0.23627530,0.11866326,0.94703362
0.69334667,1.13641262,0.00246307,0.06922742,0.00655459,0.22378554,0.11384741,0.91545408
0.69934967,1.09250868,0.00241639,0.06675776,0.00609248,0.21171502,0.10904981,0.88290210
0.70535268,1.04794311,0.00235851,0.06427819,0.00564701,0.20001400,0.10425000,0.84935567
0.71135568,1.00274217,0.00229000,0.06178778,0.00522003,0.18864010,0.09943324,0.81486908
0.71735868,0.95702443,0.00221173,0.05929156,0.00481365,0.17756067,0.09459154,0.77957715
0.72336168,0.91100383,0.00212486,0.05680075,0.00443020,0.16675444,0.08972425,0.74369668
0.72936468,0.86498937,0.00203078,0.05433276,0.00407222,0.15621247,0.08483829,0.70752542
0.73536768,0.81938184,0.00193110,0.05191098,0.00374237,0.14593836,0.07994798,0.67143869
0.74137069,0.77466800,0.00182759,0.04956422,0.00344347,0.13594789,0.07507455,0.63588407
0.74737369,0.73141275,0.00172220,0.04732604,0.00317841,0.12626803,0.07024541,0.60137471
0.75337669,0.69024983,0.00161694,0.04523378,0.00295016,0.11693566,0.06549315,0.56848151
0.75937969,0.65187161,0.00151396,0.04332759,0.00276171,0.10799591,0.06085440,0.53782482
0.76538269,0.61701849,0.00141541,0.04164916,0.00261608,0.09950038,0.05636863,0.51006583
0.77138569,0.58646820,0.00132352,0.04024056,0.00251631,0.09150531,0.05207689,0.48589814
0.77738869,0.56102561,0.00124053,0.03914296,0.00246543,0.08406979,0.04802063,0.46603967
0.78339170,0.54151291,0.00116868,0.03839535,0.00246649,0.07725414,0.04424056,0.45122491
0.78939470,0.52876049,0.00111024,0.03803340,0.00252254,0.07111848,0.04077571,0.44219780
0.79539770,0.52359834,0.00106744,0.03808829,0.00263661,0.06572156,0.03766255,0.43970484
0.80140070,0.52684787,0.00104255,0.03858573,0.00281172,0.06111983,0.03493433,0.44448849
0.80740370,0.53931393,0.00103778,0.03954508,0.00305090,0.05736682,0.03262061,0.45728045
0.81340670,0.56177671,0.00105537,0.04097869,0.00335708,0.05451269,0.03074686,0.47879466
0.81940970,0.59498313,0.00109749,0.04289130,0.00373314,0.05260403,0.02933434,0.50971964
0.82541271,0.63963759,0.00116626,0.04527977,0.00418183,0.05168380,0.02839999,0.55070988
0.83141571,0.69639159,0.00126373,0.04813292,0.00470571,0.05179134,0.02795647,0.60237610
0.83741871,0.76583225,0.00139179,0.05143161,0.00530709,0.05296247,0.02801234,0.66527415
0.84342171,0.84846944,0.00155221,0.05514900,0.00598798,0.05522957,0.02857224,0.73989257
0.84942471,0.94472173,0.00174647,0.05925104,0.00674996,0.05862156,0.02963711,0.82663878
0.85542771,1.05490127,0.00197581,0.06369712,0.00759414,0.06316387,0.03120453,0.92582423
0.86143072,1.17919796,0.00224106,0.06844088,0.00852106,0.06887830,0.03326903,1.03764875
0.86743372,1.31766340,0.00254264,0.07343121,0.00953060,0.07578269,0.03582240,1.16218465
0.87343672,1.47019522,0.00288042,0.07861325,0.01062193,0.08389056,0.03885411,1.29936113
0.87943972,1.63652255,0.00325372,0.08392959,0.01179343,0.09321062,0.04235170,1.44894977
0.88544272,1.81619341,0.00366120,0.08932144,0.01304263,0.10374621,0.04630116,1.61055187
0.89144572,2.00856472,0.00410084,0.09472982,0.01436623,0.11549463,0.05068743,1.78358835
0.89744872,2.21279602,0.00456987,0.10009668,0.01576006,0.12844651,0.05549485,1.96729312
0.90345173,2.42784722,0.00506484,0.10536598,0.01721911,0.14258509,0.06070763,2.16071055
0.90945473,2.65248133,0.00558157,0.11048466,0.01873757,0.15788563,0.06631028,2.36269768
0.91545773,2.88527235,0.00611524,0.11540347,0.02030891,0.17431469,0.07228811,2.57193148
0.92146073,3.12461855,0.00666041,0.12007761,0.02192592,0.19182960,0.07862752,2.78692153
0.92746373,3.36876113,0.00721122,0.12446725,0.02358088,0.21037786,0.08531630,3.00602791
0.93346673,3.61580790,0.00776139,0.12853786,0.02526559,0.22989662,0.09234371,3.22748411
0.93946973,3.86376123,0.00830447,0.13226034,0.02697152,0.25031219,0.09970049,3.44942431
0.94547274,4.11054962,0.00883395,0.13561107,0.02868990,0.27153955,0.10737849,3.66991428
0.95147574,4.35406163,0.00934345,0.13857167,0.03041180,0.29348187,0.11537022,3.88698479
0.95747874,4.59218100,0.00982686,0.14112881,0.03212822,0.31603006,0.12366805,4.09866631
0.96348174,4.82282163,0.01027853,0.14327379,0.03383010,0.33906231,0.13226317,4.30302387
0.96948474,5.04396105,0.01069341,0.14500211,0.03550834,0.36244369,0.14114432,4.49819044
0.97548774,5.25367119,0.01106719,0.14631298,0.03715378,0.38602587,0.15029630,4.68239784
0.98149075,5.45014531,0.01139635,0.14720879,0.03875716,0.40964687,0.15969832,4.85400390
0.98749375,5.63172027,0.01167826,0.14769463,0.04030900,0.43313119,0.16932237,5.01151506
0.99349675,5.79689367,0.01191121,0.14777780,0.04179960,0.45629005,0.17913148,5.15360367
0.99949975,5.94433559,0.01209436,0.14746737,0.04321885,0.47892221,0.18907827,5.27911980
1.00550275,6.07289517,0.01222774,0.14677379,0.04455620,0.50081514,0.19910366,5.38709757
1.01150575,6.18160263,0.01231213,0.14570862,0.04580061,0.52174683,0.20913605,5.47675646
1.01750875,6.26966737,0.01234898,0.14428424,0.04694048,0.54148825,0.21909090,5.54749816
1.02351176,6.33647348,0.01234027,0.14251372,0.04796376,0.55980650,0.22887101,5.59890014
1.02951476,6.38157357,0.01228841,0.14041075,0.04885798,0.57646870,0.23836739,5.63070686
1.03551776,6.40468244,0.01219603,0.13798957,0.04961046,0.59124652,0.24746089,5.64281994
1.04152076,6.40567152,0.01206594,0.13526509,0.05020855,0.60392136,0.25602455,5.63528850
1.04752376,6.38456514,0.01190092,0.13225297,0.05063993,0.61429002,0.26392654,5.60830051
1.05352676,6.34153932,0.01170371,0.12896980,0.05089301,0.62217066,0.27103383,5.56217629
1.05952976,6.27692327,0.01147684,0.12543324,0.05095736,0.62740888,0.27721626,5.49736432
1.06553277,6.19120378,0.01122269,0.12166230,0.05082415,0.62988368,0.28235091,5.41443976
1.07153577,6.08503172,0.01094338,0.11767751,0.05048664,0.62951297,0.28632669,5.31410552
1.07753877,5.95923000,0.01064083,0.11350112,0.04994059,0.62625844,0.28904876,5.19719505
1.08354177,5.81480184,0.01031680,0.10915728,0.04918469,0.62012940,0.29044276,5.06467642
1.08954477,5.65293791,0.00997291,0.10467215,0.04822087,0.61118554,0.29045847,4.91765618
1.09554777,5.47502089,0.00961073,0.10007394,0.04705450,0.59953819,0.28907278,4.75738219
1.10155078,5.28262610,0.00923183,0.09539295,0.04569457,0.58535011,0.28629189,4.58524390
1.10755378,5.07751691,0.00883789,0.09066142,0.04415362,0.56883364,0.28215239,4.40276906
1.11355678,4.86163383,0.00843074,0.08591341,0.04244760,0.55024725,0.27672142,4.21161591
1.11955978,4.63707686,0.00801243,0.08118451,0.04059565,0.52989055,0.27009559,4.01356015
1.12556278,4.40608078,0.00758523,0.07651158,0.03861964,0.50809790,0.26239895,3.81047639
1.13156578,4.17098364,0.00715172,0.07193232,0.03654375,0.48523090,0.25377990,3.60431419
1.13756878,3.93418940,0.00671472,0.06748488,0.03439381,0.46166990,0.24440725,3.39706912
1.14357179,3.69812573,0.00627733,0.06320744,0.03219676,0.43780504,0.23446556,3.19074971
1.14957479,3.46519865,0.00584287,0.05913773,0.02997995,0.41402698,0.22415005,2.98734154
1.15557779,3.23774573,0.00541481,0.05531268,0.02777050,0.39071784,0.21366114,2.78876986
1.16158079,3.01798997,0.00499676,0.05176803,0.02559471,0.36824257,0.20319898,2.59686227
1.16758379,2.80799622,0.00459239,0.04853804,0.02347751,0.34694111,0.19295815,2.41331325
1.17358679,2.60963204,0.00420533,0.04565531,0.02144198,0.32712167,0.18312272,2.23965196
1.17958979,2.42453476,0.00383916,0.04315065,0.01950901,0.30905531,0.17386190,2.07721485
1.18559280,2.25408605,0.00349735,0.04105314,0.01769701,0.29297193,0.16532634,1.92712424
1.19159580,2.09939489,0.00318317,0.03939019,0.01602183,0.27905786,0.15764533,1.79027368
1.19759880,1.96128959,0.00289972,0.03818777,0.01449664,0.26745505,0.15092480,1.66732064
1.20360180,1.84031873,0.00264986,0.03747072,0.01313207,0.25826170,0.14524629,1.55868669
1.20960480,1.73676087,0.00243625,0.03726305,0.01193632,0.25153436,0.14066680,1.46456482
1.21560780,1.65064197,0.00226129,0.03758834,0.01091538,0.24729125,0.13721937,1.38493338
1.22161081,1.58175947,0.00212717,0.03847005,0.01007329,0.24551656,0.13491457,1.31957572
1.22761381,1.52971158,0.00203590,0.03993185,0.00941244,0.24616554,0.13374241,1.26810424
1.23361681,1.49393006,0.00198927,0.04199779,0.00893384,0.24917000,0.13367484,1.22998779
1.23961981,1.47371473,0.00198889,0.04469233,0.00863740,0.25444401,0.13466847,1.20458069
1.24562281,1.46826807,0.00203621,0.04804024,0.00852211,0.26188944,0.13666755,1.19115210
1.25162581,1.47672806,0.00213248,0.05206624,0.00858631,0.27140107,0.13960680,1.18891443
1.25762881,1.49819788,0.00227879,0.05679441,0.00882773,0.28287109,0.14341422,1.19704937
1.26363182,1.53177122,0.00247599,0.06224738,0.00924353,0.29619259,0.14801354,1.21473058
1.26963482,1.57655219,0.00272471,0.06844526,0.00983035,0.31126212,0.15332633,1.24114237
1.27563782,1.63166923,0.00302525,0.07540431,0.01058415,0.32798097,0.15927364,1.27549354
1.28164082,1.69628285,0.00337760,0.08313551,0.01150009,0.34625535,0.16577718,1.31702644
1.28764382,1.76958721,0.00378131,0.09164286,0.01257234,0.36599530,0.17275994,1.36502106
1.29364682,1.85080617,0.00423545,0.10092172,0.01379389,0.38711256,0.18014639,1.41879466
1.29964982,1.93918438,0.00473855,0.11095708,0.01515626,0.40951746,0.18786219,1.47769726
1.30565283,2.03397473,0.00528853,0.12172195,0.01664930,0.43311522,0.19583362,1.54110402
1.31165583,2.13442317,0.00588261,0.13317594,0.01826103,0.45780166,0.20398670,1.60840523
1.31765883,2.23975252,0.00651733,0.14526410,0.01997744,0.48345893,0.21224618,1.67899498
1.32366183,2.34914653,0.00718846,0.15791619,0.02178242,0.50995137,0.22053458,1.75225969
1.32966483,2.46173576,0.00789101,0.17104639,0.02365774,0.53712193,0.22877129,1.82756728
1.33566783,2.57658641,0.00861923,0.18455355,0.02558314,0.56478942,0.23687191,1.90425823
1.34167084,2.69269342,0.00936668,0.19832202,0.02753652,0.59274694,0.24474798,1.98163910
1.34767384,2.80897852,0.01012625,0.21222317,0.02949416,0.62076156,0.25230704,2.05897932
1.35367684,2.92429394,0.01089025,0.22611744,0.03143110,0.64857559,0.25945322,2.13551160
1.35967984,3.03743184,0.01165054,0.23985707,0.03332162,0.67590931,0.26608836,2.21043623
1.36568284,3.14713956,0.01239867,0.25328928,0.03513971,0.70246524,0.27211348,2.28292915
1.37168584,3.25213999,0.01312600,0.26625990,0.03685970,0.72793383,0.27743081,2.35215355
1.37768884,3.35115643,0.01382393,0.27861735,0.03845682,0.75200024,0.28194611,2.41727464
1.38369185,3.44294084,0.01448403,0.29021674,0.03990787,0.77435210,0.28557125,2.47747669
1.38969485,3.52630421,0.01509831,0.30092393,0.04119181,0.79468770,0.28822688,2.53198174
1.39569785,3.60014756,0.01565936,0.31061950,0.04229036,0.81272440,0.28984513,2.58006904
1.40170085,3.66349227,0.01616061,0.31920227,0.04318851,0.82820670,0.29037214,2.62109413
1.40770385,3.71550808,0.01659652,0.32659236,0.04387493,0.84091372,0.28977022,2.65450690
1.41370685,3.75553757,0.01696274,0.33273351,0.04434238,0.85066559,0.28801964,2.67986746
1.41970985,3.78311586,0.01725630,0.33759471,0.04458786,0.85732858,0.28511991,2.69685932
1.42571286,3.79798453,0.01747578,0.34117080,0.04461275,0.86081859,0.28109034,2.70529901
1.43171586,3.80009927,0.01762138,0.34348227,0.04442275,0.86110303,0.27597006,2.70514189
1.43771886,3.78963068,0.01769502,0.34457399,0.04402775,0.85820089,0.26981730,2.69648377
1.44372186,3.76695837,0.01770037,0.34451315,0.04344149,0.85218120,0.26270804,2.67955822
1.44972486,3.73265852,0.01764287,0.34338628,0.04268117,0.84315985,0.25473407,2.65472981
