energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,3.97796336,0.15390896,0.07357458,0.67192928,0.34727626,0.63057356,1.47798036,0.06775187,1.25281138
-5.99399700,4.06934471,0.15638751,0.07475390,0.69356634,0.35876929,0.64696343,1.50148259,0.07010140,1.28874367
-5.98799400,4.16439867,0.15865184,0.07579846,0.71415448,0.37135315,0.66288423,1.52559671,0.07275169,1.32687499
-5.98199100,4.26239935,0.16064740,0.07669419,0.73357567,0.38494249,0.67812429,1.55007587,0.07571082,1.36700683
-5.97598799,4.36272236,0.16232272,0.07743198,0.75175333,0.39943115,0.69249678,1.57473514,0.07898539,1.40895422
-5.96998499,4.46490692,0.16363238,0.07800869,0.76866051,0.41469920,0.70585160,1.59947341,0.08258115,1.45256501
-5.96398199,4.56870814,0.16453977,0.07842794,0.78432629,0.43062081,0.71808600,1.62429031,0.08650352,1.49773698
-5.95797899,4.67413571,0.16501957,0.07870056,0.79883965,0.44707214,0.72915297,1.64929678,0.09075792,1.54443128
-5.95197599,4.78147559,0.16505978,0.07884461,0.81235065,0.46393903,0.73906705,1.67471826,0.09534986,1.59268123
-5.94597299,4.89129247,0.16466306,0.07888513,0.82506828,0.48112386,0.74790696,1.70088998,0.10028482,1.64259555
-5.93996998,5.00441162,0.16384750,0.07885332,0.83725515,0.49855112,0.75581498,1.72824403,0.10556769,1.69435541
-5.93396698,5.12188006,0.16264656,0.07878554,0.84921890,0.51617133,0.76299279,1.75728875,0.11120200,1.74820498
-5.92796398,5.24490813,0.16110834,0.07872181,0.86130062,0.53396290,0.76969392,1.78858110,0.11718885,1.80443571
-5.92196098,5.37479381,0.15929406,0.07870416,0.87386065,0.55193185,0.77621317,1.82269349,0.12352555,1.86336481
-5.91595798,5.51283326,0.15727589,0.07877473,0.88726241,0.57010912,0.78287327,1.86017654,0.13020405,1.92530877
-5.90995498,5.66022195,0.15513423,0.07897380,0.90185491,0.58854561,0.79000944,1.90151991,0.13720941,1.99055314
-5.90395198,5.81795144,0.15295451,0.07933782,0.91795470,0.60730519,0.79795257,1.94711321,0.14451808,2.05932024
-5.89794897,5.98670759,0.15082371,0.07989754,0.93582827,0.62645596,0.80701179,1.99720929,0.15209651,2.13173633
-5.89194597,6.16677571,0.14882673,0.08067629,0.95567561,0.64606015,0.81745717,2.05189195,0.15989980,2.20780027
-5.88594297,6.35795853,0.14704279,0.08168863,0.97761582,0.66616341,0.82950355,2.11105015,0.16787087,2.28735548
-5.87993997,6.55951184,0.14554201,0.08293922,1.00167564,0.68678402,0.84329615,2.17436022,0.17594003,2.37006711
-5.87393697,6.77010251,0.14438233,0.08442222,1.02778135,0.70790273,0.85889878,2.24127746,0.18402505,2.45540597
-5.86793397,6.98779203,0.14360698,0.08612105,1.05575474,0.72945390,0.87628524,2.31103781,0.19203192,2.54264063
-5.86193097,7.21004781,0.14324243,0.08800862,1.08531334,0.75131872,0.89533440,2.38266995,0.19985622,2.63083873
-5.85592796,7.43378310,0.14329720,0.09004804,1.11607507,0.77332087,0.91582920,2.45501746,0.20738509,2.71887795
-5.84992496,7.65542489,0.14376127,0.09219368,1.14756734,0.79522524,0.93745994,2.52677049,0.21449987,2.80546685
-5.84392196,7.87100775,0.14460636,0.09439272,1.17924012,0.81673990,0.95983148,2.59650533,0.22107919,2.88917501
-5.83791896,8.07629020,0.14578697,0.09658686,1.21048280,0.83752142,0.98247448,2.66273065,0.22700248,2.96847169
-5.83191596,8.26688910,0.14724214,0.09871445,1.24064398,0.85718352,1.00485997,2.72393804,0.23215380,3.04177145
-5.82591296,8.43842653,0.14889781,0.10071261,1.26905348,0.87530866,1.02641693,2.77865495,0.23642571,3.10748507
-5.81990995,8.58668284,0.15066984,0.10251955,1.29504579,0.89146224,1.04655204,2.82549747,0.23972311,3.16407363
-5.81390695,8.70774924,0.15246738,0.10407682,1.31798384,0.90520860,1.06467081,2.86322082,0.24196682,3.21010325
-5.80790395,8.79817327,0.15419646,0.10533139,1.33728221,0.91612821,1.08019932,2.89076519,0.24309672,3.24429830
-5.80190095,8.85509054,0.15576385,0.10623770,1.35242877,0.92383519,1.09260560,2.90729508,0.24307440,3.26559041
-5.79589795,8.87633694,0.15708074,0.10675925,1.36300381,0.92799414,1.10141966,2.91223038,0.24188496,3.27316129
-5.78989495,8.86053624,0.15806626,0.10687004,1.36869584,0.92833565,1.10625158,2.90526783,0.23953809,3.26647701
-5.78389195,8.80715913,0.15865067,0.10655552,1.36931346,0.92466942,1.10680668,2.88639221,0.23606828,3.24531249
-5.77788894,8.71655112,0.15877804,0.10581321,1.36479263,0.91689455,1.10289724,2.85587666,0.23153409,3.20976470
-5.77188594,8.58992809,0.15840830,0.10465288,1.35519915,0.90500621,1.09445033,2.81427230,0.22601655,3.16025418
