energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.79208997,1.85019997,4.06100227,0.00183282,0.04479634,0.24891012,0.46709439,0.30802816,0.00000000
-5.99399700,4.79454599,1.83315022,4.05081025,0.00190004,0.04562833,0.25556696,0.48009684,0.30745336,0.00000000
-5.98799400,4.81029494,1.82110583,4.05021364,0.00196633,0.04684359,0.26375225,0.49488673,0.30771361,0.00000000
-5.98199100,4.83852744,1.81385125,4.05845793,0.00203096,0.04843061,0.27340982,0.51138411,0.30885765,0.00000000
-5.97598799,4.87809964,1.81106577,4.07451643,0.00209319,0.05037089,0.28445287,0.52947302,0.31091796,0.00000000
-5.96998499,4.92757516,1.81234232,4.09712985,0.00215228,0.05263924,0.29676642,0.54900280,0.31390931,0.00000000
-5.96398199,4.98527458,1.81720700,4.12485299,0.00220748,0.05520412,0.31021024,0.56978988,0.31782758,0.00000000
-5.95797899,5.04933048,1.82513887,4.15610672,0.00225812,0.05802818,0.32462221,0.59161993,0.32264891,0.00000000
-5.95197599,5.11774583,1.83558883,4.18923296,0.00230362,0.06106883,0.33982183,0.61425055,0.32832924,0.00000000
-5.94597299,5.18845364,1.84799709,4.22255030,0.00234350,0.06427901,0.35561395,0.63741446,0.33480439,0.00000000
-5.93996998,5.25937531,1.86180846,4.25440792,0.00237740,0.06760796,0.37179253,0.66082304,0.34199063,0.00000000
-5.93396698,5.32847590,1.87648512,4.28323572,0.00240515,0.07100223,0.38814435,0.68417056,0.34978583,0.00000000
-5.92796398,5.39381439,1.89151650,4.30758850,0.00242674,0.07440661,0.40445267,0.70713874,0.35807123,0.00000000
-5.92196098,5.45358725,1.90642621,4.32618285,0.00244233,0.07776531,0.42050076,0.72940194,0.36671378,0.00000000
-5.91595798,5.50616437,1.92077603,4.33792535,0.00245230,0.08102303,0.43607530,0.75063271,0.37556899,0.00000000
-5.90995498,5.55011660,1.93416742,4.34193157,0.00245717,0.08412612,0.45096956,0.77050775,0.38448432,0.00000000
-5.90395198,5.58423443,1.94624061,4.33753551,0.00245765,0.08702374,0.46498650,0.78871409,0.39330289,0.00000000
-5.89794897,5.60753822,1.95667210,4.32428999,0.00245458,0.08966892,0.47794153,0.80495547,0.40186748,0.00000000
-5.89194597,5.61928018,1.96517098,4.30195853,0.00244893,0.09201954,0.48966526,0.81895861,0.41002464,0.00000000
-5.88594297,5.61893926,1.97147473,4.27049999,0.00244171,0.09403926,0.50000582,0.83047929,0.41762875,0.00000000
-5.87993997,5.60620970,1.97534504,4.23004734,0.00243399,0.09569819,0.50883107,0.83930791,0.42454590,0.00000000
-5.87393697,5.58098480,1.97656429,4.18088221,0.00242682,0.09697344,0.51603048,0.84527446,0.43065742,0.00000000
-5.86793397,5.54333703,1.97493303,4.12340695,0.00242117,0.09784950,0.52151659,0.84825253,0.43586283,0.00000000
-5.86193097,5.49349599,1.97026876,4.05811583,0.00241791,0.09831836,0.52522626,0.84816232,0.44008231,0.00000000
-5.85592796,5.43182542,1.96240623,3.98556701,0.00241778,0.09837940,0.52712134,0.84497243,0.44325827,0.00000000
-5.84992496,5.35880043,1.95119920,3.90635672,0.00242128,0.09803913,0.52718894,0.83870024,0.44535623,0.00000000
-5.84392196,5.27498598,1.93652355,3.82109666,0.00242871,0.09731069,0.52544121,0.82941111,0.44636489,0.00000000
-5.83791896,5.18101738,1.91828145,3.73039549,0.00244014,0.09621322,0.52191459,0.81721607,0.44629526,0.00000000
-5.83191596,5.07758323,1.89640623,3.63484500,0.00245532,0.09477103,0.51666859,0.80226834,0.44517918,0.00000000
-5.82591296,4.96541140,1.87086741,3.53501094,0.00247379,0.09301274,0.50978398,0.78475875,0.44306707,0.00000000
-5.81990995,4.84525783,1.84167563,3.43142853,0.00249480,0.09097030,0.50136066,0.76491021,0.44002507,0.00000000
-5.81390695,4.71789833,1.80888671,3.32460221,0.00251736,0.08867799,0.49151505,0.74297151,0.43613185,0.00000000
-5.80790395,4.58412297,1.77260474,3.21500899,0.00254031,0.08617147,0.48037722,0.71921073,0.43147507,0.00000000
-5.80190095,4.44473280,1.73298363,3.10310463,0.00256229,0.08348688,0.46808777,0.69390852,0.42614777,0.00000000
-5.79589795,4.30053830,1.69022702,2.98933180,0.00258185,0.08065994,0.45479460,0.66735148,0.42024475,0.00000000
-5.78989495,4.15235923,1.64458634,2.87412931,0.00259750,0.07772527,0.44064972,0.63982599,0.41385924,0.00000000
-5.78389195,4.00102515,1.59635724,2.75794156,0.00260774,0.07471575,0.42580608,0.61161253,0.40707987,0.00000000
-5.77788894,3.84737626,1.54587422,2.64122729,0.00261116,0.07166206,0.41041465,0.58298091,0.39998810,0.00000000
-5.77188594,3.69226404,1.49350405,2.52446712,0.00260649,0.06859233,0.39462175,0.55418623,0.39265621,0.00000000
-5.76588294,3.53655126,1.43963803,2.40816910,0.00259263,0.06553194,0.37856677,0.52546591,0.38514597,0.00000000
-5.75987994,3.38111109,1.38468368,2.29287209,0.00256873,0.06250343,0.36238024,0.49703760,0.37750787,0.00000000
-5.75387694,3.22682502,1.32905618,2.17914648,0.00253424,0.05952655,0.34618241,0.46909801,0.36978110,0.00000000
-5.74787394,3.07457955,1.27317000,2.06759244,0.00248889,0.05661834,0.33008223,0.44182256,0.36199406,0.00000000
-5.74187094,2.92526144,1.21743106,1.95883545,0.00243274,0.05379338,0.31417681,0.41536581,0.35416555,0.00000000
-5.73586793,2.77975167,1.16222989,1.85351955,0.00236617,0.05106405,0.29855130,0.38986233,0.34630633,0.00000000
-5.72986493,2.63891810,1.10793574,1.75229839,0.00228990,0.04844076,0.28327917,0.36542816,0.33842118,0.00000000
-5.72386193,2.50360695,1.05489216,1.65582448,0.00220490,0.04593237,0.26842280,0.34216239,0.33051108,0.00000000
-5.71785893,2.37463337,1.00341372,1.56473716,0.00211242,0.04354642,0.25403438,0.32014901,0.32257571,0.00000000
-5.71185593,2.25277116,0.95378414,1.47964946,0.00201389,0.04128951,0.24015700,0.29945866,0.31461576,0.00000000
-5.70585293,2.13874192,0.90625544,1.40113455,0.00191093,0.03916752,0.22682584,0.28015033,0.30663530,0.00000000
-5.69984992,2.03320394,0.86104817,1.32971208,0.00180523,0.03718591,0.21406947,0.26227285,0.29864371,0.00000000
-5.69384692,1.93674095,0.81835219,1.26583491,0.00169853,0.03534991,0.20191107,0.24586611,0.29065745,0.00000000
-5.68784392,1.84985114,0.77832799,1.20987656,0.00159256,0.03366464,0.19036967,0.23096200,0.28270120,0.00000000
-5.68184092,1.77293668,0.74110819,1.16211994,0.00148897,0.03213527,0.17946113,0.21758497,0.27480867,0.00000000
-5.67583792,1.70629417,0.70679890,1.12274767,0.00138930,0.03076700,0.16919901,0.20575238,0.26702271,0.00000000
-5.66983492,1.65010622,0.67548091,1.09183434,0.00129492,0.02956507,0.15959528,0.19547441,0.25939502,0.00000000
-5.66383192,1.60443482,0.64721056,1.06934110,0.00120699,0.02853471,0.15066065,0.18675386,0.25198526,0.00000000
-5.65782891,1.56921663,0.62202010,1.05511296,0.00112646,0.02768097,0.14240482,0.17958560,0.24485975,0.00000000
-5.65182591,1.54426082,0.59991775,1.04887892,0.00105405,0.02700865,0.13483641,0.17395600,0.23808981,0.00000000
-5.64582291,1.52924964,0.58088748,1.05025531,0.00099019,0.02652202,0.12796275,0.16984226,0.23174985,0.00000000
-5.63981991,1.52374227,0.56488862,1.05875230,0.00093512,0.02622467,0.12178948,0.16721169,0.22591534,0.00000000
-5.63381691,1.52718193,0.55185557,1.07378369,0.00088881,0.02611932,0.11632000,0.16602124,0.22066076,0.00000000
-5.62781391,1.53890660,0.54169774,1.09467988,0.00085100,0.02620754,0.11155497,0.16621705,0.21605768,0.00000000
-5.62181091,1.55816310,0.53429997,1.12070367,0.00082127,0.02648963,0.10749166,0.16773441,0.21217315,0.00000000
-5.61580790,1.58412449,0.52952364,1.15106855,0.00079900,0.02696441,0.10412344,0.17049799,0.20906827,0.00000000
-5.60980490,1.61591019,0.52720848,1.18495894,0.00078343,0.02762909,0.10143934,0.17442244,0.20679735,0.00000000
-5.60380190,1.65260845,0.52717521,1.22155155,0.00077372,0.02847922,0.09942374,0.17941354,0.20540730,0.00000000
-5.59779890,1.69330010,0.52922910,1.26003727,0.00076893,0.02950856,0.09805625,0.18536971,0.20493758,0.00000000
-5.59179590,1.73708297,0.53316406,1.29964240,0.00076808,0.03070915,0.09731175,0.19218406,0.20542044,0.00000000
-5.58579290,1.78309570,0.53876751,1.33964852,0.00077018,0.03207126,0.09716071,0.19974686,0.20688152,0.00000000
-5.57978989,1.83054004,0.54582540,1.37940998,0.00077426,0.03358348,0.09756964,0.20794840,0.20934066,0.00000000
-5.57378689,1.87870052,0.55412739,1.41836817,0.00077937,0.03523280,0.09850180,0.21668218,0.21281271,0.00000000
-5.56778389,1.92696058,0.56347175,1.45606190,0.00078466,0.03700469,0.09991801,0.22584834,0.21730850,0.00000000
-5.56178089,1.97481435,0.57366979,1.49213334,0.00078934,0.03888322,0.10177767,0.23535718,0.22283546,0.00000000
-5.55577789,2.02187352,0.58454945,1.52632925,0.00079271,0.04085115,0.10403985,0.24513258,0.22939822,0.00000000
-5.54977489,2.06786906,0.59595793,1.55849750,0.00079420,0.04289007,0.10666437,0.25511536,0.23699867,0.00000000
-5.54377189,2.11264763,0.60776318,1.58857908,0.00079333,0.04498047,0.10961300,0.26526617,0.24563584,0.00000000
-5.53776888,2.15616313,0.61985413,1.61659618,0.00078976,0.04710191,0.11285049,0.27556791,0.25530529,0.00000000
-5.53176588,2.19846386,0.63213982,1.64263695,0.00078328,0.04923308,0.11634558,0.28602755,0.26599816,0.00000000
-5.52576288,2.23967601,0.64454739,1.66683803,0.00077375,0.05135197,0.12007186,0.29667710,0.27769992,0.00000000
-5.51975988,2.27998472,0.65701915,1.68936584,0.00076121,0.05343605,0.12400840,0.30757373,0.29038890,0.00000000
-5.51375688,2.31961349,0.66950905,1.71039764,0.00074574,0.05546242,0.12814021,0.31879892,0.30403469,0.00000000
-5.50775388,2.35880340,0.68197875,1.73010364,0.00072756,0.05740808,0.13245845,0.33045659,0.31859657,0.00000000
-5.50175088,2.39779294,0.69439352,1.74863105,0.00070694,0.05925021,0.13696035,0.34267025,0.33402203,0.00000000
-5.49574787,2.43679978,0.70671846,1.76609091,0.00068426,0.06096648,0.14164892,0.35557920,0.35024560,0.00000000
-5.48974487,2.47600498,0.71891506,1.78254837,0.00065991,0.06253545,0.14653228,0.36933385,0.36718801,0.00000000
-5.48374187,2.51554051,0.73093847,1.79801683,0.00063435,0.06393700,0.15162283,0.38409030,0.38475580,0.00000000
-5.47773887,2.55548036,0.74273554,1.81245598,0.00060807,0.06515273,0.15693611,0.40000439,0.40284142,0.00000000
-5.47173587,2.59583530,0.75424376,1.82577373,0.00058154,0.06616648,0.16248946,0.41722537,0.42132395,0.00000000
-5.46573287,2.63655129,0.76539104,1.83783150,0.00055526,0.06696471,0.16830051,0.43588951,0.44007021,0.00000000
-5.45972986,2.67751127,0.77609633,1.84845252,0.00052970,0.06753696,0.17438554,0.45611376,0.45893650,0.00000000
-5.45372686,2.71853969,0.78627090,1.85743219,0.00050530,0.06787616,0.18075775,0.47798985,0.47777073,0.00000000
-5.44772386,2.75940946,0.79582025,1.86454998,0.00048246,0.06797895,0.18742553,0.50157909,0.49641491,0.00000000
-5.44172086,2.79985059,0.80464634,1.86958183,0.00046153,0.06784578,0.19439087,0.52690796,0.51470793,0.00000000
-5.43571786,2.83955994,0.81265003,1.87231248,0.00044280,0.06748104,0.20164781,0.55396486,0.53248856,0.00000000
-5.42971486,2.87821162,0.81973360,1.87254693,0.00042650,0.06689294,0.20918120,0.58269808,0.54959845,0.00000000
-5.42371186,2.91546752,0.82580319,1.87012060,0.00041278,0.06609333,0.21696571,0.61301520,0.56588522,0.00000000
-5.41770885,2.95098771,0.83077101,1.86490770,0.00040174,0.06509740,0.22496523,0.64478394,0.58120536,0.00000000
-5.41170585,2.98444037,0.83455742,1.85682768,0.00039338,0.06392327,0.23313267,0.67783436,0.59542705,0.00000000
-5.40570285,3.01551127,0.83709261,1.84584967,0.00038765,0.06259149,0.24141020,0.71196260,0.60843268,0.00000000
-5.39969985,3.04391253,0.83831820,1.83199494,0.00038444,0.06112446,0.24973004,0.74693576,0.62012109,0.00000000
-5.39369685,3.06939085,0.83818846,1.81533757,0.00038357,0.05954593,0.25801557,0.78249794,0.63040945,0.00000000
-5.38769385,3.09173502,0.83667150,1.79600357,0.00038483,0.05788031,0.26618305,0.81837705,0.63923480,0.00000000
-5.38169085,3.11078281,0.83375020,1.77416874,0.00038795,0.05615224,0.27414360,0.85429225,0.64655508,0.00000000
-5.37568784,3.12642709,0.82942314,1.75005550,0.00039264,0.05438597,0.28180556,0.88996164,0.65234978,0.00000000
-5.36968484,3.13862101,0.82370534,1.72392890,0.00039862,0.05260502,0.28907711,0.92510984,0.65662006,0.00000000
-5.36368184,3.14738209,0.81662892,1.69609204,0.00040557,0.05083183,0.29586888,0.95947523,0.65938830,0.00000000
-5.35767884,3.15279492,0.80824353,1.66688101,0.00041320,0.04908748,0.30209673,0.99281652,0.66069724,0.00000000
-5.35167584,3.15501215,0.79861661,1.63665929,0.00042124,0.04739154,0.30768424,1.02491830,0.66060841,0.00000000
