energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.37918959,1.69159592,0.01165501,0.24270569,0.06210017,0.71308358,0.66266420,0.02661378,0.74861247
-4.37318659,1.70390055,0.01244710,0.24752281,0.06146816,0.75663098,0.65816421,0.02561542,0.75669702
-4.36718359,1.71764371,0.01329697,0.25318368,0.06094375,0.80238849,0.65372949,0.02453312,0.76541453
-4.36118059,1.73361555,0.01420653,0.25977403,0.06056678,0.85029655,0.64979035,0.02338786,0.77507370
-4.35517759,1.75254546,0.01517617,0.26735868,0.06037298,0.90026240,0.64676841,0.02220077,0.78594894
-4.34917459,1.77508411,0.01620445,0.27598061,0.06039328,0.95216093,0.64506804,0.02099260,0.79827161
-4.34317159,1.80178888,0.01728793,0.28566088,0.06065344,1.00583654,0.64506877,0.01978321,0.81222306
-4.33716858,1.83311292,0.01842097,0.29639923,0.06117384,1.06110572,0.64711854,0.01859106,0.82792966
-4.33116558,1.86939780,0.01959569,0.30817529,0.06196950,1.11776019,0.65152805,0.01743286,0.84546001
-4.32516258,1.91086964,0.02080199,0.32095021,0.06305028,1.17557015,0.65856608,0.01632324,0.86482424
-4.31915958,1.95763846,0.02202765,0.33466861,0.06442114,1.23428756,0.66845563,0.01527457,0.88597544
-4.31315658,2.00970044,0.02325855,0.34926066,0.06608261,1.29364908,0.68137104,0.01429680,0.90881300
-4.30715358,2.06694250,0.02447897,0.36464425,0.06803123,1.35337855,0.69743576,0.01339742,0.93318769
-4.30115058,2.12914905,0.02567197,0.38072701,0.07026003,1.41318894,0.71672087,0.01258154,0.95890817
-4.29514757,2.19601020,0.02681987,0.39740831,0.07275905,1.47278380,0.73924429,0.01185201,0.98574860
-4.28914457,2.26713125,0.02790471,0.41458104,0.07551576,1.53185824,0.76497054,0.01120957,1.01345708
-4.28314157,2.34204302,0.02890880,0.43213320,0.07851547,1.59009960,0.79381121,0.01065312,1.04176443
-4.27713857,2.42021263,0.02981525,0.44994943,0.08174163,1.64718814,0.82562606,0.01017997,1.07039304
-4.27113557,2.50105475,0.03060847,0.46791233,0.08517609,1.70279789,0.86022479,0.00978618,1.09906541
-4.26513257,2.58394281,0.03127463,0.48590378,0.08879926,1.75659791,0.89736964,0.00946679,1.12751210
-4.25912956,2.66822018,0.03180210,0.50380618,0.09259023,1.80825427,0.93677869,0.00921618,1.15547868
-4.25312656,2.75321114,0.03218174,0.52150368,0.09652679,1.85743292,0.97813000,0.00902831,1.18273172
-4.24712356,2.83823146,0.03240716,0.53888342,0.10058544,1.90380340,1.02106654,0.00889699,1.20906330
-4.24112056,2.92259847,0.03247485,0.55583678,0.10474140,1.94704353,1.06520186,0.00881605,1.23429423
-4.23511756,3.00564042,0.03238420,0.57226047,0.10896856,1.98684488,1.11012641,0.00877960,1.25827578
-4.22911456,3.08670511,0.03213748,0.58805765,0.11323949,2.02291889,1.15541435,0.00878206,1.28089001
-4.22311156,3.16516743,0.03173966,0.60313873,0.11752544,2.05500316,1.20063075,0.00881831,1.30204876
-4.21710855,3.24043587,0.03119816,0.61742203,0.12179645,2.08286774,1.24533893,0.00888367,1.32169144
-4.21110555,3.31195783,0.03052260,0.63083405,0.12602146,2.10632092,1.28910772,0.00897396,1.33978192
-4.20510255,3.37922372,0.02972443,0.64330940,0.13016854,2.12521413,1.33151848,0.00908542,1.35630463
-4.19909955,3.44176978,0.02881656,0.65479037,0.13420511,2.13944567,1.37217171,0.00921466,1.37126025
-4.19309655,3.49917994,0.02781296,0.66522614,0.13809831,2.14896296,1.41069304,0.00935858,1.38466131
-4.18709355,3.55108666,0.02672828,0.67457170,0.14181543,2.15376316,1.44673847,0.00951426,1.39652792
-4.18109055,3.59717127,0.02557746,0.68278658,0.14532433,2.15389220,1.47999891,0.00967888,1.40688394
-4.17508754,3.63716390,0.02437540,0.68983357,0.14859399,2.14944228,1.51020393,0.00984962,1.41575398
-4.16908454,3.67084360,0.02313663,0.69567754,0.15159504,2.14054804,1.53712472,0.01002358,1.42316119
-4.16308154,3.69803873,0.02187506,0.70028458,0.15430032,2.12738186,1.56057644,0.01019775,1.42912625
-4.15707854,3.71862826,0.02060373,0.70362162,0.15668543,2.11014854,1.58041993,0.01036895,1.43366745
-4.15107554,3.73254383,0.01933468,0.70565662,0.15872926,2.08907996,1.59656301,0.01053387,1.43680194
-4.14507254,3.73977308,0.01807875,0.70635953,0.16041447,2.06442995,1.60896131,0.01068909,1.43854804
-4.13906953,3.74036385,0.01684560,0.70570398,0.16172791,2.03646993,1.61761882,0.01083115,1.43892841
-4.13306653,3.73442933,0.01564359,0.70366965,0.16266094,2.00548541,1.62258812,0.01095665,1.43797390
-4.12706353,3.72215350,0.01447979,0.70024527,0.16320967,1.97177364,1.62397021,0.01106241,1.43572773
-4.12106053,3.70379672,0.01336006,0.69543201,0.16337504,1.93564222,1.62191400,0.01114557,1.43224963
-4.11505753,3.67970039,0.01228904,0.68924708,0.16316284,1.89740874,1.61661523,0.01120381,1.42761965
-4.10905453,3.65029036,0.01127027,0.68172713,0.16258358,1.85740097,1.60831465,0.01123544,1.42194120
-4.10305153,3.61607817,0.01030626,0.67293119,0.16165217,1.81595732,1.59729555,0.01123962,1.41534316
-4.09704852,3.57765946,0.00939860,0.66294289,0.16038760,1.77342718,1.58388013,0.01121647,1.40798054
-4.09104552,3.53570921,0.00854805,0.65187151,0.15881244,1.73017053,1.56842492,0.01116716,1.40003378
-4.08504252,3.49097324,0.00775468,0.63985177,0.15695228,1.68655654,1.55131511,0.01109404,1.39170645
-4.07903952,3.44425608,0.00701794,0.62704208,0.15483508,1.64296082,1.53295773,0.01100062,1.38322134
-4.07303652,3.39640516,0.00633681,0.61362135,0.15249053,1.59976102,1.51377391,0.01089157,1.37481525
-4.06703352,3.34829201,0.00570983,0.59978421,0.14994939,1.55733081,1.49419041,0.01077269,1.36673246
-4.06103052,3.30079097,0.00513526,0.58573501,0.14724284,1.51603235,1.47463061,0.01065073,1.35921741
-4.05502751,3.25475638,0.00461111,0.57168072,0.14440188,1.47620753,1.45550542,0.01053327,1.35250685
-4.04902451,3.21099943,0.00413522,0.55782320,0.14145680,1.43816843,1.43720441,0.01042850,1.34682192
-4.04302151,3.17026569,0.00370532,0.54435119,0.13843674,1.40218751,1.42008765,0.01034495,1.34236059
-4.03701851,3.13321460,0.00331909,0.53143259,0.13536937,1.36848828,1.40447852,0.01029125,1.33929090
-4.03101551,3.10040197,0.00297419,0.51920735,0.13228059,1.33723698,1.39065795,0.01027581,1.33774533
-4.02501251,3.07226642,0.00266828,0.50778162,0.12919447,1.30853604,1.37886022,0.01030653,1.33781668
-4.01900950,3.04912045,0.00239906,0.49722330,0.12613309,1.28241968,1.36927059,0.01039051,1.33955553
-4.01300650,3.03114642,0.00216425,0.48755949,0.12311662,1.25885231,1.36202463,0.01053376,1.34296956
-4.00700350,3.01839776,0.00196166,0.47877587,0.12016338,1.23772973,1.35720930,0.01074096,1.34802454
-4.00100050,3.01080480,0.00178912,0.47081817,0.11728988,1.21888338,1.35486548,0.01101529,1.35464698
