energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.23198333,0.48087226,1.05489765,0.00580177,0.18406103,0.00890287,0.68852093,0.47120116,0.09198358
-5.99399700,2.26067897,0.49153070,1.06338236,0.00646560,0.18586537,0.00891127,0.70834122,0.48505511,0.09141798
-5.98799400,2.29397217,0.50237641,1.07413358,0.00722419,0.18740941,0.00906055,0.73043766,0.49925066,0.09128758
-5.98199100,2.33163101,0.51330132,1.08711505,0.00807936,0.18869756,0.00934792,0.75468819,0.51363871,0.09157609
-5.97598799,2.37333627,0.52419504,1.10223712,0.00903109,0.18974292,0.00976879,0.78091983,0.52807744,0.09226035
-5.96998499,2.41868553,0.53494524,1.11935891,0.01007738,0.19056734,0.01031672,0.80890831,0.54243394,0.09331088
-5.96398199,2.46719837,0.54543787,1.13829157,0.01121402,0.19120115,0.01098352,0.83837874,0.55658527,0.09469250
-5.95797899,2.51832314,0.55555704,1.15880275,0.01243444,0.19168256,0.01175931,0.86900773,0.57041863,0.09636510
-5.95197599,2.57144509,0.56518497,1.18062225,0.01372970,0.19205676,0.01263259,0.90042695,0.58383112,0.09828438
-5.94597299,2.62589652,0.57420197,1.20344871,0.01508843,0.19237470,0.01359045,0.93222838,0.59672909,0.10040280
-5.93996998,2.68096871,0.58248667,1.22695755,0.01649697,0.19269165,0.01461867,0.96397122,0.60902732,0.10267050
-5.93396698,2.73592594,0.58991665,1.25080970,0.01793949,0.19306549,0.01570205,0.99519058,0.62064823,0.10503632
-5.92796398,2.79002133,0.59636958,1.27466121,0.01939829,0.19355487,0.01682461,1.02540761,0.63152127,0.10744888
-5.92196098,2.84251422,0.60172493,1.29817320,0.02085415,0.19421729,0.01796994,1.05414099,0.64158274,0.10985763
-5.91595798,2.89268864,0.60586623,1.32102191,0.02228672,0.19510711,0.01912152,1.08091938,0.65077593,0.11221398
-5.90995498,2.93987206,0.60868394,1.34290848,0.02367507,0.19627358,0.02026311,1.10529430,0.65905182,0.11447231
-5.90395198,2.98345372,0.61007865,1.36356773,0.02499819,0.19775900,0.02137914,1.12685303,0.66637007,0.11659099
-5.89794897,3.02290149,0.60996461,1.38277580,0.02623555,0.19959702,0.02245499,1.14523077,0.67270044,0.11853324
-5.89194597,3.05777631,0.60827329,1.40035596,0.02736774,0.20181112,0.02347742,1.16012173,0.67802419,0.12026790
-5.88594297,3.08774346,0.60495677,1.41618232,0.02837695,0.20441340,0.02443483,1.17128834,0.68233556,0.12176994
-5.87993997,3.11257963,0.59999070,1.43018119,0.02924754,0.20740366,0.02531748,1.17856821,0.68564290,0.12302091
-5.87393697,3.13217558,0.59337664,1.44232992,0.02996644,0.21076885,0.02611770,1.18187860,0.68796933,0.12400897
-5.86793397,3.14653389,0.58514358,1.45265332,0.03052353,0.21448286,0.02682997,1.18121796,0.68935280,0.12472889
-5.86193097,3.15576202,0.57534849,1.46121777,0.03091192,0.21850680,0.02745094,1.17666459,0.68984533,0.12518168
-5.85592796,3.16006108,0.56407578,1.46812353,0.03112800,0.22278960,0.02797938,1.16837265,0.68951149,0.12537408
-5.84992496,3.15971097,0.55143578,1.47349564,0.03117157,0.22726916,0.02841599,1.15656560,0.68842603,0.12531788
-5.84392196,3.15505298,0.53756222,1.47747409,0.03104565,0.23187381,0.02876329,1.14152757,0.68667086,0.12502910
-5.83791896,3.14647103,0.52260878,1.48020397,0.03075632,0.23652424,0.02902526,1.12359329,0.68433144,0.12452707
-5.83191596,3.13437279,0.50674506,1.48182624,0.03031241,0.24113574,0.02920712,1.10313699,0.68149291,0.12383353
-5.82591296,3.11917209,0.49015207,1.48246984,0.02972512,0.24562080,0.02931497,1.08056107,0.67823613,0.12297171
-5.81990995,3.10127368,0.47301746,1.48224566,0.02900757,0.24989181,0.02935551,1.05628503,0.67463399,0.12196555
-5.81390695,3.08106140,0.45553086,1.48124288,0.02817434,0.25386400,0.02933569,1.03073521,0.67074822,0.12083899
-5.80790395,3.05889036,0.43787949,1.47952775,0.02724098,0.25745831,0.02926250,1.00433582,0.66662687,0.11961542
-5.80190095,3.03508348,0.42024415,1.47714504,0.02622355,0.26060421,0.02914267,0.97750140,0.66230278,0.11831731
-5.79589795,3.00993224,0.40279594,1.47412183,0.02513816,0.26324214,0.02898253,0.95063102,0.65779303,0.11696599
-5.78989495,2.98370122,0.38569361,1.47047336,0.02400059,0.26532575,0.02878786,0.92410408,0.65309948,0.11558155
-5.78389195,2.95663572,0.36908165,1.46621040,0.02282595,0.26682346,0.02856380,0.89827762,0.64821021,0.11418292
-5.77788894,2.92897114,0.35308916,1.46134732,0.02162842,0.26771951,0.02831484,0.87348476,0.64310194,0.11278799
-5.77188594,2.90094318,0.33782931,1.45591035,0.02042106,0.26801429,0.02804478,0.85003407,0.63774307,0.11141373
-5.76588294,2.87279741,0.32339943,1.44994503,0.01921565,0.26772393,0.02775679,0.82820939,0.63209711,0.11007641
-5.75987994,2.84479693,0.30988144,1.44352232,0.01802264,0.26687910,0.02745348,0.80826962,0.62612637,0.10879162
-5.75387694,2.81722726,0.29734264,1.43674259,0.01685116,0.26552316,0.02713689,0.79044838,0.61979551,0.10757432
-5.74787394,2.79039746,0.28583662,1.42973713,0.01570904,0.26370964,0.02680865,0.77495296,0.61307481,0.10643875
-5.74187094,2.76463721,0.27540427,1.42266693,0.01460291,0.26149924,0.02646995,0.76196265,0.60594288,0.10539817
-5.73586793,2.74028970,0.26607472,1.41571855,0.01353825,0.25895642,0.02612163,0.75162622,0.59838887,0.10446453
-5.72986493,2.71770066,0.25786619,1.40909736,0.01251960,0.25614596,0.02576423,0.74405879,0.59041392,0.10364805
-5.72386193,2.69720432,0.25078680,1.40301849,0.01155060,0.25312942,0.02539795,0.73933814,0.58203197,0.10295668
-5.71785893,2.67910725,0.24483525,1.39769598,0.01063421,0.24996200,0.02502274,0.73750090,0.57327002,0.10239558
-5.71185593,2.66367136,0.24000152,1.39333093,0.00977276,0.24668980,0.02463828,0.73853884,0.56416797,0.10196665
-5.70585293,2.65109739,0.23626756,1.39009935,0.00896816,0.24334772,0.02424399,0.74239584,0.55477822,0.10166806
-5.69984992,2.64151039,0.23360816,1.38814049,0.00822197,0.23995820,0.02383909,0.74896577,0.54516510,0.10149399
-5.69384692,2.63494823,0.23199194,1.38754655,0.00753553,0.23653077,0.02342263,0.75809180,0.53540457,0.10143449
-5.68784392,2.63135456,0.23138267,1.38835441,0.00691006,0.23306257,0.02299359,0.76956733,0.52558397,0.10147560
-5.68184092,2.63057663,0.23174078,1.39053987,0.00634678,0.22953973,0.02255092,0.78313881,0.51580232,0.10159960
-5.67583792,2.63236875,0.23302526,1.39401505,0.00584698,0.22593956,0.02209371,0.79851054,0.50617084,0.10178560
-5.66983492,2.63640109,0.23519580,1.39862885,0.00541208,0.22223343,0.02162128,0.81535131,0.49681390,0.10201024
-5.66383192,2.64227379,0.23821512,1.40417075,0.00504377,0.21839013,0.02113333,0.83330285,0.48787013,0.10224862
-5.65782891,2.64953539,0.24205149,1.41037769,0.00474399,0.21437946,0.02063011,0.85198965,0.47949367,0.10247540
-5.65182591,2.65770468,0.24668116,1.41694356,0.00451503,0.21017598,0.02011251,0.87102990,0.47185520,0.10266587
-5.64582291,2.66629466,0.25209071,1.42353096,0.00435954,0.20576241,0.01958219,0.89004697,0.46514251,0.10279716
-5.63981991,2.67483714,0.25827909,1.42978444,0.00428049,0.20113277,0.01904167,0.90868096,0.45956043,0.10284932
-5.63381691,2.68290651,0.26525918,1.43534461,0.00428117,0.19629474,0.01849435,0.92659978,0.45532977,0.10280633
-5.62781391,2.69014122,0.27305873,1.43986229,0.00436515,0.19127133,0.01794450,0.94350921,0.45268508,0.10265691
-5.62181091,2.69626161,0.28172055,1.44301204,0.00453610,0.18610167,0.01739720,0.95916150,0.45187106,0.10239515
-5.61580790,2.70108305,0.29130181,1.44450429,0.00479773,0.18084077,0.01685824,0.97336201,0.45313755,0.10202081
-5.60980490,2.70452346,0.30187247,1.44409563,0.00515355,0.17555838,0.01633392,0.98597372,0.45673313,0.10153943
-5.60380190,2.70660486,0.31351258,1.44159657,0.00560667,0.17033694,0.01583083,0.99691922,0.46289740,0.10096204
-5.59779890,2.70744867,0.32630878,1.43687675,0.00615956,0.16526871,0.01535564,1.00618016,0.47185217,0.10030473
-5.59179590,2.70726500,0.34034984,1.42986707,0.00681378,0.16045231,0.01491477,1.01379426,0.48379187,0.09958779
-5.58579290,2.70633660,0.35572131,1.42055905,0.00756965,0.15598872,0.01451413,1.01984983,0.49887358,0.09883480
-5.57978989,2.70499816,0.37249976,1.40900135,0.00842602,0.15197705,0.01415887,1.02447825,0.51720707,0.09807142
-5.57378689,2.70361226,0.39074640,1.39529386,0.00937995,0.14851029,0.01385307,1.02784464,0.53884547,0.09732415
-5.56778389,2.70254315,0.41050071,1.37957974,0.01042647,0.14567118,0.01359954,1.03013719,0.56377691,0.09661898
-5.56178089,2.70212994,0.43177404,1.36203586,0.01155841,0.14352839,0.01339970,1.03155574,0.59191778,0.09598009
-5.55577789,2.70266061,0.45454380,1.34286235,0.01276622,0.14213338,0.01325341,1.03229997,0.62310792,0.09542865
-5.54977489,2.70434833,0.47874826,1.32227170,0.01403795,0.14151773,0.01315895,1.03255801,0.65710823,0.09498167
-5.54377189,2.70731148,0.50428246,1.30047820,0.01535923,0.14169147,0.01311311,1.03249580,0.69360103,0.09465118
-5.53776888,2.71155860,0.53099549,1.27768817,0.01671345,0.14264210,0.01311122,1.03224793,0.73219318,0.09444352
-5.53176588,2.71697905,0.55868926,1.25409156,0.01808195,0.14433462,0.01314739,1.03191022,0.77242223,0.09435898
-5.52576288,2.72334027,0.58711921,1.22985530,0.01944436,0.14671238,0.01321472,1.03153464,0.81376540,0.09439171
-5.51975988,2.73029180,0.61599684,1.20511869,0.02077903,0.14969880,0.01330561,1.03112664,0.85565131,0.09452990
-5.51375688,2.73737599,0.64499426,1.17999115,0.02206355,0.15319993,0.01341207,1.03064522,0.89747399,0.09475636
-5.50775388,2.74404521,0.67375081,1.15455205,0.02327532,0.15710753,0.01352607,1.03000562,0.93860888,0.09504917
-5.50175088,2.74968456,0.70188135,1.12885287,0.02439217,0.16130284,0.01363988,1.02908462,0.97843015,0.09538281
-5.49574787,2.75363916,0.72898630,1.10292116,0.02539303,0.16566066,0.01374646,1.02772804,1.01632876,0.09572927
-5.48974487,2.75524465,0.75466294,1.07676607,0.02625855,0.17005367,0.01383971,1.02576033,1.05173060,0.09605941
-5.48374187,2.75385937,0.77851756,1.05038503,0.02697174,0.17435684,0.01391476,1.02299536,1.08411391,0.09634437
-5.47773887,2.74889643,0.80017810,1.02377094,0.02751848,0.17845161,0.01396819,1.01924818,1.11302533,0.09655692
-5.47173587,2.73985412,0.81930659,0.99691947,0.02788802,0.18222998,0.01399817,1.01434691,1.13809386,0.09667285
-5.46573287,2.72634292,0.83561092,0.96983587,0.02807329,0.18559793,0.01400454,1.00814410,1.15904205,0.09667210
-5.45972986,2.70810752,0.84885537,0.94254081,0.02807117,0.18847844,0.01398876,1.00052695,1.17569409,0.09653981
-5.45372686,2.68504272,0.85886929,0.91507486,0.02788254,0.19081367,0.01395389,0.99142576,1.18798008,0.09626697
-5.44772386,2.65720201,0.86555357,0.88750128,0.02751225,0.19256638,0.01390437,0.98082009,1.19593656,0.09585094
-5.44172086,2.62479852,0.86888438,0.85990696,0.02696894,0.19372052,0.01384583,0.96874223,1.19970292,0.09529551
-5.43571786,2.58819782,0.86891399,0.83240146,0.02626470,0.19428088,0.01378477,0.95527768,1.19951396,0.09461066
-5.42971486,2.54790309,0.86576852,0.80511418,0.02541462,0.19427185,0.01372825,0.94056265,1.19568879,0.09381204
-5.42371186,2.50453315,0.85964263,0.77818986,0.02443634,0.19373542,0.01368349,0.92477862,1.18861648,0.09292010
-5.41770885,2.45879447,0.85079133,0.75178285,0.02334938,0.19272838,0.01365750,0.90814414,1.17873910,0.09195890
-5.41170585,2.41144862,0.83951929,0.72605034,0.02217457,0.19131893,0.01365669,0.89090442,1.16653283,0.09095482
-5.40570285,2.36327677,0.82616802,0.70114516,0.02093335,0.18958288,0.01368651,0.87331927,1.15248804,0.08993505
-5.39969985,2.31504310,0.81110168,0.67720853,0.01964722,0.18759948,0.01375107,0.85564989,1.13708908,0.08892602
-5.39369685,2.26745916,0.79469203,0.65436338,0.01833708,0.18544730,0.01385293,0.83814548,1.12079491,0.08795188
-5.38769385,2.22115086,0.77730342,0.63270841,0.01702274,0.18320016,0.01399281,0.82103027,1.10402122,0.08703305
