energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.88709111,-1.88709100,0.73838173,-0.73838208,0.41673629,-0.41673625,0.00304408,-0.00304408,0.37662071,-0.37662084,0.54669812,-0.54669803,0.00000000,-0.00000000,0.67647757,-0.67647736,0.10552740,-0.10552738
-5.99399700,1.86811234,-1.86811223,0.70145999,-0.70146031,0.41210170,-0.41210167,0.00298502,-0.00298502,0.36052912,-0.36052924,0.54855271,-0.54855263,0.00000000,-0.00000000,0.68729756,-0.68729738,0.10523657,-0.10523655
-5.98799400,1.85126906,-1.85126896,0.66760515,-0.66760544,0.40786738,-0.40786735,0.00295731,-0.00295731,0.34611604,-0.34611614,0.55002431,-0.55002425,0.00000000,-0.00000000,0.69669851,-0.69669837,0.10508992,-0.10508990
-5.98199100,1.83579272,-1.83579264,0.63666330,-0.63666356,0.40386602,-0.40386600,0.00296231,-0.00296231,0.33323172,-0.33323181,0.55094494,-0.55094489,0.00000000,-0.00000000,0.70438791,-0.70438780,0.10503268,-0.10503265
-5.97598799,1.82082723,-1.82082720,0.60840333,-0.60840356,0.39991520,-0.39991519,0.00300114,-0.00300114,0.32168994,-0.32169003,0.55113296,-0.55113293,0.00000000,-0.00000000,0.71007927,-0.71007920,0.10500315,-0.10500313
-5.96998499,1.80547761,-1.80547763,0.58253654,-0.58253676,0.39582793,-0.39582794,0.00307466,-0.00307466,0.31128066,-0.31128074,0.55040357,-0.55040357,0.00000000,-0.00000000,0.71350410,-0.71350407,0.10493583,-0.10493581
-5.96398199,1.78885947,-1.78885955,0.55873696,-0.55873716,0.39142331,-0.39142334,0.00318354,-0.00318353,0.30178263,-0.30178271,0.54857969,-0.54857972,0.00000000,-0.00000000,0.71442389,-0.71442391,0.10476450,-0.10476449
-5.95797899,1.77014713,-1.77014729,0.53666148,-0.53666167,0.38653675,-0.38653679,0.00332825,-0.00332825,0.29297573,-0.29297581,0.54550281,-0.54550286,0.00000000,-0.00000000,0.71264153,-0.71264160,0.10442549,-0.10442548
-5.95197599,1.74861817,-1.74861841,0.51596897,-0.51596916,0.38102926,-0.38102932,0.00350909,-0.00350908,0.28465231,-0.28465240,0.54104308,-0.54104316,0.00000000,-0.00000000,0.70801169,-0.70801181,0.10386056,-0.10386056
-5.94597299,1.72369225,-1.72369257,0.49633761,-0.49633779,0.37479557,-0.37479565,0.00372610,-0.00372610,0.27662710,-0.27662719,0.53510832,-0.53510843,0.00000000,-0.00000000,0.70044946,-0.70044962,0.10301964,-0.10301964
-5.93996998,1.69496273,-1.69496314,0.47747972,-0.47747991,0.36777049,-0.36777059,0.00397912,-0.00397912,0.26874543,-0.26874553,0.52765127,-0.52765141,0.00000000,-0.00000000,0.68993698,-0.68993719,0.10186303,-0.10186303
-5.93396698,1.66221963,-1.66222012,0.45915389,-0.45915408,0.35993345,-0.35993357,0.00426763,-0.00426763,0.26088945,-0.26088956,0.51867489,-0.51867505,0.00000000,-0.00000000,0.67652765,-0.67652790,0.10036315,-0.10036316
-5.92796398,1.62546320,-1.62546377,0.44117369,-0.44117389,0.35131093,-0.35131106,0.00459078,-0.00459078,0.25298217,-0.25298229,0.50823526,-0.50823545,0.00000000,-0.00000000,0.66034758,-0.66034788,0.09850567,-0.09850568
-5.92196098,1.58490757,-1.58490821,0.42341322,-0.42341342,0.34197677,-0.34197692,0.00494724,-0.00494724,0.24498931,-0.24498944,0.49644216,-0.49644237,0.00000000,-0.00000000,0.64159430,-0.64159464,0.09629005,-0.09629007
-5.91595798,1.54097471,-1.54097541,0.40580923,-0.40580944,0.33205037,-0.33205053,0.00533515,-0.00533515,0.23691904,-0.23691918,0.48345709,-0.48345732,0.00000000,-0.00000000,0.62053266,-0.62053302,0.09372942,-0.09372945
-5.90995498,1.49427903,-1.49427978,0.38836011,-0.38836032,0.32169286,-0.32169303,0.00575204,-0.00575204,0.22881967,-0.22881981,0.46948895,-0.46948919,0.00000000,-0.00000000,0.59748809,-0.59748849,0.09084992,-0.09084995
-5.90395198,1.44560379,-1.44560457,0.37112190,-0.37112212,0.31110146,-0.31110164,0.00619478,-0.00619478,0.22077558,-0.22077572,0.45478758,-0.45478784,0.00000000,-0.00000000,0.57283760,-0.57283802,0.08768948,-0.08768951
-5.89794897,1.39587035,-1.39587114,0.35420188,-0.35420210,0.30050237,-0.30050254,0.00665950,-0.00665949,0.21290162,-0.21290177,0.43963556,-0.43963582,0.00000000,-0.00000000,0.54699868,-0.54699911,0.08429609,-0.08429613
-5.89194597,1.34610188,-1.34610267,0.33774999,-0.33775020,0.29014235,-0.29014251,0.00714156,-0.00714156,0.20533636,-0.20533650,0.42433843,-0.42433868,0.00000000,-0.00000000,0.52041687,-0.52041731,0.08072583,-0.08072587
-5.88594297,1.29738330,-1.29738407,0.32194874,-0.32194894,0.28027957,-0.28027973,0.00763561,-0.00763561,0.19823446,-0.19823459,0.40921410,-0.40921435,0.00000000,-0.00000000,0.49355227,-0.49355271,0.07704051,-0.07704055
-5.87993997,1.25081912,-1.25081985,0.30700204,-0.30700225,0.27117393,-0.27117407,0.00813556,-0.00813556,0.19175855,-0.19175868,0.39458172,-0.39458196,0.00000000,-0.00000000,0.46686567,-0.46686611,0.07330527,-0.07330531
-5.87393697,1.20749098,-1.20749166,0.29312360,-0.29312379,0.26307730,-0.26307742,0.00863470,-0.00863470,0.18607105,-0.18607116,0.38075053,-0.38075075,0.00000000,-0.00000000,0.44080490,-0.44080533,0.06958607,-0.06958611
-5.86793397,1.16841672,-1.16841732,0.28052519,-0.28052536,0.25622413,-0.25622423,0.00912580,-0.00912580,0.18132607,-0.18132617,0.36800924,-0.36800944,0.00000000,-0.00000000,0.41579178,-0.41579219,0.06594735,-0.06594739
-5.86193097,1.13451230,-1.13451281,0.26940552,-0.26940568,0.25082262,-0.25082269,0.00960124,-0.00960123,0.17766194,-0.17766202,0.35661624,-0.35661641,0.00000000,-0.00000000,0.39221026,-0.39221064,0.06244977,-0.06244981
-5.85592796,1.10655821,-1.10655862,0.25993991,-0.25994004,0.24704689,-0.24704694,0.01005321,-0.01005321,0.17519440,-0.17519447,0.34679110,-0.34679125,0.00000000,-0.00000000,0.37039613,-0.37039649,0.05914830,-0.05914833
-5.84992496,1.08517119,-1.08517150,0.25227121,-0.25227133,0.24503038,-0.24503039,0.01047392,-0.01047392,0.17401087,-0.17401091,0.33870762,-0.33870774,0.00000000,-0.00000000,0.35062861,-0.35062894,0.05609053,-0.05609056
-5.84392196,1.07078238,-1.07078258,0.24650229,-0.24650238,0.24486058,-0.24486056,0.01085580,-0.01085580,0.17416578,-0.17416581,0.33248857,-0.33248866,0.00000000,-0.00000000,0.33312399,-0.33312429,0.05331545,-0.05331547
