energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,3.66504643,0.01065712,0.64031922,1.10083359,0.24003423,0.82445323,1.00891217,0.06805376,1.54658412
-5.99399700,3.61218841,0.01033528,0.63851668,1.08260408,0.23378916,0.82146180,0.99966643,0.06606078,1.51715954
-5.98799400,3.56851639,0.01006429,0.63639348,1.06951802,0.22872427,0.82012835,0.98978924,0.06434369,1.49363064
-5.98199100,3.53485146,0.00985043,0.63420680,1.06155783,0.22493329,0.82068963,0.97968027,0.06294076,1.47612067
-5.97598799,3.51186387,0.00969895,0.63222434,1.05864376,0.22249350,0.82335739,0.96975977,0.06188450,1.46465272
-5.96998499,3.50004547,0.00961389,0.63071711,1.06062485,0.22146255,0.82830977,0.96045819,0.06120058,1.45914330
-5.96398199,3.49968576,0.00959797,0.62995150,1.06727164,0.22187573,0.83568295,0.95220483,0.06090680,1.45939857
-5.95797899,3.51085247,0.00965248,0.63018111,1.07827141,0.22374390,0.84556345,0.94541581,0.06101237,1.46511356
-5.95197599,3.53337748,0.00977726,0.63163855,1.09322620,0.22705202,0.85798159,0.94048183,0.06151737,1.47587439
-5.94597299,3.56684888,0.00997068,0.63452745,1.11165411,0.23175854,0.87290613,0.93775600,0.06241247,1.49116363
-5.93996998,3.61060980,0.01022965,0.63901513,1.13299396,0.23779544,0.89024082,0.93754244,0.06367892,1.51036872
-5.93396698,3.66376450,0.01054969,0.64522627,1.15661342,0.24506922,0.90982284,0.94008589,0.06528888,1.53279344
-5.92796398,3.72519202,0.01092501,0.65323774,1.18182051,0.25346256,0.93142351,0.94556295,0.06720593,1.55767211
-5.92196098,3.79356738,0.01134868,0.66307500,1.20787808,0.26283690,0.95475141,0.95407524,0.06938601,1.58418632
-5.91595798,3.86739004,0.01181275,0.67471021,1.23402102,0.27303556,0.97945774,0.96564490,0.07177852,1.61148385
-5.90995498,3.94501909,0.01230846,0.68806211,1.25947542,0.28388766,1.00514418,0.98021260,0.07432773,1.63869921
-5.90395198,4.02471413,0.01282639,0.70299779,1.28347920,0.29521239,1.03137267,0.99763818,0.07697439,1.66497524
-5.89794897,4.10468071,0.01335676,0.71933630,1.30530311,0.30682373,1.05767708,1.01770398,0.07965745,1.68948525
-5.89194597,4.18311873,0.01388954,0.73685385,1.32427166,0.31853533,1.08357625,1.04012079,0.08231592,1.71145477
-5.88594297,4.25827211,0.01441478,0.75529051,1.33978267,0.33016545,1.10858781,1.06453600,0.08489081,1.73018236
