energy_ev,total_up,Os_p_up,Os_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.42608963,0.33026914,0.68763105,0.07255097,0.00138709,0.01190550,0.77278838
-5.99399700,1.41660986,0.32285074,0.69073136,0.07108964,0.00139328,0.01186548,0.76395851
-5.98799400,1.41041282,0.31632454,0.69518954,0.06967345,0.00140325,0.01183360,0.75723095
-5.98199100,1.40722335,0.31065617,0.70082145,0.06830876,0.00141652,0.01180643,0.75248201
-5.97598799,1.40663991,0.30577847,0.70738932,0.06699726,0.00143244,0.01177996,0.74951039
-5.96998499,1.40815050,0.30159548,0.71460917,0.06573647,0.00145025,0.01174985,0.74804599
-5.96398199,1.41115222,0.29798733,0.72215977,0.06452046,0.00146909,0.01171150,0.74776094
-5.95797899,1.41497381,0.29481593,0.72969296,0.06334077,0.00148800,0.01166031,0.74828252
-5.95197599,1.41890034,0.29193103,0.73684494,0.06218730,0.00150599,0.01159177,0.74920733
-5.94597299,1.42219922,0.28917670,0.74324815,0.06104942,0.00152204,0.01150167,0.75011632
-5.93996998,1.42414656,0.28639772,0.74854349,0.05991701,0.00153516,0.01138622,0.75059015
-5.93396698,1.42405330,0.28344591,0.75239239,0.05878153,0.00154440,0.01124218,0.75022441
-5.92796398,1.42129000,0.28018604,0.75448846,0.05763705,0.00154888,0.01106694,0.74864407
-5.92196098,1.41530972,0.27650122,0.75456824,0.05648120,0.00154783,0.01085863,0.74551687
-5.91595798,1.40566817,0.27229754,0.75242085,0.05531606,0.00154063,0.01061616,0.74056516
-5.90995498,1.39204058,0.26750789,0.74789610,0.05414888,0.00152679,0.01033926,0.73357577
-5.90395198,1.37423474,0.26209482,0.74091096,0.05299274,0.00150600,0.01002848,0.72440776
-5.89794897,1.35219987,0.25605236,0.73145397,0.05186699,0.00147813,0.00968518,0.71299770
-5.89194597,1.32603099,0.24940682,0.71958761,0.05079755,0.00144323,0.00931150,0.69936237
-5.88594297,1.29596875,0.24221643,0.70544842,0.04981698,0.00140152,0.00891026,0.68359897
-5.87993997,1.26239473,0.23457003,0.68924495,0.04896440,0.00135341,0.00848495,0.66588260
-5.87393697,1.22582229,0.22658471,0.67125346,0.04828516,0.00129945,0.00803957,0.64646143
-5.86793397,1.18688342,0.21840259,0.65181161,0.04783023,0.00124033,0.00757858,0.62564952
