energy_ev,total_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.90038486,0.00618589,0.00000000,0.48351600,0.21796932,0.00419780,0.05611604,0.00649500,0.42412045
-5.99399700,0.81743451,0.00559630,0.00000000,0.42758297,0.20305421,0.00388465,0.04885380,0.00564120,0.38576684
-5.98799400,0.74324488,0.00505911,0.00000000,0.37739989,0.18972934,0.00361776,0.04245175,0.00491196,0.35132575
-5.98199100,0.67782658,0.00457347,0.00000000,0.33289880,0.17805978,0.00339798,0.03689137,0.00430032,0.32080452
-5.97598799,0.62109288,0.00413791,0.00000000,0.29393083,0.16809901,0.00322567,0.03214691,0.00379886,0.29416182
-5.96998499,0.57287773,0.00375044,0.00000000,0.26028135,0.15989111,0.00310066,0.02818737,0.00339991,0.27131589
-5.96398199,0.53295242,0.00340871,0.00000000,0.23168463,0.15347271,0.00302236,0.02497829,0.00309574,0.25215226
-5.95797899,0.50104017,0.00311017,0.00000000,0.20783741,0.14887420,0.00298974,0.02248337,0.00287863,0.23653058
-5.95197599,0.47682823,0.00285212,0.00000000,0.18841114,0.14612046,0.00300139,0.02066577,0.00274103,0.22429048
-5.94597299,0.45997743,0.00263185,0.00000000,0.17306251,0.14523090,0.00305547,0.01948919,0.00267557,0.21525625
-5.93996998,0.45012916,0.00244666,0.00000000,0.16144234,0.14621885,0.00314979,0.01891861,0.00267515,0.20924059
-5.93396698,0.44691006,0.00229397,0.00000000,0.15320278,0.14909056,0.00328177,0.01892071,0.00273292,0.20604738
-5.92796398,0.44993485,0.00217131,0.00000000,0.14800293,0.15384375,0.00344847,0.01946409,0.00284236,0.20547373
-5.92196098,0.45880791,0.00207636,0.00000000,0.14551314,0.16046601,0.00364659,0.02051916,0.00299718,0.20731156
-5.91595798,0.47312409,0.00200698,0.00000000,0.14541823,0.16893318,0.00387249,0.02205791,0.00319144,0.21134891
-5.90995498,0.49246934,0.00196119,0.00000000,0.14741979,0.17920794,0.00412224,0.02405352,0.00341944,0.21737130
-5.90395198,0.51642181,0.00193718,0.00000000,0.15123793,0.19123875,0.00439165,0.02647992,0.00367584,0.22516325
-5.89794897,0.54455377,0.00193334,0.00000000,0.15661262,0.20495941,0.00467637,0.02931131,0.00395557,0.23451007
-5.89194597,0.57643470,0.00194821,0.00000000,0.16330477,0.22028923,0.00497197,0.03252181,0.00425396,0.24520024
-5.88594297,0.61163571,0.00198053,0.00000000,0.17109726,0.23713407,0.00527399,0.03608515,0.00456672,0.25702810
-5.87993997,0.64973530,0.00202921,0.00000000,0.17979586,0.25538815,0.00557815,0.03997455,0.00488998,0.26979692
-5.87393697,0.69032632,0.00209335,0.00000000,0.18923012,0.27493666,0.00588037,0.04416284,0.00522039,0.28332231
-5.86793397,0.73302375,0.00217223,0.00000000,0.19925408,0.29565921,0.00617695,0.04862273,0.00555512,0.29743555
-5.86193097,0.77747286,0.00226530,0.00000000,0.20974690,0.31743368,0.00646468,0.05332736,0.00589190,0.31198683
-5.85592796,0.82335736,0.00237219,0.00000000,0.22061305,0.34014071,0.00674089,0.05825100,0.00622907,0.32684802
-5.84992496,0.87040669,0.00249269,0.00000000,0.23178215,0.36366813,0.00700359,0.06336999,0.00656556,0.34191475
-5.84392196,0.91840207,0.00262673,0.00000000,0.24320824,0.38791547,0.00725151,0.06866369,0.00690089,0.35710762
-5.83791896,0.96718071,0.00277434,0.00000000,0.25486851,0.41279800,0.00748409,0.07411560,0.00723510,0.37237226
-5.83191596,1.01663763,0.00293563,0.00000000,0.26676136,0.43825011,0.00770149,0.07971439,0.00756870,0.38767834
-5.82591296,1.06672500,0.00311074,0.00000000,0.27890391,0.46422776,0.00790451,0.08545479,0.00790254,0.40301724
-5.81990995,1.11744857,0.00329981,0.00000000,0.29132905,0.49070985,0.00809457,0.09133834,0.00823770,0.41839872
-5.81390695,1.16886147,0.00350289,0.00000000,0.30408215,0.51769823,0.00827350,0.09737388,0.00857531,0.43384662
-5.80790395,1.22105566,0.00371996,0.00000000,0.31721767,0.54521630,0.00844346,0.10357759,0.00891645,0.44939383
-5.80190095,1.27415121,0.00395080,0.00000000,0.33079591,0.57330635,0.00860676,0.10997278,0.00926191,0.46507696
-5.79589795,1.32828444,0.00419504,0.00000000,0.34488022,0.60202549,0.00876565,0.11658918,0.00961206,0.48093101
-5.78989495,1.38359539,0.00445208,0.00000000,0.35953492,0.63144060,0.00892220,0.12346186,0.00996673,0.49698445
-5.78389195,1.44021562,0.00472111,0.00000000,0.37482412,0.66162241,0.00907810,0.13062978,0.01032504,0.51325522
-5.77788894,1.49825728,0.00500113,0.00000000,0.39081180,0.69263923,0.00923455,0.13813403,0.01068537,0.52974780
-5.77188594,1.55780414,0.00529095,0.00000000,0.40756316,0.72455057,0.00939210,0.14601587,0.01104530,0.54645188
-5.76588294,1.61890559,0.00558927,0.00000000,0.42514727,0.75740124,0.00955064,0.15431472,0.01140161,0.56334261
-5.75987994,1.68157392,0.00589476,0.00000000,0.44364103,0.79121627,0.00970933,0.16306609,0.01175039,0.58038269
-5.75387694,1.74578549,0.00620612,0.00000000,0.46313414,0.82599713,0.00986662,0.17229985,0.01208712,0.59752609
