energy_ev,total_up,Al_p_up,Al_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,4.17651905,0.35167286,0.00000000,1.92414305,2.20696826,1.71865124,0.00000000
-5.99399700,4.17103280,0.35352976,0.00000000,1.92329778,2.20721639,1.71567499,0.00000000
-5.98799400,4.14478753,0.35380685,0.00000000,1.91175960,2.19613705,1.70433496,0.00000000
-5.98199100,4.09756181,0.35243563,0.00000000,1.88952561,2.17362811,1.68448277,0.00000000
-5.97598799,4.02963413,0.34940522,0.00000000,1.85684443,2.13984682,1.65616259,0.00000000
-5.96998499,3.94179417,0.34476488,0.00000000,1.81421503,2.09521599,1.61961733,0.00000000
-5.96398199,3.83533621,0.33862436,0.00000000,1.76237754,2.04042104,1.57528776,0.00000000
-5.95797899,3.71203514,0.33115220,0.00000000,1.70229602,1.97639798,1.52380451,0.00000000
-5.95197599,3.57410608,0.32257212,0.00000000,1.63513425,1.90431264,1.46597329,0.00000000
-5.94597299,3.42414923,0.31315754,0.00000000,1.56222559,1.82553223,1.40275405,0.00000000
-5.93996998,3.26508268,0.30322457,0.00000000,1.48503809,1.74159037,1.33523502,0.00000000
-5.93396698,3.10006575,0.29312371,0.00000000,1.40513644,1.65414707,1.26460272,0.00000000
-5.92796398,2.93241622,0.28323042,0.00000000,1.32414229,1.56494537,1.19210941,0.00000000
-5.92196098,2.76552466,0.27393513,0.00000000,1.24369435,1.47576634,1.11903914,0.00000000
-5.91595798,2.60276894,0.26563266,0.00000000,1.16540979,1.38838414,1.04667394,0.00000000
-5.90995498,2.44743205,0.25871163,0.00000000,1.09084797,1.30452287,0.97626127,0.00000000
-5.90395198,2.30262563,0.25354393,0.00000000,1.02147768,1.22581647,0.90898394,0.00000000
-5.89794897,2.17122136,0.25047465,0.00000000,0.95864836,1.15377292,0.84593325,0.00000000
-5.89194597,2.05579196,0.24981254,0.00000000,0.90356605,1.08974375,0.78808623,0.00000000
-5.88594297,1.95856279,0.25182141,0.00000000,0.85727399,1.03489940,0.73628728,0.00000000
-5.87993997,1.88137471,0.25671246,0.00000000,0.82063814,0.99021091,0.69123449,0.00000000
-5.87393697,1.82565850,0.26463787,0.00000000,0.79433720,0.95643797,0.65347069,0.00000000
-5.86793397,1.79242057,0.27568575,0.00000000,0.77885706,0.93412337,0.62337902,0.00000000
-5.86193097,1.78223957,0.28987664,0.00000000,0.77448911,0.92359342,0.60118279,0.00000000
-5.85592796,1.79527333,0.30716164,0.00000000,0.78133220,0.92496409,0.58694927,0.00000000
-5.84992496,1.83127517,0.32742239,0.00000000,0.79929775,0.93815222,0.58059685,0.00000000
-5.84392196,1.88961879,0.35047288,0.00000000,0.82811774,0.96289117,0.58190530,0.00000000
-5.83791896,1.96933077,0.37606333,0.00000000,0.86735526,0.99875034,0.59052851,0.00000000
-5.83191596,2.06912958,0.40388584,0.00000000,0.91641736,1.04515773,0.60600934,0.00000000
-5.82591296,2.18747002,0.43358217,0.00000000,0.97457015,1.10142476,0.62779610,0.00000000
-5.81990995,2.32259199,0.46475314,0.00000000,1.04095576,1.16677257,0.65526033,0.00000000
-5.81390695,2.47257226,0.49696969,0.00000000,1.11461115,1.24035907,0.68771536,0.00000000
