energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,4.96812888,0.09792076,0.00280245,1.92867011,2.24411385,0.02170473,2.85838250
-5.99399700,4.98634204,0.09762123,0.00277813,1.92951246,2.27039226,0.02142549,2.87405511
-5.98799400,4.99643261,0.09733935,0.00274760,1.92811519,2.29278375,0.02113646,2.88504658
-5.98199100,4.99938675,0.09712181,0.00271189,1.92482483,2.31152210,0.02085063,2.89181922
-5.97598799,4.99620133,0.09701357,0.00267203,1.91996670,2.32684978,0.02058022,2.89484571
-5.96998499,4.98784535,0.09705606,0.00262902,1.91383380,2.33900543,0.02033620,2.89458995
-5.96398199,4.97522385,0.09728547,0.00258380,1.90667715,2.34821255,0.02012800,2.89148891
-5.95797899,4.95914565,0.09773111,0.00253720,1.89869806,2.35466992,0.01996310,2.88593625
-5.95197599,4.94029619,0.09841390,0.00248998,1.89004245,2.35854426,0.01984685,2.87826838
-5.94597299,4.91921643,0.09934521,0.00244274,1.88079753,2.35996533,0.01978224,2.86875351
-5.93996998,4.89628878,0.10052589,0.00239594,1.87099097,2.35902370,0.01976983,2.85758417
-5.93396698,4.87173045,0.10194566,0.00234991,1.86059258,2.35577124,0.01980770,2.84487352
-5.92796398,4.84559457,0.10358295,0.00230486,1.84951853,2.35022420,0.01989158,2.83065564
-5.92196098,4.81777899,0.10540507,0.00226083,1.83763798,2.34236884,0.02001491,2.81488985
-5.91595798,4.78804241,0.10736887,0.00221778,1.82478190,2.33216905,0.02016919,2.79746887
-5.90995498,4.75602709,0.10942176,0.00217554,1.81075386,2.31957576,0.02034416,2.77823054
-5.90395198,4.72128721,0.11150321,0.00213389,1.79534226,2.30453747,0.02052826,2.75697256
-5.89794897,4.68332161,0.11354652,0.00209254,1.77833374,2.28701146,0.02070899,2.73346964
-5.89194597,4.64160943,0.11548097,0.00205115,1.75952696,2.26697498,0.02087336,2.70749222
-5.88594297,4.59564697,0.11723414,0.00200939,1.73874636,2.24443583,0.02100839,2.67882590
-5.87993997,4.54498401,0.11873439,0.00196696,1.71585518,2.21944173,0.02110154,2.64729061
-5.87393697,4.48925791,0.11991338,0.00192356,1.69076711,2.19208789,0.02114118,2.61275839
-5.86793397,4.42822359,0.12070854,0.00187898,1.66345592,2.16252233,0.02111703,2.57516904
-5.86193097,4.36177791,0.12106534,0.00183306,1.63396265,2.13094848,0.02102054,2.53454254
-5.85592796,4.28997723,0.12093930,0.00178573,1.60239973,2.09762483,0.02084519,2.49098755
-5.84992496,4.21304680,0.12029768,0.00173700,1.56895187,2.06286151,0.02058681,2.44470545
-5.84392196,4.13138174,0.11912069,0.00168699,1.53387343,2.02701369,0.02024367,2.39598940
-5.83791896,4.04553905,0.11740222,0.00163588,1.49748234,1.99047214,0.01981664,2.34521852
-5.83191596,3.95622108,0.11515015,0.00158396,1.46015067,1.95365110,0.01930919,2.29284720
-5.82591296,3.86425118,0.11238596,0.00153157,1.42229231,1.91697409,0.01872725,2.23938993
-5.81990995,3.77054251,0.10914405,0.00147910,1.38434809,1.88085818,0.01807910,2.18540248
-5.81390695,3.67606178,0.10547040,0.00142698,1.34676932,1.84569747,0.01737511,2.13146020
-5.80790395,3.58178955,0.10142098,0.00137567,1.31000012,1.81184664,0.01662739,2.07813466
-5.80190095,3.48867930,0.09705976,0.00132561,1.27445980,1.77960528,0.01584947,2.02596970
-5.79589795,3.39761731,0.09245652,0.00127723,1.24052585,1.74920404,0.01505588,1.97545830
-5.78989495,3.30938560,0.08768456,0.00123089,1.20851864,1.72079320,0.01426169,1.92702144
-5.78389195,3.22462984,0.08281832,0.00118692,1.17868844,1.69443451,0.01348206,1.88099018
-5.77788894,3.14383400,0.07793115,0.00114557,1.15120554,1.67009666,0.01273185,1.83759190
-5.77188594,3.06730302,0.07309315,0.00110702,1.12615398,1.64765506,0.01202512,1.79694150
-5.76588294,2.99515448,0.06836936,0.00107135,1.10352916,1.62689570,0.01137478,1.75903811
-5.75987994,2.92731962,0.06381816,0.00103857,1.08323941,1.60752341,0.01079221,1.72376740
-5.75387694,2.86355351,0.05949002,0.00100860,1.06511163,1.58917394,0.01028696,1.69090948
-5.74787394,2.80345378,0.05542664,0.00098130,1.04890033,1.57142949,0.00986650,1.66015177
-5.74187094,2.74648666,0.05166042,0.00095647,1.03429991,1.55383689,0.00953606,1.63110635
-5.73586793,2.69201890,0.04821432,0.00093386,1.02095926,1.53592763,0.00929845,1.60333055
-5.72986493,2.63935349,0.04510202,0.00091318,1.00849801,1.51723867,0.00915407,1.57634978
-5.72386193,2.58776736,0.04232836,0.00089415,0.99652350,1.49733293,0.00910087,1.54968129
-5.71785893,2.53654873,0.03989006,0.00087649,0.98464758,1.47581859,0.00913447,1.52285751
-5.71185593,2.48503227,0.03777655,0.00085990,0.97250252,1.45236603,0.00924829,1.49544778
-5.70585293,2.43263002,0.03597108,0.00084415,0.95975504,1.42672160,0.00943374,1.46707730
-5.69984992,2.37885674,0.03445173,0.00082904,0.94611800,1.39871764,0.00968049,1.43744245
-5.69384692,2.32334842,0.03319262,0.00081439,0.93135921,1.36827821,0.00997675,1.40632163
