energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.75613126,-2.75839289,0.04421285,-0.04424314,0.84207285,-0.84281763,0.84082895,-0.84163893,0.86191966,-0.86253007,0.02836321,-0.02838597,0.26222545,-0.26239899
-5.99399700,2.59074454,-2.59297670,0.04221956,-0.04224763,0.78920996,-0.78993876,0.78356917,-0.78435703,0.81555963,-0.81615597,0.02670562,-0.02672846,0.24862396,-0.24880275
-5.98799400,2.42874578,-2.43091670,0.04036423,-0.04038952,0.73779421,-0.73849757,0.72822513,-0.72898232,0.77054017,-0.77111156,0.02505849,-0.02508101,0.23483350,-0.23501435
-5.98199100,2.27217202,-2.27425130,0.03868191,-0.03870386,0.68843101,-0.68909999,0.67533931,-0.67605787,0.72754273,-0.72807873,0.02344789,-0.02346974,0.22106468,-0.22124438
-5.97598799,2.12293314,-2.12489245,0.03720513,-0.03722324,0.64167971,-0.64230612,0.62540380,-0.62607656,0.68720818,-0.68769904,0.02189830,-0.02191913,0.20752426,-0.20769969
-5.96998499,1.98277086,-1.98458456,0.03596303,-0.03597688,0.59804233,-0.59861889,0.57885183,-0.57947251,0.65012178,-0.65055866,0.02043199,-0.02045150,0.19441013,-0.19457832
-5.96398199,1.85322232,-1.85486806,0.03498061,-0.03498985,0.55795369,-0.55847420,0.53605055,-0.53661389,0.61679961,-0.61717484,0.01906861,-0.01908654,0.18190654,-0.18206476
-5.95797899,1.73558946,-1.73704861,0.03427801,-0.03428237,0.52177335,-0.52223278,0.49729540,-0.49779726,0.58767700,-0.58798422,0.01782480,-0.01784093,0.17017998,-0.17032579
-5.95197599,1.63091499,-1.63217304,0.03386997,-0.03386929,0.48977946,-0.49017408,0.46280616,-0.46324354,0.56309919,-0.56333353,0.01671385,-0.01672800,0.15937569,-0.15950697
-5.94597299,1.53996583,-1.54101258,0.03376545,-0.03375964,0.46216490,-0.46249229,0.43272478,-0.43309590,0.54331467,-0.54347280,0.01574550,-0.01575756,0.14961488,-0.14972990
-5.93996998,1.46322418,-1.46405388,0.03396733,-0.03395644,0.43903552,-0.43929463,0.40711510,-0.40741938,0.52847119,-0.52855142,0.01492584,-0.01493575,0.14099287,-0.14109032
-5.93396698,1.40088633,-1.40149767,0.03447240,-0.03445657,0.42041072,-0.42060181,0.38596428,-0.38620231,0.51861464,-0.51861690,0.01425727,-0.01426501,0.13357803,-0.13365701
