energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.26182548,0.01123116,0.00002796,0.00286713,0.17891593,0.07049592,0.09996580
-5.99399700,0.31033888,0.01329791,0.00003327,0.00340703,0.21208900,0.08359523,0.11856089
-5.98799400,0.36531876,0.01563536,0.00003934,0.00402200,0.24969150,0.09845419,0.13966026
-5.98199100,0.42710346,0.01825607,0.00004621,0.00471701,0.29195780,0.11516958,0.16340361
-5.97598799,0.49594658,0.02116864,0.00005393,0.00549635,0.33906493,0.13381640,0.18990021
-5.96998499,0.57199785,0.02437681,0.00006253,0.00636337,0.39111958,0.15444285,0.21922173
-5.96398199,0.65528539,0.02787873,0.00007205,0.00732036,0.44814597,0.17706555,0.25139545
-5.95797899,0.74570005,0.03166624,0.00008251,0.00836830,0.51007514,0.20166529,0.28639822
-5.95197599,0.84298304,0.03572439,0.00009390,0.00950674,0.57673647,0.22818362,0.32415160
-5.94597299,0.94671787,0.04003109,0.00010623,0.01073361,0.64785209,0.25652055,0.36451842
-5.93996998,1.05632730,0.04455704,0.00011947,0.01204518,0.72303470,0.28653348,0.40730125
-5.93396698,1.17107628,0.04926589,0.00013359,0.01343594,0.80178942,0.31803771,0.45224291
-5.92796398,1.29008122,0.05411476,0.00014854,0.01489865,0.88351994,0.35080854,0.49902929
-5.92196098,1.41232588,0.05905498,0.00016427,0.01642433,0.96753917,0.38458509,0.54729456
-5.91595798,1.53668379,0.06403314,0.00018072,0.01800242,1.05308429,0.41907583,0.59662876
-5.90995498,1.66194675,0.06899252,0.00019782,0.01962086,1.13933597,0.45396565,0.64658759
-5.90395198,1.78685855,0.07387456,0.00021551,0.02126634,1.22544109,0.48892433,0.69670418
-5.89794897,1.91015276,0.07862068,0.00023371,0.02292455,1.31053829,0.52361614,0.74650236
-5.89194597,2.03059323,0.08317413,0.00025237,0.02458043,1.39378536,0.55771006,0.79551107
-5.88594297,2.14701537,0.08748188,0.00027144,0.02621850,1.47438721,0.59089045,0.84327912
-5.87993997,2.25836652,0.09149644,0.00029090,0.02782319,1.55162321,0.62286742,0.88938982
-5.87393697,2.36374335,0.09517756,0.00031072,0.02937917,1.62487264,0.65338661,0.93347469
-5.86793397,2.46242433,0.09849373,0.00033092,0.03087165,1.69363680,0.68223773,0.97522563
-5.86193097,2.55389561,0.10142323,0.00035154,0.03228675,1.75755669,0.70926160,1.01440487
-5.85592796,2.63786856,0.10395500,0.00037262,0.03361173,1.81642514,0.73435506,1.05085213
-5.84992496,2.71428790,0.10608889,0.00039424,0.03483525,1.87019254,0.75747364,1.08448869
-5.84392196,2.78332962,0.10783558,0.00041650,0.03594760,1.91896574,0.77863158,1.11531780
-5.83791896,2.84538832,0.10921598,0.00043952,0.03694083,1.96299979,0.79789936,1.14342158
-5.83191596,2.90105420,0.11026015,0.00046341,0.03780885,2.00268270,0.81539845,1.16895421
-5.82591296,2.95108048,0.11100584,0.00048831,0.03854746,2.03851367,0.83129373,1.19213183
-5.81990995,2.99634250,0.11149667,0.00051434,0.03915438,2.07107570,0.84578369,1.21321934
-5.81390695,3.03779014,0.11178002,0.00054160,0.03962914,2.10100372,0.85908898,1.23251484
-5.80790395,3.07639584,0.11190474,0.00057016,0.03997300,2.12894954,0.87143960,1.25033230
-5.80190095,3.11310054,0.11191878,0.00060007,0.04018876,2.15554551,0.88306158,1.26698332
-5.79589795,3.14876018,0.11186690,0.00063132,0.04028055,2.18136840,0.89416367,1.28275885
-5.78989495,3.18409549,0.11178845,0.00066384,0.04025367,2.20690549,0.90492470,1.29791187
-5.78389195,3.21964775,0.11171550,0.00069751,0.04011427,2.23252460,0.91548242,1.31264181
-5.77788894,3.25574275,0.11167124,0.00073212,0.03986915,2.25844975,0.92592432,1.32708173
-5.77188594,3.29246536,0.11166885,0.00076739,0.03952550,2.28474381,0.93628105,1.34128891
-5.76588294,3.32964600,0.11171090,0.00080299,0.03909071,2.31129927,0.94652295,1.35523949
-5.75987994,3.36686035,0.11178915,0.00083849,0.03857214,2.33783791,0.95655985,1.36882759
-5.75387694,3.40344259,0.11188507,0.00087342,0.03797699,2.36391967,0.96624455,1.38186906
-5.74787394,3.43851185,0.11197068,0.00090722,0.03731221,2.38896045,0.97537963,1.39410988
-5.74187094,3.47101113,0.11201001,0.00093935,0.03658448,2.41225827,0.98372777,1.40523883
-5.73586793,3.49975672,0.11196091,0.00096920,0.03580019,2.43302666,0.99102479,1.41490392
-5.72986493,3.52349607,0.11177719,0.00099618,0.03496556,2.45043366,0.99699519,1.42273177
-5.72386193,3.54097125,0.11141093,0.00101971,0.03408675,2.46364459,1.00136926,1.42834895
-5.71785893,3.55098479,0.11081499,0.00103927,0.03317008,2.47186638,1.00390100,1.43140419
-5.71185593,3.55246456,0.10994541,0.00105439,0.03222223,2.47439115,1.00438596,1.43159020
-5.70585293,3.54452432,0.10876373,0.00106469,0.03125052,2.47063672,1.00267800,1.42866378
-5.69984992,3.52651652,0.10723900,0.00106987,0.03026311,2.46018179,0.99870409,1.42246324
-5.69384692,3.49807472,0.10534953,0.00106978,0.02926926,2.44279389,0.99247627,1.41292185
-5.68784392,3.45914308,0.10308416,0.00106438,0.02827958,2.41844836,0.98410006,1.40007656
-5.68184092,3.40999125,0.10044306,0.00105375,0.02730607,2.38733745,0.97377873,1.38407147
-5.67583792,3.35121393,0.09743804,0.00103813,0.02636231,2.34986874,0.96181307,1.36515549
