energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.40233354,-1.40225524,0.55039323,-0.55038013,0.40335740,-0.40333820,0.30857115,-0.30854975,0.12578029,-0.12576588,0.00028474,-0.00028473,0.35125338,-0.35124505,0.48199637,-0.48195920,0.00000000,-0.00000000
-5.99399700,1.46990110,-1.46982336,0.56439106,-0.56437880,0.42074808,-0.42072937,0.32880195,-0.32878092,0.13585021,-0.13583529,0.00027823,-0.00027822,0.35838060,-0.35837281,0.51522279,-0.51518561,0.00000000,-0.00000000
-5.98799400,1.53465928,-1.53458307,0.57649175,-0.57648058,0.43707337,-0.43705544,0.34843902,-0.34841866,0.14596644,-0.14595110,0.00027671,-0.00027669,0.36421634,-0.36420927,0.54795369,-0.54791691,0.00000000,-0.00000000
-5.98199100,1.59538754,-1.59531378,0.58627957,-0.58626972,0.45197522,-0.45195834,0.36716334,-0.36714395,0.15603353,-0.15601785,0.00027962,-0.00027959,0.36849339,-0.36848719,0.57972926,-0.57969330,0.00000000,-0.00000000
-5.97598799,1.65100150,-1.65093105,0.59342005,-0.59341171,0.46513850,-0.46512294,0.38467079,-0.38465264,0.16595907,-0.16594312,0.00028660,-0.00028657,0.37100263,-0.37099742,0.61011093,-0.61007617,0.00000000,-0.00000000
-5.96998499,1.70057653,-1.70051013,0.59766517,-0.59765849,0.47629733,-0.47628332,0.40068045,-0.40066379,0.17565647,-0.17564033,0.00029750,-0.00029747,0.37159559,-0.37159148,0.63869328,-0.63866008,0.00000000,-0.00000000
-5.96398199,1.74336684,-1.74330512,0.59885597,-0.59885105,0.48524012,-0.48522784,0.41494244,-0.41492750,0.18504751,-0.18503124,0.00031236,-0.00031232,0.37018534,-0.37018238,0.66511519,-0.66508387,0.00000000,-0.00000000
-5.95797899,1.77881937,-1.77876280,0.59692244,-0.59691933,0.49181297,-0.49180258,0.42724501,-0.42723198,0.19406460,-0.19404825,0.00033140,-0.00033135,0.36674548,-0.36674371,0.68906960,-0.68904042,0.00000000,-0.00000000
-5.95197599,1.80658173,-1.80653067,0.59188087,-0.59187958,0.49592153,-0.49591314,0.43742040,-0.43740941,0.20265264,-0.20263627,0.00035505,-0.00035499,0.36130750,-0.36130692,0.71031153,-0.71028470,0.00000000,-0.00000000
-5.94597299,1.82650383,-1.82645846,0.58382875,-0.58382924,0.49753093,-0.49752461,0.44534938,-0.44534054,0.21077039,-0.21075403,0.00038391,-0.00038384,0.35395651,-0.35395709,0.72866382,-0.72863949,0.00000000,-0.00000000
-5.93996998,1.83863301,-1.83859336,0.57293740,-0.57293958,0.49666402,-0.49665979,0.45096417,-0.45095752,0.21839117,-0.21837484,0.00041878,-0.00041870,0.34482557,-0.34482725,0.74402048,-0.74399872,0.00000000,-0.00000000
-5.93396698,1.84320276,-1.84316873,0.55944279,-0.55944654,0.49339785,-0.49339569,0.45424957,-0.45424512,0.22550305,-0.22548676,0.00046061,-0.00046051,0.33408882,-0.33409150,0.75634729,-0.75632812,0.00000000,-0.00000000
-5.92796398,1.84061572,-1.84058705,0.54363490,-0.54364006,0.48785856,-0.48785841,0.45524238,-0.45524007,0.23210829,-0.23209205,0.00051050,-0.00051038,0.32195375,-0.32195734,0.76567979,-0.76566316,0.00000000,-0.00000000
-5.92196098,1.83142141,-1.83139774,0.52584598,-0.52585237,0.48021496,-0.48021672,0.45402899,-0.45402871,0.23822227,-0.23820605,0.00056966,-0.00056952,0.30865293,-0.30865730,0.77211870,-0.77210451,0.00000000,-0.00000000
-5.91595798,1.81628988,-1.81627074,0.50643833,-0.50644573,0.47067099,-0.47067454,0.45074138,-0.45074299,0.24387172,-0.24385552,0.00063940,-0.00063924,0.29443539,-0.29444040,0.77582295,-0.77581105,0.00000000,-0.00000000
-5.90995498,1.79598243,-1.79596728,0.48579196,-0.48580015,0.45945757,-0.45946275,0.44555170,-0.44555503,0.24909269,-0.24907647,0.00072112,-0.00072094,0.27955820,-0.27956369,0.77700086,-0.77699105,0.00000000,-0.00000000
-5.90395198,1.77132064,-1.77130889,0.46429263,-0.46430137,0.44682392,-0.44683056,0.43866567,-0.43867051,0.25392797,-0.25391170,0.00081621,-0.00081600,0.26427834,-0.26428416,0.77589971,-0.77589179,0.00000000,-0.00000000
-5.89794897,1.74315521,-1.74314624,0.44232064,-0.44232970,0.43302901,-0.43303693,0.43031513,-0.43032123,0.25842442,-0.25840807,0.00092608,-0.00092583,0.24884533,-0.24885134,0.77279450,-0.77278821,0.00000000,-0.00000000
-5.89194597,1.71233578,-1.71232898,0.42024078,-0.42024994,0.41833338,-0.41834237,0.42075006,-0.42075719,0.26263020,-0.26261376,0.00105205,-0.00105177,0.23349472,-0.23350076,0.76797613,-0.76797123,0.00000000,-0.00000000
-5.88594297,1.67968316,-1.67967794,0.39839363,-0.39840265,0.40299151,-0.40300139,0.41023048,-0.41023837,0.26659206,-0.26657549,0.00119537,-0.00119505,0.21844264,-0.21844857,0.76173989,-0.76173614,0.00000000,-0.00000000
-5.87993997,1.64596493,-1.64596074,0.37708839,-0.37709707,0.38724533,-0.38725591,0.39901850,-0.39902689,0.27035282,-0.27033611,0.00135713,-0.00135678,0.20388162,-0.20388731,0.75437460,-0.75437178,0.00000000,-0.00000000
-5.87393697,1.61187527,-1.61187163,0.35659749,-0.35660565,0.37131875,-0.37132985,0.38737080,-0.38737945,0.27394923,-0.27393239,0.00153825,-0.00153787,0.18997761,-0.18998294,0.74615294,-0.74615084,0.00000000,-0.00000000
-5.86793397,1.57801974,-1.57801623,0.33715284,-0.33716031,0.35541360,-0.35542505,0.37553198,-0.37554065,0.27741025,-0.27739329,0.00173943,-0.00173901,0.17686828,-0.17687315,0.73732331,-0.73732175,0.00000000,-0.00000000
-5.86193097,1.54490514,-1.54490145,0.31894374,-0.31895037,0.33970680,-0.33971844,0.36372876,-0.36373723,0.28075585,-0.28073878,0.00196113,-0.00196067,0.16466253,-0.16466684,0.72810355,-0.72810241,0.00000000,-0.00000000
