energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.49333386,0.49531853,0.06208653,0.09026900,1.10955338,0.00000000,0.54087981,0.37465219
-5.99399700,2.55689932,0.49264401,0.06398473,0.09088575,1.13938701,0.00000000,0.54905029,0.38753691
-5.98799400,2.60967583,0.48738383,0.06559805,0.09111761,1.16444022,0.00000000,0.55504687,0.39889854
-5.98199100,2.65103379,0.47968117,0.06689947,0.09098916,1.18440260,0.00000000,0.55893061,0.40856486
-5.97598799,2.68058994,0.46972383,0.06786653,0.09053783,1.19906125,0.00000000,0.56082136,0.41640807
-5.96998499,2.69822539,0.45773868,0.06848223,0.08981341,1.20831002,0.00000000,0.56089745,0.42234934
-5.96398199,2.70409807,0.44398539,0.06873562,0.08887711,1.21215678,0.00000000,0.55939399,0.42636222
-5.95797899,2.69864862,0.42874972,0.06862243,0.08780037,1.21072803,0.00000000,0.55659979,0.42847470
-5.95197599,2.68259875,0.41233651,0.06814536,0.08666332,1.20427057,0.00000000,0.55285278,0.42876976
-5.94597299,2.65694175,0.39506268,0.06731420,0.08555305,1.19314984,0.00000000,0.54853391,0.42738420
-5.93996998,2.62292429,0.37725025,0.06614581,0.08456148,1.17784464,0.00000000,0.54405958,0.42450572
-5.93396698,2.58201989,0.35921972,0.06466369,0.08378309,1.15893815,0.00000000,0.53987249,0.42036815
-5.92796398,2.53589393,0.34128382,0.06289750,0.08331247,1.13710522,0.00000000,0.53643122,0.41524496
-5.92196098,2.48636103,0.32374174,0.06088222,0.08324166,1.11309611,0.00000000,0.53419850,0.40944121
-5.91595798,2.43533568,0.30687385,0.05865724,0.08365754,1.08771706,0.00000000,0.53362848,0.40328403
-5.90995498,2.38477748,0.29093709,0.05626522,0.08463905,1.06180812,0.00000000,0.53515329,0.39711217
-5.90395198,2.33663265,0.27616078,0.05375088,0.08625459,1.03621893,0.00000000,0.53916916,0.39126472
-5.89794897,2.29277362,0.26274323,0.05115974,0.08855954,1.01178319,0.00000000,0.54602261,0.38606954
-5.89194597,2.25493894,0.25084878,0.04853688,0.09159393,0.98929280,0.00000000,0.55599713,0.38183186
-5.88594297,2.22467566,0.24060556,0.04592571,0.09538053,0.96947244,0.00000000,0.56930076,0.37882335
-5.87993997,2.20328635,0.23210381,0.04336689,0.09992321,0.95295576,0.00000000,0.58605529,0.37727229
-5.87393697,2.19178308,0.22539491,0.04089738,0.10520586,0.94026397,0.00000000,0.60628736,0.37735499
-5.86793397,2.19085013,0.22049107,0.03854969,0.11119180,0.93178788,0.00000000,0.62992212,0.37918912
-5.86193097,2.20081735,0.21736572,0.03635132,0.11782381,0.92777400,0.00000000,0.65677974,0.38282900
-5.85592796,2.22164530,0.21595466,0.03432450,0.12502474,0.92831555,0.00000000,0.68657516,0.38826316
-5.84992496,2.25292319,0.21615801,0.03248605,0.13269884,0.93334866,0.00000000,0.71892133,0.39541434
-5.84392196,2.29388000,0.21784298,0.03084761,0.14073372,0.94265417,0.00000000,0.75333597,0.40414186
-5.83791896,2.34340865,0.22084736,0.02941594,0.14900288,0.95586494,0.00000000,0.78925186,0.41424643
-5.83191596,2.40010245,0.22498393,0.02819353,0.15736884,0.97247865,0.00000000,0.82603040,0.42547705
-5.82591296,2.46230282,0.23004543,0.02717925,0.16568676,0.99187544,0.00000000,0.86297816,0.43753998
-5.81990995,2.52815633,0.23581038,0.02636919,0.17380838,1.01333995,0.00000000,0.89936580,0.45010917
-5.81390695,2.59567903,0.24204926,0.02575750,0.18158619,1.03608688,0.00000000,0.93444892,0.46283795
-5.80790395,2.66282564,0.24853114,0.02533727,0.18887770,1.05928896,0.00000000,0.96748985,0.47537138
-5.80190095,2.72756063,0.25503060,0.02510138,0.19554961,1.08210638,0.00000000,0.99777975,0.48735884
-5.79589795,2.78792851,0.26133448,0.02504326,0.20148174,1.10371641,0.00000000,1.02466015,0.49846621
-5.78989495,2.84212034,0.26724854,0.02515751,0.20657050,1.12334201,0.00000000,1.04754298,0.50838737
-5.78389195,2.88853369,0.27260359,0.02544042,0.21073186,1.14027825,0.00000000,1.06592831,0.51685421
-5.77788894,2.92582374,0.27726097,0.02589029,0.21390357,1.15391555,0.00000000,1.07941915,0.52364510
-5.77188594,2.95294318,0.28111700,0.02650753,0.21604663,1.16375868,0.00000000,1.08773263,0.52859120
-5.76588294,2.96916960,0.28410644,0.02729462,0.21714592,1.16944088,0.00000000,1.09070708,0.53158050
-5.75987994,2.97411916,0.28620452,0.02825583,0.21720985,1.17073252,0.00000000,1.08830481,0.53255944
-5.75387694,2.96774634,0.28742761,0.02939676,0.21626929,1.16754410,0.00000000,1.08061044,0.53153207
-5.74787394,2.95032998,0.28783236,0.03072377,0.21437558,1.15992352,0.00000000,1.06782500,0.52855689
-5.74187094,2.92244666,0.28751326,0.03224320,0.21159792,1.14804791,0.00000000,1.05025596,0.52374150
-5.73586793,2.88493285,0.28659878,0.03396057,0.20802009,1.13221061,0.00000000,1.02830382,0.51723550
-5.72986493,2.83883799,0.28524605,0.03587968,0.20373685,1.11280389,0.00000000,1.00244586,0.50922187
-5.72386193,2.78537099,0.28363432,0.03800170,0.19885002,1.09029849,0.00000000,0.97321781,0.49990747
-5.71785893,2.72584269,0.28195744,0.04032433,0.19346459,1.06522093,0.00000000,0.94119424,0.48951299
-5.71185593,2.66160747,0.28041552,0.04284102,0.18768491,1.03812974,0.00000000,0.90696866,0.47826300
-5.70585293,2.59400645,0.27920624,0.04554031,0.18161115,1.00959179,0.00000000,0.87113409,0.46637643
-5.69984992,2.52431522,0.27851595,0.04840533,0.17533637,0.98015977,0.00000000,0.83426489,0.45405813
-5.69384692,2.45369816,0.27851118,0.05141349,0.16894399,0.95035182,0.00000000,0.79690071,0.44149167
-5.68784392,2.38317143,0.27933054,0.05453643,0.16250608,0.92063420,0.00000000,0.75953297,0.42883381
-5.68184092,2.31357582,0.28107779,0.05774014,0.15608226,0.89140758,0.00000000,0.72259438,0.41621078
-5.67583792,2.24556024,0.28381600,0.06098532,0.14971942,0.86299747,0.00000000,0.68645170,0.40371647
