energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.00001164,0.00000000,0.00000440,0.00000000,0.00000205,0.00000391,0.00000243
-5.99399700,0.00001656,0.00000000,0.00000627,0.00000000,0.00000292,0.00000557,0.00000346
-5.98799400,0.00002340,0.00000000,0.00000886,0.00000000,0.00000413,0.00000787,0.00000488
-5.98199100,0.00003282,0.00000000,0.00001242,0.00000000,0.00000579,0.00001104,0.00000685
-5.97598799,0.00004571,0.00000000,0.00001730,0.00000000,0.00000807,0.00001538,0.00000954
-5.96998499,0.00006320,0.00000000,0.00002392,0.00000000,0.00001115,0.00002126,0.00001319
-5.96398199,0.00008676,0.00000000,0.00003284,0.00000000,0.00001531,0.00002919,0.00001811
-5.95797899,0.00011825,0.00000000,0.00004476,0.00000000,0.00002086,0.00003978,0.00002468
-5.95197599,0.00016000,0.00000000,0.00006056,0.00000000,0.00002823,0.00005383,0.00003339
-5.94597299,0.00021494,0.00000000,0.00008136,0.00000000,0.00003793,0.00007231,0.00004486
-5.93996998,0.00028668,0.00000000,0.00010852,0.00000000,0.00005058,0.00009645,0.00005983
-5.93396698,0.00037961,0.00000000,0.00014369,0.00000000,0.00006698,0.00012771,0.00007923
-5.92796398,0.00049906,0.00000000,0.00018891,0.00000000,0.00008806,0.00016790,0.00010416
-5.92196098,0.00065138,0.00000000,0.00024656,0.00000000,0.00011494,0.00021914,0.00013595
-5.91595798,0.00084408,0.00000000,0.00031951,0.00000000,0.00014894,0.00028397,0.00017617
-5.90995498,0.00108594,0.00000000,0.00041106,0.00000000,0.00019162,0.00036534,0.00022665
-5.90395198,0.00138707,0.00000000,0.00052504,0.00000000,0.00024475,0.00046664,0.00028950
-5.89794897,0.00175897,0.00000000,0.00066582,0.00000000,0.00031037,0.00059176,0.00036712
-5.89194597,0.00221458,0.00000000,0.00083828,0.00000000,0.00039076,0.00074504,0.00046221
-5.88594297,0.00276817,0.00000000,0.00104783,0.00000000,0.00048845,0.00093128,0.00057775
-5.87993997,0.00343529,0.00000000,0.00130035,0.00000000,0.00060616,0.00115572,0.00071699
-5.87393697,0.00423258,0.00000000,0.00160214,0.00000000,0.00074684,0.00142394,0.00088339
-5.86793397,0.00517746,0.00000000,0.00195981,0.00000000,0.00091357,0.00174182,0.00108060
-5.86193097,0.00628779,0.00000000,0.00238010,0.00000000,0.00110949,0.00211537,0.00131234
-5.85592796,0.00758139,0.00000000,0.00286976,0.00000000,0.00133774,0.00255057,0.00158234
-5.84992496,0.00907549,0.00000000,0.00343532,0.00000000,0.00160138,0.00305322,0.00189417
-5.84392196,0.01078602,0.00000000,0.00408280,0.00000000,0.00190320,0.00362868,0.00225118
-5.83791896,0.01272689,0.00000000,0.00481747,0.00000000,0.00224567,0.00428164,0.00265627
-5.83191596,0.01490917,0.00000000,0.00564352,0.00000000,0.00263074,0.00501581,0.00311174
-5.82591296,0.01734021,0.00000000,0.00656373,0.00000000,0.00305970,0.00583367,0.00361913
-5.81990995,0.02002283,0.00000000,0.00757917,0.00000000,0.00353305,0.00673617,0.00417903
-5.81390695,0.02295442,0.00000000,0.00868886,0.00000000,0.00405033,0.00772243,0.00479089
-5.80790395,0.02612625,0.00000000,0.00988948,0.00000000,0.00461000,0.00878951,0.00545289
-5.80190095,0.02952282,0.00000000,0.01117518,0.00000000,0.00520933,0.00993220,0.00616180
-5.79589795,0.03312139,0.00000000,0.01253733,0.00000000,0.00584430,0.01114285,0.00691287
-5.78989495,0.03689175,0.00000000,0.01396451,0.00000000,0.00650958,0.01241129,0.00769979
