energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
1.03551776,2.66139997,-6.58756423,0.01597198,-0.01451345,0.08149137,-0.10284401,0.95448764,-1.46774842,0.72675458,-3.21348149,0.15828364,-0.39617434,0.00000000,-0.00000000,0.41100121,-0.77042922,1.60265850,-2.84864313
1.04152076,2.71765585,-6.56775273,0.01724968,-0.01399137,0.08269582,-0.10183896,0.97227827,-1.47714157,0.74518367,-3.20177416,0.15985165,-0.39098196,0.00000000,-0.00000000,0.40925305,-0.76548368,1.63567387,-2.84463288
1.04752376,2.78016095,-6.52654765,0.01858294,-0.01348597,0.08398815,-0.10059327,0.98981282,-1.48150810,0.76500521,-3.18146884,0.16196706,-0.38507800,0.00000000,-0.00000000,0.40916903,-0.75808327,1.67275681,-2.82930115
1.05352676,2.84818839,-6.46427232,0.01995421,-0.01299404,0.08535874,-0.09912322,1.00690136,-1.48090672,0.78597821,-3.15274054,0.16462064,-0.37853617,0.00000000,-0.00000000,0.41070310,-0.74828303,1.71350199,-2.80271199
1.05952976,2.92077006,-6.38173781,0.02134476,-0.01251360,0.08679198,-0.09745136,1.02330241,-1.47550721,0.80779560,-3.11593410,0.16778880,-0.37144655,0.00000000,-0.00000000,0.41376750,-0.73620879,1.75735756,-2.76521110
1.06553277,2.99671771,-6.28022217,0.02273507,-0.01204404,0.08826639,-0.09560589,1.03872774,-1.46558434,0.83009062,-3.07155528,0.17143373,-0.36391265,0.00000000,-0.00000000,0.41823544,-0.72205218,1.80363729,-2.71741813
1.07153577,3.07465430,-6.16143344,0.02410532,-0.01158614,0.08975494,-0.09361970,1.05285035,-1.45150803,0.85244648,-3.02025689,0.17550414,-0.35604802,0.00000000,-0.00000000,0.42394503,-0.70606299,1.85153883,-2.66020893
1.07753877,3.15305422,-6.02745812,0.02543593,-0.01114209,0.09122566,-0.09152944,1.06531517,-1.43373047,0.87440867,-2.96282050,0.17993639,-0.34797252,0.00000000,-0.00000000,0.43070443,-0.68853935,1.90016704,-2.59468853
1.08354177,3.23029028,-5.88069768,0.02670811,-0.01071537,0.09264253,-0.08937427,1.07575199,-1.41277066,0.89549939,-2.90013479,0.18465606,-0.33980830,0.00000000,-0.00000000,0.43829778,-0.66981611,1.94856133,-2.52215615
1.08954477,3.30468537,-5.72379565,0.02790442,-0.01031061,0.09396658,-0.08719467,1.08378997,-1.38919697,0.91523345,-2.83317114,0.18957973,-0.33167596,0.00000000,-0.00000000,0.44649174,-0.65025231,1.99572563,-2.44406370
1.09554777,3.37456626,-5.55955863,0.02900928,-0.00993343,0.09515711,-0.08503115,1.08907298,-1.36360878,0.93313484,-2.76295780,0.19461713,-0.32369070,0.00000000,-0.00000000,0.45504230,-0.63021803,2.04065957,-2.36196970
1.10155078,3.43831683,-5.39087414,0.03000944,-0.00959016,0.09617312,-0.08292300,1.09127488,-1.33661753,0.94875312,-2.69055320,0.19967320,-0.31595894,0.00000000,-0.00000000,0.46370157,-0.61008147,2.08238924,-2.27749047
1.10755378,3.49442845,-5.22062859,0.03089432,-0.00928762,0.09697469,-0.08090716,1.09011390,-1.30882823,0.96167889,-2.61701959,0.20465038,-0.30857532,0.00000000,-0.00000000,0.47222435,-0.59019670,2.11999631,-2.19225057
1.11355678,3.54154514,-5.05162803,0.03165630,-0.00903280,0.09752443,-0.07901707,1.08536551,-1.28082185,0.97155759,-2.54339758,0.20945074,-0.30162024,0.00000000,-0.00000000,0.48037415,-0.57089264,2.15264403,-2.10783429
1.11955978,3.57850164,-4.88652444,0.03229085,-0.00883260,0.09778884,-0.07728182,1.07687279,-1.25313932,0.97810097,-2.47068240,0.21397807,-0.29515805,0.00000000,-0.00000000,0.48792852,-0.55246360,2.17959916,-2.02574013
1.12556278,3.60435299,-4.72774953,0.03279657,-0.00869350,0.09773950,-0.07572536,1.06455409,-1.22626741,0.98109581,-2.39980230,0.21813979,-0.28923582,0.00000000,-0.00000000,0.49468364,-0.53516177,2.20024902,-1.94733955
1.13156578,3.61839469,-4.57745788,0.03317508,-0.00862132,0.09735421,-0.07436593,1.04840728,-1.20062707,0.98040947,-2.33159957,0.22184874,-0.28388282,0.00000000,-0.00000000,0.50045791,-0.51919168,2.21411320,-1.87384143
1.13756878,3.62017316,-4.43748057,0.03343079,-0.00862088,0.09661776,-0.07321571,1.02851077,-1.17656424,0.97599221,-2.26681442,0.22502472,-0.27911049,0.00000000,-0.00000000,0.50509462,-0.50470692,2.22084980,-1.80626316
1.14357179,3.60948656,-4.30929018,0.03357060,-0.00869587,0.09552258,-0.07228062,1.00502100,-1.15434347,0.96787626,-2.20607198,0.22759593,-0.27491308,0.00000000,-0.00000000,0.50846372,-0.49180881,2.22025640,-1.74540894
1.14957479,3.58637691,-4.19397743,0.03360350,-0.00884851,0.09406906,-0.07156040,0.97816684,-1.13414419,0.95617192,-2.14987243,0.22950012,-0.27126871,0.00000000,-0.00000000,0.51046271,-0.48054717,2.21226619,-1.69185578
1.15557779,3.55111441,-4.09223957,0.03354009,-0.00907950,0.09226562,-0.07104881,0.94824120,-1.11605981,0.94106091,-2.09858428,0.23068567,-0.26814084,0.00000000,-0.00000000,0.51101671,-0.47092268,2.19693998,-1.64594720
1.16158079,3.50417558,-4.00438015,0.03339211,-0.00938782,0.09012855,-0.07073399,0.91559040,-1.10009933,0.92278761,-2.05244095,0.23111244,-0.26548011,0.00000000,-0.00000000,0.51007788,-0.46289085,2.17445496,-1.60779446
1.16758379,3.44621670,-3.93031959,0.03317194,-0.00977066,0.08768153,-0.07059907,0.88060198,-1.08619143,0.90164861,-2.01154047,0.23075247,-0.26322640,0.00000000,-0.00000000,0.50762433,-0.45636705,2.14509116,-1.57728490
1.17358679,3.37804450,-3.86961595,0.03289213,-0.01022343,0.08495499,-0.07062278,0.84369153,-1.07419078,0.87798126,-1.97584826,0.22959054,-0.26131105,0.00000000,-0.00000000,0.50365857,-0.45123246,2.10921660,-1.55409685
1.17958979,3.30058554,-3.82149467,0.03256501,-0.01073974,0.08198523,-0.07078029,0.80528933,-1.06388636,0.85215177,-1.94520299,0.22762453,-0.25965920,0.00000000,-0.00000000,0.49820565,-0.44734051,2.06727194,-1.53772033
1.18559280,3.21485599,-3.78488657,0.03220226,-0.01131154,0.07881342,-0.07104405,0.76582745,-1.05501140,0.82454342,-1.91932540,0.22486563,-0.25819215,0.00000000,-0.00000000,0.49131123,-0.44452358,2.01975568,-1.52748270
1.19159580,3.12193303,-3.75847269,0.03181474,-0.01192919,0.07548447,-0.07138471,0.72572785,-1.04725478,0.79554549,-1.89782989,0.22133833,-0.25682971,0.00000000,-0.00000000,0.48303946,-0.44259965,1.96721031,-1.52257827
1.19759880,3.02292884,-3.74073479,0.03141221,-0.01258171,0.07204582,-0.07177203,0.68539195,-1.04027340,0.76554311,-1.88023881,0.21708019,-0.25549243,0.00000000,-0.00000000,0.47347092,-0.44137870,1.91021006,-1.52210089
1.20360180,2.91896798,-3.73001021,0.03100325,-0.01325701,0.06854619,-0.07217591,0.64519213,-1.03370532,0.73490860,-1.86599906,0.21214132,-0.25410381,0.00000000,-0.00000000,0.46270064,-0.44066871,1.84935042,-1.52507858
1.20960480,2.81116840,-3.72454962,0.03059525,-0.01394213,0.06503438,-0.07256720,0.60546523,-1.02718313,0.70399424,-1.85450088,0.20658364,-0.25259227,0.00000000,-0.00000000,0.45083612,-0.44028105,1.78523959,-1.53050897
1.21560780,2.70062618,-3.72257610,0.03019441,-0.01462362,0.06155806,-0.07291864,0.56650819,-1.02034725,0.67312673,-1.84509822,0.20047983,-0.25089300,0.00000000,-0.00000000,0.43799557,-0.44003521,1.71849174,-1.53739462
1.22161081,2.58840384,-3.72234409,0.02980586,-0.01528787,0.05816270,-0.07320558,0.52857589,-1.01285876,0.64260325,-1.83713036,0.19391195,-0.24894954,0.00000000,-0.00000000,0.42430613,-0.43976288,1.64972197,-1.54477721
1.22761381,2.47552178,-3.72219655,0.02943374,-0.01592148,0.05489053,-0.07340671,0.49188075,-1.00441134,0.61268895,-1.82994404,0.18696982,-0.24671521,0.00000000,-0.00000000,0.40990230,-0.43931129,1.57954247,-1.55176963
1.23361681,2.36295237,-3.72061874,0.02908134,-0.01651164,0.05177967,-0.07350460,0.45659422,-0.99474194,0.58361587,-1.82291558,0.17974914,-0.24415421,0.00000000,-0.00000000,0.39492430,-0.43854578,1.50855982,-1.55758495
1.23961981,2.25161614,-3.71628696,0.02875123,-0.01704652,0.04886345,-0.07348612,0.42284953,-0.98363988,0.55558285,-1.81547224,0.17234939,-0.24124249,0.00000000,-0.00000000,0.37951660,-0.43735179,1.43737286,-1.56156164
1.24562281,2.14237949,-3.70811093,0.02844531,-0.01751561,0.04616980,-0.07334272,0.39074548,-0.97095396,0.52875640,-1.80711197,0.16487155,-0.23796828,0.00000000,-0.00000000,0.36382642,-0.43563618,1.36657092,-1.56318416
1.25162581,2.03605346,-3.69526820,0.02816493,-0.01791007,0.04372085,-0.07307052,0.36035105,-0.95659754,0.50327224,-1.79742101,0.15741577,-0.23433236,0.00000000,-0.00000000,0.34800227,-0.43332796,1.29673216,-1.56209846
1.25762881,1.93339320,-3.67722969,0.02791088,-0.01822302,0.04153271,-0.07267031,0.33171018,-0.94055125,0.47923717,-1.78608843,0.15007908,-0.23034798,0.00000000,-0.00000000,0.33219252,-0.43037851,1.22842187,-1.55812176
1.26363182,1.83509785,-3.65377515,0.02768334,-0.01844978,0.03961541,-0.07214735,0.30484680,-0.92286332,0.45673136,-1.77291717,0.14295315,-0.22604050,0.00000000,-0.00000000,0.31654400,-0.42676135,1.16219055,-1.55124659
1.26963482,1.74181073,-3.62499816,0.02748188,-0.01858807,0.03797298,-0.07151097,0.27976957,-0.90364755,0.43581073,-1.75783095,0.13612222,-0.22144667,0.00000000,-0.00000000,0.30120070,-0.42247146,1.09857193,-1.54163867
1.27563782,1.65411987,-3.59130013,0.02730535,-0.01863810,0.03660371,-0.07077417,0.25647619,-0.88307897,0.41650937,-1.74087679,0.12966144,-0.21661369,0.00000000,-0.00000000,0.28630247,-0.41752425,1.03808087,-1.52962894
1.28164082,1.57255887,-3.55337352,0.02715176,-0.01860266,0.03550060,-0.06995296,0.23495729,-0.86138749,0.39884204,-1.72222282,0.12363539,-0.21159793,0.00000000,-0.00000000,0.27198402,-0.41195418,0.98121125,-1.51569980
