energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,2.33261223,0.62446540,1.73330615,0.00398010,0.09021828,0.08430890,0.00873477,0.43803875
-5.99399700,2.21486413,0.58051011,1.65394470,0.00384927,0.08192494,0.08200578,0.00811453,0.41535337
-5.98799400,2.10964288,0.54033032,1.58356872,0.00374900,0.07419263,0.08063685,0.00751928,0.39506497
-5.98199100,2.01701693,0.50426133,1.52202531,0.00368153,0.06706671,0.08024146,0.00695531,0.37724302
-5.97598799,1.93686204,0.47254329,1.46904874,0.00364845,0.06057888,0.08084285,0.00642804,0.36190708
-5.96998499,1.86887640,0.44532163,1.42427427,0.00365056,0.05474759,0.08244671,0.00594192,0.34902926
-5.96398199,1.81259934,0.42264957,1.38725381,0.00368794,0.04957855,0.08504015,0.00550037,0.33853800
-5.95797899,1.76743327,0.40449261,1.35747306,0.00375988,0.04506564,0.08859098,0.00510574,0.33032265
-5.95197599,1.73266812,0.39073471,1.33436975,0.00386490,0.04119196,0.09304737,0.00475934,0.32423901
-5.94597299,1.70750761,0.38118601,1.31735229,0.00400080,0.03793107,0.09833803,0.00446148,0.32011539
-5.93996998,1.69109648,0.37559170,1.30581858,0.00416470,0.03524828,0.10437285,0.00421159,0.31775923
-5.93396698,1.68254785,0.37364187,1.29917399,0.00435315,0.03310207,0.11104417,0.00400833,0.31696394
-5.92796398,1.68096985,0.37498209,1.29684813,0.00456222,0.03144551,0.11822859,0.00384973,0.31751573
-5.92196098,1.68549066,0.37922441,1.29830969,0.00478762,0.03022767,0.12578944,0.00373341,0.31920039
-5.91595798,1.69528105,0.38595858,1.30307874,0.00502490,0.02939504,0.13357975,0.00365671,0.32180971
-5.90995498,1.70957376,0.39476328,1.31073606,0.00526955,0.02889283,0.14144580,0.00361695,0.32514739
-5.90395198,1.72767909,0.40521701,1.32092907,0.00551722,0.02866629,0.14923107,0.00361162,0.32903434
-5.89794897,1.74899615,0.41690855,1.33337405,0.00576385,0.02866183,0.15678048,0.00363857,0.33331316
-5.89194597,1.77301957,0.42944653,1.34785469,0.00600588,0.02882812,0.16394487,0.00369622,0.33785178
-5.88594297,1.79934137,0.44246819,1.36421698,0.00624036,0.02911705,0.17058541,0.00378376,0.34254610
-5.87993997,1.82764830,0.45564675,1.38236065,0.00646513,0.02948451,0.17657784,0.00390129,0.34732169
-5.87393697,1.85771471,0.46869747,1.40222779,0.00667887,0.02989109,0.18181643,0.00404997,0.35213434
-5.86793397,1.88939154,0.48138212,1.42378895,0.00688122,0.03030255,0.18621725,0.00423209,0.35696966
-5.86193097,1.92259201,0.49351162,1.44702783,0.00707278,0.03069022,0.18972089,0.00445116,0.36184170
-5.85592796,1.95727484,0.50494706,1.47192505,0.00725514,0.03103115,0.19229421,0.00471193,0.36679054
-5.84992496,1.99342582,0.51559870,1.49844207,0.00743076,0.03130814,0.19393119,0.00502036,0.37187913
-5.84392196,2.03103876,0.52542336,1.52650616,0.00760296,0.03150955,0.19465280,0.00538351,0.37718929
-5.83791896,2.07009680,0.53442006,1.55599720,0.00777572,0.03162903,0.19450577,0.00580947,0.38281722
-5.83191596,2.11055501,0.54262432,1.58673712,0.00795355,0.03166509,0.19356047,0.00630713,0.38886846
-5.82591296,2.15232518,0.55010115,1.61848269,0.00814127,0.03162049,0.19190780,0.00688600,0.39545257
-5.81990995,2.19526358,0.55693735,1.65092200,0.00834384,0.03150159,0.18965540,0.00755590,0.40267778
-5.81390695,2.23916225,0.56323320,1.68367506,0.00856606,0.03131766,0.18692316,0.00832668,0.41064562
