energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-4.10905453,1.98858243,2.00703476,0.79848098,0.06252887,0.13952914,0.78456403,0.00000000
-4.10305153,2.00573739,2.02701786,0.80480851,0.06281363,0.14227107,0.78952305,0.00000000
-4.09704852,2.01467136,2.03702659,0.80814039,0.06278976,0.14412581,0.79132334,0.00000000
-4.09104552,2.01507201,2.03664806,0.80838034,0.06243340,0.14508128,0.78978904,0.00000000
-4.08504252,2.00694956,2.02579396,0.80556065,0.06173022,0.14514996,0.78486949,0.00000000
-4.07903952,1.99064927,2.00471220,0.79984766,0.06067568,0.14436940,0.77664429,0.00000000
-4.07303652,1.96685068,1.97398611,0.79154184,0.05927512,0.14280181,0.76532319,0.00000000
-4.06703352,1.93655370,1.93452116,0.78107242,0.05754327,0.14053292,0.75124083,0.00000000
-4.06103052,1.90105226,1.88752011,0.76898687,0.05550359,0.13766985,0.73484676,0.00000000
-4.05502751,1.86189668,1.83444775,0.75593561,0.05318726,0.13433850,0.71669109,0.00000000
-4.04902451,1.82084645,1.77698695,0.74265264,0.05063190,0.13068007,0.69740660,0.00000000
-4.04302151,1.77981545,1.71698803,0.72993296,0.04788019,0.12684734,0.67768806,0.00000000
-4.03701851,1.74081198,1.65641362,0.71860753,0.04497841,0.12300042,0.65826959,0.00000000
-4.03101551,1.70587590,1.59728132,0.70951705,0.04197486,0.11930247,0.63990127,0.00000000
-4.02501251,1.67701555,1.54160639,0.70348533,0.03891849,0.11591525,0.62332562,0.00000000
-4.01900950,1.65614663,1.49134652,0.70129331,0.03585747,0.11299495,0.60925514,0.00000000
-4.01300650,1.64503532,1.44835053,0.70365480,0.03283807,0.11068812,0.59835151,0.00000000
-4.00700350,1.64524753,1.41431260,0.71119459,0.02990367,0.10912809,0.59120724,0.00000000
-4.00100050,1.65810577,1.39073305,0.72442968,0.02709398,0.10843174,0.58833027,0.00000000
-3.99499750,1.68465481,1.37888651,0.74375420,0.02444454,0.10869692,0.59013190,0.00000000
-3.98899450,1.72563691,1.37979790,0.76942844,0.02198645,0.11000029,0.59691830,0.00000000
-3.98299150,1.78147693,1.39422627,0.80157210,0.01974627,0.11239590,0.60888553,0.00000000
-3.97698849,1.85227715,1.42265612,0.84016179,0.01774619,0.11591426,0.62611808,0.00000000
-3.97098549,1.93782151,1.46529583,0.88503289,0.01600428,0.12056207,0.64859071,0.00000000
-3.96498249,2.03758838,1.52208243,0.93588513,0.01453492,0.12632238,0.67617307,0.00000000
-3.95897949,2.15077087,1.59269186,0.99229184,0.01334926,0.13315539,0.70863693,0.00000000
-3.95297649,2.27630347,1.67655387,1.05371220,0.01245579,0.14099963,0.74566524,0.00000000
-3.94697349,2.41289363,1.77287071,1.11950590,0.01186080,0.14977351,0.78686281,0.00000000
-3.94097049,2.55905689,1.88063873,1.18894976,0.01156891,0.15937733,0.83176787,0.00000000
-3.93496748,2.71315416,1.99867214,1.26125537,0.01158351,0.16969547,0.87986409,0.00000000
-3.92896448,2.87342973,2.12562847,1.33558752,0.01190707,0.18059881,0.93059281,0.00000000
-3.92296148,3.03804905,2.26003501,1.41108238,0.01254140,0.19194745,0.98336478,0.00000000
-3.91695848,3.20513500,2.40031603,1.48686536,0.01348788,0.20359340,1.03757148,0.00000000
-3.91095548,3.37280204,2.54482049,1.56206779,0.01474743,0.21538345,1.09259565,0.00000000
-3.90495248,3.53918766,2.69185007,1.63584237,0.01632060,0.22716202,1.14782092,0.00000000
-3.89894947,3.70248078,2.83968732,1.70737708,0.01820745,0.23877405,1.20264063,0.00000000
-3.89294647,3.86094709,2.98662405,1.77590725,0.02040746,0.25006782,1.25646576,0.00000000
-3.88694347,4.01295130,3.13098963,1.84072608,0.02291943,0.26089761,1.30873224,0.00000000
-3.88094047,4.15697671,3.27117914,1.90119333,0.02574128,0.27112637,1.35890754,0.00000000
-3.87493747,4.29164231,3.40568109,1.95674254,0.02887005,0.28062815,1.40649685,0.00000000
-3.86893447,4.41571785,3.53310437,2.00688680,0.03230170,0.28929030,1.45104891,0.00000000
-3.86293147,4.52813712,3.65220390,2.05122328,0.03603118,0.29701556,1.49216147,0.00000000
-3.85692846,4.62800981,3.76190434,2.08943669,0.04005237,0.30372376,1.52948651,0.00000000
-3.85092546,4.71463185,3.86132129,2.12130180,0.04435813,0.30935333,1.56273510,0.00000000
-3.84492246,4.78749434,3.94977902,2.14668502,0.04894040,0.31386242,1.59168174,0.00000000
-3.83891946,4.84629080,4.02682405,2.16554511,0.05379029,0.31722970,1.61616805,0.00000000
-3.83291646,4.89092218,4.09223380,2.17793294,0.05889810,0.31945479,1.63610554,0.00000000
-3.82691346,4.92149941,4.14601955,2.18399026,0.06425344,0.32055827,1.65147718,0.00000000
-3.82091046,4.93834264,4.18842336,2.18394722,0.06984522,0.32058129,1.66233755,0.00000000
