energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.98957036,0.01384354,0.02144727,0.12843046,0.26864821,0.04473880,0.32374243,0.15194445,0.21899617
-5.99399700,1.04397923,0.01380546,0.02394181,0.13820337,0.28856029,0.04736449,0.34565377,0.16467854,0.22282562
-5.98799400,1.10499195,0.01392472,0.02668194,0.14931622,0.30916547,0.05007721,0.36939177,0.17904763,0.22882222
-5.98199100,1.17165612,0.01418831,0.02965135,0.16165864,0.33023041,0.05283050,0.39466166,0.19492619,0.23674173
-5.97598799,1.24294027,0.01458286,0.03282897,0.17510053,0.35150800,0.05557544,0.42114255,0.21216315,0.24632481
-5.96998499,1.31775366,0.01509501,0.03618911,0.18949351,0.37274297,0.05826175,0.44849347,0.23058330,0.25730207
-5.96398199,1.39496819,0.01571173,0.03970179,0.20467312,0.39367796,0.06083896,0.47636007,0.24998962,0.26939943
-5.95797899,1.47344217,0.01642063,0.04333322,0.22046167,0.41405995,0.06325763,0.50438217,0.27016669,0.28234345
-5.95197599,1.55204558,0.01721020,0.04704663,0.23667186,0.43364669,0.06547049,0.53220186,0.29088499,0.29586682
-5.94597299,1.62968630,0.01807010,0.05080322,0.25311103,0.45221318,0.06743359,0.55947203,0.31190625,0.30971377
-5.93996998,1.70533654,0.01899130,0.05456338,0.26958600,0.46955777,0.06910730,0.58586502,0.33298957,0.32364534
-5.93396698,1.77805878,0.01996627,0.05828797,0.28590830,0.48550783,0.07045728,0.61108123,0.35389821,0.33744440
-5.92796398,1.84703029,0.02098904,0.06193977,0.30189960,0.49992472,0.07145524,0.63485724,0.37440674,0.35092029
-5.92196098,1.91156519,0.02205529,0.06548494,0.31739718,0.51270781,0.07207963,0.65697325,0.39430828,0.36391285
-5.91595798,1.97113308,0.02316233,0.06889439,0.33225904,0.52379748,0.07231603,0.67725931,0.41342139,0.37629566
-5.90995498,2.02537321,0.02430908,0.07214508,0.34636849,0.53317688,0.07215748,0.69560021,0.43159638,0.38797836
-5.90395198,2.07410328,0.02549588,0.07522099,0.35963788,0.54087235,0.07160452,0.71193855,0.44872044,0.39890792
-5.89794897,2.11732212,0.02672440,0.07811395,0.37201123,0.54695237,0.07066507,0.72627585,0.46472145,0.40906853
-5.89194597,2.15520554,0.02799734,0.08082393,0.38346552,0.55152514,0.06935411,0.73867139,0.47956997,0.41848024
-5.88594297,2.18809531,0.02931816,0.08335909,0.39401056,0.55473465,0.06769320,0.74923887,0.49327940,0.42719616
-5.87993997,2.21648098,0.03069074,0.08573522,0.40368725,0.55675548,0.06570975,0.75814072,0.50590387,0.43529822
-5.87393697,2.24097518,0.03211896,0.08797484,0.41256425,0.55778636,0.06343627,0.76558023,0.51753414,0.44289167
-5.86793397,2.26228289,0.03360631,0.09010581,0.42073324,0.55804278,0.06090938,0.77179181,0.52829143,0.45009840
-5.86193097,2.28116594,0.03515542,0.09215964,0.42830277,0.55774879,0.05816884,0.77702965,0.53831945,0.45704931
-5.85592796,2.29840397,0.03676762,0.09416934,0.43539117,0.55712840,0.05525646,0.78155521,0.54777494,0.46387605
-5.84992496,2.31475360,0.03844251,0.09616725,0.44211864,0.55639681,0.05221502,0.78562417,0.55681727,0.47070252
-5.84392196,2.33090762,0.04017752,0.09818266,0.44859912,0.55575184,0.04908721,0.78947333,0.56559751,0.47763637
-5.83791896,2.34745604,0.04196762,0.10023946,0.45493216,0.55536592,0.04591461,0.79330807,0.57424755,0.48476110
-5.83191596,2.36485111,0.04380499,0.10235410,0.46119543,0.55537887,0.04273678,0.79729111,0.58287001,0.49212902
-5.82591296,2.38337784,0.04567883,0.10453368,0.46743814,0.55589195,0.03959045,0.80153290,0.59152936,0.49975553
-5.81990995,2.40313186,0.04757528,0.10677460,0.47367583,0.55696327,0.03650886,0.80608442,0.60024483,0.50761503
-5.81390695,2.42400575,0.04947742,0.10906170,0.47988685,0.55860480,0.03352119,0.81093259,0.60898566,0.51563866
-5.80790395,2.44568468,0.05136543,0.11136793,0.48601070,0.56078122,0.03065224,0.81599855,0.61766878,0.52371419
-5.80190095,2.46765187,0.05321683,0.11365478,0.49194849,0.56341052,0.02792219,0.82113915,0.62615943,0.53168797
-5.79589795,2.48920380,0.05500684,0.11587322,0.49756541,0.56636646,0.02534658,0.82615139,0.63427442,0.53936902
-5.78989495,2.50947453,0.05670892,0.11796535,0.50269520,0.56948280,0.02293638,0.83077978,0.64178821,0.54653506
-5.78389195,2.52746817,0.05829528,0.11986653,0.50714644,0.57255909,0.02069824,0.83472625,0.64844133,0.55294027
