energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.81021491,0.01370914,0.12312661,0.79108790,0.31791495,0.09926336,1.57749460,0.30548275,0.17110932
-5.99399700,2.91879145,0.01410374,0.12933933,0.81676719,0.34344565,0.10265977,1.63432855,0.31822239,0.17937834
-5.98799400,3.04435646,0.01451130,0.13602124,0.84806392,0.37164279,0.10663598,1.70111708,0.33221431,0.18854512
-5.98199100,3.18418217,0.01492011,0.14313392,0.88389700,0.40213885,0.11110848,1.77619078,0.34724221,0.19852356
-5.97598799,3.33526997,0.01531790,0.15063506,0.92313369,0.43450679,0.11598130,1.85772147,0.36306525,0.20922403
-5.96998499,3.49438608,0.01569217,0.15848087,0.96460389,0.46826278,0.12114706,1.94374182,0.37942246,0.22055681
-5.96398199,3.65811076,0.01603055,0.16662906,1.00711681,0.50287142,0.12648867,2.03217227,0.39603872,0.23243634
-5.95797899,3.82290071,0.01632110,0.17504245,1.04947962,0.53775344,0.13188151,2.12085524,0.41263193,0.24478624
-5.95197599,3.98516332,0.01655274,0.18369281,1.09051817,0.57229595,0.13719619,2.20759595,0.42892143,0.25754481
-5.94597299,4.14134045,0.01671557,0.19256493,1.12909903,0.60586491,0.14230168,2.29020878,0.44463699,0.27067079
-5.93996998,4.28799880,0.01680117,0.20166053,1.16415231,0.63781968,0.14706874,2.36656761,0.45952831,0.28414891
-5.93396698,4.42192293,0.01680289,0.21100178,1.19469450,0.66752898,0.15137356,2.43465822,0.47337429,0.29799499
-5.92796398,4.54020697,0.01671608,0.22063420,1.21985033,0.69438774,0.15510138,2.49263061,0.48599178,0.31226006
-5.92196098,4.64034060,0.01653819,0.23062857,1.23887284,0.71783424,0.15814993,2.53884893,0.49724318,0.32703323
-5.91595798,4.72028477,0.01626888,0.24108160,1.25116057,0.73736664,0.16043259,2.57193668,0.50704257,0.34244270
-5.90995498,4.77853333,0.01591000,0.25211526,1.25627121,0.75255823,0.16188103,2.59081507,0.51535983,0.35865487
-5.90395198,4.81415697,0.01546549,0.26387442,1.25393087,0.76307066,0.16244728,2.59473265,0.52222247,0.37587099
-5.89794897,4.82682673,0.01494126,0.27652281,1.24403852,0.76866455,0.16210508,2.58328458,0.52771499,0.39432143
-5.89194597,4.81681545,0.01434492,0.29023724,1.22666526,0.76920688,0.16085039,2.55642080,0.53197555,0.41425740
-5.88594297,4.78497639,0.01368552,0.30520022,1.20204841,0.76467477,0.15870120,2.51444228,0.53519008,0.43594027
-5.87993997,4.73269963,0.01297326,0.32159104,1.17058048,0.75515552,0.15569640,2.45798570,0.53758388,0.45962869
-5.87393697,4.66184791,0.01221909,0.33957571,1.13279360,0.74084283,0.15189405,2.38799711,0.53941112,0.48556397
-5.86793397,4.57467458,0.01143443,0.35929604,1.08934002,0.72202938,0.14736886,2.30569580,0.54094257,0.51395424
-5.86193097,4.47372752,0.01063073,0.38085840,1.04096928,0.69909608,0.14220923,2.21253002,0.54245208,0.54495802
-5.85592796,4.36174332,0.00981924,0.40432264,0.98850342,0.67249858,0.13651388,2.11012652,0.54420250,0.57866803
-5.84992496,4.24153671,0.00901063,0.42969177,0.93281077,0.64275162,0.13038817,2.00023619,0.54643167,0.61509605
-5.84392196,4.11589050,0.00821479,0.45690299,0.87477979,0.61041187,0.12394054,1.88467818,0.54933913,0.65415967
-5.83791896,3.98745103,0.00744059,0.48582069,0.81529369,0.57606023,0.11727884,1.76528474,0.55307433,0.69567194
-5.83191596,3.85863387,0.00669573,0.51623184,0.75520691,0.54028412,0.11050710,1.64384909,0.55772687,0.73933442
-5.82591296,3.73154413,0.00598667,0.54784444,0.69532415,0.50366069,0.10372260,1.52207817,0.56331934,0.78473459
-5.81990995,3.60791454,0.00531852,0.58028912,0.63638272,0.46674150,0.09701345,1.40155191,0.56980333,0.83134793
-5.81390695,3.48906373,0.00469511,0.61312427,0.57903852,0.43003918,0.09045675,1.28369019,0.57705858,0.87854504
-5.80790395,3.37587604,0.00411899,0.64584468,0.52385592,0.39401665,0.08411733,1.16972829,0.58489577,0.92560384
-5.80190095,3.26880287,0.00359154,0.67789346,0.47130175,0.35907895,0.07804721,1.06070106,0.59306260,0.97172661
-5.79589795,3.16788477,0.00311307,0.70867710,0.42174298,0.32556795,0.07228551,0.95743571,0.60125312,1.01606145
-5.78989495,3.07279212,0.00268295,0.73758291,0.37544808,0.29375980,0.06685902,0.86055272,0.60911976,1.05772741
-5.78389195,2.98288156,0.00229979,0.76399845,0.33259151,0.26386509,0.06178319,0.77047403,0.61628777,1.09584235
-5.77788894,2.89726472,0.00196157,0.78733200,0.29326078,0.23603131,0.05706352,0.68743737,0.62237107,1.12955243
-5.77188594,2.81488516,0.00166581,0.80703324,0.25746563,0.21034730,0.05269720,0.61151550,0.62698917,1.15806187
-5.76588294,2.73459926,0.00140969,0.82261326,0.22514857,0.18684936,0.04867495,0.54263900,0.62978397,1.18066188
-5.75987994,2.65525693,0.00119026,0.83366296,0.19619633,0.16552845,0.04498293,0.48062127,0.63043603,1.19675720
-5.75387694,2.57577810,0.00100449,0.83986904,0.17045160,0.14633812,0.04160460,0.42518441,0.62867922,1.20588925
-5.74787394,2.49522149,0.00084943,0.84102679,0.14772449,0.12920269,0.03852251,0.37598483,0.62431337,1.20775464
-5.74187094,2.41284276,0.00072226,0.83704912,0.12780346,0.11402538,0.03571988,0.33263752,0.61721415,1.20221832
-5.73586793,2.32813970,0.00062042,0.82797138,0.11046522,0.10069593,0.03318193,0.29473828,0.60733984,1.18932069
-5.72986493,2.24088326,0.00054161,0.81395181,0.09548341,0.08909765,0.03089699,0.26188311,0.59473476,1.16927840
-5.72386193,2.15113352,0.00048388,0.79526759,0.08263598,0.07911337,0.02885731,0.23368451,0.57952920,1.14247871
-5.71785893,2.05924089,0.00044559,0.77230658,0.07171108,0.07063058,0.02705950,0.20978430,0.56193592,1.10946795
-5.71185593,1.96583337,0.00042549,0.74555538,0.06251152,0.06354528,0.02550480,0.18986300,0.54224353,1.07093434
-5.70585293,1.87179110,0.00042265,0.71558405,0.05485788,0.05776481,0.02419896,0.17364588,0.52080694,1.02768620
-5.69984992,1.77821024,0.00043646,0.68302825,0.04859029,0.05320957,0.02315191,0.16090565,0.49803557,0.98062645
-5.69384692,1.68635825,0.00046661,0.64856957,0.04356913,0.04981364,0.02237725,0.15146236,0.47437966,0.93072452
-5.68784392,1.59762288,0.00051306,0.61291494,0.03967465,0.04752454,0.02189144,0.14518062,0.45031540,0.87898685
-5.68184092,1.51345735,0.00057593,0.57677576,0.03680590,0.04630212,0.02171294,0.14196456,0.42632946,0.82642717
-5.67583792,1.43532394,0.00065552,0.54084770,0.03487888,0.04611675,0.02186109,0.14175098,0.40290351,0.77403772
-5.66983492,1.36463822,0.00075220,0.50579178,0.03382424,0.04694694,0.02235502,0.14450098,0.38049934,0.72276229
-5.66383192,1.30271582,0.00086636,0.47221737,0.03358468,0.04877648,0.02321241,0.15019053,0.35954495,0.67347210
-5.65782891,1.25072331,0.00099831,0.44066753,0.03411206,0.05159135,0.02444822,0.15880031,0.34042222,0.62694517
-5.65182591,1.20963473,0.00114828,0.41160713,0.03536447,0.05537639,0.02607348,0.17030528,0.32345637,0.58384950
-5.64582291,1.18019475,0.00131625,0.38541385,0.03730335,0.06011200,0.02809401,0.18466424,0.30890746,0.54473069
-5.63981991,1.16288933,0.00150200,0.36237230,0.03989068,0.06577085,0.03050935,0.20180993,0.29696415,0.51000376
-5.63381691,1.15792439,0.00170494,0.34267110,0.04308645,0.07231497,0.03331173,0.22163983,0.28773987,0.47994940
-5.62781391,1.16521309,0.00192415,0.32640289,0.04684639,0.07969306,0.03648521,0.24400826,0.28127123,0.45471428
-5.62181091,1.18437160,0.00215830,0.31356704,0.05112007,0.08783842,0.04000501,0.26871998,0.27751874,0.43431527
-5.61580790,1.21472369,0.00240563,0.30407483,0.05584950,0.09666740,0.04383721,0.29552563,0.27636982,0.41864697
-5.60980490,1.25531378,0.00266396,0.29775677,0.06096812,0.10607860,0.04793856,0.32411945,0.27764370,0.40749228
-5.60380190,1.30492823,0.00293069,0.29437174,0.06640042,0.11595287,0.05225675,0.35413932,0.28109828,0.40053542
-5.59779890,1.36212437,0.00320284,0.29361759,0.07206201,0.12615410,0.05673100,0.38516936,0.28643849,0.39737687
-5.59179590,1.42526660,0.00347710,0.29514288,0.07786033,0.13653090,0.06129297,0.41674525,0.29332610,0.39754972
-5.58579290,1.49256861,0.00374989,0.29855932,0.08369585,0.14691914,0.06586802,0.44836202,0.30139043,0.40053686
-5.57978989,1.56214068,0.00401745,0.30345461,0.08946381,0.15714526,0.07037686,0.47948437,0.31023994,0.40578863
-5.57378689,1.63204069,0.00427596,0.30940530,0.09505642,0.16703022,0.07473743,0.50955902,0.31947402,0.41274019
-5.56778389,1.70032739,0.00452160,0.31598932,0.10036537,0.17639415,0.07886704,0.53802890,0.32869496,0.42082835
-5.56178089,1.76511413,0.00475068,0.32279784,0.10528471,0.18506119,0.08268465,0.56434842,0.33751944,0.42950735
-5.55577789,1.82462142,0.00495978,0.32944619,0.10971380,0.19286473,0.08611325,0.58799952,0.34558945,0.43826314
-5.54977489,1.87722636,0.00514582,0.33558346,0.11356035,0.19965243,0.08908220,0.60850750,0.35258203,0.44662584
-5.54377189,1.92150732,0.00530615,0.34090072,0.11674337,0.20529117,0.09152944,0.62545628,0.35821776,0.45418015
-5.53776888,1.95628208,0.00543865,0.34513741,0.11919582,0.20967139,0.09340353,0.63850215,0.36226760,0.46057335
-5.53176588,1.98063816,0.00554179,0.34808602,0.12086702,0.21271089,0.09466533,0.64738556,0.36455791,0.46552089
-5.52576288,1.99395430,0.00561466,0.34959484,0.12172452,0.21435774,0.09528933,0.65194035,0.36497357,0.46880945
-5.51975988,1.99591217,0.00565696,0.34956882,0.12175551,0.21459223,0.09526450,0.65210003,0.36345908,0.47029754
-5.51375688,1.98649847,0.00566903,0.34796860,0.12096758,0.21342783,0.09459471,0.64790085,0.36001771,0.46991372
-5.50775388,1.96599718,0.00565181,0.34480792,0.11938897,0.21091106,0.09329861,0.63948152,0.35470881,0.46765285
-5.50175088,1.93497311,0.00560676,0.34014956,0.11706806,0.20712033,0.09140903,0.62707979,0.34764360,0.46357051
-5.49574787,1.89424738,0.00553582,0.33410011,0.11407249,0.20216385,0.08897194,0.61102589,0.33897946,0.45777601
-5.48974487,1.84486664,0.00544130,0.32680389,0.11048764,0.19617670,0.08604502,0.59173346,0.32891329,0.45042453
-5.48374187,1.78806749,0.00532582,0.31843635,0.10641472,0.18931722,0.08269585,0.56968824,0.31767422,0.44170876
-5.47773887,1.72523805,0.00519220,0.30919725,0.10196861,0.18176298,0.07899993,0.54543526,0.30551595,0.43185046
-5.47173587,1.65787840,0.00504339,0.29930405,0.09727547,0.17370637,0.07503853,0.51956506,0.29270919,0.42109244
-5.46573287,1.58756185,0.00488236,0.28898570,0.09247019,0.16535019,0.07089643,0.49269955,0.27953455,0.40969125
-5.45972986,1.51589841,0.00471204,0.27847709,0.08769396,0.15690328,0.06665981,0.46547816,0.26627601,0.39791094
-5.45372686,1.44450180,0.00453527,0.26801436,0.08309187,0.14857642,0.06241415,0.43854469,0.25321536,0.38601799
-5.44772386,1.37496093,0.00435479,0.25783124,0.07881068,0.14057851,0.05824237,0.41253528,0.24062766,0.37427759
-5.44172086,1.30881634,0.00417315,0.24815628,0.07499676,0.13311330,0.05422318,0.38806785,0.22877781,0.36295128
-5.43571786,1.24754165,0.00399276,0.23921113,0.07179432,0.12637643,0.05042970,0.36573300,0.21791825,0.35229576
-5.42971486,1.19252993,0.00381587,0.23120973,0.06934380,0.12055306,0.04692834,0.34608650,0.20828769,0.34256286
-5.42371186,1.14508420,0.00364461,0.22435813,0.06778041,0.11581573,0.04377795,0.32964324,0.20011071,0.33400032
-5.41770885,1.10641149,0.00348100,0.21885503,0.06723285,0.11232272,0.04102922,0.31687234,0.19359816,0.32685322
-5.41170585,1.07761929,0.00332699,0.21489263,0.06782208,0.11021642,0.03872426,0.30819331,0.18894810,0.32136573
-5.40570285,1.05971359,0.00318448,0.21265773,0.06966010,0.10962203,0.03689642,0.30397279,0.18634702,0.31778297
-5.39969985,1.05359739,0.00305538,0.21233293,0.07284871,0.11064613,0.03557014,0.30452170,0.18597127,0.31635282
-5.39369685,1.06006911,0.00294160,0.21409761,0.07747815,0.11337523,0.03476101,0.31009245,0.18798848,0.31732730
