energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.67028912,0.09909447,0.00404372,0.92136430,0.69504947,0.88634914,0.04144368,0.50214016
-5.99399700,2.77881369,0.10089960,0.00411133,0.95906059,0.73350802,0.92114333,0.04309332,0.52376859
-5.98799400,2.89445186,0.10265600,0.00417470,0.99912383,0.77374517,0.95769724,0.04490299,0.54697849
-5.98199100,3.01760085,0.10435693,0.00423450,1.04170922,0.81570827,0.99610131,0.04689061,0.57183194
-5.97598799,3.14854977,0.10599641,0.00429145,1.08693128,0.85931737,1.03641008,0.04907175,0.59837273
-5.96998499,3.28745042,0.10756901,0.00434623,1.13485325,0.90446188,1.07863375,0.05145890,0.62662095
-5.96398199,3.43429165,0.10906989,0.00439951,1.18547763,0.95099810,1.12273099,0.05406083,0.65656845
-5.95797899,3.58887854,0.11049482,0.00445187,1.23873841,0.99874778,1.16860324,0.05688195,0.68817516
-5.95197599,3.75081716,0.11184043,0.00450381,1.29449519,1.04749772,1.21609072,0.05992180,0.72136652
-5.94597299,3.91950597,0.11310437,0.00455569,1.35252974,1.09700080,1.26497060,0.06317470,0.75603216
-5.93996998,4.09413444,0.11428567,0.00460773,1.41254500,1.14697813,1.31495722,0.06662953,0.79202608
-5.93396698,4.27368955,0.11538503,0.00466002,1.47416698,1.19712280,1.36570473,0.07026970,0.82916825
-5.92796398,4.45697039,0.11640524,0.00471250,1.53694962,1.24710489,1.41681215,0.07407329,0.86724779
-5.92196098,4.64261104,0.11735147,0.00476494,1.60038261,1.29657794,1.46783078,0.07801338,0.90602771
-5.91595798,4.82911126,0.11823166,0.00481700,1.66390206,1.34518663,1.51827389,0.08205863,0.94525115
-5.90995498,5.01487455,0.11905678,0.00486824,1.72690402,1.39257568,1.56762853,0.08617403,0.98464892
-5.90395198,5.19825239,0.11984113,0.00491810,1.78876019,1.43839947,1.61536902,0.09032176,1.02394808
-5.89794897,5.37759332,0.12060246,0.00496599,1.84883562,1.48233236,1.66097185,0.09446231,1.06288139
-5.89194597,5.55129503,0.12136210,0.00501129,1.90650764,1.52407907,1.70393132,0.09855564,1.10119707
-5.88594297,5.71785735,0.12214493,0.00505337,1.96118528,1.56338488,1.74377544,0.10256239,1.13866851
