energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.06441928,0.00027751,0.40788458,0.33713558,0.63709020,0.01388783,0.01425333
-5.99399700,1.11711862,0.00029642,0.42910104,0.35930649,0.66871670,0.01458504,0.01428911
-5.98799400,1.17012144,0.00031630,0.45030797,0.38237827,0.70007666,0.01528134,0.01445290
-5.98199100,1.22310948,0.00033701,0.47137779,0.40623706,0.73098454,0.01597310,0.01473414
-5.97598799,1.27582926,0.00035840,0.49220284,0.43077932,0.76128992,0.01665688,0.01512710
-5.96998499,1.32809356,0.00038034,0.51269664,0.45591202,0.79087972,0.01732941,0.01563087
-5.96398199,1.37978220,0.00040267,0.53279488,0.48155316,0.81967973,0.01798748,0.01624909
-5.95797899,1.43084183,0.00042524,0.55245624,0.50763258,0.84765572,0.01862796,0.01698976
-5.95197599,1.48128488,0.00044790,0.57166306,0.53409283,0.87481385,0.01924770,0.01786472
-5.94597299,1.53118749,0.00047047,0.59042156,0.56089017,0.90120051,0.01984353,0.01888925
-5.93996998,1.58068625,0.00049279,0.60876186,0.58799528,0.92690135,0.02041230,0.02008137
-5.93396698,1.62997382,0.00051468,0.62673747,0.61539373,0.95203966,0.02095083,0.02146113
-5.92796398,1.67929310,0.00053597,0.64442428,0.64308585,0.97677389,0.02145602,0.02304975
-5.92196098,1.72893009,0.00055645,0.66191902,0.67108596,1.00129424,0.02192484,0.02486872
-5.91595798,1.77920518,0.00057597,0.67933697,0.69942077,1.02581848,0.02235440,0.02693875
-5.90995498,1.83046315,0.00059432,0.69680917,0.72812692,1.05058681,0.02274204,0.02927872
-5.90395198,1.88306176,0.00061134,0.71447878,0.75724758,1.07585592,0.02308536,0.03190460
-5.89794897,1.93735942,0.00062685,0.73249700,0.78682833,1.10189229,0.02338232,0.03482834
-5.89194597,1.99370199,0.00064068,0.75101833,0.81691228,1.12896487,0.02363130,0.03805695
