energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.74408888,0.14002768,0.13007035,0.02193965,0.03025269,0.00838830,0.27848899,0.17191186,0.15022624
-5.99399700,0.74407681,0.14419606,0.13265768,0.02290975,0.02837734,0.00894755,0.28170996,0.16517310,0.14740094
-5.98799400,0.74935489,0.14903776,0.13598602,0.02398708,0.02667238,0.00963458,0.28651414,0.15919831,0.14596803
-5.98199100,0.75972064,0.15449872,0.13997804,0.02514777,0.02515678,0.01045207,0.29278872,0.15401580,0.14589088
-5.97598799,0.77491626,0.16051632,0.14454726,0.02636656,0.02384745,0.01140138,0.30040079,0.14964152,0.14712266
-5.96998499,0.79463156,0.16702030,0.14960040,0.02761744,0.02275845,0.01248238,0.30920038,0.14607798,0.14960605
-5.96398199,0.81850736,0.17393386,0.15503964,0.02887426,0.02190027,0.01369321,0.31902367,0.14331368,0.15327311
-5.95797899,0.84613918,0.18117486,0.16076486,0.03011137,0.02127927,0.01503006,0.32969632,0.14132296,0.15804513
-5.95197599,0.87708100,0.18865709,0.16667562,0.03130416,0.02089731,0.01648696,0.34103655,0.14006643,0.16383255
-5.94597299,0.91084909,0.19629162,0.17267302,0.03242959,0.02075143,0.01805551,0.35285819,0.13949162,0.17053497
-5.93996998,0.94692580,0.20398802,0.17866116,0.03346661,0.02083379,0.01972475,0.36497326,0.13953411,0.17804126
-5.93396698,0.98476350,0.21165555,0.18454836,0.03439657,0.02113164,0.02148098,0.37719437,0.14011887,0.18622982
-5.92796398,1.02378876,0.21920430,0.19024806,0.03520348,0.02162757,0.02330774,0.38933676,0.14116184,0.19496907
-5.92196098,1.06340694,0.22654618,0.19567940,0.03587420,0.02229979,0.02518577,0.40121997,0.14257170,0.20411825
-5.91595798,1.10300753,0.23359591,0.20076763,0.03639853,0.02312258,0.02709321,0.41266939,0.14425176,0.21352853
-5.90995498,1.14197040,0.24027197,0.20544423,0.03676931,0.02406690,0.02900587,0.42351765,0.14610198,0.22304454
-5.90395198,1.17967330,0.24649753,0.20964710,0.03698232,0.02510108,0.03089754,0.43360597,0.14802110,0.23250639
-5.89794897,1.21550063,0.25220146,0.21332051,0.03703620,0.02619159,0.03274061,0.44278565,0.14990875,0.24175203
-5.89194597,1.24885374,0.25731939,0.21641526,0.03693236,0.02730391,0.03450664,0.45091963,0.15166770,0.25062020
-5.88594297,1.27916249,0.26179491,0.21888884,0.03667476,0.02840346,0.03616716,0.45788445,0.15320603,0.25895368
-5.87993997,1.30589813,0.26558083,0.22070584,0.03626977,0.02945652,0.03769449,0.46357234,0.15443936,0.26660286
-5.87393697,1.32858698,0.26864053,0.22183837,0.03572600,0.03043119,0.03906265,0.46789369,0.15529294,0.27342960
-5.86793397,1.34682447,0.27094936,0.22226683,0.03505405,0.03129828,0.04024824,0.47077960,0.15570370,0.27931103
-5.86193097,1.36028905,0.27249601,0.22198066,0.03426639,0.03203215,0.04123138,0.47218466,0.15562210,0.28414332
-5.85592796,1.36875506,0.27328377,0.22097926,0.03337716,0.03261149,0.04199649,0.47208951,0.15501375,0.28784514
-5.84992496,1.37210407,0.27333159,0.21927286,0.03240201,0.03301989,0.04253303,0.47050330,0.15386077,0.29036063
-5.84392196,1.37033373,0.27267484,0.21688332,0.03135788,0.03324634,0.04283609,0.46746559,0.15216276,0.29166172
-5.83791896,1.36356353,0.27136567,0.21384472,0.03026287,0.03328558,0.04290674,0.46304765,0.14993738,0.29174962
-5.83191596,1.35203687,0.26947288,0.21020369,0.02913596,0.03313814,0.04275225,0.45735288,0.14722051,0.29065541
-5.82591296,1.33611898,0.26708124,0.20601934,0.02799686,0.03281037,0.04238598,0.45051627,0.14406578,0.28843957
-5.81990995,1.31629043,0.26429022,0.20136273,0.02686565,0.03231416,0.04182716,0.44270272,0.14054378,0.28519047
-5.81390695,1.29313623,0.26121207,0.19631586,0.02576257,0.03166654,0.04110029,0.43410413,0.13674055,0.28102179
-5.80790395,1.26733066,0.25796938,0.19097019,0.02470758,0.03088910,0.04023446,0.42493536,0.13275572,0.27606903
-5.80190095,1.23961827,0.25469200,0.18542455,0.02372007,0.03000729,0.03926236,0.41542910,0.12870008,0.27048508
-5.79589795,1.21079170,0.25151363,0.17978279,0.02281838,0.02904958,0.03821923,0.40582976,0.12469283,0.26443518
-5.78989495,1.18166709,0.24856794,0.17415084,0.02201941,0.02804661,0.03714158,0.39638655,0.12085839,0.25809135
-5.78389195,1.15305797,0.24598464,0.16863374,0.02133818,0.02703017,0.03606595,0.38734608,0.11732302,0.25162662
-5.77788894,1.12574882,0.24388531,0.16333236,0.02078738,0.02603229,0.03502759,0.37894472,0.11421121,0.24520913
-5.77188594,1.10046915,0.24237949,0.15834022,0.02037698,0.02508423,0.03405922,0.37140101,0.11164207,0.23899659
-5.76588294,1.07786931,0.24156094,0.15374047,0.02011391,0.02421560,0.03318981,0.36490843,0.10972569,0.23313106
-5.75987994,1.05849891,0.24150430,0.14960310,0.02000170,0.02345352,0.03244362,0.35962885,0.10855963,0.22773448
-5.75387694,1.04278873,0.24226231,0.14598263,0.02004035,0.02282182,0.03183928,0.35568693,0.10822571,0.22290498
-5.74787394,1.03103685,0.24386365,0.14291632,0.02022614,0.02234044,0.03138921,0.35316570,0.10878707,0.21871412
-5.74187094,1.02339949,0.24631149,0.14042299,0.02055170,0.02202486,0.03109918,0.35210346,0.11028572,0.21520524
-5.73586793,1.01988697,0.24958288,0.13850251,0.02100607,0.02188576,0.03096822,0.35249226,0.11274057,0.21239286
-5.72986493,1.02036476,0.25362889,0.13713601,0.02157493,0.02192875,0.03098873,0.35427790,0.11614611,0.21026314
-5.72386193,1.02455981,0.25837563,0.13628680,0.02224100,0.02215432,0.03114686,0.35736155,0.12047177,0.20877545
-5.71785893,1.03207162,0.26372605,0.13590189,0.02298440,0.02255789,0.03142313,0.36160292,0.12566203,0.20786477
-5.71185593,1.04238782,0.26956250,0.13591421,0.02378330,0.02313003,0.03179327,0.36682489,0.13163734,0.20744504
-5.70585293,1.05490353,0.27575004,0.13624520,0.02461443,0.02385691,0.03222925,0.37281947,0.13829584,0.20741311
-5.69984992,1.06894391,0.28214021,0.13680795,0.02545385,0.02472076,0.03270037,0.37935478,0.14551593,0.20765319
-5.69384692,1.08378898,0.28857547,0.13751045,0.02627757,0.02570062,0.03317458,0.38618303,0.15315967,0.20804166
-5.68784392,1.09869979,0.29489388,0.13825916,0.02706234,0.02677312,0.03361966,0.39304902,0.16107688,0.20845200
-5.68184092,1.11294519,0.30093406,0.13896242,0.02778626,0.02791337,0.03400455,0.39969900,0.16910990,0.20875968
-5.67583792,1.12582803,0.30654026,0.13953387,0.02842945,0.02909601,0.03430049,0.40588952,0.17709895,0.20884677
