energy_ev,total_up,Sc_p_up,Sc_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.23010685,0.02076115,0.03135739,0.03425005,0.00000000,0.13184674,0.00000000
-5.99399700,0.20100354,0.01816219,0.02751662,0.03024684,0.00000000,0.11443499,0.00000000
-5.98799400,0.17659729,0.01600110,0.02432102,0.02695517,0.00000000,0.09968027,0.00000000
-5.98199100,0.15669212,0.01425895,0.02174582,0.02435113,0.00000000,0.08745936,0.00000000
-5.97598799,0.14105909,0.01291406,0.01976175,0.02240580,0.00000000,0.07763026,0.00000000
-5.96998499,0.12944640,0.01194287,0.01833634,0.02108656,0.00000000,0.07003839,0.00000000
-5.96398199,0.12158755,0.01132067,0.01743490,0.02035815,0.00000000,0.06452173,0.00000000
-5.95797899,0.11720741,0.01102210,0.01702134,0.02018333,0.00000000,0.06091472,0.00000000
-5.95197599,0.11602647,0.01102145,0.01705864,0.02052335,0.00000000,0.05905114,0.00000000
-5.94597299,0.11776316,0.01129285,0.01750911,0.02133814,0.00000000,0.05876590,0.00000000
-5.93996998,0.12213482,0.01181031,0.01833445,0.02258624,0.00000000,0.05989590,0.00000000
-5.93396698,0.12885734,0.01254759,0.01949565,0.02422461,0.00000000,0.06228030,0.00000000
-5.92796398,0.13764415,0.01347810,0.02095280,0.02620841,0.00000000,0.06576009,0.00000000
-5.92196098,0.14820480,0.01457470,0.02266488,0.02849067,0.00000000,0.07017752,0.00000000
-5.91595798,0.16024349,0.01580956,0.02458954,0.03102205,0.00000000,0.07537537,0.00000000
-5.90995498,0.17345812,0.01715407,0.02668299,0.03375073,0.00000000,0.08119626,0.00000000
-5.90395198,0.18753988,0.01857875,0.02889994,0.03662243,0.00000000,0.08748235,0.00000000
-5.89794897,0.20217388,0.02005337,0.03119378,0.03958062,0.00000000,0.09407538,0.00000000
-5.89194597,0.21704080,0.02154710,0.03351684,0.04256698,0.00000000,0.10081710,0.00000000
-5.88594297,0.23181969,0.02302880,0.03582091,0.04552205,0.00000000,0.10755040,0.00000000
