energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,5.70178568,-5.70178554,0.13454389,-0.13454389,0.80475113,-0.80475112,1.16084187,-1.16084182,2.07676247,-2.07676240,0.10843320,-0.10843320,1.85632348,-1.85632343
-5.99399700,5.71888272,-5.71888261,0.13424395,-0.13424395,0.80089231,-0.80089231,1.16842969,-1.16842965,2.08733665,-2.08733659,0.11117498,-0.11117498,1.87005601,-1.87005597
-5.98799400,5.71609487,-5.71609478,0.13324093,-0.13324093,0.79351159,-0.79351159,1.17221732,-1.17221729,2.08864793,-2.08864788,0.11356731,-0.11356731,1.87867430,-1.87867427
-5.98199100,5.69311822,-5.69311816,0.13153032,-0.13153032,0.78257673,-0.78257674,1.17203004,-1.17203001,2.08049436,-2.08049433,0.11557916,-0.11557916,1.88207494,-1.88207492
-5.97598799,5.64992655,-5.64992653,0.12912100,-0.12912100,0.76812655,-0.76812656,1.16775946,-1.16775943,2.06283814,-2.06283812,0.11718399,-0.11718399,1.88018991,-1.88018990
-5.96998499,5.58676181,-5.58676182,0.12603535,-0.12603535,0.75026995,-0.75026996,1.15936194,-1.15936192,2.03580649,-2.03580647,0.11835989,-0.11835989,1.87298232,-1.87298232
-5.96398199,5.50412112,-5.50412115,0.12230901,-0.12230901,0.72918292,-0.72918294,1.14685612,-1.14685611,1.99968790,-1.99968789,0.11908961,-0.11908961,1.86044371,-1.86044372
-5.95797899,5.40274079,-5.40274085,0.11799007,-0.11799008,0.70510365,-0.70510367,1.13031978,-1.13031978,1.95492389,-1.95492391,0.11936072,-0.11936072,1.84259296,-1.84259298
-5.95197599,5.28357785,-5.28357794,0.11313786,-0.11313787,0.67832577,-0.67832580,1.10988613,-1.10988613,1.90209664,-1.90209666,0.11916563,-0.11916563,1.81947705,-1.81947708
-5.94597299,5.14778967,-5.14778979,0.10782131,-0.10782131,0.64919012,-0.64919014,1.08573968,-1.08573969,1.84191293,-1.84191296,0.11850170,-0.11850170,1.79117345,-1.79117350
-5.93996998,4.99671242,-4.99671257,0.10211700,-0.10211700,0.61807522,-0.61807525,1.05811190,-1.05811190,1.77518537,-1.77518541,0.11737132,-0.11737132,1.75779401,-1.75779407
-5.93396698,4.83183905,-4.83183923,0.09610697,-0.09610698,0.58538703,-0.58538706,1.02727674,-1.02727675,1.70281153,-1.70281158,0.11578201,-0.11578202,1.71949002,-1.71949009
-5.92796398,4.65479734,-4.65479754,0.08987640,-0.08987640,0.55154826,-0.55154829,0.99354631,-0.99354633,1.62575206,-1.62575212,0.11374654,-0.11374654,1.67645801,-1.67645810
-5.92196098,4.46732870,-4.46732893,0.08351119,-0.08351119,0.51698778,-0.51698781,0.95726662,-0.95726665,1.54500869,-1.54500876,0.11128293,-0.11128294,1.62894592,-1.62894602
-5.91595798,4.27126803,-4.27126827,0.07709570,-0.07709571,0.48213061,-0.48213064,0.91881366,-0.91881369,1.46160288,-1.46160296,0.10841457,-0.10841458,1.57725897,-1.57725907
-5.90995498,4.06852483,-4.06852509,0.07071060,-0.07071060,0.44738874,-0.44738877,0.87858971,-0.87858974,1.37655607,-1.37655614,0.10517014,-0.10517015,1.52176482,-1.52176493
