energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.76279111,0.20865630,0.00312995,0.07115585,0.62190687,0.46718337,0.19375652
-5.99399700,1.74694238,0.20859310,0.00312171,0.07220595,0.61473527,0.46154939,0.18823847
-5.98799400,1.73725686,0.20931985,0.00311404,0.07364978,0.61009860,0.45685754,0.18420114
-5.98199100,1.73375073,0.21082928,0.00310759,0.07546345,0.60796193,0.45327309,0.18163119
-5.97598799,1.73651482,0.21311260,0.00310322,0.07762033,0.60833576,0.45098471,0.18051646
-5.96998499,1.74571246,0.21615938,0.00310203,0.08009179,0.61127545,0.45020019,0.18084662
-5.96398199,1.76157131,0.21995701,0.00310527,0.08284768,0.61687758,0.45114054,0.18261307
-5.95797899,1.78436909,0.22448997,0.00311432,0.08585695,0.62527343,0.45403258,0.18580825
-5.95197599,1.81441394,0.22973880,0.00313064,0.08908803,0.63661970,0.45910021,0.19042411
-5.94597299,1.85201996,0.23567888,0.00315570,0.09250929,0.65108685,0.46655474,0.19645017
-5.93996998,1.89747909,0.24227914,0.00319093,0.09608931,0.66884563,0.47658457,0.20387088
-5.93396698,1.95103032,0.24950067,0.00323764,0.09979712,0.69005216,0.48934456,0.21266274
-5.92796398,2.01282789,0.25729540,0.00329693,0.10360237,0.71483247,0.50494581,0.22279116
-5.92196098,2.08290974,0.26560491,0.00336967,0.10747539,0.74326702,0.52344591,0.23420720
-5.91595798,2.16116794,0.27435942,0.00345641,0.11138718,0.77537602,0.54484058,0.24684460
-5.90995498,2.24732262,0.28347706,0.00355732,0.11530931,0.81110640,0.56905682,0.26061705
-5.90395198,2.34090100,0.29286356,0.00367218,0.11921385,0.85032102,0.59594811,0.27541611
-5.89794897,2.44122287,0.30241228,0.00380031,0.12307309,0.89279080,0.62529214,0.29110982
-5.89194597,2.54739370,0.31200483,0.00394061,0.12685942,0.93819045,0.65679099,0.30754225
-5.88594297,2.65830629,0.32151214,0.00409150,0.13054509,0.98609798,0.69007436,0.32453404
-5.87993997,2.77265144,0.33079615,0.00425100,0.13410206,1.03599848,0.72470548,0.34188412
-5.87393697,2.88893797,0.33971206,0.00441675,0.13750191,1.08729199,0.76018991,0.35937248
-5.86793397,3.00552153,0.34811108,0.00458603,0.14071582,1.13930558,0.79598693,0.37676406
-5.86193097,3.12064185,0.35584372,0.00475588,0.14371475,1.19130900,0.83152305,0.39381369
-5.85592796,3.23246697,0.36276347,0.00492316,0.14646964,1.24253369,0.86620750,0.41027179
-5.84992496,3.33914310,0.36873082,0.00508464,0.14895188,1.29219422,0.89944882,0.42589084
-5.84392196,3.43884835,0.37361742,0.00523710,0.15113387,1.33951144,0.93067214,0.44043210
-5.83791896,3.52984790,0.37731032,0.00537742,0.15298969,1.38373632,0.95933649,0.45367256
-5.83191596,3.61054875,0.37971604,0.00550273,0.15449600,1.42417357,0.98495130,0.46541166
-5.82591296,3.67955138,0.38076438,0.00561041,0.15563285,1.46020392,1.00709156,0.47547756
-5.81990995,3.73569629,0.38041172,0.00569828,0.15638464,1.49130413,1.02541093,0.48373253
-5.81390695,3.77810317,0.37864374,0.00576457,0.15674103,1.51706383,1.03965232,0.49007742
-5.80790395,3.80620108,0.37547733,0.00580805,0.15669769,1.53719838,1.04965540,0.49445482
-5.80190095,3.81974793,0.37096163,0.00582804,0.15625702,1.55155720,1.05536078,0.49685070
-5.79589795,3.81883858,0.36517814,0.00582442,0.15542855,1.56012711,1.05681065,0.49729468
-5.78989495,3.80390088,0.35823979,0.00579763,0.15422919,1.56303057,1.05414581,0.49585854
-5.78389195,3.77567980,0.35028903,0.00574866,0.15268310,1.56051878,1.04759930,0.49265337
-5.77788894,3.73521019,0.34149498,0.00567898,0.15082138,1.55296002,1.03748680,0.48782513
-5.77188594,3.68377938,0.33204961,0.00559052,0.14868132,1.54082369,1.02419423,0.48154911
-5.76588294,3.62288100,0.32216327,0.00548556,0.14630544,1.52466069,1.00816313,0.47402328
-5.75987994,3.55416223,0.31205955,0.00536667,0.14374029,1.50508114,0.98987432,0.46546094
-5.75387694,3.47936638,0.30196965,0.00523662,0.14103498,1.48273022,0.96983064,0.45608295
-5.74787394,3.40027352,0.29212658,0.00509824,0.13823962,1.45826345,0.94853937,0.44610989
-5.74187094,3.31864143,0.28275919,0.00495441,0.13540365,1.43232219,0.92649516,0.43575445
-5.73586793,3.23614930,0.27408637,0.00480787,0.13257425,1.40551068,0.90416402,0.42521438
-5.72986493,3.15434652,0.26631160,0.00466124,0.12979480,1.37837541,0.88196911,0.41466631
-5.72386193,3.07460848,0.25961779,0.00451687,0.12710349,1.35138776,0.86027881,0.40426071
-5.71785893,2.99810087,0.25416297,0.00437681,0.12453225,1.32493061,0.83939747,0.39411810
-5.71185593,2.92575388,0.25007648,0.00424278,0.12210592,1.29928931,0.81955921,0.38432668
-5.70585293,2.85824684,0.24745613,0.00411613,0.11984176,1.27464746,0.80092483,0.37494149
-5.69984992,2.79600354,0.24636617,0.00399784,0.11774938,1.25108732,0.78358188,0.36598501
-5.69384692,2.73919797,0.24683619,0.00388850,0.11583095,1.22859489,0.76754782,0.35744914
-5.68784392,2.68776965,0.24886091,0.00378837,0.11408183,1.20706912,0.75277587,0.34929850
-5.68184092,2.64144750,0.25240086,0.00369739,0.11249142,1.18633468,0.73916328,0.34147463
-5.67583792,2.59978058,0.25738391,0.00361522,0.11104431,1.16615759,0.72656148,0.33390117
-5.66983492,2.56217408,0.26370756,0.00354131,0.10972160,1.14626280,0.71478755,0.32648940
-5.66383192,2.52792844,0.27124184,0.00347493,0.10850228,1.12635276,0.70363652,0.31914411
-5.65782891,2.49627981,0.27983291,0.00341525,0.10736464,1.10612607,0.69289373,0.31176935
-5.65182591,2.46643983,0.28930698,0.00336140,0.10628763,1.08529529,0.68234676,0.30427393
-5.64582291,2.43763282,0.29947469,0.00331250,0.10525202,1.06360298,0.67179645,0.29657619
-5.63981991,2.40912912,0.31013562,0.00326771,0.10424138,1.04083535,0.66106642,0.28860815
-5.63381691,2.38027302,0.32108302,0.00322630,0.10324282,1.01683288,0.65001082,0.28031856
-5.62781391,2.35050464,0.33210843,0.00318764,0.10224743,0.99149763,0.63852003,0.27167503
-5.62181091,2.31937513,0.34300629,0.00315123,0.10125037,0.96479692,0.62652418,0.26266503
-5.61580790,2.28655515,0.35357836,0.00311672,0.10025072,0.93676353,0.61399445,0.25329584
-5.60980490,2.25183682,0.36363777,0.00308390,0.09925107,0.90749259,0.60094238,0.24359357
-5.60380190,2.21512991,0.37301291,0.00305270,0.09825683,0.87713546,0.58741717,0.23360125
-5.59779890,2.17645289,0.38155072,0.00302315,0.09727546,0.84589130,0.57350157,0.22337632
-5.59179590,2.13592015,0.38911973,0.00299538,0.09631554,0.81399674,0.55930643,0.21298760
-5.58579290,2.09372652,0.39561249,0.00296958,0.09538582,0.78171448,0.54496448,0.20251190
-5.57978989,2.05013022,0.40094755,0.00294600,0.09449436,0.74932142,0.53062376,0.19203062
-5.57378689,2.00543558,0.40507089,0.00292488,0.09364773,0.71709713,0.51644098,0.18162637
-5.56778389,1.95997658,0.40795681,0.00290646,0.09285040,0.68531302,0.50257526,0.17137986
-5.56178089,1.91410200,0.40960821,0.00289096,0.09210436,0.65422303,0.48918254,0.16136721
-5.55577789,1.86816302,0.41005633,0.00287855,0.09140891,0.62405599,0.47641084,0.15165767
-5.54977489,1.82250350,0.40935989,0.00286936,0.09076077,0.59501002,0.46439654,0.14231197
-5.54377189,1.77745330,0.40760362,0.00286343,0.09015437,0.56724904,0.45326178,0.13338120
-5.53776888,1.73332432,0.40489614,0.00286080,0.08958238,0.54090143,0.44311282,0.12490623
-5.53176588,1.69040918,0.40136739,0.00286144,0.08903640,0.51606065,0.43403946,0.11691770
-5.52576288,1.64898175,0.39716532,0.00286529,0.08850777,0.49278752,0.42611509,0.10943642
-5.51975988,1.60929920,0.39245219,0.00287229,0.08798849,0.47111391,0.41939744,0.10247412
-5.51375688,1.57160456,0.38740032,0.00288236,0.08747204,0.45104739,0.41392962,0.09603450
-5.50775388,1.53612935,0.38218747,0.00289545,0.08695431,0.43257637,0.40974118,0.09011442
-5.50175088,1.50309538,0.37699191,0.00291152,0.08643423,0.41567547,0.40684926,0.08470515
-5.49574787,1.47271543,0.37198736,0.00293055,0.08591444,0.40031048,0.40525926,0.07979361
-5.48974487,1.44519218,0.36733783,0.00295257,0.08540164,0.38644284,0.40496520,0.07536354
-5.48374187,1.42071540,0.36319267,0.00297760,0.08490679,0.37403319,0.40594965,0.07139646
-5.47773887,1.39945729,0.35968190,0.00300570,0.08444511,0.36304389,0.40818315,0.06787250
-5.47173587,1.38156622,0.35691205,0.00303691,0.08403588,0.35344040,0.41162330,0.06477100
-5.46573287,1.36715939,0.35496267,0.00307123,0.08370205,0.34519163,0.41621356,0.06207093
-5.45972986,1.35631473,0.35388369,0.00310861,0.08346970,0.33826917,0.42188208,0.05975113
-5.45372686,1.34906303,0.35369385,0.00314893,0.08336746,0.33264575,0.42854061,0.05779035
-5.44772386,1.34538074,0.35438010,0.00319195,0.08342582,0.32829311,0.43608382,0.05616722
-5.44172086,1.34518441,0.35589835,0.00323730,0.08367644,0.32517947,0.44438928,0.05486018
