energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,3.70378428,0.23916420,0.00497765,0.86607705,1.73002577,0.03782733,1.96803413
-5.99399700,3.74965165,0.23489145,0.00504619,0.85910606,1.79084075,0.03926439,1.99292261
-5.98799400,3.80620773,0.23136166,0.00512915,0.85561032,1.85617317,0.04089150,2.02342272
-5.98199100,3.87441084,0.22863075,0.00522812,0.85573490,1.92633456,0.04268771,2.06016301
-5.97598799,3.95492982,0.22672491,0.00534435,0.85954389,2.00153012,0.04462598,2.10362546
-5.96998499,4.04813412,0.22564157,0.00547877,0.86702790,2.08184828,0.04667384,2.15413569
-5.96398199,4.15409474,0.22535150,0.00563196,0.87811391,2.16725446,0.04879439,2.21185858
-5.95797899,4.27259569,0.22580181,0.00580424,0.89267712,2.25758911,0.05094738,2.27679950
-5.95197599,4.40315506,0.22691991,0.00599566,0.91055415,2.35257013,0.05309050,2.34881050
-5.94597299,4.54505448,0.22861798,0.00620606,0.93155691,2.45179942,0.05518076,2.42760142
-5.93996998,4.69737554,0.23079789,0.00643511,0.95548672,2.55477334,0.05717584,2.51275481
-5.93396698,4.85904143,0.23335636,0.00668241,0.98214782,2.66089664,0.05903556,2.60374429
-5.92796398,5.02886201,0.23618992,0.00694747,1.01135994,2.76949913,0.06072325,2.69995529
-5.92196098,5.20558028,0.23919976,0.00722980,1.04296938,2.87985469,0.06220694,2.80070736
-5.91595798,5.38791851,0.24229587,0.00752895,1.07685809,2.99120153,0.06346055,2.90527711
-5.90995498,5.57462204,0.24540072,0.00784452,1.11295053,3.10276330,0.06446471,3.01292095
-5.90395198,5.76449915,0.24845189,0.00817621,1.15121791,3.21376995,0.06520753,3.12289674
-5.89794897,5.95645532,0.25140391,0.00852384,1.19167979,3.32347772,0.06568492,3.23448354
-5.89194597,6.14952087,0.25422899,0.00888733,1.23440282,3.43118755,0.06590080,3.34699900
-5.88594297,6.34287058,0.25691684,0.00926675,1.27949674,3.53626116,0.06586691,3.45981353
-5.87993997,6.53583500,0.25947335,0.00966223,1.32710757,3.63813430,0.06560239,3.57236115
-5.87393697,6.72790271,0.26191854,0.01007401,1.37740838,3.73632677,0.06513310,3.68414647
-5.86793397,6.91871377,0.26428362,0.01050236,1.43058777,3.83044875,0.06449067,3.79474792
-5.86193097,7.10804465,0.26660749,0.01094756,1.48683646,3.92020346,0.06371137,3.90381713
-5.85592796,7.29578531,0.26893284,0.01140981,1.54633243,4.00538595,0.06283479,4.01107470
-5.84992496,7.48190965,0.27130202,0.01188919,1.60922518,4.08587837,0.06190246,4.11630275
-5.84392196,7.66644069,0.27375299,0.01238556,1.67561968,4.16164184,0.06095632,4.21933479
-5.83791896,7.84941226,0.27631550,0.01289849,1.74556067,4.23270551,0.06003731,4.32004344
-5.83191596,8.03082927,0.27900771,0.01342716,1.81901800,4.29915341,0.05918385,4.41832692
-5.82591296,8.21062862,0.28183355,0.01397027,1.89587387,4.36110977,0.05843056,4.51409505
-5.81990995,8.38864314,0.28478084,0.01452596,1.97591246,4.41872368,0.05780704,4.60725569
-5.81390695,8.56457080,0.28782033,0.01509173,2.05881284,4.47215396,0.05733689,4.69770245
-5.80790395,8.73795125,0.29090577,0.01566438,2.14414568,4.52155515,0.05703696,4.78530466
-5.80190095,8.90815166,0.29397496,0.01623997,2.23137412,4.56706536,0.05691682,4.86990020
-5.79589795,9.07436320,0.29695181,0.01681383,2.31985936,4.60879698,0.05697857,4.95129191
-5.78989495,9.23560935,0.29974926,0.01738053,2.40887082,4.64683057,0.05721688,5.02924796
-5.78389195,9.39076622,0.30227291,0.01793402,2.49760101,4.68121271,0.05761937,5.10350633
-5.77788894,9.53859474,0.30442527,0.01846766,2.58518449,4.71195770,0.05816724,5.17378350
-5.77188594,9.67778364,0.30611033,0.01897438,2.67072067,4.73905334,0.05883613,5.23978675
-5.76588294,9.80700155,0.30723826,0.01944690,2.75329927,4.76247032,0.05959727,5.30122970
-5.75987994,9.92495583,0.30772999,0.01987788,2.83202764,4.78217464,0.06041869,5.35784996
-5.75387694,10.03045514,0.30752142,0.02026016,2.90605867,4.79814240,0.06126667,5.40942798
-5.74787394,10.12247239,0.30656709,0.02058709,2.97461789,4.81037566,0.06210717,5.45580564
-5.74187094,10.20020428,0.30484302,0.02085270,3.03702848,4.81891833,0.06290726,5.49690330
-5.73586793,10.26312390,0.30234870,0.02105200,3.09273292,4.82387081,0.06363657,5.53273373
-5.72986493,10.31102253,0.29910795,0.02118123,3.14130987,4.82540196,0.06426850,5.56341179
-5.72386193,10.34403769,0.29516872,0.02123801,3.18248552,4.82375732,0.06478132,5.58915848
-5.71785893,10.36266479,0.29060185,0.02122158,3.21613849,4.81926245,0.06515900,5.61029856
-5.71185593,10.36775064,0.28549863,0.02113283,3.24229797,4.81232064,0.06539181,5.62725115
-5.70585293,10.36046811,0.27996752,0.02097440,3.26113511,4.80340465,0.06547655,5.64051321
-5.69984992,10.34227231,0.27413002,0.02075061,3.27294788,4.79304226,0.06541655,5.65063622
-5.69384692,10.31483968,0.26811591,0.02046741,3.27814041,4.78179610,0.06522131,5.65819680
-5.68784392,10.27999267,0.26205809,0.02013219,3.27719771,4.77023856,0.06490587,5.66376273
-5.68184092,10.23961356,0.25608731,0.01975356,3.27065724,4.75892289,0.06448991,5.66785588
-5.67583792,10.19555171,0.25032688,0.01934109,3.25907911,4.74835206,0.06399668,5.67091425
-5.66983492,10.14952935,0.24488783,0.01890495,3.24301645,4.73894706,0.06345173,5.67325527
-5.66383192,10.10305104,0.23986458,0.01845563,3.22298785,4.73101671,0.06288164,5.67504274
-5.65782891,10.05732210,0.23533137,0.01800350,3.19945349,4.72473075,0.06231264,5.67625974
-5.65182591,10.01318091,0.23133970,0.01755851,3.17279642,4.72009818,0.06176935,5.67668955
-5.64582291,9.97104918,0.22791674,0.01712984,3.14330997,4.71695239,0.06127368,5.67590635
-5.63981991,9.93090369,0.22506501,0.01672558,3.11119231,4.71494448,0.06084385,5.67327685
-5.63381691,9.89227146,0.22276311,0.01635249,3.07654811,4.71354558,0.06049368,5.66797368
-5.62781391,9.85424928,0.22096767,0.01601583,3.03939740,4.71205855,0.06023221,5.65900034
-5.62181091,9.81554705,0.21961632,0.01571920,2.99969084,4.70963895,0.06006355,5.64522714
-5.61580790,9.77455302,0.21863149,0.01546447,2.95733036,4.70532468,0.05998710,5.62543687
-5.60980490,9.72941781,0.21792507,0.01525184,2.91219388,4.69807290,0.05999800,5.59837808
-5.60380190,9.67815293,0.21740341,0.01507989,2.86416237,4.68680292,0.06008796,5.56282371
-5.59779890,9.61873883,0.21697264,0.01494573,2.81314747,4.67044288,0.06024617,5.51763217
-5.59179590,9.54923680,0.21654399,0.01484518,2.75911792,4.64797807,0.06046054,5.46180787
-5.58579290,9.46789893,0.21603874,0.01477304,2.70212295,4.61849863,0.06071894,5.39455819
-5.57978989,9.37327053,0.21539276,0.01472332,2.64231131,4.58124433,0.06101053,5.31534392
-5.57378689,9.26427965,0.21456019,0.01468953,2.57994442,4.53564408,0.06132704,5.22392060
-5.56778389,9.14030923,0.21351620,0.01466499,2.51540304,4.48134850,0.06166396,5.12036849
-5.56178089,9.00124832,0.21225871,0.01464306,2.44918682,4.41825375,0.06202153,5.00510964
-5.55577789,8.84752000,0.21080891,0.01461741,2.38190674,4.34651557,0.06240554,4.87891099
-5.54977489,8.68008470,0.20921055,0.01458223,2.31427090,4.26655290,0.06282782,4.74287327
-5.54377189,8.50041910,0.20752810,0.01453245,2.24706424,4.17904075,0.06330646,4.59840603
-5.53776888,8.31047201,0.20584382,0.01446382,2.18112349,4.08489282,0.06386568,4.44718994
-5.53176588,8.11259949,0.20425389,0.01437304,2.11730853,3.98523460,0.06453538,4.29112790
-5.52576288,7.90948289,0.20286377,0.01425784,2.05647181,3.88136820,0.06535041,4.13228728
-5.51975988,7.70403376,0.20178310,0.01411691,1.99942730,3.77473054,0.06634954,3.97283564
-5.51375688,7.49929048,0.20112025,0.01394997,1.94692061,3.66684677,0.06757422,3.81497302
-5.50775388,7.29831156,0.20097697,0.01375763,1.89960179,3.55928091,0.06906716,3.66086335
-5.50175088,7.10407045,0.20144321,0.01354136,1.85800208,3.45358604,0.07087082,3.51256830
-5.49574787,6.91935674,0.20259250,0.01330338,1.82251569,3.35125587,0.07302583,3.37198587
-5.48974487,6.74668778,0.20447810,0.01304651,1.79338747,3.25367997,0.07556947,3.24079659
-5.48374187,6.58823451,0.20712997,0.01277410,1.77070687,3.16210418,0.07853424,3.12041897
-5.47773887,6.44576393,0.21055297,0.01248988,1.75440840,3.07759791,0.08194656,3.01197609
-5.47173587,6.32060035,0.21472599,0.01219786,1.74427843,3.00102922,0.08582567,2.91627424
-5.46573287,6.21360592,0.21960249,0.01190221,1.73996787,2.93304859,0.09018282,2.83379398
-5.45972986,6.12518049,0.22511196,0.01160714,1.74100992,2.87408162,0.09502062,2.76469365
-5.45372686,6.05527958,0.23116260,0.01131688,1.74684198,2.82433042,0.10033274,2.70882455
-5.44772386,6.00344854,0.23764480,0.01103551,1.75683055,2.78378331,0.10610378,2.66575666
-5.44172086,5.96887020,0.24443540,0.01076694,1.77029781,2.75223180,0.11230946,2.63481313
-5.43571786,5.95042285,0.25140241,0.01051485,1.78654858,2.72929371,0.11891690,2.61511182
-5.42971486,5.94674495,0.25841000,0.01028262,1.80489635,2.71444092,0.12588517,2.60561140
-5.42371186,5.95630292,0.26532357,0.01007325,1.82468714,2.70703014,0.13316586,2.60515989
-5.41770885,5.97745831,0.27201443,0.00988937,1.84532008,2.70633509,0.14070377,2.61254320
-5.41170585,6.00853113,0.27836421,0.00973316,1.86626387,2.71157848,0.14843763,2.62653157
-5.40570285,6.04785628,0.28426848,0.00960632,1.88706853,2.72196219,0.15630082,2.64592190
-5.39969985,6.09383106,0.28963961,0.00951004,1.90737194,2.73669451,0.16422200,2.66957434
-5.39369685,6.14495185,0.29440874,0.00944495,1.92690128,2.75501334,0.17212585,2.69644201
