energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.81444813,0.29075289,2.29667279,0.05352648,0.14186910,0.23958626,0.00069617
-5.99399700,2.81496926,0.28305628,2.30202396,0.05497242,0.13991049,0.23884439,0.00067664
-5.98799400,2.81482653,0.27496478,2.30714946,0.05624820,0.13783919,0.23778380,0.00065705
-5.98199100,2.81407096,0.26655587,2.31205258,0.05733243,0.13568529,0.23641604,0.00063750
-5.97598799,2.81271831,0.25790952,2.31670400,0.05820690,0.13347648,0.23475673,0.00061812
-5.96998499,2.81074528,0.24910633,2.32103922,0.05885712,0.13123725,0.23282486,0.00059905
-5.96398199,2.80808881,0.24022595,2.32495877,0.05927276,0.12898823,0.23064209,0.00058042
-5.95797899,2.80464885,0.23134570,2.32833141,0.05944792,0.12674570,0.22823211,0.00056236
-5.95197599,2.80029471,0.22253958,2.33100037,0.05938123,0.12452148,0.22562009,0.00054501
-5.94597299,2.79487481,0.21387763,2.33279242,0.05907587,0.12232294,0.22283237,0.00052849
-5.93996998,2.78822947,0.20542571,2.33352959,0.05853939,0.12015330,0.21989615,0.00051293
-5.93396698,2.78020615,0.19724559,2.33304280,0.05778343,0.11801222,0.21683948,0.00049843
-5.92796398,2.77067654,0.18939546,2.33118706,0.05682331,0.11589654,0.21369133,0.00048510
-5.92196098,2.75955444,0.18193065,2.32785716,0.05567756,0.11380122,0.21048179,0.00047302
-5.91595798,2.74681366,0.17490458,2.32300325,0.05436736,0.11172041,0.20724243,0.00046226
-5.90995498,2.73250473,0.16836981,2.31664523,0.05291596,0.10964862,0.20400668,0.00045290
-5.90395198,2.71676950,0.16237914,2.30888516,0.05134809,0.10758187,0.20081023,0.00044497
-5.89794897,2.69985264,0.15698656,2.29991682,0.04968944,0.10551888,0.19769140,0.00043854
-5.89194597,2.68210897,0.15224812,2.29003159,0.04796609,0.10346208,0.19469145,0.00043363
-5.88594297,2.66400600,0.14822242,2.27961995,0.04620408,0.10141852,0.19185467,0.00043028
-5.87993997,2.64612100,0.14497076,2.26916828,0.04442897,0.09940055,0.18922830,0.00042851
-5.87393697,2.62913211,0.14255695,2.25925043,0.04266555,0.09742619,0.18686225,0.00042835
-5.86793397,2.61380354,0.14104652,2.25051411,0.04093750,0.09551930,0.18480841,0.00042980
-5.86193097,2.60096471,0.14050552,2.24366218,0.03926723,0.09370935,0.18311976,0.00043287
-5.85592796,2.59148409,0.14099876,2.23942935,0.03767562,0.09203083,0.18184911,0.00043759
-5.84992496,2.58623812,0.14258765,2.23855489,0.03618196,0.09052244,0.18104752,0.00044393
-5.84392196,2.58607655,0.14532756,2.24175229,0.03480372,0.08922586,0.18076251,0.00045189
-5.83791896,2.59178533,0.14926491,2.24967715,0.03355647,0.08818429,0.18103598,0.00046143
-5.83191596,2.60404862,0.15443405,2.26289455,0.03245375,0.08744082,0.18190209,0.00047252
-5.82591296,2.62341173,0.16085405,2.28184742,0.03150690,0.08703659,0.18338504,0.00048509
-5.81990995,2.65024673,0.16852569,2.30682762,0.03072489,0.08700891,0.18549699,0.00049905
-5.81390695,2.68472271,0.17742859,2.33795123,0.03011422,0.08738940,0.18823614,0.00051427
-5.80790395,2.72678234,0.18751893,2.37513956,0.02967868,0.08820228,0.19158519,0.00053060
-5.80190095,2.77612648,0.19872774,2.41810734,0.02941923,0.08946278,0.19551025,0.00054788
-5.79589795,2.83220814,0.21095999,2.46635910,0.02933390,0.09117592,0.19996027,0.00056587
-5.78989495,2.89423678,0.22409466,2.51919457,0.02941761,0.09333561,0.20486725,0.00058435
-5.78389195,2.96119343,0.23798574,2.57572344,0.02966222,0.09592417,0.21014705,0.00060302
-5.77788894,3.03185686,0.25246448,2.63488951,0.03005649,0.09891239,0.21570099,0.00062161
-5.77188594,3.10483999,0.26734255,2.69550357,0.03058622,0.10225999,0.22141828,0.00063980
-5.76588294,3.17863583,0.28241638,2.75628415,0.03123441,0.10591665,0.22717899,0.00065728
-5.75987994,3.25167108,0.29747232,2.81590458,0.03198158,0.10982350,0.23285777,0.00067374
-5.75387694,3.32236552,0.31229266,2.87304460,0.03280613,0.11391501,0.23832794,0.00068887
-5.74787394,3.38919469,0.32666207,2.92644439,0.03368483,0.11812128,0.24346595,0.00070241
-5.74187094,3.45075320,0.34037440,2.97495856,0.03459333,0.12237064,0.24815593,0.00071413
-5.73586793,3.50581579,0.35323941,3.01760780,0.03550683,0.12659229,0.25229418,0.00072384
-5.72986493,3.55339328,0.36508916,3.05362564,0.03640071,0.13071914,0.25579335,0.00073143
-5.72386193,3.59278075,0.37578382,3.08249810,0.03725125,0.13469049,0.25858609,0.00073685
-5.71785893,3.62359561,0.38521643,3.10399424,0.03803627,0.13845453,0.26062805,0.00074010
-5.71185593,3.64580332,0.39331654,3.11818602,0.03873586,0.14197049,0.26189998,0.00074131
-5.70585293,3.65972974,0.40005247,3.12545631,0.03933294,0.14521037,0.26240888,0.00074065
-5.69984992,3.66605882,0.40543190,3.12649445,0.03981380,0.14816016,0.26218801,0.00073839
-5.69384692,3.66581581,0.40950103,3.12227944,0.04016852,0.15082041,0.26129586,0.00073487
-5.68784392,3.66033634,0.41234195,3.11405116,0.04039129,0.15320613,0.25981407,0.00073050
-5.68184092,3.65122265,0.41406865,3.10327091,0.04048053,0.15534611,0.25784425,0.00072574
-5.67583792,3.64028859,0.41482166,3.09157280,0.04043895,0.15728152,0.25550399,0.00072112
-5.66983492,3.62949591,0.41476152,3.08070796,0.04027335,0.15906390,0.25292225,0.00071717
-5.66383192,3.62088439,0.41406166,3.07248412,0.03999440,0.16075271,0.25023409,0.00071445
-5.65782891,3.61649877,0.41290064,3.06870281,0.03961617,0.16241242,0.24757532,0.00071353
-5.65182591,3.61831571,0.41145445,3.07109703,0.03915560,0.16410935,0.24507704,0.00071494
-5.64582291,3.62817358,0.40988911,3.08127180,0.03863192,0.16590839,0.24286048,0.00071919
-5.63981991,3.64770824,0.40835388,3.10065002,0.03806589,0.16786978,0.24103231,0.00072675
-5.63381691,3.67829713,0.40697549,3.13042563,0.03747912,0.17004609,0.23968064,0.00073801
-5.62781391,3.72101389,0.40585362,3.17152591,0.03689335,0.17247952,0.23887193,0.00075329
-5.62181091,3.77659512,0.40505781,3.22458399,0.03632970,0.17519980,0.23864884,0.00077285
-5.61580790,3.84542027,0.40462598,3.28992243,0.03580813,0.17822254,0.23902923,0.00079684
-5.60980490,3.92750495,0.40456448,3.36754811,0.03534680,0.18154843,0.24000627,0.00082532
-5.60380190,4.02250768,0.40484982,3.45715808,0.03496170,0.18516306,0.24154956,0.00085828
-5.59779890,4.12974885,0.40543172,3.55815562,0.03466628,0.18903750,0.24360737,0.00089561
-5.59179590,4.24824101,0.40623755,3.66967542,0.03447130,0.19312966,0.24610964,0.00093711
-5.58579290,4.37672822,0.40717765,3.79061628,0.03438470,0.19738616,0.24897176,0.00098252
-5.57978989,4.51373261,0.40815143,3.91967950,0.03441171,0.20174483,0.25209880,0.00103149
-5.57378689,4.65760567,0.40905381,4.05541116,0.03455491,0.20613750,0.25539004,0.00108364
-5.56778389,4.80658177,0.40978174,4.19624618,0.03481455,0.21049314,0.25874356,0.00113852
-5.56178089,4.95883149,0.41024043,4.34055217,0.03518873,0.21474094,0.26206063,0.00119567
-5.55577789,5.11251251,0.41034891,4.48667142,0.03567379,0.21881340,0.26524970,0.00125459
-5.54977489,5.26581593,0.41004488,4.63295928,0.03626457,0.22264903,0.26822990,0.00131475
-5.54377189,5.41700647,0.40928832,4.77781776,0.03695473,0.22619475,0.27093373,0.00137566
-5.53776888,5.56445528,0.40806392,4.91972332,0.03773702,0.22940767,0.27330899,0.00143680
-5.53176588,5.70666447,0.40638221,5.05724845,0.03860343,0.23225628,0.27531978,0.00149766
-5.52576288,5.84228334,0.40427917,5.18907674,0.03954539,0.23472099,0.27694669,0.00155777
-5.51975988,5.97011622,0.40181462,5.31401164,0.04055381,0.23679389,0.27818598,0.00161664
-5.51375688,6.08912284,0.39906926,5.43097965,0.04161907,0.23847802,0.27904813,0.00167386
-5.50775388,6.19841206,0.39614064,5.53902850,0.04273100,0.23978585,0.27955562,0.00172898
-5.50175088,6.29723037,0.39313821,5.63732161,0.04387876,0.24073750,0.27974020,0.00178162
-5.49574787,6.38494667,0.39017768,5.72512982,0.04505071,0.24135837,0.27963980,0.00183142
-5.48974487,6.46103505,0.38737500,5.80182177,0.04623434,0.24167677,0.27929528,0.00187801
-5.48374187,6.52505706,0.38484023,5.86685406,0.04741611,0.24172139,0.27874717,0.00192109
-5.47773887,6.57664514,0.38267154,5.91976229,0.04858144,0.24151889,0.27803254,0.00196035
-5.47173587,6.61548847,0.38094965,5.96015400,0.04971464,0.24109176,0.27718228,0.00199552
-5.46573287,6.64132241,0.37973308,5.98770407,0.05079907,0.24045658,0.27621882,0.00202634
-5.45972986,6.65392219,0.37905420,6.00215322,0.05181723,0.23962277,0.27515444,0.00205259
