energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.37130250,0.03032464,0.00000000,0.01557280,0.12487531,3.31696671,1.64907682
-5.99399700,3.23956031,0.02853975,0.00000000,0.01497764,0.11950576,3.20244814,1.58505490
-5.98799400,3.10438693,0.02674774,0.00000000,0.01437901,0.11411351,3.08376171,1.51924785
-5.98199100,2.96698899,0.02496285,0.00000000,0.01378003,0.10874407,2.96197880,1.45226760
-5.97598799,2.82845595,0.02319846,0.00000000,0.01318332,0.10343588,2.83806202,1.38466781
-5.96998499,2.68974719,0.02146702,0.00000000,0.01259097,0.09821991,2.71285553,1.31693647
-5.96398199,2.55168693,0.01977980,0.00000000,0.01200454,0.09311966,2.58708306,1.24949265
-5.95797899,2.41496637,0.01814685,0.00000000,0.01142517,0.08815156,2.46135274,1.18268710
-5.95197599,2.28015207,0.01657689,0.00000000,0.01085363,0.08332576,2.33616772,1.11680609
-5.94597299,2.14769932,0.01507727,0.00000000,0.01029038,0.07864712,2.21194118,1.05207805
-5.93996998,2.01796885,0.01365397,0.00000000,0.00973570,0.07411647,2.08901412,0.98868194
-5.93396698,1.89124562,0.01231161,0.00000000,0.00918977,0.06973184,1.96767432,0.92675686
-5.92796398,1.76775787,0.01105350,0.00000000,0.00865277,0.06548985,1.84817501,0.86641178
-5.92196098,1.64769527,0.00988176,0.00000000,0.00812493,0.06138694,1.73075175,0.80773501
-5.91595798,1.53122495,0.00879737,0.00000000,0.00760665,0.05742048,1.61563655,0.75080244
-5.90995498,1.41850455,0.00780033,0.00000000,0.00709847,0.05358971,1.50306841,0.69568444
-5.90395198,1.30969180,0.00688977,0.00000000,0.00660117,0.04989651,1.39329978,0.64245082
-5.89794897,1.20495034,0.00606410,0.00000000,0.00611571,0.04634588,1.28659904,0.59117403
-5.89194597,1.10445196,0.00532118,0.00000000,0.00564324,0.04294623,1.18324890,0.54193032
-5.88594297,1.00837552,0.00465845,0.00000000,0.00518508,0.03970947,1.08354162,0.49479929
-5.87993997,0.91690320,0.00407307,0.00000000,0.00474263,0.03665093,0.98777136,0.44986199
-5.87393697,0.83021465,0.00356211,0.00000000,0.00431735,0.03378909,0.89622480,0.40719791
-5.86793397,0.74847991,0.00312260,0.00000000,0.00391069,0.03114526,0.80917074,0.36688135
-5.86193097,0.67185179,0.00275174,0.00000000,0.00352399,0.02874312,0.72684965,0.32897743
-5.85592796,0.60045847,0.00244692,0.00000000,0.00315848,0.02660829,0.64946390,0.29353828
-5.84992496,0.53439682,0.00220588,0.00000000,0.00281516,0.02476775,0.57716944,0.26059958
-5.84392196,0.47372711,0.00202670,0.00000000,0.00249482,0.02324940,0.51006940,0.23017781
-5.83791896,0.41846910,0.00190787,0.00000000,0.00219796,0.02208144,0.44820989,0.20226834
-5.83191596,0.36860002,0.00184828,0.00000000,0.00192480,0.02129191,0.39157828,0.17684444
-5.82591296,0.32405411,0.00184726,0.00000000,0.00167527,0.02090803,0.34010384,0.15385729
-5.81990995,0.28472382,0.00190443,0.00000000,0.00144899,0.02095562,0.29366064,0.13323691
-5.81390695,0.25046236,0.00201972,0.00000000,0.00124534,0.02145843,0.25207236,0.11489378
-5.80790395,0.22108718,0.00219324,0.00000000,0.00106344,0.02243737,0.21511867,0.09872127
-5.80190095,0.19638431,0.00242511,0.00000000,0.00090221,0.02390969,0.18254277,0.08459841
-5.79589795,0.17611293,0.00271537,0.00000000,0.00076041,0.02588809,0.15405966,0.07239306
-5.78989495,0.16001010,0.00306381,0.00000000,0.00063667,0.02837970,0.12936457,0.06196509
-5.78389195,0.14779525,0.00346976,0.00000000,0.00052952,0.03138511,0.10814147,0.05316966
-5.77788894,0.13917432,0.00393194,0.00000000,0.00043747,0.03489731,0.09007100,0.04586018
-5.77188594,0.13384341,0.00444830,0.00000000,0.00035901,0.03890070,0.07483781,0.03989113
-5.76588294,0.13149197,0.00501581,0.00000000,0.00029267,0.04337024,0.06213703,0.03512045
-5.75987994,0.13180547,0.00563041,0.00000000,0.00023701,0.04827067,0.05167979,0.03141161
-5.75387694,0.13446775,0.00628682,0.00000000,0.00019069,0.05355608,0.04319779,0.02863531
-5.74787394,0.13916321,0.00697854,0.00000000,0.00015244,0.05916968,0.03644691,0.02667082
-5.74187094,0.14557895,0.00769784,0.00000000,0.00012111,0.06504405,0.03120996,0.02540698
-5.73586793,0.15340706,0.00843577,0.00000000,0.00009565,0.07110170,0.02729868,0.02474303
-5.72986493,0.16234725,0.00918229,0.00000000,0.00007513,0.07725618,0.02455508,0.02458916
-5.72386193,0.17211002,0.00992643,0.00000000,0.00005872,0.08341360,0.02285235,0.02486697
-5.71785893,0.18242019,0.01065654,0.00000000,0.00004570,0.08947466,0.02209529,0.02550983
-5.71185593,0.19302119,0.01136051,0.00000000,0.00003547,0.09533703,0.02222050,0.02646322
-5.70585293,0.20367971,0.01202614,0.00000000,0.00002748,0.10089819,0.02319637,0.02768496
-5.69984992,0.21419080,0.01264151,0.00000000,0.00002129,0.10605852,0.02502285,0.02914552
-5.69384692,0.22438315,0.01319531,0.00000000,0.00001655,0.11072447,0.02773106,0.03082823
-5.68784392,0.23412433,0.01367724,0.00000000,0.00001293,0.11481193,0.03138265,0.03272945
-5.68184092,0.24332570,0.01407844,0.00000000,0.00001020,0.11824940,0.03606886,0.03485859
-5.67583792,0.25194668,0.01439174,0.00000000,0.00000816,0.12098102,0.04190921,0.03723806
-5.66983492,0.25999799,0.01461205,0.00000000,0.00000664,0.12296914,0.04904963,0.03990284
-5.66383192,0.26754373,0.01473659,0.00000000,0.00000553,0.12419652,0.05765989,0.04289990
-5.65782891,0.27470177,0.01476503,0.00000000,0.00000471,0.12466793,0.06793023,0.04628716
-5.65182591,0.28164248,0.01469966,0.00000000,0.00000413,0.12441105,0.08006707,0.05013207
-5.64582291,0.28858540,0.01454536,0.00000000,0.00000372,0.12347664,0.09428762,0.05450974
-5.63981991,0.29579396,0.01430957,0.00000000,0.00000344,0.12193812,0.11081341,0.05950053
-5.63381691,0.30356819,0.01400215,0.00000000,0.00000327,0.11989019,0.12986262,0.06518725
-5.62781391,0.31223546,0.01363516,0.00000000,0.00000318,0.11744697,0.15164145,0.07165184
-5.62181091,0.32213958,0.01322255,0.00000000,0.00000316,0.11473934,0.17633443,0.07897168
-5.61580790,0.33362843,0.01277989,0.00000000,0.00000320,0.11191180,0.20409408,0.08721563
-5.60980490,0.34704057,0.01232391,0.00000000,0.00000331,0.10911881,0.23503010,0.09643987
-5.60380190,0.36269124,0.01187217,0.00000000,0.00000347,0.10652079,0.26919853,0.10668368
-5.59779890,0.38085822,0.01144256,0.00000000,0.00000370,0.10427985,0.30659136,0.11796548
-5.59179590,0.40176818,0.01105296,0.00000000,0.00000400,0.10255536,0.34712691,0.13027908
-5.58579290,0.42558392,0.01072076,0.00000000,0.00000437,0.10149949,0.39064182,0.14359058
-5.57978989,0.45239318,0.01046252,0.00000000,0.00000481,0.10125282,0.43688495,0.15783590
-5.57378689,0.48219940,0.01029363,0.00000000,0.00000535,0.10194013,0.48551381,0.17291932
-5.56778389,0.51491501,0.01022799,0.00000000,0.00000597,0.10366649,0.53609394,0.18871307
-5.56178089,0.55035752,0.01027779,0.00000000,0.00000667,0.10651363,0.58810167,0.20505808
-5.55577789,0.58824880,0.01045331,0.00000000,0.00000748,0.11053693,0.64093044,0.22176604
-5.54977489,0.62821766,0.01076284,0.00000000,0.00000837,0.11576287,0.69390075,0.23862282
-5.54377189,0.66980585,0.01121261,0.00000000,0.00000935,0.12218714,0.74627369,0.25539303
-5.53776888,0.71247735,0.01180684,0.00000000,0.00001042,0.12977357,0.79726779,0.27182584
-5.53176588,0.75563079,0.01254784,0.00000000,0.00001156,0.13845379,0.84607866,0.28766178
-5.52576288,0.79861475,0.01343619,0.00000000,0.00001277,0.14812787,0.89190077,0.30264028
-5.51975988,0.84074525,0.01447100,0.00000000,0.00001403,0.15866579,0.93395072,0.31650773
-5.51375688,0.88132518,0.01565026,0.00000000,0.00001533,0.16990999,0.97149089,0.32902574
-5.50775388,0.91966473,0.01697114,0.00000000,0.00001665,0.18167877,1.00385265,0.33997922
-5.50175088,0.95510228,0.01843047,0.00000000,0.00001797,0.19377068,1.03045802,0.34918397
-5.49574787,0.98702492,0.02002520,0.00000000,0.00001927,0.20596967,1.05083888,0.35649344
-5.48974487,1.01488779,0.02175280,0.00000000,0.00002053,0.21805100,1.06465283,0.36180431
-5.48374187,1.03823160,0.02361176,0.00000000,0.00002172,0.22978761,1.07169490,0.36506072
-5.47773887,1.05669744,0.02560198,0.00000000,0.00002282,0.24095687,1.07190467,0.36625681
-5.47173587,1.07003852,0.02772511,0.00000000,0.00002381,0.25134735,1.06536830,0.36543755
-5.46573287,1.07812811,0.02998479,0.00000000,0.00002467,0.26076544,1.05231551,0.36269774
-5.45972986,1.08096350,0.03238677,0.00000000,0.00002539,0.26904142,1.03311155,0.35817924
-5.45372686,1.07866563,0.03493890,0.00000000,0.00002594,0.27603488,1.00824456,0.35206644
-5.44772386,1.07147453,0.03765086,0.00000000,0.00002631,0.28163910,0.97830893,0.34458027
-5.44172086,1.05974057,0.04053385,0.00000000,0.00002650,0.28578414,0.94398529,0.33597091
-5.43571786,1.04391183,0.04359993,0.00000000,0.00002651,0.28843869,0.90601824,0.32650949
-5.42971486,1.02451827,0.04686127,0.00000000,0.00002632,0.28961031,0.86519254,0.31647913
-5.42371186,1.00215297,0.05032918,0.00000000,0.00002596,0.28934422,0.82230902,0.30616563
-5.41770885,0.97745146,0.05401303,0.00000000,0.00002542,0.28772059,0.77816087,0.29584825
-5.41170585,0.95106981,0.05791900,0.00000000,0.00002472,0.28485050,0.73351158,0.28579079
-5.40570285,0.92366234,0.06204881,0.00000000,0.00002388,0.28087070,0.68907500,0.27623337
-5.39969985,0.89585983,0.06639846,0.00000000,0.00002291,0.27593753,0.64549834,0.26738527
-5.39369685,0.86824918,0.07095705,0.00000000,0.00002185,0.27022015,0.60334858,0.25941889
