energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.18719161,0.04674139,0.22525672,1.43122625,1.37460531,0.68921830,0.43540382,0.01178772,1.17127242
-5.99399700,3.17016856,0.04493626,0.22270804,1.44125259,1.36088351,0.68685663,0.43347947,0.01160728,1.16956173
-5.98799400,3.15517488,0.04314785,0.22045229,1.45099787,1.34945737,0.68418924,0.43131610,0.01143392,1.16790273
-5.98199100,3.14212432,0.04140038,0.21844091,1.46023551,1.34034987,0.68113465,0.42892305,0.01126687,1.16625491
-5.97598799,3.13080370,0.03971483,0.21661497,1.46869201,1.33351761,0.67759142,0.42629319,0.01110499,1.16453667
-5.96998499,3.12088735,0.03810880,0.21490808,1.47605997,1.32885334,0.67344444,0.42340437,0.01094692,1.16263153
-5.96398199,3.11195476,0.03659632,0.21324940,1.48201229,1.32618974,0.66857203,0.42022172,0.01079121,1.16039542
-5.95797899,3.10351043,0.03518797,0.21156674,1.48621669,1.32530440,0.66285308,0.41670047,0.01063642,1.15766483
-5.95197599,3.09500472,0.03389093,0.20978949,1.48835003,1.32592564,0.65617410,0.41278924,0.01048121,1.15426507
-5.94597299,3.08585478,0.03270928,0.20785130,1.48811146,1.32773900,0.64843585,0.40843351,0.01032451,1.15001846
-5.93996998,3.07546464,0.03164425,0.20569244,1.48523404,1.33039429,0.63955902,0.40357914,0.01016549,1.14475188
-5.93396698,3.06324378,0.03069451,0.20326172,1.47949431,1.33351309,0.62948900,0.39817567,0.01000369,1.13830350
-5.92796398,3.04862381,0.02985658,0.20051790,1.47071960,1.33669653,0.61819946,0.39217935,0.00983902,1.13052847
-5.92196098,3.03107285,0.02912514,0.19743070,1.45879294,1.33953341,0.60569465,0.38555571,0.00967177,1.12130352
-5.91595798,3.01010782,0.02849331,0.19398124,1.44365574,1.34160866,0.59201052,0.37828160,0.00950259,1.11053036
-5.90995498,2.98530450,0.02795303,0.19016215,1.42530828,1.34251189,0.57721464,0.37034671,0.00933247,1.09813810
-5.90395198,2.95630594,0.02749529,0.18597717,1.40380842,1.34184638,0.56140512,0.36175443,0.00916271,1.08408474
-5.89794897,2.92282922,0.02711035,0.18144057,1.37926886,1.33923804,0.54470863,0.35252223,0.00899484,1.06835794
-5.89194597,2.88467112,0.02678801,0.17657621,1.35185335,1.33434454,0.52727780,0.34268152,0.00883064,1.05097531
-5.88594297,2.84171296,0.02651779,0.17141653,1.32177219,1.32686433,0.50928809,0.33227701,0.00867204,1.03198428
-5.87993997,2.79392481,0.02628907,0.16600140,1.28927747,1.31654533,0.49093437,0.32136580,0.00852111,1.01146183
-5.87393697,2.74136907,0.02609131,0.16037695,1.25465822,1.30319313,0.47242739,0.31001615,0.00838004,0.98951412
-5.86793397,2.68420369,0.02591421,0.15459445,1.21823582,1.28667830,0.45399022,0.29830601,0.00825113,0.96627610
-5.86193097,2.62268447,0.02574785,0.14870922,1.18035965,1.26694260,0.43585477,0.28632151,0.00813676,0.94191102
-5.85592796,2.55716650,0.02558286,0.14277967,1.14140312,1.24400366,0.41825838,0.27415530,0.00803946,0.91660992
-5.84992496,2.48810420,0.02541061,0.13686641,1.10175996,1.21795787,0.40144064,0.26190493,0.00796184,0.89059082
-5.84392196,2.41604950,0.02522335,0.13103145,1.06184059,1.18898129,0.38564017,0.24967123,0.00790667,0.86409748
-5.83791896,2.34164787,0.02501436,0.12533749,1.02206855,1.15732813,0.37109155,0.23755668,0.00787685,0.83739773
-5.83191596,2.26563156,0.02477808,0.11984727,0.98287654,1.12332694,0.35802215,0.22566393,0.00787544,0.81078091
-5.82591296,2.18880994,0.02451020,0.11462288,0.94470205,1.08737431,0.34664892,0.21409425,0.00790562,0.78455450
-5.81990995,2.11205657,0.02420775,0.10972508,0.90798224,1.04992609,0.33717493,0.20294610,0.00797066,0.75903972
-5.81390695,2.03629302,0.02386912,0.10521264,0.87314793,1.01148643,0.32978574,0.19231369,0.00807386,0.73456600
-5.80790395,1.96246955,0.02349400,0.10114144,0.84061670,0.97259489,0.32464560,0.18228559,0.00821849,0.71146444
-5.80190095,1.89154298,0.02308339,0.09756363,0.81078498,0.93381189,0.32189331,0.17294331,0.00840765,0.69006020
-5.79589795,1.82445230,0.02263941,0.09452660,0.78401923,0.89570303,0.32163804,0.16435998,0.00864415,0.67066408
-5.78989495,1.76209266,0.02216518,0.09207184,0.76064651,0.85882288,0.32395509,0.15659901,0.00893038,0.65356351
-5.78389195,1.70528867,0.02166463,0.09023381,0.74094454,0.82369865,0.32888172,0.14971278,0.00926809,0.63901321
-5.77788894,1.65476802,0.02114228,0.08903866,0.72513191,0.79081445,0.33641331,0.14374151,0.00965827,0.62722595
-5.77188594,1.61113644,0.02060301,0.08850304,0.71335853,0.76059668,0.34650005,0.13871213,0.01010094,0.61836379
-5.76588294,1.57485509,0.02005186,0.08863290,0.70569718,0.73340115,0.35904426,0.13463740,0.01059504,0.61253022
-5.75987994,1.54622148,0.01949379,0.08942250,0.70213649,0.70950230,0.37389883,0.13151521,0.01113821,0.60976364
-5.75387694,1.52535496,0.01893351,0.09085359,0.70257586,0.68908509,0.39086669,0.12932819,0.01172676,0.61003258
-5.74787394,1.51218735,0.01837537,0.09289482,0.70682296,0.67223977,0.40970175,0.12804353,0.01235557,0.61323298
-5.74187094,1.50645973,0.01782321,0.09550158,0.71459396,0.65895977,0.43011131,0.12761332,0.01301809,0.61918785
-5.73586793,1.50772547,0.01728039,0.09861619,0.72551701,0.64914277,0.45176009,0.12797507,0.01370637,0.62764942
-5.72986493,1.51535972,0.01674974,0.10216850,0.73913897,0.64259493,0.47427585,0.12905286,0.01441116,0.63830386
-5.72386193,1.52857535,0.01623365,0.10607702,0.75493536,0.63903817,0.49725659,0.13075869,0.01512208,0.65077861
-5.71785893,1.54644473,0.01573419,0.11025045,0.77232344,0.63812005,0.52027915,0.13299440,0.01582784,0.66465193
-5.71185593,1.56792670,0.01525321,0.11458965,0.79067804,0.63942607,0.54290899,0.13565381,0.01651648,0.67946459
-5.70585293,1.59189788,0.01479253,0.11899005,0.80934948,0.64249384,0.56471084,0.13862522,0.01717570,0.69473322
-5.69984992,1.61718702,0.01435409,0.12334428,0.82768310,0.64682851,0.58525999,0.14179418,0.01779320,0.70996471
