energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.54863806,0.48413439,0.00000000,2.05579302,2.86799782,0.06955827,2.36376117
-5.99399700,5.62283184,0.48764798,0.00000000,2.09798616,2.88545432,0.07242892,2.40400093
-5.98799400,5.69705327,0.49124789,0.00000000,2.13974853,2.90152465,0.07538721,2.44425741
-5.98199100,5.77154403,0.49496723,0.00000000,2.18097863,2.91642304,0.07840926,2.48465240
-5.97598799,5.84654344,0.49883684,0.00000000,2.22159386,2.93040028,0.08146831,2.52531150
-5.96998499,5.92228320,0.50288347,0.00000000,2.26153121,2.94374487,0.08453499,2.56636179
-5.96398199,5.99898537,0.50712829,0.00000000,2.30074854,2.95678413,0.08757787,2.60793099
-5.95797899,6.07686339,0.51158582,0.00000000,2.33922628,2.96988503,0.09056402,2.65014776
-5.95197599,6.15612531,0.51626336,0.00000000,2.37696921,2.98345406,0.09345980,2.69314299
-5.94597299,6.23697841,0.52116066,0.00000000,2.41400805,2.99793587,0.09623166,2.73705149
-5.93996998,6.31963408,0.52627013,0.00000000,2.45040041,3.01381000,0.09884703,2.78201354
-5.93396698,6.40431177,0.53157726,0.00000000,2.48623091,3.03158538,0.10127518,2.82817579
-5.92796398,6.49124094,0.53706135,0.00000000,2.52161007,3.05179220,0.10348807,2.87569094
-5.92196098,6.58065991,0.54269646,0.00000000,2.55667173,3.07497080,0.10546114,2.92471562
-5.91595798,6.67281090,0.54845237,0.00000000,2.59156900,3.10165774,0.10717395,2.97540625
-5.90995498,6.76793062,0.55429571,0.00000000,2.62646853,3.13236889,0.10861079,3.02791257
-5.90395198,6.86623638,0.56019100,0.00000000,2.66154328,3.16758006,0.10976102,3.08236874
-5.89794897,6.96790777,0.56610158,0.00000000,2.69696399,3.20770572,0.11061938,3.13888238
-5.89194597,7.07306471,0.57199045,0.00000000,2.73288954,3.25307633,0.11118604,3.19752175
-5.88594297,7.18174263,0.57782089,0.00000000,2.76945674,3.30391562,0.11146659,3.25830168
-5.87993997,7.29386624,0.58355686,0.00000000,2.80676985,3.36031840,0.11147178,3.32116918
-5.87393697,7.40922348,0.58916316,0.00000000,2.84489050,3.42223056,0.11121723,3.38598932
-5.86793397,7.52744115,0.59460537,0.00000000,2.88382848,3.48943201,0.11072297,3.45253266
-5.86193097,7.64796426,0.59984956,0.00000000,2.92353390,3.56152402,0.11001289,3.52046493
-5.85592796,7.77004067,0.60486174,0.00000000,2.96389141,3.63792180,0.10911410,3.58934016
-5.84992496,7.89271255,0.60960721,0.00000000,3.00471668,3.71785325,0.10805631,3.65859787
-5.84392196,8.01481599,0.61404973,0.00000000,3.04575570,3.80036443,0.10687102,3.72756507
-5.83791896,8.13498956,0.61815070,0.00000000,3.08668699,3.88433204,0.10559086,3.79546343
-5.83191596,8.25169224,0.62186829,0.00000000,3.12712690,3.96848287,0.10424875,3.86142184
-5.82591296,8.36323067,0.62515676,0.00000000,3.16663792,4.05141990,0.10287723,3.92449403
-5.81990995,8.46779507,0.62796586,0.00000000,3.20473972,4.13165422,0.10150761,3.98368091
-5.81390695,8.56350270,0.63024057,0.00000000,3.24092266,4.20764180,0.10016935,4.03795688
-5.80790395,8.64844742,0.63192123,0.00000000,3.27466319,4.27782386,0.09888932,4.08629896
-5.80190095,8.72075335,0.63294397,0.00000000,3.30544055,4.34066929,0.09769117,4.12771766
-5.79589795,8.77863044,0.63324171,0.00000000,3.33275404,4.39471748,0.09659475,4.16128817
-5.78989495,8.82042981,0.63274564,0.00000000,3.35614024,4.43862008,0.09561567,4.18618052
-5.78389195,8.84469635,0.63138719,0.00000000,3.37518919,4.47117994,0.09476480,4.20168730
-5.77788894,8.85021662,0.62910048,0.00000000,3.38955913,4.49138593,0.09404807,4.20724770
-5.77188594,8.83605997,0.62582522,0.00000000,3.39898893,4.49844232,0.09346621,4.20246688
-5.76588294,8.80161143,0.62150990,0.00000000,3.40330782,4.49179178,0.09301477,4.18712973
-5.75987994,8.74659515,0.61611531,0.00000000,3.40244195,4.47113140,0.09268421,4.16120859
-5.75387694,8.67108782,0.60961799,0.00000000,3.39641777,4.43642134,0.09246014,4.12486482
