energy_ev,total_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.36279468,1.96745425,0.36888311,0.60731892,0.26575896,0.01014105,0.06896006,0.13507526,3.04470152
-5.99399700,5.43839335,1.98230593,0.37828472,0.62154682,0.26913426,0.01029849,0.06919774,0.13675078,3.08834486
-5.98799400,5.50270351,1.99038544,0.38745432,0.63498315,0.27198312,0.01043956,0.06944703,0.13806184,3.12500528
-5.98199100,5.55674548,1.99186339,0.39651521,0.64772316,0.27437495,0.01056600,0.06974429,0.13903399,3.15519339
-5.97598799,5.60193164,1.98708083,0.40561623,0.65990082,0.27639876,0.01068126,0.07012640,0.13970461,3.17965420
-5.96998499,5.64002607,1.97654144,0.41492736,0.67168315,0.27816113,0.01079045,0.07062975,0.14012232,3.19934608
-5.96398199,5.67308869,1.96089742,0.42463392,0.68326269,0.27978339,0.01090025,0.07128912,0.14034587,3.21541057
-5.95797899,5.70340500,1.94092935,0.43492978,0.69484853,0.28139807,0.01101880,0.07213665,0.14044275,3.22913349
-5.95197599,5.73340338,1.91752058,0.44600952,0.70665605,0.28314465,0.01115547,0.07320072,0.14048733,3.24189863
-5.94597299,5.76556281,1.89162692,0.45806006,0.71889588,0.28516484,0.01132068,0.07450499,0.14055871,3.25513538
-5.93996998,5.80231453,1.86424291,0.47125182,0.73176252,0.28759736,0.01152561,0.07606742,0.14073832,3.27026255
-5.93396698,5.84594172,1.83636603,0.48573016,0.74542322,0.29057265,0.01178189,0.07789952,0.14110731,3.28863055
-5.92796398,5.89848172,1.80896036,0.50160717,0.76000770,0.29420754,0.01210127,0.08000565,0.14174388,3.31146464
-5.92196098,5.96163536,1.78292148,0.51895441,0.77559917,0.29860023,0.01249523,0.08238256,0.14272065,3.33981188
-5.91595798,6.03668770,1.75904410,0.53779707,0.79222721,0.30382567,0.01297464,0.08501911,0.14410210,3.37449419
-5.90995498,6.12444418,1.73799408,0.55810968,0.80986296,0.30993177,0.01354934,0.08789622,0.14594228,3.41606998
-5.90395198,6.22518530,1.72028599,0.57981386,0.82841683,0.31693635,0.01422779,0.09098705,0.14828285,3.46480614
-5.89794897,6.33864211,1.70626730,0.60277812,0.84773897,0.32482520,0.01501674,0.09425745,0.15115142,3.52066174
-5.89194597,6.46399379,1.69610993,0.62681992,0.86762240,0.33355128,0.01592089,0.09766658,0.15456039,3.58328422
-5.88594297,6.59988727,1.68980926,0.65170979,0.88780878,0.34303502,0.01694261,0.10116784,0.15850631,3.65201815
-5.87993997,6.74447773,1.68719049,0.67717747,0.90799645,0.35316589,0.01808176,0.10470986,0.16296961,3.72592599
-5.87393697,6.89548798,1.68792195,0.70291967,0.92785034,0.36380501,0.01933547,0.10823774,0.16791489,3.80381969
-5.86793397,7.05028335,1.69153428,0.72860908,0.94701328,0.37478875,0.02069812,0.11169438,0.17329167,3.88430121
-5.86193097,7.20595830,1.69744441,0.75390430,0.96511802,0.38593324,0.02216126,0.11502183,0.17903551,3.96581016
-5.85592796,7.35943055,1.70498288,0.77845998,0.98179950,0.39703947,0.02371368,0.11816269,0.18506950,4.04667568
