energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.33892344,0.00738943,0.02679795,0.02956650,0.00000000,0.06615693,0.04856305
-5.99399700,0.33637497,0.00767421,0.02635059,0.03101497,0.00000000,0.06519220,0.04668394
-5.98799400,0.33601830,0.00798385,0.02635431,0.03275226,0.00000000,0.06474539,0.04513806
-5.98199100,0.33796974,0.00832082,0.02683260,0.03477983,0.00000000,0.06483542,0.04394277
-5.97598799,0.34232698,0.00868672,0.02780811,0.03709362,0.00000000,0.06547883,0.04311531
-5.96998499,0.34916148,0.00908213,0.02930164,0.03968351,0.00000000,0.06668829,0.04267164
-5.96398199,0.35851119,0.00950650,0.03133093,0.04253303,0.00000000,0.06847103,0.04262528
-5.95797899,0.37037364,0.00995804,0.03390936,0.04561912,0.00000000,0.07082733,0.04298617
-5.95197599,0.38470008,0.01043367,0.03704459,0.04891215,0.00000000,0.07374905,0.04375946
-5.94597299,0.40139056,0.01092906,0.04073715,0.05237607,0.00000000,0.07721837,0.04494451
-5.93996998,0.42029057,0.01143863,0.04497908,0.05596873,0.00000000,0.08120674,0.04653390
-5.93396698,0.44118918,0.01195571,0.04975263,0.05964251,0.00000000,0.08567413,0.04851273
-5.92796398,0.46381895,0.01247261,0.05502919,0.06334500,0.00000000,0.09056863,0.05085798
-5.92196098,0.48785778,0.01298086,0.06076841,0.06701996,0.00000000,0.09582639,0.05353827
-5.91595798,0.51293262,0.01347140,0.06691764,0.07060844,0.00000000,0.10137205,0.05651376
-5.90995498,0.53862510,0.01393484,0.07341177,0.07405000,0.00000000,0.10711951,0.05973640
-5.90395198,0.56447899,0.01436171,0.08017345,0.07728407,0.00000000,0.11297326,0.06315046
-5.89794897,0.59000937,0.01474275,0.08711384,0.08025142,0.00000000,0.11883000,0.06669335
-5.89194597,0.61471318,0.01506917,0.09413384,0.08289557,0.00000000,0.12458073,0.07029675
-5.88594297,0.63808104,0.01533291,0.10112573,0.08516426,0.00000000,0.13011313,0.07388799
-5.87993997,0.65960975,0.01552691,0.10797541,0.08701088,0.00000000,0.13531425,0.07739166
-5.87393697,0.67881542,0.01564529,0.11456498,0.08839569,0.00000000,0.14007338,0.08073144
-5.86793397,0.69524641,0.01568355,0.12077562,0.08928697,0.00000000,0.14428492,0.08383201
-5.86193097,0.70849590,0.01563874,0.12649084,0.08966194,0.00000000,0.14785140,0.08662105
-5.85592796,0.71821353,0.01550948,0.13159972,0.08950742,0.00000000,0.15068622,0.08903126
-5.84992496,0.72411563,0.01529608,0.13600024,0.08882026,0.00000000,0.15271621,0.09100231
-5.84392196,0.72599370,0.01500048,0.13960245,0.08760744,0.00000000,0.15388389,0.09248250
-5.83791896,0.72372071,0.01462622,0.14233132,0.08588591,0.00000000,0.15414919,0.09343043
-5.83191596,0.71725503,0.01417831,0.14412924,0.08368210,0.00000000,0.15349075,0.09381614
-5.82591296,0.70664175,0.01366312,0.14495798,0.08103115,0.00000000,0.15190661,0.09362205
-5.81990995,0.69201133,0.01308815,0.14480006,0.07797594,0.00000000,0.14941426,0.09284346
-5.81390695,0.67357568,0.01246182,0.14365942,0.07456582,0.00000000,0.14605014,0.09148868
-5.80790395,0.65162175,0.01179327,0.14156143,0.07085524,0.00000000,0.14186850,0.08957869
-5.80190095,0.62650295,0.01109207,0.13855217,0.06690225,0.00000000,0.13693973,0.08714645
-5.79589795,0.59862874,0.01036797,0.13469709,0.06276688,0.00000000,0.13134825,0.08423586
-5.78989495,0.56845291,0.00963067,0.13007909,0.05850965,0.00000000,0.12518999,0.08090036
-5.78389195,0.53646085,0.00888956,0.12479602,0.05418998,0.00000000,0.11856964,0.07720129
-5.77788894,0.50315656,0.00815353,0.11895794,0.04986486,0.00000000,0.11159770,0.07320615
