energy_ev,total_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.77720404,0.45607492,0.69904695,0.44357211,0.00000000,0.04993451,0.21714470,0.00489021,0.78532410
-5.99399700,1.64950557,0.42990133,0.63865003,0.41840079,0.00000000,0.04818620,0.19595005,0.00452588,0.73742580
-5.98799400,1.52837206,0.40433341,0.58233502,0.39454896,0.00000000,0.04620756,0.17660998,0.00420388,0.69059074
-5.98199100,1.41432200,0.37965724,0.53013391,0.37235397,0.00000000,0.04403032,0.15913477,0.00392751,0.64512441
-5.97598799,1.30782503,0.35615004,0.48204989,0.35213723,0.00000000,0.04168904,0.14351210,0.00370022,0.60133046
-5.96998499,1.20930775,0.33407672,0.43806573,0.33420103,0.00000000,0.03922007,0.12971134,0.00352565,0.55950809
-5.96398199,1.11915762,0.31368686,0.39815071,0.31882564,0.00000000,0.03666065,0.11768765,0.00340762,0.51994881
-5.95797899,1.03772511,0.29521198,0.36226609,0.30626702,0.00000000,0.03404781,0.10738569,0.00335011,0.48293268
-5.95197599,0.96532422,0.27886338,0.33036921,0.29675500,0.00000000,0.03141754,0.09874295,0.00335727,0.44872420
-5.94597299,0.90223173,0.26483052,0.30241619,0.29049188,0.00000000,0.02880392,0.09169262,0.00343328,0.41756840
-5.93996998,0.84868565,0.25327996,0.27836346,0.28765160,0.00000000,0.02623841,0.08616590,0.00358234,0.38968706
-5.93396698,0.80488288,0.24435487,0.25816830,0.28837920,0.00000000,0.02374927,0.08209387,0.00380850,0.36527545
-5.92796398,0.77097676,0.23817511,0.24178853,0.29279065,0.00000000,0.02136110,0.07940892,0.00411550,0.34449973
-5.92196098,0.74707425,0.23483764,0.22918146,0.30097289,0.00000000,0.01909459,0.07804566,0.00450666,0.32749498
-5.91595798,0.73323328,0.23441741,0.22030241,0.31298397,0.00000000,0.01696639,0.07794151,0.00498459,0.31436394
-5.90995498,0.72946000,0.23696827,0.21510268,0.32885314,0.00000000,0.01498907,0.07903690,0.00555107,0.30517641
