energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,2.82624322,0.46370722,0.34265956,0.00217691,0.43184324,1.00585446,1.19414556,0.00711924,0.90580555
-5.99399700,2.86192681,0.47444413,0.35047768,0.00237884,0.43606126,1.01790112,1.20596006,0.00683034,0.92146344
-5.98799400,2.90285179,0.48649851,0.35902913,0.00261157,0.44087634,1.03095124,1.22020754,0.00659805,0.93801907
-5.98199100,2.94934749,0.49989954,0.36827223,0.00287409,0.44645780,1.04510598,1.23712159,0.00642595,0.95538002
-5.97598799,3.00180599,0.51467704,0.37817478,0.00316486,0.45298538,1.06051485,1.25695080,0.00631719,0.97349001
-5.96998499,3.06065783,0.53085771,0.38871407,0.00348180,0.46064054,1.07736421,1.27994644,0.00627442,0.99232823
-5.96398199,3.12634105,0.54846064,0.39987596,0.00382222,0.46959681,1.09586251,1.30634773,0.00629978,1.01190656
-5.95797899,3.19926505,0.56749238,0.41165303,0.00418281,0.48000944,1.11622318,1.33636539,0.00639477,1.03226454
-5.95197599,3.27977083,0.58794180,0.42404190,0.00455961,0.49200496,1.13864593,1.37016415,0.00656012,1.05346251
-5.94597299,3.36808990,0.60977500,0.43703982,0.00494805,0.50567119,1.16329763,1.40784506,0.00679573,1.07557327
-5.93996998,3.46430396,0.63293077,0.45064079,0.00534299,0.52104823,1.19029390,1.44942869,0.00710050,1.09867253
-5.93396698,3.56830762,0.65731668,0.46483133,0.00573880,0.53812089,1.21968230,1.49484003,0.00747219,1.12282877
-5.92796398,3.67977658,0.68280633,0.47958631,0.00612944,0.55681314,1.25142827,1.54389606,0.00790734,1.14809294
-5.92196098,3.79814302,0.70923772,0.49486486,0.00650861,0.57698489,1.28540449,1.59629698,0.00840116,1.17448846
-5.91595798,3.92258016,0.73641318,0.51060683,0.00686988,0.59843135,1.32138452,1.65162147,0.00894746,1.20200213
-5.90995498,4.05199718,0.76410071,0.52672995,0.00720688,0.62088519,1.35904092,1.70932685,0.00953868,1.23057619
