energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,6.28219128,0.03443803,0.92536584,0.02073915,0.00000000,4.68375681,2.04951638,0.14151198,2.48864599
-5.99399700,6.22368820,0.03390022,0.90156730,0.02075154,0.00000000,4.61847807,2.02445476,0.14037142,2.48631807
-5.98799400,6.15332097,0.03330869,0.87668517,0.02072717,0.00000000,4.54419636,1.99771056,0.13886807,2.47811043
-5.98199100,6.07302888,0.03268091,0.85112053,0.02066829,0.00000000,4.46251005,1.96998060,0.13705208,2.46466050
-5.97598799,5.98481920,0.03203399,0.82527482,0.02057733,0.00000000,4.37502958,1.94196140,0.13497430,2.44665488
-5.96998499,5.89071574,0.03138408,0.79954355,0.02045678,0.00000000,4.28333959,1.91433768,0.13268474,2.42480622
-5.96398199,5.79270966,0.03074584,0.77431050,0.02030915,0.00000000,4.18896440,1.88777161,0.13023108,2.39983048
-5.95797899,5.69271398,0.03013199,0.74994248,0.02013680,0.00000000,4.09333770,1.86289302,0.12765750,2.37242555
-5.95197599,5.59252352,0.02955289,0.72678469,0.01994191,0.00000000,3.99777737,1.84029062,0.12500371,2.34325216
-5.94597299,5.49378127,0.02901633,0.70515686,0.01972635,0.00000000,3.90346596,1.82050453,0.12230424,2.31291757
-5.93996998,5.39795224,0.02852730,0.68535001,0.01949166,0.00000000,3.81143701,1.80402003,0.11958812,2.28196282
-5.93396698,5.30630494,0.02808801,0.66762383,0.01923904,0.00000000,3.72256723,1.79126259,0.11687872,2.25085374
-5.92796398,5.21990079,0.02769793,0.65220468,0.01896929,0.00000000,3.63757443,1.78259401,0.11419401,2.21997588
-5.92196098,5.13959107,0.02735400,0.63928400,0.01868291,0.00000000,3.55702050,1.77830967,0.11154694,2.18963338
-5.91595798,5.06602072,0.02705090,0.62901720,0.01838009,0.00000000,3.48131914,1.77863663,0.10894617,2.16005147
-5.90995498,4.99963831,0.02678145,0.62152271,0.01806086,0.00000000,3.41074738,1.78373246,0.10639688,2.13138233
-5.90395198,4.94071104,0.02653706,0.61688145,0.01772513,0.00000000,3.34546030,1.79368466,0.10390173,2.10371366
